Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505019494,2017-09-10T04:58:14Z,RFF8064,"35.024868,35.799755",17100,402,166
1505019403,2017-09-10T04:56:43Z,RFF8064,"35.06086,35.764763",17600,402,166
1505019307,2017-09-10T04:55:07Z,RFF8064,"35.201836,35.729759",19100,315,325
1505019229,2017-09-10T04:53:49Z,RFF8064,"35.277672,35.875782",21600,315,325
1505019181,2017-09-10T04:53:01Z,RFF8064,"35.271633,35.892441",21900,315,325
1505019143,2017-09-10T04:52:23Z,RFF8064,"35.180275,36.008896",23800,315,325
1505019076,2017-09-10T04:51:16Z,RFF8064,"35.116253,36.084522",25300,315,325
1505019017,2017-09-10T04:50:17Z,RFF8064,"35.112156,36.086273",25300,315,325
1505019001,2017-09-10T04:50:01Z,RFF8064,"35.089581,36.109852",25800,326,335
1505018994,2017-09-10T04:49:54Z,RFF8064,"35.085629,36.111423",25900,370,324
1505018977,2017-09-10T04:49:37Z,RFF8064,"35.069035,36.123142",26199,514,297
1505018961,2017-09-10T04:49:21Z,RFF8064,"35.048367,36.175751",26700,385,321
1505018951,2017-09-10T04:49:11Z,RFF8064,"35.039753,36.183769",26900,456,316
1505018906,2017-09-10T04:48:26Z,RFF8064,"34.971603,36.294193",27900,567,297
1505018879,2017-09-10T04:47:59Z,RFF8064,"34.958294,36.323654",27900,613,291
1505018869,2017-09-10T04:47:49Z,RFF8064,"34.950718,36.343781",27900,636,280
1505018799,2017-09-10T04:46:39Z,RFF8064,"34.837925,36.552753",28000,555,113
1505018769,2017-09-10T04:46:09Z,RFF8064,"34.828842,36.538475",28000,646,296
1505018683,2017-09-10T04:44:43Z,RFF8064,"34.374214,37.060444",28000,0,312
