Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506009751,2017-09-21T16:02:31Z,RA82035,"53.148098,33.199841",26000,377,332
1506009745,2017-09-21T16:02:25Z,RA82035,"53.135204,33.211708",26000,382,332
1506009735,2017-09-21T16:02:15Z,RA82035,"53.122704,33.221764",25900,370,323
1506009722,2017-09-21T16:02:02Z,RA82035,"53.0966,33.270267",26000,351,299
1506009678,2017-09-21T16:01:18Z,RA82035,"53.076645,33.349075",25899,348,286
1506009610,2017-09-21T16:00:10Z,RA82035,"53.046917,33.520332",25900,349,288
1506009587,2017-09-21T15:59:47Z,RA82035,"53.034801,33.580654",26000,418,274
1506009538,2017-09-21T15:58:58Z,RA82035,"53.017235,33.716137",25899,350,285
1506009475,2017-09-21T15:57:55Z,RA82035,"52.990314,33.884197",25943,351,285
1506009411,2017-09-21T15:56:51Z,RA82035,"52.962608,34.050915",25900,348,286
1506009347,2017-09-21T15:55:47Z,RA82035,"52.93359,34.215649",25900,348,287
1506009283,2017-09-21T15:54:43Z,RA82035,"52.904961,34.382889",25913,350,286
1506009220,2017-09-21T15:53:40Z,RA82035,"52.87672,34.545254",25917,350,286
1506009159,2017-09-21T15:52:39Z,RA82035,"52.848568,34.703022",25899,350,287
1506009094,2017-09-21T15:51:34Z,RA82035,"52.818554,34.867123",25900,350,287
1506009030,2017-09-21T15:50:30Z,RA82035,"52.788742,35.031532",25900,350,287
1506008967,2017-09-21T15:49:27Z,RA82035,"52.759262,35.192898",25900,347,287
1506008899,2017-09-21T15:48:19Z,RA82035,"52.725323,35.375706",25900,348,287
1506008831,2017-09-21T15:47:11Z,RA82035,"52.692646,35.550255",25947,344,287
1506008770,2017-09-21T15:46:10Z,RA82035,"52.665565,35.689632",25900,348,287
1506008707,2017-09-21T15:45:07Z,RA82035,"52.635036,35.851055",25900,348,288
1506008645,2017-09-21T15:44:05Z,RA82035,"52.606514,36.001453",26000,343,288
1506008581,2017-09-21T15:43:01Z,RA82035,"52.573803,36.172932",25900,343,288
1506008515,2017-09-21T15:41:55Z,RA82035,"52.541622,36.334217",25900,350,287
1506008451,2017-09-21T15:40:51Z,RA82035,"52.511116,36.494457",25999,354,287
1506008445,2017-09-21T15:40:45Z,RA82035,"52.509178,36.505207",26000,351,287
