Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503413185,2017-08-22T14:46:25Z,RA82038,"55.48875,90.244545",25000,368,85
1503413124,2017-08-22T14:45:24Z,RA82038,"55.482384,90.074516",25000,368,84
1503413063,2017-08-22T14:44:23Z,RA82038,"55.47403,89.882988",25000,367,84
1503412972,2017-08-22T14:42:52Z,RA82038,"55.460697,89.606834",25000,370,86
1503412439,2017-08-22T14:33:59Z,RA82038,"55.387615,87.827797",25000,370,83
1503412373,2017-08-22T14:32:53Z,RA82038,"55.381538,87.728867",25000,370,83
1503412339,2017-08-22T14:32:19Z,RA82038,"55.380196,87.707672",25000,370,83
1503412276,2017-08-22T14:31:16Z,RA82038,"55.36824,87.512558",25000,370,83
1503412208,2017-08-22T14:30:08Z,RA82038,"55.353706,87.28537",24999,370,83
1503412147,2017-08-22T14:29:07Z,RA82038,"55.341484,87.106415",25000,379,82
1503412076,2017-08-22T14:27:56Z,RA82038,"55.32806,86.924789",25000,392,80
1503412013,2017-08-22T14:26:53Z,RA82038,"55.308151,86.712372",25000,390,80
1503411951,2017-08-22T14:25:51Z,RA82038,"55.297073,86.528084",24999,350,87
1503411889,2017-08-22T14:24:49Z,RA82038,"55.289711,86.367744",25000,400,83
1503411828,2017-08-22T14:23:48Z,RA82038,"55.276573,86.145241",24900,420,85
1503411756,2017-08-22T14:22:36Z,RA82038,"55.263889,85.866051",25000,398,84
1503411689,2017-08-22T14:21:29Z,RA82038,"55.255703,85.694809",24900,388,84
1503411625,2017-08-22T14:20:25Z,RA82038,"55.244843,85.469398",24100,374,84
1503411497,2017-08-22T14:18:17Z,RA82038,"55.203838,84.723129",20200,338,80
1503411363,2017-08-22T14:16:03Z,RA82038,"55.19347,84.573746",18700,338,80
1503411313,2017-08-22T14:15:13Z,RA82038,"55.176693,84.348022",18700,338,80
1503411200,2017-08-22T14:13:20Z,RA82038,"55.130241,83.738853",14800,338,80
1503411004,2017-08-22T14:10:04Z,RA82038,"55.115372,83.547287",13300,317,80
1503410941,2017-08-22T14:09:01Z,RA82038,"55.110912,83.486153",12900,317,80
1503410865,2017-08-22T14:07:45Z,RA82038,"55.08004,83.0522",8500,307,83
1503410744,2017-08-22T14:05:44Z,RA82038,"55.078278,83.02301",8300,307,83
1503410731,2017-08-22T14:05:31Z,RA82038,"55.076519,82.994995",7899,305,83
1503410719,2017-08-22T14:05:19Z,RA82038,"55.073654,82.9524",7400,290,87
1503410698,2017-08-22T14:04:58Z,RA82038,"55.074036,82.878136",6699,290,87
