Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505125114,2017-09-11T10:18:34Z,RFF9926,"53.562706,33.543308",16600,312,332
1505125108,2017-09-11T10:18:28Z,RFF9926,"53.55365,33.551586",16700,314,334
1505125073,2017-09-11T10:17:53Z,RFF9926,"53.505352,33.588028",17199,327,338
1505125040,2017-09-11T10:17:20Z,RFF9926,"53.460297,33.618023",17600,341,340
1505124978,2017-09-11T10:16:18Z,RFF9926,"53.370689,33.669334",18700,346,339
1505124972,2017-09-11T10:16:12Z,RFF9926,"53.356861,33.678619",18885,351,342
1505124963,2017-09-11T10:16:03Z,RFF9926,"53.346031,33.683903",18899,339,339
1505124957,2017-09-11T10:15:57Z,RFF9926,"53.333187,33.692047",19053,333,336
1505124944,2017-09-11T10:15:44Z,RFF9926,"53.311806,33.711384",19300,321,325
1505124932,2017-09-11T10:15:32Z,RFF9926,"53.301037,33.723618",19560,322,323
1505124926,2017-09-11T10:15:26Z,RFF9926,"53.292156,33.734043",19699,318,318
1505124917,2017-09-11T10:15:17Z,RFF9926,"53.283699,33.745872",19700,318,309
1505124910,2017-09-11T10:15:10Z,RFF9926,"53.275795,33.760551",19900,317,300
1505124880,2017-09-11T10:14:40Z,RFF9926,"53.2579,33.824818",19900,324,287
1505124812,2017-09-11T10:13:32Z,RFF9926,"53.226788,33.988407",19999,334,288
1505124785,2017-09-11T10:13:05Z,RFF9926,"53.214859,34.057091",20000,317,277
1505124779,2017-09-11T10:12:59Z,RFF9926,"53.212757,34.078579",20000,315,277
1505124757,2017-09-11T10:12:37Z,RFF9926,"53.209568,34.126583",20099,297,253
1505124751,2017-09-11T10:12:31Z,RFF9926,"53.212791,34.144432",20100,303,252
1505124745,2017-09-11T10:12:25Z,RFF9926,"53.214016,34.153557",20100,306,245
1505124739,2017-09-11T10:12:19Z,RFF9926,"53.215874,34.162968",20100,306,245
1505124733,2017-09-11T10:12:13Z,RFF9926,"53.220505,34.180576",20100,310,240
1505124704,2017-09-11T10:11:44Z,RFF9926,"53.247429,34.238617",20100,313,226
1505124640,2017-09-11T10:10:40Z,RFF9926,"53.3083,34.34277",20000,311,226
1505124575,2017-09-11T10:09:35Z,RFF9926,"53.376957,34.463615",20100,310,226
1505124511,2017-09-11T10:08:31Z,RFF9926,"53.436874,34.567268",20000,318,223
1505124449,2017-09-11T10:07:29Z,RFF9926,"53.50975,34.679909",20100,310,222
1505124384,2017-09-11T10:06:24Z,RFF9926,"53.574539,34.779411",20100,310,223
1505124321,2017-09-11T10:05:21Z,RFF9926,"53.641071,34.882561",20000,310,223
1505124259,2017-09-11T10:04:19Z,RFF9926,"53.704006,34.981747",20054,318,222
1505124197,2017-09-11T10:03:17Z,RFF9926,"53.774448,35.089321",20017,320,222
1505124134,2017-09-11T10:02:14Z,RFF9926,"53.842564,35.201317",20100,310,223
1505124068,2017-09-11T10:01:08Z,RFF9926,"53.909592,35.308105",20100,310,224
1505124007,2017-09-11T10:00:07Z,RFF9926,"53.976162,35.415283",19799,310,225
1505123943,2017-09-11T09:59:03Z,RFF9926,"54.046795,35.529366",18800,310,223
1505123873,2017-09-11T09:57:53Z,RFF9926,"54.118248,35.641472",18000,318,222
1505123804,2017-09-11T09:56:44Z,RFF9926,"54.202908,35.779072",18000,305,221
1505123705,2017-09-11T09:55:05Z,RFF9926,"54.285038,35.915852",18000,284,227
1505123652,2017-09-11T09:54:12Z,RFF9926,"54.336224,36.001549",18100,308,223
1505123591,2017-09-11T09:53:11Z,RFF9926,"54.403202,36.104443",18100,308,219
1505123566,2017-09-11T09:52:46Z,RFF9926,"54.42971,36.141491",18000,305,233
1505123560,2017-09-11T09:52:40Z,RFF9926,"54.433342,36.145802",18000,305,233
1505123541,2017-09-11T09:52:21Z,RFF9926,"54.454327,36.184666",18000,291,222
1505123512,2017-09-11T09:51:52Z,RFF9926,"54.480255,36.223991",18000,300,236
1505123506,2017-09-11T09:51:46Z,RFF9926,"54.485943,36.241596",18000,274,224
1505123444,2017-09-11T09:50:44Z,RFF9926,"54.5434,36.335827",18000,299,224
1505123381,2017-09-11T09:49:41Z,RFF9926,"54.60688,36.445221",18000,325,227
1505123319,2017-09-11T09:48:39Z,RFF9926,"54.667931,36.558125",18100,321,226
1505123311,2017-09-11T09:48:31Z,RFF9926,"54.675453,36.572018",17997,316,223
1505123304,2017-09-11T09:48:24Z,RFF9926,"54.684803,36.58744",17747,320,220
1505123296,2017-09-11T09:48:16Z,RFF9926,"54.693466,36.601227",17600,320,216
1505123284,2017-09-11T09:48:04Z,RFF9926,"54.708,36.620884",17427,320,213
1505123270,2017-09-11T09:47:50Z,RFF9926,"54.726688,36.640854",17200,332,202
1505123237,2017-09-11T09:47:17Z,RFF9926,"54.771839,36.672539",16600,320,202
1505123204,2017-09-11T09:46:44Z,RFF9926,"54.816086,36.702435",15999,333,202
1505123172,2017-09-11T09:46:12Z,RFF9926,"54.861961,36.735561",15269,324,201
1505123136,2017-09-11T09:45:36Z,RFF9926,"54.911964,36.769386",14500,318,202
1505123105,2017-09-11T09:45:05Z,RFF9926,"54.956352,36.800938",13949,308,202
1505123074,2017-09-11T09:44:34Z,RFF9926,"54.997761,36.831371",13199,302,203
1505123046,2017-09-11T09:44:06Z,RFF9926,"55.031059,36.856327",12600,244,186
1505123028,2017-09-11T09:43:48Z,RFF9926,"55.053215,36.86694",12168,276,201
1505123016,2017-09-11T09:43:36Z,RFF9926,"55.067249,36.876511",11900,297,203
1505123004,2017-09-11T09:43:24Z,RFF9926,"55.081841,36.886932",11579,295,203
1505122991,2017-09-11T09:43:11Z,RFF9926,"55.096996,36.897694",11279,295,203
1505122979,2017-09-11T09:42:59Z,RFF9926,"55.112041,36.908875",11000,292,205
1505122966,2017-09-11T09:42:46Z,RFF9926,"55.132435,36.925255",10500,288,207
1505122951,2017-09-11T09:42:31Z,RFF9926,"55.146988,36.937962",10138,287,208
1505122939,2017-09-11T09:42:19Z,RFF9926,"55.160839,36.950497",9799,282,209
1505122927,2017-09-11T09:42:07Z,RFF9926,"55.173977,36.963112",9500,278,208
1505122915,2017-09-11T09:41:55Z,RFF9926,"55.18766,36.976616",9200,278,206
1505122898,2017-09-11T09:41:38Z,RFF9926,"55.212349,36.997326",8800,278,202
1505122885,2017-09-11T09:41:25Z,RFF9926,"55.226242,37.006954",8449,278,202
1505122872,2017-09-11T09:41:12Z,RFF9926,"55.240253,37.016914",8100,278,202
1505122858,2017-09-11T09:40:58Z,RFF9926,"55.259731,37.030834",7600,277,202
1505122842,2017-09-11T09:40:42Z,RFF9926,"55.274292,37.040943",7300,272,202
1505122826,2017-09-11T09:40:26Z,RFF9926,"55.298199,37.057671",6755,266,201
1505122813,2017-09-11T09:40:13Z,RFF9926,"55.312,37.06662",6399,270,201
1505122801,2017-09-11T09:40:01Z,RFF9926,"55.325974,37.075977",6057,271,201
1505122789,2017-09-11T09:39:49Z,RFF9926,"55.340393,37.085999",5800,274,199
1505122776,2017-09-11T09:39:36Z,RFF9926,"55.354305,37.094707",5488,277,198
1505122763,2017-09-11T09:39:23Z,RFF9926,"55.369545,37.103313",5100,274,198
1505122757,2017-09-11T09:39:17Z,RFF9926,"55.379784,37.10902",4800,277,199
1505122747,2017-09-11T09:39:07Z,RFF9926,"55.38903,37.114346",4500,276,199
1505122740,2017-09-11T09:39:00Z,RFF9926,"55.398361,37.11977",4350,274,199
1505122734,2017-09-11T09:38:54Z,RFF9926,"55.403526,37.12281",4245,274,199
1505122728,2017-09-11T09:38:48Z,RFF9926,"55.412449,37.128056",3999,270,200
1505122722,2017-09-11T09:38:42Z,RFF9926,"55.417549,37.131176",3900,264,200
1505122716,2017-09-11T09:38:36Z,RFF9926,"55.427448,37.137352",3700,254,201
1505122707,2017-09-11T09:38:27Z,RFF9926,"55.436481,37.143021",3400,250,201
1505122701,2017-09-11T09:38:21Z,RFF9926,"55.446419,37.149593",3000,238,201
1505122692,2017-09-11T09:38:12Z,RFF9926,"55.455288,37.155369",2699,211,202
1505122683,2017-09-11T09:38:03Z,RFF9926,"55.468353,37.164215",2461,193,203
1505122677,2017-09-11T09:37:57Z,RFF9926,"55.475719,37.169476",2300,193,203
1505122665,2017-09-11T09:37:45Z,RFF9926,"55.487129,37.17775",2300,193,203
1505122653,2017-09-11T09:37:33Z,RFF9926,"55.495018,37.18354",2300,182,203
1505122647,2017-09-11T09:37:27Z,RFF9926,"55.498867,37.186359",2300,182,203
1505122641,2017-09-11T09:37:21Z,RFF9926,"55.505638,37.191296",2300,171,204
1505122634,2017-09-11T09:37:14Z,RFF9926,"55.511478,37.195736",2352,166,204
1505122625,2017-09-11T09:37:05Z,RFF9926,"55.517689,37.200531",2400,158,204
