Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1468663554,2016-07-16T10:05:54Z,VDA6689,"53.8622,28.0607",700,143,318
1468663544,2016-07-16T10:05:44Z,VDA6689,"53.8565,28.0693",850,142,318
1468663534,2016-07-16T10:05:34Z,VDA6689,"53.8526,28.0751",975,143,318
1468663524,2016-07-16T10:05:24Z,VDA6689,"53.8475,28.0823",1100,138,319
1468663518,2016-07-16T10:05:18Z,VDA6689,"53.845,28.0861",1150,138,319
1468663508,2016-07-16T10:05:08Z,VDA6689,"53.84,28.0934",1275,138,318
1468663498,2016-07-16T10:04:58Z,VDA6689,"53.835,28.1008",1400,136,318
1468663487,2016-07-16T10:04:47Z,VDA6689,"53.8301,28.108",1525,139,318
1468663477,2016-07-16T10:04:37Z,VDA6689,"53.8247,28.116",1675,141,319
1468663467,2016-07-16T10:04:27Z,VDA6689,"53.82,28.1229",1825,143,318
1468663457,2016-07-16T10:04:17Z,VDA6689,"53.815,28.1303",1875,141,318
1468663447,2016-07-16T10:04:07Z,VDA6689,"53.8099,28.1376",1975,141,319
1468663441,2016-07-16T10:04:01Z,VDA6689,"53.8074,28.1412",2025,141,319
1468663431,2016-07-16T10:03:51Z,VDA6689,"53.8021,28.1488",2150,143,318
1468663421,2016-07-16T10:03:41Z,VDA6689,"53.7966,28.1574",2350,145,317
1468663410,2016-07-16T10:03:30Z,VDA6689,"53.7916,28.1651",2600,145,318
1468663400,2016-07-16T10:03:20Z,VDA6689,"53.7865,28.1723",2750,143,320
1468663390,2016-07-16T10:03:10Z,VDA6689,"53.7813,28.1798",2725,145,319
1468663380,2016-07-16T10:03:00Z,VDA6689,"53.7761,28.1876",2750,147,316
1468663374,2016-07-16T10:02:54Z,VDA6689,"53.773,28.1929",2750,150,315
1468663364,2016-07-16T10:02:44Z,VDA6689,"53.7682,28.2005",2750,157,317
1468663353,2016-07-16T10:02:33Z,VDA6689,"53.7617,28.2102",2775,158,320
1468663343,2016-07-16T10:02:23Z,VDA6689,"53.7552,28.2189",2800,159,323
1468663333,2016-07-16T10:02:13Z,VDA6689,"53.7482,28.2273",2800,163,325
1468663322,2016-07-16T10:02:02Z,VDA6689,"53.7419,28.2345",2775,163,329
1468663312,2016-07-16T10:01:52Z,VDA6689,"53.7372,28.239",2775,162,331
1468663297,2016-07-16T10:01:37Z,VDA6689,"53.7263,28.2485",2800,169,340
1468663291,2016-07-16T10:01:31Z,VDA6689,"53.7211,28.2517",2850,167,351
1468663281,2016-07-16T10:01:21Z,VDA6689,"53.7134,28.251",3025,166,21
1468663271,2016-07-16T10:01:11Z,VDA6689,"53.7063,28.2437",3200,167,46
1468663265,2016-07-16T10:01:05Z,VDA6689,"53.7042,28.24",3275,169,47
1468663255,2016-07-16T10:00:55Z,VDA6689,"53.6985,28.2293",3375,180,47
1468663058,2016-07-16T09:57:38Z,VDA6689,"53.5914,27.9744",7150,240,58
1468663052,2016-07-16T09:57:32Z,VDA6689,"53.588,27.965",7175,243,58
1468663040,2016-07-16T09:57:20Z,VDA6689,"53.5807,27.9449",7275,254,58
1468663028,2016-07-16T09:57:08Z,VDA6689,"53.5731,27.9244",7425,260,57
1468663015,2016-07-16T09:56:55Z,VDA6689,"53.5654,27.9036",7550,266,59
1468663003,2016-07-16T09:56:43Z,VDA6689,"53.5575,27.8814",7650,272,58
