Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1472604610,2016-08-31T00:50:10Z,VDA9328,"38.546848,68.828735",0,21,90
1472604601,2016-08-31T00:50:01Z,VDA9328,"38.546848,68.829208",0,22,90
1472604589,2016-08-31T00:49:49Z,VDA9328,"38.546848,68.829704",0,22,90
1472604583,2016-08-31T00:49:43Z,VDA9328,"38.546848,68.830032",0,23,90
1472604577,2016-08-31T00:49:37Z,VDA9328,"38.546848,68.830368",0,23,90
1472604571,2016-08-31T00:49:31Z,VDA9328,"38.546848,68.830688",0,23,90
1472604565,2016-08-31T00:49:25Z,VDA9328,"38.546848,68.8311",0,23,90
1472604476,2016-08-31T00:47:56Z,VDA9328,"38.545464,68.832916",0,15,90
1472604354,2016-08-31T00:45:54Z,VDA9328,"38.543644,68.836227",0,29,90
1472604183,2016-08-31T00:43:03Z,VDA9328,"38.543644,68.83297",0,58,90
1472604177,2016-08-31T00:42:57Z,VDA9328,"38.543648,68.831299",0,67,90
1472604165,2016-08-31T00:42:45Z,VDA9328,"38.543682,68.824341",0,110,90
1472604159,2016-08-31T00:42:39Z,VDA9328,"38.543694,68.821594",0,125,90
1472604153,2016-08-31T00:42:33Z,VDA9328,"38.543694,68.816803",0,140,90
1472604147,2016-08-31T00:42:27Z,VDA9328,"38.543701,68.810898",2575,155,90
1472604138,2016-08-31T00:42:18Z,VDA9328,"38.543701,68.80349",2725,156,90
1472604116,2016-08-31T00:41:56Z,VDA9328,"38.543671,68.783264",3025,160,90
1472604110,2016-08-31T00:41:50Z,VDA9328,"38.543701,68.777756",3100,163,90
1472604104,2016-08-31T00:41:44Z,VDA9328,"38.543747,68.77179",3200,166,90
1472604098,2016-08-31T00:41:38Z,VDA9328,"38.543747,68.76564",3300,166,89
1472604067,2016-08-31T00:41:07Z,VDA9328,"38.543625,68.736816",3725,161,90
1472604058,2016-08-31T00:40:58Z,VDA9328,"38.543671,68.727173",3875,161,90
1472604037,2016-08-31T00:40:37Z,VDA9328,"38.543655,68.707184",4175,160,90
1472604028,2016-08-31T00:40:28Z,VDA9328,"38.543671,68.699036",4275,159,90
1472604022,2016-08-31T00:40:22Z,VDA9328,"38.543747,68.693329",4350,157,90
1472604016,2016-08-31T00:40:16Z,VDA9328,"38.543762,68.687561",4425,156,90
1472604007,2016-08-31T00:40:07Z,VDA9328,"38.543808,68.679016",4500,157,90
1472604001,2016-08-31T00:40:01Z,VDA9328,"38.543839,68.673744",4575,156,90
1472603995,2016-08-31T00:39:55Z,VDA9328,"38.543808,68.667969",4675,154,89
1472603989,2016-08-31T00:39:49Z,VDA9328,"38.543701,68.662758",4750,154,88
1472603983,2016-08-31T00:39:43Z,VDA9328,"38.543575,68.656982",4850,153,88
1472603970,2016-08-31T00:39:30Z,VDA9328,"38.543427,68.646278",5075,156,90
