Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1473116775,2016-09-05T23:06:15Z,VDA9042,"46.880047,142.720612",0,13,182
1473116768,2016-09-05T23:06:08Z,VDA9042,"46.87999,142.720398",0,14,182
1473116755,2016-09-05T23:05:55Z,VDA9042,"46.879921,142.720108",0,12,182
1473116742,2016-09-05T23:05:42Z,VDA9042,"46.879829,142.719788",0,14,182
1473116733,2016-09-05T23:05:33Z,VDA9042,"46.879745,142.719467",0,19,182
1473116726,2016-09-05T23:05:26Z,VDA9042,"46.879673,142.719162",0,20,182
1473116716,2016-09-05T23:05:16Z,VDA9042,"46.879543,142.718704",0,18,182
1473116709,2016-09-05T23:05:09Z,VDA9042,"46.879467,142.718369",0,18,182
1473116702,2016-09-05T23:05:02Z,VDA9042,"46.879417,142.718109",0,19,182
1473116696,2016-09-05T23:04:56Z,VDA9042,"46.879429,142.717758",0,20,182
1473116683,2016-09-05T23:04:43Z,VDA9042,"46.879768,142.717316",0,22,182
1473116677,2016-09-05T23:04:37Z,VDA9042,"46.880104,142.717316",0,34,182
1473116668,2016-09-05T23:04:28Z,VDA9042,"46.880898,142.717331",0,21,180
1473116655,2016-09-05T23:04:15Z,VDA9042,"46.882256,142.717361",0,25,180
1473116648,2016-09-05T23:04:08Z,VDA9042,"46.88306,142.717392",0,25,180
1473116642,2016-09-05T23:04:02Z,VDA9042,"46.883915,142.717407",0,25,180
1473116635,2016-09-05T23:03:55Z,VDA9042,"46.884716,142.717407",0,24,180
1473116629,2016-09-05T23:03:49Z,VDA9042,"46.885586,142.717438",0,24,180
1473116621,2016-09-05T23:03:41Z,VDA9042,"46.88625,142.717453",0,24,180
1473116614,2016-09-05T23:03:34Z,VDA9042,"46.887264,142.717468",0,24,182
1473116608,2016-09-05T23:03:28Z,VDA9042,"46.887718,142.717484",0,24,180
1473116601,2016-09-05T23:03:21Z,VDA9042,"46.888485,142.717514",0,24,180
1473116591,2016-09-05T23:03:11Z,VDA9042,"46.88966,142.717545",0,24,180
1473116585,2016-09-05T23:03:05Z,VDA9042,"46.890369,142.71756",0,23,180
1473116574,2016-09-05T23:02:54Z,VDA9042,"46.891422,142.71759",0,22,180
1473116568,2016-09-05T23:02:48Z,VDA9042,"46.892117,142.71759",0,22,180
1473116561,2016-09-05T23:02:41Z,VDA9042,"46.892841,142.717621",0,21,180
1473116548,2016-09-05T23:02:28Z,VDA9042,"46.89407,142.717651",0,19,180
1473116541,2016-09-05T23:02:21Z,VDA9042,"46.894642,142.717651",0,18,182
1473116535,2016-09-05T23:02:15Z,VDA9042,"46.895187,142.717667",0,18,182
1473116522,2016-09-05T23:02:02Z,VDA9042,"46.896328,142.717697",0,19,180
1473116516,2016-09-05T23:01:56Z,VDA9042,"46.896915,142.717728",0,19,180
1473116509,2016-09-05T23:01:49Z,VDA9042,"46.897476,142.717743",0,19,180
1473116502,2016-09-05T23:01:42Z,VDA9042,"46.89806,142.717743",0,18,180
1473116496,2016-09-05T23:01:36Z,VDA9042,"46.898632,142.717758",0,17,180
1473116489,2016-09-05T23:01:29Z,VDA9042,"46.899132,142.717773",0,15,351
1473116482,2016-09-05T23:01:22Z,VDA9042,"46.899559,142.717789",0,29,351
1473116476,2016-09-05T23:01:16Z,VDA9042,"46.899868,142.71785",0,21,351
1473116466,2016-09-05T23:01:06Z,VDA9042,"46.900146,142.717987",0,15,351
1473116450,2016-09-05T23:00:50Z,VDA9042,"46.900379,142.71817",0,9,351
1473116430,2016-09-05T23:00:30Z,VDA9042,"46.900589,142.718109",0,10,351
1473116413,2016-09-05T23:00:13Z,VDA9042,"46.900658,142.717896",0,10,351
1473116401,2016-09-05T23:00:01Z,VDA9042,"46.900578,142.717667",0,14,351
1473116392,2016-09-05T22:59:52Z,VDA9042,"46.900311,142.717667",0,23,351
1473116380,2016-09-05T22:59:40Z,VDA9042,"46.899597,142.717773",0,17,351
1473116373,2016-09-05T22:59:33Z,VDA9042,"46.898712,142.717773",0,31,2
1473116366,2016-09-05T22:59:26Z,VDA9042,"46.897739,142.717743",0,30,359
1473116359,2016-09-05T22:59:19Z,VDA9042,"46.896793,142.717758",0,30,1
1473116352,2016-09-05T22:59:12Z,VDA9042,"46.89584,142.717728",0,31,2
1473116340,2016-09-05T22:59:00Z,VDA9042,"46.89402,142.717636",0,31,2
1473116330,2016-09-05T22:58:50Z,VDA9042,"46.892498,142.717636",0,34,2
1473116324,2016-09-05T22:58:44Z,VDA9042,"46.891407,142.717621",0,38,1
1473116317,2016-09-05T22:58:37Z,VDA9042,"46.890182,142.717575",0,43,1
1473116310,2016-09-05T22:58:30Z,VDA9042,"46.888531,142.717545",0,54,2
1473116302,2016-09-05T22:58:22Z,VDA9042,"46.885948,142.717453",0,88,1
1473116294,2016-09-05T22:58:14Z,VDA9042,"46.882248,142.717392",0,110,1
1473116287,2016-09-05T22:58:07Z,VDA9042,"46.878616,142.717255",0,130,1
1473116281,2016-09-05T22:58:01Z,VDA9042,"46.874405,142.717133",50,146,1
1473116274,2016-09-05T22:57:54Z,VDA9042,"46.869873,142.71701",125,151,1
1473116268,2016-09-05T22:57:48Z,VDA9042,"46.865479,142.716888",200,153,1
1473116261,2016-09-05T22:57:41Z,VDA9042,"46.86058,142.716827",300,156,1
1473116254,2016-09-05T22:57:34Z,VDA9042,"46.855911,142.716827",375,155,1
1473116248,2016-09-05T22:57:28Z,VDA9042,"46.851151,142.716797",450,152,1
1473116241,2016-09-05T22:57:21Z,VDA9042,"46.846401,142.716583",525,150,1
1473116235,2016-09-05T22:57:15Z,VDA9042,"46.84198,142.716385",600,149,1
1473116228,2016-09-05T22:57:08Z,VDA9042,"46.83765,142.71611",700,150,1
1473116222,2016-09-05T22:57:02Z,VDA9042,"46.83316,142.715958",775,151,1
1473116216,2016-09-05T22:56:56Z,VDA9042,"46.828812,142.715759",850,148,1
1473116196,2016-09-05T22:56:36Z,VDA9042,"46.815582,142.715912",1025,144,1
1473116190,2016-09-05T22:56:30Z,VDA9042,"46.811554,142.71582",1075,143,2
1473116183,2016-09-05T22:56:23Z,VDA9042,"46.807068,142.715424",1125,143,3
1473116177,2016-09-05T22:56:17Z,VDA9042,"46.802921,142.715149",1200,144,1
1473116152,2016-09-05T22:55:52Z,VDA9042,"46.785828,142.715088",1525,153,1
1473116146,2016-09-05T22:55:46Z,VDA9042,"46.781136,142.715012",1600,154,1
1473116139,2016-09-05T22:55:39Z,VDA9042,"46.776672,142.714874",1675,156,1
1473116132,2016-09-05T22:55:32Z,VDA9042,"46.771683,142.714676",1775,159,1
1473116126,2016-09-05T22:55:26Z,VDA9042,"46.766876,142.714539",1875,161,1
1473116119,2016-09-05T22:55:19Z,VDA9042,"46.761841,142.714539",1975,163,1
1473116113,2016-09-05T22:55:13Z,VDA9042,"46.756741,142.714462",2100,163,1
1473116106,2016-09-05T22:55:06Z,VDA9042,"46.7519,142.714264",2175,164,1
1473116084,2016-09-05T22:54:44Z,VDA9042,"46.734211,142.71344",2275,180,359
1473116062,2016-09-05T22:54:22Z,VDA9042,"46.714096,142.713074",2250,206,359
1473116055,2016-09-05T22:54:15Z,VDA9042,"46.707596,142.713135",2250,206,359
1473116049,2016-09-05T22:54:09Z,VDA9042,"46.701672,142.713226",2225,206,358
