Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1473346077,2016-09-08T14:47:57Z,VDA9044,"55.010281,82.651085",0,10,84
1473346058,2016-09-08T14:47:38Z,VDA9044,"55.009964,82.651146",0,14,84
1473346051,2016-09-08T14:47:31Z,VDA9044,"55.009758,82.651215",0,21,84
1473346045,2016-09-08T14:47:25Z,VDA9044,"55.009533,82.651291",0,19,84
1473346039,2016-09-08T14:47:19Z,VDA9044,"55.009323,82.651329",0,19,84
1473346027,2016-09-08T14:47:07Z,VDA9044,"55.008942,82.651398",0,17,84
1473346015,2016-09-08T14:46:55Z,VDA9044,"55.008762,82.651077",0,13,84
1473346005,2016-09-08T14:46:45Z,VDA9044,"55.008743,82.650749",0,16,84
1473345995,2016-09-08T14:46:35Z,VDA9044,"55.008717,82.650307",0,17,84
1473345989,2016-09-08T14:46:29Z,VDA9044,"55.008717,82.649986",0,18,84
1473345983,2016-09-08T14:46:23Z,VDA9044,"55.008766,82.649651",0,19,84
1473345977,2016-09-08T14:46:17Z,VDA9044,"55.008808,82.6493",0,21,84
1473345971,2016-09-08T14:46:11Z,VDA9044,"55.008854,82.648918",0,20,84
1473345964,2016-09-08T14:46:04Z,VDA9044,"55.008907,82.648506",0,20,84
1473345958,2016-09-08T14:45:58Z,VDA9044,"55.008934,82.648125",0,20,84
1473345952,2016-09-08T14:45:52Z,VDA9044,"55.008991,82.647781",0,20,84
1473345946,2016-09-08T14:45:46Z,VDA9044,"55.009045,82.647423",0,21,84
1473345939,2016-09-08T14:45:39Z,VDA9044,"55.009102,82.647026",0,19,84
1473345933,2016-09-08T14:45:33Z,VDA9044,"55.00914,82.646751",0,14,84
1473345711,2016-09-08T14:41:51Z,VDA9044,"55.009174,82.646515",0,0,84
1473345657,2016-09-08T14:40:57Z,VDA9044,"55.009197,82.64637",0,14,84
1473345651,2016-09-08T14:40:51Z,VDA9044,"55.009232,82.646111",0,21,84
1473345645,2016-09-08T14:40:45Z,VDA9044,"55.0093,82.645584",0,28,84
1473345638,2016-09-08T14:40:38Z,VDA9044,"55.009369,82.645035",0,27,84
1473345629,2016-09-08T14:40:29Z,VDA9044,"55.009464,82.644257",0,25,84
1473345623,2016-09-08T14:40:23Z,VDA9044,"55.009529,82.643768",0,23,84
1473345616,2016-09-08T14:40:16Z,VDA9044,"55.009594,82.643303",0,22,84
1473345610,2016-09-08T14:40:10Z,VDA9044,"55.009644,82.642899",0,21,84
1473345490,2016-09-08T14:38:10Z,VDA9044,"55.010742,82.631584",0,35,81
1473345263,2016-09-08T14:34:23Z,VDA9044,"55.021179,82.745064",1225,155,257
1473345253,2016-09-08T14:34:13Z,VDA9044,"55.02293,82.758675",1400,160,258
1473345247,2016-09-08T14:34:07Z,VDA9044,"55.023628,82.764755",1450,160,255
1473345219,2016-09-08T14:33:39Z,VDA9044,"55.0294,82.799377",2075,158,264
1473345206,2016-09-08T14:33:26Z,VDA9044,"55.031075,82.817024",2175,165,239
1473345185,2016-09-08T14:33:05Z,VDA9044,"55.043381,82.829559",2225,146,179
1473345179,2016-09-08T14:32:59Z,VDA9044,"55.047363,82.829399",2200,144,178
1473345173,2016-09-08T14:32:53Z,VDA9044,"55.051437,82.829239",2175,143,177
1473345166,2016-09-08T14:32:46Z,VDA9044,"55.055748,82.828674",2150,141,175
1473345160,2016-09-08T14:32:40Z,VDA9044,"55.059658,82.828255",2125,139,177
1473345153,2016-09-08T14:32:33Z,VDA9044,"55.063431,82.827927",2125,137,177
1473345147,2016-09-08T14:32:27Z,VDA9044,"55.067295,82.827591",2075,136,177
1473345126,2016-09-08T14:32:06Z,VDA9044,"55.081055,82.826172",2175,139,180
1473345116,2016-09-08T14:31:56Z,VDA9044,"55.087189,82.826897",2375,139,184
1473345110,2016-09-08T14:31:50Z,VDA9044,"55.091129,82.826927",2500,138,171
1473345104,2016-09-08T14:31:44Z,VDA9044,"55.095016,82.825279",2625,138,159
1473345098,2016-09-08T14:31:38Z,VDA9044,"55.098541,82.822372",2700,141,148
1473345092,2016-09-08T14:31:32Z,VDA9044,"55.102066,82.818253",2750,145,144
1473345085,2016-09-08T14:31:25Z,VDA9044,"55.105499,82.814056",2750,149,144
1473345077,2016-09-08T14:31:17Z,VDA9044,"55.110775,82.807281",2775,153,143
1473345070,2016-09-08T14:31:10Z,VDA9044,"55.114288,82.802742",2800,155,143
1473345064,2016-09-08T14:31:04Z,VDA9044,"55.117859,82.798218",2850,156,144
1473345058,2016-09-08T14:30:58Z,VDA9044,"55.121479,82.793716",2875,157,145
1473345052,2016-09-08T14:30:52Z,VDA9044,"55.125092,82.789337",2850,160,145
1473345045,2016-09-08T14:30:45Z,VDA9044,"55.129074,82.784409",2775,172,144
1473345039,2016-09-08T14:30:39Z,VDA9044,"55.133118,82.779236",2750,178,143
1473345033,2016-09-08T14:30:33Z,VDA9044,"55.137268,82.773903",2725,179,143
1473345024,2016-09-08T14:30:24Z,VDA9044,"55.143585,82.765747",2800,176,144
1473345018,2016-09-08T14:30:18Z,VDA9044,"55.14743,82.760979",2900,177,144
1473345011,2016-09-08T14:30:11Z,VDA9044,"55.151554,82.755768",3050,176,143
1473345005,2016-09-08T14:30:05Z,VDA9044,"55.155697,82.750435",3175,177,142
1473344999,2016-09-08T14:29:59Z,VDA9044,"55.15942,82.744865",3275,178,136
1473344993,2016-09-08T14:29:53Z,VDA9044,"55.163315,82.737877",3425,180,132
1473344987,2016-09-08T14:29:47Z,VDA9044,"55.166592,82.731712",3525,181,133
1473344981,2016-09-08T14:29:41Z,VDA9044,"55.170227,82.724953",3675,181,133
1473344975,2016-09-08T14:29:35Z,VDA9044,"55.173759,82.718391",3775,182,133
1473344969,2016-09-08T14:29:29Z,VDA9044,"55.177296,82.711906",3800,187,133
1473344962,2016-09-08T14:29:22Z,VDA9044,"55.181114,82.704659",3825,189,132
1473344956,2016-09-08T14:29:16Z,VDA9044,"55.184746,82.697838",3800,192,132
1473344950,2016-09-08T14:29:10Z,VDA9044,"55.188328,82.690926",3800,194,132
1473344944,2016-09-08T14:29:04Z,VDA9044,"55.192009,82.683937",3800,194,132
1473344938,2016-09-08T14:28:58Z,VDA9044,"55.195686,82.676865",3850,194,132
1473344932,2016-09-08T14:28:52Z,VDA9044,"55.199387,82.669861",3975,192,132
1473344925,2016-09-08T14:28:45Z,VDA9044,"55.203461,82.662216",4150,192,132
