Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1474311723,2016-09-19T19:02:03Z,VDA2573,"29.999371,-95.311661",0,9,90
1474311702,2016-09-19T19:01:42Z,VDA2573,"29.999096,-95.311661",0,15,90
1474311692,2016-09-19T19:01:32Z,VDA2573,"29.998661,-95.31163",0,25,90
1474311667,2016-09-19T19:01:07Z,VDA2573,"29.998535,-95.312607",0,25,90
1474311658,2016-09-19T19:00:58Z,VDA2573,"29.99896,-95.312767",0,25,90
1474311647,2016-09-19T19:00:47Z,VDA2573,"29.999542,-95.312767",0,28,90
1474311631,2016-09-19T19:00:31Z,VDA2573,"30.00024,-95.312767",0,23,90
1474311616,2016-09-19T19:00:16Z,VDA2573,"30.000856,-95.31292",0,23,90
1474311596,2016-09-19T18:59:56Z,VDA2573,"30.000927,-95.314423",0,18,90
1474311581,2016-09-19T18:59:41Z,VDA2573,"30.000927,-95.315521",0,18,90
1474311571,2016-09-19T18:59:31Z,VDA2573,"30.000927,-95.316597",0,17,90
1474311565,2016-09-19T18:59:25Z,VDA2573,"30.000927,-95.317398",0,20,90
1474311540,2016-09-19T18:59:00Z,VDA2573,"30.000927,-95.319969",0,21,90
1474311495,2016-09-19T18:58:15Z,VDA2573,"30.000916,-95.324699",0,34,129
1474311485,2016-09-19T18:58:05Z,VDA2573,"30.000996,-95.325302",0,34,129
1474311475,2016-09-19T18:57:55Z,VDA2573,"30.001335,-95.32579",0,15,129
1474311464,2016-09-19T18:57:44Z,VDA2573,"30.002184,-95.326965",0,23,129
1474311454,2016-09-19T18:57:34Z,VDA2573,"30.002575,-95.327507",0,22,129
1474311434,2016-09-19T18:57:14Z,VDA2573,"30.003954,-95.329369",0,20,129
1474311298,2016-09-19T18:54:58Z,VDA2573,"30.005547,-95.345345",0,22,90
1474311054,2016-09-19T18:50:54Z,VDA2573,"30.007246,-95.312271",325,152,270
1474311044,2016-09-19T18:50:44Z,VDA2573,"30.007187,-95.303543",450,159,270
1474311034,2016-09-19T18:50:34Z,VDA2573,"30.007141,-95.295036",575,163,270
1474311024,2016-09-19T18:50:24Z,VDA2573,"30.007107,-95.286346",725,167,269
1474311014,2016-09-19T18:50:14Z,VDA2573,"30.007187,-95.27742",925,170,269
1474311004,2016-09-19T18:50:04Z,VDA2573,"30.00737,-95.267349",1125,171,268
1474310994,2016-09-19T18:49:54Z,VDA2573,"30.007507,-95.258789",1300,172,269
1474310983,2016-09-19T18:49:43Z,VDA2573,"30.00737,-95.249794",1525,167,271
1474310974,2016-09-19T18:49:34Z,VDA2573,"30.007246,-95.240532",1825,159,270
1474310958,2016-09-19T18:49:18Z,VDA2573,"30.0072,-95.228447",2175,151,269
1474310948,2016-09-19T18:49:08Z,VDA2573,"30.007246,-95.219986",2150,162,269
1474310924,2016-09-19T18:48:44Z,VDA2573,"30.00769,-95.196693",2325,176,270
1474310918,2016-09-19T18:48:38Z,VDA2573,"30.00769,-95.19136",2425,178,270
1474310908,2016-09-19T18:48:28Z,VDA2573,"30.007479,-95.18071",2625,183,272
1474310898,2016-09-19T18:48:18Z,VDA2573,"30.007107,-95.17247",2750,188,272
1474310888,2016-09-19T18:48:08Z,VDA2573,"30.006641,-95.161819",2900,196,271
1474310878,2016-09-19T18:47:58Z,VDA2573,"30.006409,-95.150543",2975,202,270
1474310872,2016-09-19T18:47:52Z,VDA2573,"30.006409,-95.14418",3000,205,269
1474310818,2016-09-19T18:46:58Z,VDA2573,"30.008968,-95.086174",2950,207,270
1474310812,2016-09-19T18:46:52Z,VDA2573,"30.008835,-95.079292",2950,207,272
1474310806,2016-09-19T18:46:46Z,VDA2573,"30.008457,-95.072441",2950,212,277
1474310800,2016-09-19T18:46:40Z,VDA2573,"30.00762,-95.063492",2975,212,277
1474310794,2016-09-19T18:46:34Z,VDA2573,"30.007095,-95.059151",3000,213,278
1474310788,2016-09-19T18:46:28Z,VDA2573,"30.006226,-95.052849",3025,215,278
