Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1476294224,2016-10-12T17:43:44Z,VDA2632,"50.416668,-48.016666",0,470,70
1476293861,2016-10-12T17:37:41Z,VDA2632,"50.155846,-49.151833",27800,430,68
1476293801,2016-10-12T17:36:41Z,VDA2632,"50.11478,-49.329575",27200,420,72
1476293736,2016-10-12T17:35:36Z,VDA2632,"50.080147,-49.499588",27100,430,64
1476293679,2016-10-12T17:34:39Z,VDA2632,"50.048584,-49.652187",26700,430,72
1476293576,2016-10-12T17:32:56Z,VDA2632,"50.004692,-49.928928",26025,426,67
1476293522,2016-10-12T17:32:02Z,VDA2632,"49.96973,-50.078503",25400,432,70
1476293434,2016-10-12T17:30:34Z,VDA2632,"49.865852,-50.359062",24600,420,72
1476293375,2016-10-12T17:29:35Z,VDA2632,"49.835239,-50.51479",24100,420,70
1476293308,2016-10-12T17:28:28Z,VDA2632,"49.803116,-50.684364",23600,420,72
1476293249,2016-10-12T17:27:29Z,VDA2632,"49.775364,-50.856831",23100,420,68
1476293175,2016-10-12T17:26:15Z,VDA2632,"49.737202,-51.072544",22575,420,69
1476293114,2016-10-12T17:25:14Z,VDA2632,"49.696884,-51.242691",22150,415,70
1476293051,2016-10-12T17:24:11Z,VDA2632,"49.6549,-51.418541",21700,409,70
1476292988,2016-10-12T17:23:08Z,VDA2632,"49.613892,-51.58876",21175,405,69
1476292927,2016-10-12T17:22:07Z,VDA2632,"49.574223,-51.752064",20600,401,69
1476292864,2016-10-12T17:21:04Z,VDA2632,"49.532558,-51.922798",19850,400,69
1476292803,2016-10-12T17:20:03Z,VDA2632,"49.493454,-52.082569",19225,396,69
1476292740,2016-10-12T17:19:00Z,VDA2632,"49.452301,-52.248375",18600,391,68
1476292653,2016-10-12T17:17:33Z,VDA2632,"49.39357,-52.483589",17375,388,68
1476292608,2016-10-12T17:16:48Z,VDA2632,"49.364738,-52.598782",16800,387,68
1476292573,2016-10-12T17:16:13Z,VDA2632,"49.342621,-52.68557",16350,386,68
1476292533,2016-10-12T17:15:33Z,VDA2632,"49.318039,-52.781982",15725,385,68
1476292498,2016-10-12T17:14:58Z,VDA2632,"49.294395,-52.87257",15325,379,68
1476292463,2016-10-12T17:14:23Z,VDA2632,"49.272564,-52.956631",14875,376,67
1476292428,2016-10-12T17:13:48Z,VDA2632,"49.249786,-53.044598",14425,371,68
1476292393,2016-10-12T17:13:13Z,VDA2632,"49.227631,-53.129742",13800,371,68
1476292358,2016-10-12T17:12:38Z,VDA2632,"49.205658,-53.214043",13250,369,67
1476292323,2016-10-12T17:12:03Z,VDA2632,"49.183319,-53.298904",12675,366,68
1476292288,2016-10-12T17:11:28Z,VDA2632,"49.161491,-53.38134",12200,359,68
1476292273,2016-10-12T17:11:13Z,VDA2632,"49.151623,-53.419067",11925,358,68
1476292258,2016-10-12T17:10:58Z,VDA2632,"49.142872,-53.452026",11700,357,67
1476292243,2016-10-12T17:10:43Z,VDA2632,"49.132862,-53.489105",11475,354,67
1476292228,2016-10-12T17:10:28Z,VDA2632,"49.123177,-53.525463",11250,352,68
1476292213,2016-10-12T17:10:13Z,VDA2632,"49.115078,-53.556469",11100,349,68
1476292198,2016-10-12T17:09:58Z,VDA2632,"49.106186,-53.589619",10925,346,67
1476292183,2016-10-12T17:09:43Z,VDA2632,"49.096436,-53.625748",10625,344,67
1476292168,2016-10-12T17:09:28Z,VDA2632,"49.087475,-53.658817",10375,344,67
1476292153,2016-10-12T17:09:13Z,VDA2632,"49.078533,-53.691704",10075,345,67
1476292138,2016-10-12T17:08:58Z,VDA2632,"49.069225,-53.725964",9800,343,67
1476292123,2016-10-12T17:08:43Z,VDA2632,"49.060181,-53.759415",9550,341,67
1476292108,2016-10-12T17:08:28Z,VDA2632,"49.051022,-53.792603",9275,339,67
1476292093,2016-10-12T17:08:13Z,VDA2632,"49.042099,-53.82505",9050,338,67
1476292078,2016-10-12T17:07:58Z,VDA2632,"49.032589,-53.860474",8775,335,67
1476292063,2016-10-12T17:07:43Z,VDA2632,"49.023418,-53.894444",8475,334,67
1476292048,2016-10-12T17:07:28Z,VDA2632,"49.015549,-53.923283",8250,330,67
1476292033,2016-10-12T17:07:13Z,VDA2632,"49.006348,-53.957237",7925,330,67
1476292018,2016-10-12T17:06:58Z,VDA2632,"48.998245,-53.987591",7600,331,67
1476292003,2016-10-12T17:06:43Z,VDA2632,"48.989273,-54.020691",7375,327,67
1476291988,2016-10-12T17:06:28Z,VDA2632,"48.980804,-54.052101",7125,324,67
1476291973,2016-10-12T17:06:13Z,VDA2632,"48.972198,-54.084637",6825,324,68
1476291958,2016-10-12T17:05:58Z,VDA2632,"48.96405,-54.115063",6550,322,67
1476291943,2016-10-12T17:05:43Z,VDA2632,"48.955402,-54.146694",6325,317,67
1476291928,2016-10-12T17:05:28Z,VDA2632,"48.94698,-54.177486",6000,316,68
1476291913,2016-10-12T17:05:13Z,VDA2632,"48.938873,-54.209221",5675,315,69
1476291898,2016-10-12T17:04:58Z,VDA2632,"48.931149,-54.239357",5375,313,68
1476291883,2016-10-12T17:04:43Z,VDA2632,"48.923004,-54.269497",5000,312,67
1476291873,2016-10-12T17:04:33Z,VDA2632,"48.917187,-54.290821",4750,312,67
1476291863,2016-10-12T17:04:23Z,VDA2632,"48.911453,-54.31197",4575,309,67
1476291853,2016-10-12T17:04:13Z,VDA2632,"48.905781,-54.332596",4425,306,67
1476291843,2016-10-12T17:04:03Z,VDA2632,"48.900986,-54.350086",4325,298,67
1476291833,2016-10-12T17:03:53Z,VDA2632,"48.895817,-54.368809",4150,286,67
1476291823,2016-10-12T17:03:43Z,VDA2632,"48.890743,-54.387383",3975,275,67
1476291813,2016-10-12T17:03:33Z,VDA2632,"48.88591,-54.405285",3750,265,67
1476291803,2016-10-12T17:03:23Z,VDA2632,"48.881153,-54.423233",3475,257,67
1476291793,2016-10-12T17:03:13Z,VDA2632,"48.876846,-54.439014",3350,250,66
1476291783,2016-10-12T17:03:03Z,VDA2632,"48.872215,-54.455036",3175,239,66
1476291773,2016-10-12T17:02:53Z,VDA2632,"48.867886,-54.469494",3000,231,64
1476291763,2016-10-12T17:02:43Z,VDA2632,"48.862885,-54.485214",2900,219,64
1476291753,2016-10-12T17:02:33Z,VDA2632,"48.85918,-54.497681",2800,210,68
1476291743,2016-10-12T17:02:23Z,VDA2632,"48.855923,-54.511921",2700,199,75
1476291719,2016-10-12T17:01:59Z,VDA2632,"48.853088,-54.545994",2150,195,106
1476291713,2016-10-12T17:01:53Z,VDA2632,"48.85437,-54.552685",2100,192,113
1476291703,2016-10-12T17:01:43Z,VDA2632,"48.859085,-54.564445",2000,182,131
1476291693,2016-10-12T17:01:33Z,VDA2632,"48.864944,-54.57177",1850,176,151
1476291683,2016-10-12T17:01:23Z,VDA2632,"48.872406,-54.576065",1625,174,169
1476291673,2016-10-12T17:01:13Z,VDA2632,"48.880783,-54.576767",1425,168,184
1476291663,2016-10-12T17:01:03Z,VDA2632,"48.888382,-54.575432",1225,165,187
1476291653,2016-10-12T17:00:53Z,VDA2632,"48.895538,-54.573933",1000,165,188
1476291643,2016-10-12T17:00:43Z,VDA2632,"48.903267,-54.572201",650,169,188
1476291633,2016-10-12T17:00:33Z,VDA2632,"48.911411,-54.570103",325,174,189
1476291623,2016-10-12T17:00:23Z,VDA2632,"48.92091,-54.567574",50,170,190
1476291600,2016-10-12T17:00:00Z,VDA2632,"48.935623,-54.563351",0,120,191
1476291594,2016-10-12T16:59:54Z,VDA2632,"48.939365,-54.562279",0,100,191
1476291588,2016-10-12T16:59:48Z,VDA2632,"48.941517,-54.561661",0,82,191
1476291582,2016-10-12T16:59:42Z,VDA2632,"48.943336,-54.561142",0,65,191
1476291576,2016-10-12T16:59:36Z,VDA2632,"48.945213,-54.560589",0,37,191
1476291569,2016-10-12T16:59:29Z,VDA2632,"48.945877,-54.560394",0,24,191
1476291563,2016-10-12T16:59:23Z,VDA2632,"48.946392,-54.560234",0,25,190
1476291216,2016-10-12T16:53:36Z,VDA2632,"48.946644,-54.560165",0,16,106
1476291200,2016-10-12T16:53:20Z,VDA2632,"48.947117,-54.559986",0,20,106
1476291188,2016-10-12T16:53:08Z,VDA2632,"48.947617,-54.55999",0,23,106
1476291182,2016-10-12T16:53:02Z,VDA2632,"48.9478,-54.560341",0,23,106
1476291176,2016-10-12T16:52:56Z,VDA2632,"48.947861,-54.560616",0,26,106
1476291170,2016-10-12T16:52:50Z,VDA2632,"48.947983,-54.561169",0,29,106
1476291163,2016-10-12T16:52:43Z,VDA2632,"48.948082,-54.56163",0,30,106
1476291157,2016-10-12T16:52:37Z,VDA2632,"48.948223,-54.562279",0,31,106
1476291144,2016-10-12T16:52:24Z,VDA2632,"48.948463,-54.563423",0,17,106
1476291135,2016-10-12T16:52:15Z,VDA2632,"48.948692,-54.564445",0,15,109
1476291129,2016-10-12T16:52:09Z,VDA2632,"48.948807,-54.565025",0,33,107
1476291120,2016-10-12T16:52:00Z,VDA2632,"48.94899,-54.565895",0,31,111
1476291114,2016-10-12T16:51:54Z,VDA2632,"48.949097,-54.566364",0,29,109
1476291099,2016-10-12T16:51:39Z,VDA2632,"48.949368,-54.567543",0,25,118
1476291092,2016-10-12T16:51:32Z,VDA2632,"48.949482,-54.567898",0,24,105
1476291086,2016-10-12T16:51:26Z,VDA2632,"48.949516,-54.568371",0,22,76
1476291078,2016-10-12T16:51:18Z,VDA2632,"48.949356,-54.568722",0,21,26
1476291071,2016-10-12T16:51:11Z,VDA2632,"48.94915,-54.568863",0,23,14
1476291065,2016-10-12T16:51:05Z,VDA2632,"48.948818,-54.569019",0,24,18
1476291059,2016-10-12T16:50:59Z,VDA2632,"48.948601,-54.569126",0,24,20
1476291053,2016-10-12T16:50:53Z,VDA2632,"48.948372,-54.569252",0,24,14
1476291047,2016-10-12T16:50:47Z,VDA2632,"48.948109,-54.569374",0,25,17
1476291038,2016-10-12T16:50:38Z,VDA2632,"48.947666,-54.56958",0,24,18
1476291028,2016-10-12T16:50:28Z,VDA2632,"48.94735,-54.569759",0,20,43
1476291022,2016-10-12T16:50:22Z,VDA2632,"48.947224,-54.57003",0,19,78
1476291016,2016-10-12T16:50:16Z,VDA2632,"48.947182,-54.570324",0,18,83
