Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1476305984,2016-10-12T20:59:44Z,VDA2632,"52.680862,-8.96965",275,144,52
1476305977,2016-10-12T20:59:37Z,VDA2632,"52.678326,-8.975045",350,144,52
1476305971,2016-10-12T20:59:31Z,VDA2632,"52.676102,-8.979721",425,144,52
1476305965,2016-10-12T20:59:25Z,VDA2632,"52.673393,-8.985482",525,144,51
1476305959,2016-10-12T20:59:19Z,VDA2632,"52.670883,-8.990555",600,143,50
1476305952,2016-10-12T20:59:12Z,VDA2632,"52.668179,-8.996155",700,143,52
1476305946,2016-10-12T20:59:06Z,VDA2632,"52.665665,-9.001541",800,143,53
1476305940,2016-10-12T20:59:00Z,VDA2632,"52.663147,-9.007111",900,143,53
1476305934,2016-10-12T20:58:54Z,VDA2632,"52.660683,-9.012556",975,145,52
1476305928,2016-10-12T20:58:48Z,VDA2632,"52.658112,-9.018021",1050,145,51
1476305922,2016-10-12T20:58:42Z,VDA2632,"52.655701,-9.022993",1125,145,50
1476305915,2016-10-12T20:58:35Z,VDA2632,"52.653095,-9.028251",1200,144,51
1476305909,2016-10-12T20:58:29Z,VDA2632,"52.650558,-9.033508",1250,143,52
1476305903,2016-10-12T20:58:23Z,VDA2632,"52.647766,-9.039459",1325,144,52
1476305897,2016-10-12T20:58:17Z,VDA2632,"52.645432,-9.044342",1400,144,52
1476305891,2016-10-12T20:58:11Z,VDA2632,"52.642776,-9.049911",1475,143,51
1476305885,2016-10-12T20:58:05Z,VDA2632,"52.64035,-9.055023",1550,145,53
1476305839,2016-10-12T20:57:19Z,VDA2632,"52.621536,-9.096069",2350,145,53
1476305829,2016-10-12T20:57:09Z,VDA2632,"52.617966,-9.103851",2475,146,53
1476305823,2016-10-12T20:57:03Z,VDA2632,"52.61525,-9.109785",2575,147,52
1476305816,2016-10-12T20:56:56Z,VDA2632,"52.612656,-9.115295",2650,147,51
1476305810,2016-10-12T20:56:50Z,VDA2632,"52.609726,-9.121246",2725,147,50
1476305802,2016-10-12T20:56:42Z,VDA2632,"52.605331,-9.129944",2750,148,50
1476305794,2016-10-12T20:56:34Z,VDA2632,"52.602585,-9.13521",2800,146,49
1476305788,2016-10-12T20:56:28Z,VDA2632,"52.599609,-9.140854",2825,146,49
1476305782,2016-10-12T20:56:22Z,VDA2632,"52.596725,-9.146576",2850,147,50
1476305775,2016-10-12T20:56:15Z,VDA2632,"52.594254,-9.151611",2850,148,51
1476305768,2016-10-12T20:56:08Z,VDA2632,"52.591599,-9.157104",2875,149,53
1476305758,2016-10-12T20:55:58Z,VDA2632,"52.587456,-9.166835",2900,152,57
1476305752,2016-10-12T20:55:52Z,VDA2632,"52.585037,-9.173192",2900,152,58
1476305745,2016-10-12T20:55:45Z,VDA2632,"52.582848,-9.179235",2900,151,59
1476305739,2016-10-12T20:55:39Z,VDA2632,"52.579651,-9.188156",2900,152,60
1476305730,2016-10-12T20:55:30Z,VDA2632,"52.577263,-9.195243",2900,152,62
1476305723,2016-10-12T20:55:23Z,VDA2632,"52.574608,-9.203404",2900,151,62
1476305717,2016-10-12T20:55:17Z,VDA2632,"52.573116,-9.208269",2925,150,63
1476305711,2016-10-12T20:55:11Z,VDA2632,"52.571091,-9.215088",2900,151,65
1476305705,2016-10-12T20:55:05Z,VDA2632,"52.569489,-9.221649",2900,149,75
1476305698,2016-10-12T20:54:58Z,VDA2632,"52.568741,-9.228594",2900,148,89
1476305692,2016-10-12T20:54:52Z,VDA2632,"52.568985,-9.235535",2875,148,100
1476305686,2016-10-12T20:54:46Z,VDA2632,"52.570278,-9.243033",2900,147,115
1476305679,2016-10-12T20:54:39Z,VDA2632,"52.572884,-9.249782",2875,148,127
1476305672,2016-10-12T20:54:32Z,VDA2632,"52.575394,-9.25499",2875,147,128
1476305666,2016-10-12T20:54:26Z,VDA2632,"52.578285,-9.260768",2850,147,129
1476305659,2016-10-12T20:54:19Z,VDA2632,"52.580887,-9.266052",2850,145,128
1476305651,2016-10-12T20:54:11Z,VDA2632,"52.584778,-9.274216",2800,145,127
1476305644,2016-10-12T20:54:04Z,VDA2632,"52.587387,-9.279861",2800,147,127
1476305638,2016-10-12T20:53:58Z,VDA2632,"52.58997,-9.285409",2800,149,127
1476305628,2016-10-12T20:53:48Z,VDA2632,"52.59407,-9.2939",2850,153,128
1476305621,2016-10-12T20:53:41Z,VDA2632,"52.597046,-9.300005",2875,158,128
1476305615,2016-10-12T20:53:35Z,VDA2632,"52.599884,-9.305954",2850,168,128
1476305609,2016-10-12T20:53:29Z,VDA2632,"52.603317,-9.313049",2775,179,128
1476305603,2016-10-12T20:53:23Z,VDA2632,"52.606613,-9.320068",2800,185,127
1476305597,2016-10-12T20:53:17Z,VDA2632,"52.609707,-9.326608",2875,186,127
1476305590,2016-10-12T20:53:10Z,VDA2632,"52.613106,-9.333749",2950,185,127
1476305583,2016-10-12T20:53:03Z,VDA2632,"52.616364,-9.340591",3025,185,127
1476305577,2016-10-12T20:52:57Z,VDA2632,"52.620415,-9.349287",3150,186,127
1476305569,2016-10-12T20:52:49Z,VDA2632,"52.623962,-9.356842",3275,187,127
1476305563,2016-10-12T20:52:43Z,VDA2632,"52.627579,-9.364395",3375,188,128
1476305557,2016-10-12T20:52:37Z,VDA2632,"52.630795,-9.371102",3500,190,128
1476305551,2016-10-12T20:52:31Z,VDA2632,"52.634476,-9.378715",3675,190,127
1476305543,2016-10-12T20:52:23Z,VDA2632,"52.637833,-9.385834",3850,189,127
1476305535,2016-10-12T20:52:15Z,VDA2632,"52.642899,-9.396606",4075,190,128
