Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1481287937,2016-12-09T12:52:17Z,VDA2734,"47.155659,-1.604814",0,8,28
1481287927,2016-12-09T12:52:07Z,VDA2734,"47.155849,-1.605206",0,7,28
1481287907,2016-12-09T12:51:47Z,VDA2734,"47.156181,-1.605888",0,5,28
1481287892,2016-12-09T12:51:32Z,VDA2734,"47.156334,-1.606187",0,2,28
1481287867,2016-12-09T12:51:07Z,VDA2734,"47.156445,-1.606407",0,6,28
1481287832,2016-12-09T12:50:32Z,VDA2734,"47.156467,-1.608089",0,17,28
1481287822,2016-12-09T12:50:22Z,VDA2734,"47.155472,-1.608828",0,29,28
1481287812,2016-12-09T12:50:12Z,VDA2734,"47.154194,-1.609779",0,37,28
1481287802,2016-12-09T12:50:02Z,VDA2734,"47.152531,-1.611059",0,37,28
1481287792,2016-12-09T12:49:52Z,VDA2734,"47.151237,-1.612055",0,39,28
1481287772,2016-12-09T12:49:32Z,VDA2734,"47.148193,-1.614355",0,37,28
1481287762,2016-12-09T12:49:22Z,VDA2734,"47.146534,-1.615625",0,34,28
1481287752,2016-12-09T12:49:12Z,VDA2734,"47.145447,-1.616432",0,30,28
1481287737,2016-12-09T12:48:57Z,VDA2734,"47.143787,-1.617684",0,22,25
1481287727,2016-12-09T12:48:47Z,VDA2734,"47.143032,-1.618247",0,17,28
1481287717,2016-12-09T12:48:37Z,VDA2734,"47.142391,-1.618732",0,10,208
1481287707,2016-12-09T12:48:27Z,VDA2734,"47.142139,-1.618938",0,7,208
1481287697,2016-12-09T12:48:17Z,VDA2734,"47.141865,-1.61911",0,5,208
1481287677,2016-12-09T12:47:57Z,VDA2734,"47.141602,-1.618899",0,3,208
1481287657,2016-12-09T12:47:37Z,VDA2734,"47.141785,-1.618578",0,5,208
1481287648,2016-12-09T12:47:28Z,VDA2734,"47.142139,-1.618561",0,8,208
1481287637,2016-12-09T12:47:17Z,VDA2734,"47.142521,-1.618564",0,7,208
1481287627,2016-12-09T12:47:07Z,VDA2734,"47.142765,-1.618459",0,9,208
1481287617,2016-12-09T12:46:57Z,VDA2734,"47.143295,-1.618063",0,12,208
1481287607,2016-12-09T12:46:47Z,VDA2734,"47.143684,-1.617771",0,17,208
1481287597,2016-12-09T12:46:37Z,VDA2734,"47.144638,-1.61705",0,27,208
1481287587,2016-12-09T12:46:27Z,VDA2734,"47.145836,-1.616117",0,33,208
1481287577,2016-12-09T12:46:17Z,VDA2734,"47.147026,-1.615231",0,33,205
1481287567,2016-12-09T12:46:07Z,VDA2734,"47.148617,-1.614046",0,36,208
1481287557,2016-12-09T12:45:57Z,VDA2734,"47.149921,-1.61305",0,41,210
1481287547,2016-12-09T12:45:47Z,VDA2734,"47.151867,-1.611557",0,64,208
1481287537,2016-12-09T12:45:37Z,VDA2734,"47.155426,-1.608846",0,105,208
1481287522,2016-12-09T12:45:22Z,VDA2734,"47.164398,-1.602013",0,128,207
1481287507,2016-12-09T12:45:07Z,VDA2734,"47.170761,-1.597069",0,128,207
1481287497,2016-12-09T12:44:57Z,VDA2734,"47.175705,-1.593498",75,126,205
1481287487,2016-12-09T12:44:47Z,VDA2734,"47.180599,-1.589567",200,122,216
1481287477,2016-12-09T12:44:37Z,VDA2734,"47.184605,-1.583933",225,124,228
1481287467,2016-12-09T12:44:27Z,VDA2734,"47.188751,-1.577568",275,122,223
1481287457,2016-12-09T12:44:17Z,VDA2734,"47.193542,-1.570974",375,121,222
1481287448,2016-12-09T12:44:08Z,VDA2734,"47.197037,-1.566307",500,117,221
1481287437,2016-12-09T12:43:57Z,VDA2734,"47.201084,-1.561045",600,119,222
1481287427,2016-12-09T12:43:47Z,VDA2734,"47.205692,-1.554918",600,119,222
1481287417,2016-12-09T12:43:37Z,VDA2734,"47.209324,-1.550199",625,117,220
1481287407,2016-12-09T12:43:27Z,VDA2734,"47.213928,-1.544403",700,120,219
1481287397,2016-12-09T12:43:17Z,VDA2734,"47.218075,-1.539424",775,121,220
1481287388,2016-12-09T12:43:08Z,VDA2734,"47.223541,-1.532524",925,116,220
1481287382,2016-12-09T12:43:02Z,VDA2734,"47.224182,-1.5317",950,116,220
1481287372,2016-12-09T12:42:52Z,VDA2734,"47.228348,-1.526413",1075,116,220
1481287362,2016-12-09T12:42:42Z,VDA2734,"47.233658,-1.519753",1250,117,222
1481287352,2016-12-09T12:42:32Z,VDA2734,"47.236603,-1.515832",1325,115,221
1481287342,2016-12-09T12:42:22Z,VDA2734,"47.240887,-1.510479",1475,114,220
1481287332,2016-12-09T12:42:12Z,VDA2734,"47.244736,-1.50547",1575,114,222
1481287322,2016-12-09T12:42:02Z,VDA2734,"47.249039,-1.49984",1725,113,220
1481287312,2016-12-09T12:41:52Z,VDA2734,"47.253387,-1.494553",1875,112,220
1481287302,2016-12-09T12:41:42Z,VDA2734,"47.256683,-1.490295",2025,111,221
1481287292,2016-12-09T12:41:32Z,VDA2734,"47.260345,-1.485619",2175,111,220
1481287282,2016-12-09T12:41:22Z,VDA2734,"47.264648,-1.480202",2350,111,222
1481287272,2016-12-09T12:41:12Z,VDA2734,"47.268494,-1.474915",2475,114,223
1481287262,2016-12-09T12:41:02Z,VDA2734,"47.272659,-1.46949",2525,115,219
1481287252,2016-12-09T12:40:52Z,VDA2734,"47.277512,-1.463722",2525,118,218
1481287242,2016-12-09T12:40:42Z,VDA2734,"47.280807,-1.459946",2525,118,216
1481287232,2016-12-09T12:40:32Z,VDA2734,"47.284927,-1.455139",2500,120,223
1481287222,2016-12-09T12:40:22Z,VDA2734,"47.28986,-1.448153",2525,120,225
1481287212,2016-12-09T12:40:12Z,VDA2734,"47.293488,-1.44273",2550,130,225
1481287202,2016-12-09T12:40:02Z,VDA2734,"47.298656,-1.435265",2600,145,223
1481287192,2016-12-09T12:39:52Z,VDA2734,"47.302425,-1.430124",2625,164,223
1481287182,2016-12-09T12:39:42Z,VDA2734,"47.307907,-1.422523",2575,174,223
1481287168,2016-12-09T12:39:28Z,VDA2734,"47.317509,-1.409278",2550,176,222
1481287140,2016-12-09T12:39:00Z,VDA2734,"47.334412,-1.386887",2700,174,222
1481287134,2016-12-09T12:38:54Z,VDA2734,"47.337387,-1.382835",2750,174,222
1481287128,2016-12-09T12:38:48Z,VDA2734,"47.340958,-1.37796",2850,174,222
1481287122,2016-12-09T12:38:42Z,VDA2734,"47.343441,-1.374559",2950,176,222
1481287116,2016-12-09T12:38:36Z,VDA2734,"47.347305,-1.369277",3050,178,223
1481287110,2016-12-09T12:38:30Z,VDA2734,"47.350655,-1.364558",3125,182,223
1481287104,2016-12-09T12:38:24Z,VDA2734,"47.354378,-1.359276",3225,186,223
1481287098,2016-12-09T12:38:18Z,VDA2734,"47.358196,-1.353994",3275,191,223
1481287092,2016-12-09T12:38:12Z,VDA2734,"47.362106,-1.348572",3375,195,222
1481287086,2016-12-09T12:38:06Z,VDA2734,"47.366299,-1.342867",3500,196,222
1481287080,2016-12-09T12:38:00Z,VDA2734,"47.370575,-1.337173",3600,196,221
1481287074,2016-12-09T12:37:54Z,VDA2734,"47.37442,-1.332161",3725,196,221
1481287068,2016-12-09T12:37:48Z,VDA2734,"47.378769,-1.326462",3850,198,221
1481287062,2016-12-09T12:37:42Z,VDA2734,"47.382568,-1.321449",3975,198,222
1481287056,2016-12-09T12:37:36Z,VDA2734,"47.386826,-1.315754",4100,198,221
1481287050,2016-12-09T12:37:30Z,VDA2734,"47.391129,-1.310188",4250,197,220
1481287044,2016-12-09T12:37:24Z,VDA2734,"47.395615,-1.304764",4400,197,217
1481287038,2016-12-09T12:37:18Z,VDA2734,"47.400879,-1.298859",4575,197,216
1481287032,2016-12-09T12:37:12Z,VDA2734,"47.404724,-1.29467",4675,196,215
1481287026,2016-12-09T12:37:06Z,VDA2734,"47.408661,-1.290482",4800,196,214
1481287020,2016-12-09T12:37:00Z,VDA2734,"47.413223,-1.285823",4925,198,214
1481286999,2016-12-09T12:36:39Z,VDA2734,"47.429672,-1.270088",5000,204,208
1481286993,2016-12-09T12:36:33Z,VDA2734,"47.434433,-1.266243",5000,202,208
1481286962,2016-12-09T12:36:02Z,VDA2734,"47.460659,-1.254765",5000,206,177
1481286956,2016-12-09T12:35:56Z,VDA2734,"47.46685,-1.255188",4975,211,177
1481286945,2016-12-09T12:35:45Z,VDA2734,"47.479385,-1.256012",5100,219,177
1481286933,2016-12-09T12:35:33Z,VDA2734,"47.490639,-1.256949",5225,224,176
1481286920,2016-12-09T12:35:20Z,VDA2734,"47.503098,-1.258278",5250,231,176
1481286912,2016-12-09T12:35:12Z,VDA2734,"47.513397,-1.259171",5250,238,176
1481286905,2016-12-09T12:35:05Z,VDA2734,"47.521454,-1.259926",5300,242,174
1481286877,2016-12-09T12:34:37Z,VDA2734,"47.550877,-1.283217",5575,272,98
1481286856,2016-12-09T12:34:16Z,VDA2734,"47.55809,-1.319416",6100,278,85
1481286846,2016-12-09T12:34:06Z,VDA2734,"47.555859,-1.338008",6400,281,75
1481286831,2016-12-09T12:33:51Z,VDA2734,"47.551388,-1.362939",6725,284,75
1481286816,2016-12-09T12:33:36Z,VDA2734,"47.546734,-1.390123",7150,283,75
1481286804,2016-12-09T12:33:24Z,VDA2734,"47.542728,-1.413433",7475,286,75
1481286789,2016-12-09T12:33:09Z,VDA2734,"47.537659,-1.441269",7800,290,74
1481286777,2016-12-09T12:32:57Z,VDA2734,"47.533325,-1.464773",8100,292,75
1481286765,2016-12-09T12:32:45Z,VDA2734,"47.529228,-1.488084",8425,294,75
1481286753,2016-12-09T12:32:33Z,VDA2734,"47.524994,-1.512381",8750,296,75
1481286741,2016-12-09T12:32:21Z,VDA2734,"47.520851,-1.536114",9075,298,75
1481286726,2016-12-09T12:32:06Z,VDA2734,"47.516243,-1.564284",9475,298,77
1481286720,2016-12-09T12:32:00Z,VDA2734,"47.513947,-1.579216",9650,301,76
1481286696,2016-12-09T12:31:36Z,VDA2734,"47.509399,-1.625977",10025,300,101
1481286684,2016-12-09T12:31:24Z,VDA2734,"47.517517,-1.660378",10400,294,121
1481286671,2016-12-09T12:31:11Z,VDA2734,"47.524475,-1.676033",10550,295,123
1481286656,2016-12-09T12:30:56Z,VDA2734,"47.534866,-1.69883",10900,295,124
1481286639,2016-12-09T12:30:39Z,VDA2734,"47.548454,-1.729009",11375,299,123
1481286606,2016-12-09T12:30:06Z,VDA2734,"47.572815,-1.784042",12300,302,123
1481286573,2016-12-09T12:29:33Z,VDA2734,"47.597672,-1.839523",13250,304,122
1481286542,2016-12-09T12:29:02Z,VDA2734,"47.620834,-1.894524",13900,306,118
1481286521,2016-12-09T12:28:41Z,VDA2734,"47.629784,-1.941481",14350,320,89
1481286515,2016-12-09T12:28:35Z,VDA2734,"47.629318,-1.952256",14450,322,81
1481286509,2016-12-09T12:28:29Z,VDA2734,"47.62674,-1.969368",14625,326,69
