Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1484197338,2017-01-12T05:02:18Z,VDA2837,"43.947647,87.665787",4650,131,253
1484197332,2017-01-12T05:02:12Z,VDA2837,"43.94857,87.670052",4675,130,253
1484197326,2017-01-12T05:02:06Z,VDA2837,"43.949688,87.675018",4650,130,253
1484197320,2017-01-12T05:02:00Z,VDA2837,"43.95076,87.679985",4650,129,252
1484197283,2017-01-12T05:01:23Z,VDA2837,"43.957169,87.710312",4650,140,256
1484197277,2017-01-12T05:01:17Z,VDA2837,"43.957928,87.714645",4675,144,255
1484197271,2017-01-12T05:01:11Z,VDA2837,"43.959091,87.720596",4700,152,254
1484197265,2017-01-12T05:01:05Z,VDA2837,"43.960464,87.727234",4750,157,253
1484197259,2017-01-12T05:00:59Z,VDA2837,"43.961559,87.73217",4750,164,251
1484197253,2017-01-12T05:00:53Z,VDA2837,"43.963142,87.738777",4700,174,250
1484197246,2017-01-12T05:00:46Z,VDA2837,"43.964813,87.744995",4700,181,248
1484197240,2017-01-12T05:00:40Z,VDA2837,"43.966911,87.752052",4700,177,245
1484197234,2017-01-12T05:00:34Z,VDA2837,"43.969666,87.75943",4675,174,228
1484197228,2017-01-12T05:00:28Z,VDA2837,"43.972034,87.763496",4675,173,225
1484197221,2017-01-12T05:00:21Z,VDA2837,"43.975937,87.768623",4650,173,222
1484197215,2017-01-12T05:00:15Z,VDA2837,"43.979691,87.773285",4650,173,221
1484197209,2017-01-12T05:00:09Z,VDA2837,"43.983253,87.777557",4625,173,221
1484197203,2017-01-12T05:00:03Z,VDA2837,"43.986969,87.782295",4650,177,222
1484197197,2017-01-12T04:59:57Z,VDA2837,"43.990768,87.787018",4675,184,220
1484197184,2017-01-12T04:59:44Z,VDA2837,"44.001251,87.795326",4750,189,193
1484197178,2017-01-12T04:59:38Z,VDA2837,"44.005363,87.796257",4825,190,181
1484197172,2017-01-12T04:59:32Z,VDA2837,"44.01123,87.79567",5000,192,165
1484197166,2017-01-12T04:59:26Z,VDA2837,"44.016678,87.79332",5175,193,157
1484197160,2017-01-12T04:59:20Z,VDA2837,"44.021053,87.790504",5300,194,152
1484197154,2017-01-12T04:59:14Z,VDA2837,"44.026108,87.786064",5475,198,139
1484197147,2017-01-12T04:59:07Z,VDA2837,"44.030037,87.780502",5550,207,124
1484197141,2017-01-12T04:59:01Z,VDA2837,"44.033157,87.773567",5550,214,113
1484197135,2017-01-12T04:58:55Z,VDA2837,"44.035034,87.765816",5575,219,101
1484197107,2017-01-12T04:58:27Z,VDA2837,"44.027435,87.728516",6050,224,57
1484197095,2017-01-12T04:58:15Z,VDA2837,"44.020569,87.713371",6400,223,59
1484197083,2017-01-12T04:58:03Z,VDA2837,"44.014206,87.698616",6800,218,59
1484197071,2017-01-12T04:57:51Z,VDA2837,"44.007507,87.683128",7225,213,58
