Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1487239125,2017-02-16T09:58:45Z,VDA2841,"43.057224,74.469421",0,2,261
1487239107,2017-02-16T09:58:27Z,VDA2841,"43.057446,74.469376",0,15,261
1487239101,2017-02-16T09:58:21Z,VDA2841,"43.057674,74.469307",0,21,261
1487239094,2017-02-16T09:58:14Z,VDA2841,"43.057888,74.469269",0,22,261
1487239088,2017-02-16T09:58:08Z,VDA2841,"43.058109,74.469482",0,23,261
1487239082,2017-02-16T09:58:02Z,VDA2841,"43.058178,74.469818",0,28,261
1487239076,2017-02-16T09:57:56Z,VDA2841,"43.058247,74.470413",0,15,261
1487239069,2017-02-16T09:57:49Z,VDA2841,"43.058327,74.47097",0,17,258
1487239063,2017-02-16T09:57:43Z,VDA2841,"43.058422,74.471741",0,18,258
1487239057,2017-02-16T09:57:37Z,VDA2841,"43.058529,74.472542",0,19,261
1487239051,2017-02-16T09:57:31Z,VDA2841,"43.058613,74.47316",0,20,258
1487239045,2017-02-16T09:57:25Z,VDA2841,"43.058712,74.473961",0,21,258
1487239039,2017-02-16T09:57:19Z,VDA2841,"43.058819,74.474754",0,20,258
1487239032,2017-02-16T09:57:12Z,VDA2841,"43.05891,74.475533",0,19,261
1487239026,2017-02-16T09:57:06Z,VDA2841,"43.059006,74.47625",0,19,258
1487239020,2017-02-16T09:57:00Z,VDA2841,"43.059097,74.476974",0,18,258
1487238999,2017-02-16T09:56:39Z,VDA2841,"43.059402,74.479355",0,17,258
1487238990,2017-02-16T09:56:30Z,VDA2841,"43.059528,74.480293",0,15,115
1487238983,2017-02-16T09:56:23Z,VDA2841,"43.059608,74.480904",0,33,115
1487238974,2017-02-16T09:56:14Z,VDA2841,"43.059704,74.481628",0,32,115
1487238968,2017-02-16T09:56:08Z,VDA2841,"43.059784,74.482239",0,32,115
1487238962,2017-02-16T09:56:02Z,VDA2841,"43.059837,74.482704",0,32,115
