Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1489382045,2017-03-13T05:14:05Z,VDA9686,"46.880245,142.721634",0,13,182
1489382038,2017-03-13T05:13:58Z,VDA9686,"46.880253,142.72142",0,15,182
1489382032,2017-03-13T05:13:52Z,VDA9686,"46.880222,142.721207",0,17,182
1489382026,2017-03-13T05:13:46Z,VDA9686,"46.880138,142.720917",0,20,182
1489382017,2017-03-13T05:13:37Z,VDA9686,"46.880013,142.72049",0,20,182
1489382011,2017-03-13T05:13:31Z,VDA9686,"46.879921,142.720108",0,21,182
1489382004,2017-03-13T05:13:24Z,VDA9686,"46.879837,142.719833",0,21,182
1489381998,2017-03-13T05:13:18Z,VDA9686,"46.879749,142.719513",0,23,182
1489381992,2017-03-13T05:13:12Z,VDA9686,"46.879658,142.719116",0,24,182
1489381986,2017-03-13T05:13:06Z,VDA9686,"46.879555,142.718735",0,21,182
1489381979,2017-03-13T05:12:59Z,VDA9686,"46.879467,142.71843",0,18,182
1489381964,2017-03-13T05:12:44Z,VDA9686,"46.87936,142.717972",0,14,182
1489381957,2017-03-13T05:12:37Z,VDA9686,"46.879349,142.717743",0,17,182
1489381945,2017-03-13T05:12:25Z,VDA9686,"46.879566,142.717316",0,19,182
1489381939,2017-03-13T05:12:19Z,VDA9686,"46.879848,142.717255",0,29,182
1489381932,2017-03-13T05:12:12Z,VDA9686,"46.880455,142.7173",0,36,182
1489381923,2017-03-13T05:12:03Z,VDA9686,"46.882656,142.717361",0,70,180
1489381916,2017-03-13T05:11:56Z,VDA9686,"46.885216,142.717438",0,96,180
1489381910,2017-03-13T05:11:50Z,VDA9686,"46.888458,142.717499",0,115,180
1489381904,2017-03-13T05:11:44Z,VDA9686,"46.892487,142.717621",0,135,180
1489381898,2017-03-13T05:11:38Z,VDA9686,"46.895885,142.717682",0,144,180
1489381891,2017-03-13T05:11:31Z,VDA9686,"46.900589,142.717758",0,148,180
1489381882,2017-03-13T05:11:22Z,VDA9686,"46.906685,142.717896",0,144,181
1489381875,2017-03-13T05:11:15Z,VDA9686,"46.91069,142.718033",50,145,181
1489381869,2017-03-13T05:11:09Z,VDA9686,"46.914974,142.71817",150,145,181
1489381853,2017-03-13T05:10:53Z,VDA9686,"46.925949,142.718445",425,147,180
1489381847,2017-03-13T05:10:47Z,VDA9686,"46.930115,142.718506",525,148,180
1489381840,2017-03-13T05:10:40Z,VDA9686,"46.934383,142.718536",600,148,180
1489381834,2017-03-13T05:10:34Z,VDA9686,"46.938629,142.718658",700,149,181
1489381828,2017-03-13T05:10:28Z,VDA9686,"46.942905,142.718887",775,149,181
1489381822,2017-03-13T05:10:22Z,VDA9686,"46.947372,142.719025",875,149,181
1489381812,2017-03-13T05:10:12Z,VDA9686,"46.953705,142.719238",1000,150,180
1489381806,2017-03-13T05:10:06Z,VDA9686,"46.958038,142.719269",1075,151,180
1489381800,2017-03-13T05:10:00Z,VDA9686,"46.962643,142.719376",1175,151,180
1489381794,2017-03-13T05:09:54Z,VDA9686,"46.967438,142.719513",1275,151,181
1489381787,2017-03-13T05:09:47Z,VDA9686,"46.971725,142.719681",1350,151,180
1489381781,2017-03-13T05:09:41Z,VDA9686,"46.976212,142.719757",1450,151,180
1489381774,2017-03-13T05:09:34Z,VDA9686,"46.980564,142.719803",1500,152,180
1489381768,2017-03-13T05:09:28Z,VDA9686,"46.984955,142.719818",1575,153,180
1489381762,2017-03-13T05:09:22Z,VDA9686,"46.989166,142.719955",1675,154,181
1489381755,2017-03-13T05:09:15Z,VDA9686,"46.99411,142.720154",1750,154,181
1489381749,2017-03-13T05:09:09Z,VDA9686,"46.998535,142.720367",1850,155,181
1489381743,2017-03-13T05:09:03Z,VDA9686,"47.003494,142.720581",1950,155,181
1489381736,2017-03-13T05:08:56Z,VDA9686,"47.007797,142.720703",2075,156,180
1489381730,2017-03-13T05:08:50Z,VDA9686,"47.012192,142.720642",2175,158,179
1489381724,2017-03-13T05:08:44Z,VDA9686,"47.016678,142.720581",2300,159,179
1489381718,2017-03-13T05:08:38Z,VDA9686,"47.021252,142.720505",2400,160,179
1489381711,2017-03-13T05:08:31Z,VDA9686,"47.026657,142.720428",2575,160,180
1489381705,2017-03-13T05:08:25Z,VDA9686,"47.030777,142.720428",2725,158,181
1489381698,2017-03-13T05:08:18Z,VDA9686,"47.035728,142.720718",2800,158,182
1489381691,2017-03-13T05:08:11Z,VDA9686,"47.04071,142.72113",2825,159,183
1489381685,2017-03-13T05:08:05Z,VDA9686,"47.045334,142.721527",2850,162,183
1489381678,2017-03-13T05:07:58Z,VDA9686,"47.050461,142.721954",2925,168,182
1489381672,2017-03-13T05:07:52Z,VDA9686,"47.055374,142.722198",2900,176,181
1489381665,2017-03-13T05:07:45Z,VDA9686,"47.060989,142.722351",2850,189,180
1489381659,2017-03-13T05:07:39Z,VDA9686,"47.066547,142.722336",2850,195,179
1489381653,2017-03-13T05:07:33Z,VDA9686,"47.072754,142.722229",2950,197,178
1489381647,2017-03-13T05:07:27Z,VDA9686,"47.077927,142.722015",3075,198,178
1489381640,2017-03-13T05:07:20Z,VDA9686,"47.084099,142.721695",3200,199,178
1489381633,2017-03-13T05:07:13Z,VDA9686,"47.090103,142.721527",3375,199,179
1489381624,2017-03-13T05:07:04Z,VDA9686,"47.098892,142.721603",3600,198,181
1489381618,2017-03-13T05:06:58Z,VDA9686,"47.104431,142.721878",3725,198,182
1489381612,2017-03-13T05:06:52Z,VDA9686,"47.110703,142.722351",3850,199,184
1489381606,2017-03-13T05:06:46Z,VDA9686,"47.116405,142.723114",3975,198,185
1489381600,2017-03-13T05:06:40Z,VDA9686,"47.121201,142.723816",4075,199,186
1489381593,2017-03-13T05:06:33Z,VDA9686,"47.128052,142.724899",4225,198,186
1489381587,2017-03-13T05:06:27Z,VDA9686,"47.133408,142.725647",4300,199,185
1489381576,2017-03-13T05:06:16Z,VDA9686,"47.142792,142.726624",4400,206,181
1489381570,2017-03-13T05:06:10Z,VDA9686,"47.149292,142.726685",4425,211,179
1489381564,2017-03-13T05:06:04Z,VDA9686,"47.15509,142.72641",4500,213,176
1489381558,2017-03-13T05:05:58Z,VDA9686,"47.161148,142.725647",4600,214,173
1489381551,2017-03-13T05:05:51Z,VDA9686,"47.167332,142.724518",4675,215,171
1489381545,2017-03-13T05:05:45Z,VDA9686,"47.173874,142.7229",4775,215,169
1489381539,2017-03-13T05:05:39Z,VDA9686,"47.179482,142.72113",4850,218,165
1489381532,2017-03-13T05:05:32Z,VDA9686,"47.185814,142.718246",4950,219,159
1489381520,2017-03-13T05:05:20Z,VDA9686,"47.197731,142.709579",5200,219,150
1489381507,2017-03-13T05:05:07Z,VDA9686,"47.208481,142.700455",5325,222,150
1489381494,2017-03-13T05:04:54Z,VDA9686,"47.220078,142.691208",5375,229,152
1489381482,2017-03-13T05:04:42Z,VDA9686,"47.232182,142.681763",5475,234,150
1489381470,2017-03-13T05:04:30Z,VDA9686,"47.242935,142.672333",5475,241,148
1489381457,2017-03-13T05:04:17Z,VDA9686,"47.256199,142.660858",5500,248,150
1489381438,2017-03-13T05:03:58Z,VDA9686,"47.27594,142.643311",5575,260,144
1489381421,2017-03-13T05:03:41Z,VDA9686,"47.292465,142.627396",5950,256,152
1489381414,2017-03-13T05:03:34Z,VDA9686,"47.29953,142.622375",5975,259,155
1489381408,2017-03-13T05:03:28Z,VDA9686,"47.306534,142.617783",5975,264,154
1489381392,2017-03-13T05:03:12Z,VDA9686,"47.32283,142.602676",6250,267,139
1489381383,2017-03-13T05:03:03Z,VDA9686,"47.33139,142.591415",6425,270,139
1489381377,2017-03-13T05:02:57Z,VDA9686,"47.33725,142.584274",6550,271,143
1489381365,2017-03-13T05:02:45Z,VDA9686,"47.352036,142.571838",6825,272,156
1489381358,2017-03-13T05:02:38Z,VDA9686,"47.35894,142.567673",6900,275,158
1489381351,2017-03-13T05:02:31Z,VDA9686,"47.367928,142.562119",6950,282,154
1489381345,2017-03-13T05:02:25Z,VDA9686,"47.373917,142.557632",7000,286,149
1489381339,2017-03-13T05:02:19Z,VDA9686,"47.381607,142.549667",7150,289,139
1489381325,2017-03-13T05:02:05Z,VDA9686,"47.393509,142.531067",7475,291,128
1489381312,2017-03-13T05:01:52Z,VDA9686,"47.404312,142.510864",7750,294,128
1489381299,2017-03-13T05:01:39Z,VDA9686,"47.415482,142.490417",8125,294,128
1489381287,2017-03-13T05:01:27Z,VDA9686,"47.425873,142.470764",8500,294,127
1489381274,2017-03-13T05:01:14Z,VDA9686,"47.436218,142.451202",8825,295,127
1489381262,2017-03-13T05:01:02Z,VDA9686,"47.447762,142.429428",9150,298,128
1489381249,2017-03-13T05:00:49Z,VDA9686,"47.458466,142.410004",9475,300,128
1489381237,2017-03-13T05:00:37Z,VDA9686,"47.468811,142.390503",9775,301,127
1489381224,2017-03-13T05:00:24Z,VDA9686,"47.47966,142.369354",10100,304,127
1489381212,2017-03-13T05:00:12Z,VDA9686,"47.490372,142.349167",10400,308,128
1489381199,2017-03-13T04:59:59Z,VDA9686,"47.501724,142.328491",10625,314,128
1489381187,2017-03-13T04:59:47Z,VDA9686,"47.512985,142.306458",10900,319,126
1489381174,2017-03-13T04:59:34Z,VDA9686,"47.524715,142.283371",11250,323,127
1489381142,2017-03-13T04:59:02Z,VDA9686,"47.554138,142.228455",12125,331,128
1489381110,2017-03-13T04:58:30Z,VDA9686,"47.585278,142.169846",12800,347,128
1489381077,2017-03-13T04:57:57Z,VDA9686,"47.61795,142.107742",13550,355,128
1489381046,2017-03-13T04:57:26Z,VDA9686,"47.649765,142.047867",14300,358,127
1489381015,2017-03-13T04:56:55Z,VDA9686,"47.681362,141.987442",15050,361,127
1489380983,2017-03-13T04:56:23Z,VDA9686,"47.714134,141.924698",15625,365,127
1489380951,2017-03-13T04:55:51Z,VDA9686,"47.747772,141.860413",16375,372,127
1489380888,2017-03-13T04:54:48Z,VDA9686,"47.815155,141.729736",18075,378,127
1489380825,2017-03-13T04:53:45Z,VDA9686,"47.883041,141.599213",19725,385,128
1489380762,2017-03-13T04:52:42Z,VDA9686,"47.952019,141.466156",21425,391,127
1489380699,2017-03-13T04:51:39Z,VDA9686,"48.021053,141.331085",22775,409,126
1489380063,2017-03-13T04:41:03Z,VDA9686,"48.702999,139.779846",23050,424,110
1489380000,2017-03-13T04:40:00Z,VDA9686,"48.746887,139.606659",23050,423,111
1489379939,2017-03-13T04:38:59Z,VDA9686,"48.789307,139.438766",23050,421,110
1489379878,2017-03-13T04:37:58Z,VDA9686,"48.830692,139.272095",23050,420,110
1489379817,2017-03-13T04:36:57Z,VDA9686,"48.874557,139.095505",23025,418,110
1489379754,2017-03-13T04:35:54Z,VDA9686,"48.915619,138.928391",23000,417,110
1489379693,2017-03-13T04:34:53Z,VDA9686,"48.956242,138.762527",23025,420,110
