Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1490817884,2017-03-29T20:04:44Z,VDA9339,"44.227455,43.081696",0,50,120
1490817875,2017-03-29T20:04:35Z,VDA9339,"44.228519,43.079338",0,41,120
1490817868,2017-03-29T20:04:28Z,VDA9339,"44.22908,43.078079",0,35,120
1490817861,2017-03-29T20:04:21Z,VDA9339,"44.229572,43.076935",0,27,120
1490817855,2017-03-29T20:04:15Z,VDA9339,"44.229916,43.076069",0,19,118
1490817837,2017-03-29T20:03:57Z,VDA9339,"44.230202,43.0751",0,16,300
1490817824,2017-03-29T20:03:44Z,VDA9339,"44.230373,43.074898",0,10,300
1490817793,2017-03-29T20:03:13Z,VDA9339,"44.230583,43.075016",0,16,300
1490817787,2017-03-29T20:03:07Z,VDA9339,"44.230534,43.075268",0,19,300
1490817781,2017-03-29T20:03:01Z,VDA9339,"44.230419,43.075512",0,22,300
1490817775,2017-03-29T20:02:55Z,VDA9339,"44.230282,43.07579",0,25,300
1490817769,2017-03-29T20:02:49Z,VDA9339,"44.230076,43.076214",0,16,300
1490817763,2017-03-29T20:02:43Z,VDA9339,"44.229801,43.076805",0,20,303
1490817756,2017-03-29T20:02:36Z,VDA9339,"44.22942,43.07761",0,20,303
1490817750,2017-03-29T20:02:30Z,VDA9339,"44.229073,43.078346",0,22,303
1490817743,2017-03-29T20:02:23Z,VDA9339,"44.228737,43.079075",0,25,303
1490817737,2017-03-29T20:02:17Z,VDA9339,"44.228313,43.079945",0,27,303
1490817731,2017-03-29T20:02:11Z,VDA9339,"44.227844,43.08086",0,32,306
1490817725,2017-03-29T20:02:05Z,VDA9339,"44.227283,43.081985",0,37,303
1490817719,2017-03-29T20:01:59Z,VDA9339,"44.226734,43.083229",0,38,303
1490817712,2017-03-29T20:01:52Z,VDA9339,"44.226048,43.084728",0,46,300
1490817704,2017-03-29T20:01:44Z,VDA9339,"44.224834,43.087406",0,57,300
1490817697,2017-03-29T20:01:37Z,VDA9339,"44.223953,43.089359",0,67,300
1490817691,2017-03-29T20:01:31Z,VDA9339,"44.222752,43.092041",0,82,300
1490817684,2017-03-29T20:01:24Z,VDA9339,"44.221226,43.095398",0,100,300
1490817678,2017-03-29T20:01:18Z,VDA9339,"44.219551,43.09903",875,120,302
1490817672,2017-03-29T20:01:12Z,VDA9339,"44.217682,43.103157",900,122,302
1490817665,2017-03-29T20:01:05Z,VDA9339,"44.2155,43.107941",975,123,302
1490817659,2017-03-29T20:00:59Z,VDA9339,"44.213745,43.111855",1050,122,302
1490817652,2017-03-29T20:00:52Z,VDA9339,"44.211872,43.115978",1125,121,301
1490817646,2017-03-29T20:00:46Z,VDA9339,"44.209991,43.120094",1200,120,302
1490817640,2017-03-29T20:00:40Z,VDA9339,"44.208023,43.124413",1250,115,302
1490817634,2017-03-29T20:00:34Z,VDA9339,"44.206284,43.128304",1300,113,302
1490817627,2017-03-29T20:00:27Z,VDA9339,"44.204544,43.132195",1375,114,302
1490817621,2017-03-29T20:00:21Z,VDA9339,"44.202747,43.136143",1450,115,302
1490817615,2017-03-29T20:00:15Z,VDA9339,"44.200928,43.140041",1525,115,302
1490817609,2017-03-29T20:00:09Z,VDA9339,"44.199253,43.14378",1575,117,301
1490817603,2017-03-29T20:00:03Z,VDA9339,"44.197441,43.147865",1675,117,301
1490817596,2017-03-29T19:59:56Z,VDA9339,"44.195625,43.15202",1750,117,302
1490817590,2017-03-29T19:59:50Z,VDA9339,"44.193741,43.155956",1825,118,303
1490817584,2017-03-29T19:59:44Z,VDA9339,"44.191772,43.160046",1900,120,302
1490817577,2017-03-29T19:59:37Z,VDA9339,"44.189987,43.16394",1950,120,302
1490817571,2017-03-29T19:59:31Z,VDA9339,"44.187927,43.168541",2025,121,301
1490817563,2017-03-29T19:59:23Z,VDA9339,"44.18515,43.174831",2125,122,301
1490817556,2017-03-29T19:59:16Z,VDA9339,"44.183475,43.178558",2175,121,302
1490817549,2017-03-29T19:59:09Z,VDA9339,"44.181473,43.182808",2250,122,303
1490817543,2017-03-29T19:59:03Z,VDA9339,"44.179596,43.187",2350,124,301
1490817537,2017-03-29T19:58:57Z,VDA9339,"44.177608,43.191505",2400,123,301
1490817527,2017-03-29T19:58:47Z,VDA9339,"44.174789,43.197796",2525,117,303
1490817519,2017-03-29T19:58:39Z,VDA9339,"44.172134,43.203289",2650,115,303
1490817512,2017-03-29T19:58:32Z,VDA9339,"44.170345,43.207203",2750,117,301
1490817506,2017-03-29T19:58:26Z,VDA9339,"44.16861,43.211143",2825,116,300
1490817500,2017-03-29T19:58:20Z,VDA9339,"44.166809,43.215443",2825,114,301
1490817493,2017-03-29T19:58:13Z,VDA9339,"44.165039,43.219429",2825,113,302
1490817487,2017-03-29T19:58:07Z,VDA9339,"44.163254,43.223217",2825,112,304
1490817481,2017-03-29T19:58:01Z,VDA9339,"44.161453,43.226688",2825,113,306
1490817219,2017-03-29T19:53:39Z,VDA9339,"44.15517,43.491474",5925,190,266
1490817207,2017-03-29T19:53:27Z,VDA9339,"44.155727,43.505074",6250,189,266
1490817195,2017-03-29T19:53:15Z,VDA9339,"44.156658,43.52005",6650,187,263
1490817181,2017-03-29T19:53:01Z,VDA9339,"44.157898,43.535625",6725,199,267
1490817140,2017-03-29T19:52:20Z,VDA9339,"44.15303,43.590874",7175,215,278
1490817128,2017-03-29T19:52:08Z,VDA9339,"44.151119,43.607811",7350,215,278
1490817116,2017-03-29T19:51:56Z,VDA9339,"44.149338,43.624794",7500,218,277
1490817104,2017-03-29T19:51:44Z,VDA9339,"44.147537,43.642403",7700,219,277
1490817093,2017-03-29T19:51:33Z,VDA9339,"44.146133,43.656666",8050,217,278
1490817081,2017-03-29T19:51:21Z,VDA9339,"44.144348,43.67321",8400,217,278
1490817069,2017-03-29T19:51:09Z,VDA9339,"44.142517,43.690071",8550,225,278
1490817056,2017-03-29T19:50:56Z,VDA9339,"44.140598,43.707928",8650,235,278
1490817044,2017-03-29T19:50:44Z,VDA9339,"44.138535,43.727055",8875,242,278
1490817032,2017-03-29T19:50:32Z,VDA9339,"44.136566,43.745579",9250,243,278
1490817019,2017-03-29T19:50:19Z,VDA9339,"44.134315,43.765934",9625,245,278
1490817003,2017-03-29T19:50:03Z,VDA9339,"44.131485,43.792782",10150,248,278
1490816991,2017-03-29T19:49:51Z,VDA9339,"44.129612,43.81073",10425,252,278
1490816979,2017-03-29T19:49:39Z,VDA9339,"44.127331,43.8312",10550,264,279
1490816963,2017-03-29T19:49:23Z,VDA9339,"44.124252,43.857677",10825,277,278
1490816951,2017-03-29T19:49:11Z,VDA9339,"44.121838,43.88018",10975,286,279
1490816938,2017-03-29T19:48:58Z,VDA9339,"44.119034,43.902966",11250,295,279
1490816926,2017-03-29T19:48:46Z,VDA9339,"44.11647,43.925831",11550,303,278
1490816895,2017-03-29T19:48:15Z,VDA9339,"44.109558,43.986",12525,307,279
1490816864,2017-03-29T19:47:44Z,VDA9339,"44.102783,44.046043",13375,312,279
1490816833,2017-03-29T19:47:13Z,VDA9339,"44.095444,44.108734",14350,318,278
1490816802,2017-03-29T19:46:42Z,VDA9339,"44.088181,44.170338",15550,316,278
1490816771,2017-03-29T19:46:11Z,VDA9339,"44.080261,44.232361",16975,307,281
1490816709,2017-03-29T19:45:09Z,VDA9339,"44.071236,44.35717",18150,321,275
1490816647,2017-03-29T19:44:07Z,VDA9339,"44.06337,44.487988",18575,335,274
1490816582,2017-03-29T19:43:02Z,VDA9339,"44.053528,44.629021",20150,339,277
1490816520,2017-03-29T19:42:00Z,VDA9339,"44.040207,44.76635",21375,346,277
1490816458,2017-03-29T19:40:58Z,VDA9339,"44.027199,44.900928",21875,347,277
1490816396,2017-03-29T19:39:56Z,VDA9339,"44.013657,45.038071",22800,343,277
1490816334,2017-03-29T19:38:54Z,VDA9339,"43.999779,45.176632",24200,331,277
1490816270,2017-03-29T19:37:50Z,VDA9339,"43.987106,45.303467",25650,315,277
1490816207,2017-03-29T19:36:47Z,VDA9339,"43.974129,45.427681",27375,311,278
1490816146,2017-03-29T19:35:46Z,VDA9339,"43.961605,45.551411",28875,323,277
1490816083,2017-03-29T19:34:43Z,VDA9339,"43.949295,45.681664",30625,331,276
1490816019,2017-03-29T19:33:39Z,VDA9339,"43.936375,45.816322",31700,336,277
1490815957,2017-03-29T19:32:37Z,VDA9339,"43.923664,45.949467",31950,339,277
1490815896,2017-03-29T19:31:36Z,VDA9339,"43.910538,46.081367",31975,339,278
1490815835,2017-03-29T19:30:35Z,VDA9339,"43.897705,46.212967",31950,340,277
1490815772,2017-03-29T19:29:32Z,VDA9339,"43.883396,46.349945",31950,339,278
1490815709,2017-03-29T19:28:29Z,VDA9339,"43.868683,46.48571",31925,342,278
1490815605,2017-03-29T19:26:45Z,VDA9339,"43.843224,46.712036",31950,349,269
1490815582,2017-03-29T19:26:22Z,VDA9339,"43.84462,46.763111",32000,349,268
1490815493,2017-03-29T19:24:53Z,VDA9339,"43.849602,46.960079",31900,351,268
1490815436,2017-03-29T19:23:56Z,VDA9339,"43.852718,47.088318",31950,351,268
1490815375,2017-03-29T19:22:55Z,VDA9339,"43.856598,47.226391",31925,350,267
1490815314,2017-03-29T19:21:54Z,VDA9339,"43.859749,47.362911",31950,348,268
1490815253,2017-03-29T19:20:53Z,VDA9339,"43.861359,47.499008",31950,345,269
1490815179,2017-03-29T19:19:39Z,VDA9339,"43.86203,47.661243",31925,345,269
1490815115,2017-03-29T19:18:35Z,VDA9339,"43.862457,47.802536",31925,346,270
1490815026,2017-03-29T19:17:06Z,VDA9339,"43.862732,48.006104",31975,348,270
1490814960,2017-03-29T19:16:00Z,VDA9339,"43.862778,48.153522",31900,354,270
1490814923,2017-03-29T19:15:23Z,VDA9339,"43.862778,48.233494",31900,356,270
1490814833,2017-03-29T19:13:53Z,VDA9339,"43.862823,48.445457",31950,362,269
1490814817,2017-03-29T19:13:37Z,VDA9339,"43.862915,48.476536",31950,362,269
1490814723,2017-03-29T19:12:03Z,VDA9339,"43.863239,48.692715",31975,360,270
1490814513,2017-03-29T19:08:33Z,VDA9339,"43.863705,49.178074",31950,357,269
1490814475,2017-03-29T19:07:55Z,VDA9339,"43.863987,49.261909",31950,355,269
1490814393,2017-03-29T19:06:33Z,VDA9339,"43.865242,49.447895",31900,354,267
1490814387,2017-03-29T19:06:27Z,VDA9339,"43.865753,49.461727",31950,353,267
1490814381,2017-03-29T19:06:21Z,VDA9339,"43.866165,49.475269",31975,352,268
1490814374,2017-03-29T19:06:14Z,VDA9339,"43.86644,49.488937",31925,353,267
1490814368,2017-03-29T19:06:08Z,VDA9339,"43.867172,49.503246",31900,358,262
1490814353,2017-03-29T19:05:53Z,VDA9339,"43.874222,49.538567",31925,371,248
1490814290,2017-03-29T19:04:50Z,VDA9339,"43.912495,49.677624",31925,368,249
1490814228,2017-03-29T19:03:48Z,VDA9339,"43.949734,49.812862",31925,365,249
