Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1490993208,2017-03-31T20:46:48Z,VDA9343,"54.425491,48.828171",125,112,211
1490993196,2017-03-31T20:46:36Z,VDA9343,"54.430458,48.833313",250,113,210
1490993187,2017-03-31T20:46:27Z,VDA9343,"54.434784,48.837784",350,111,212
1490993181,2017-03-31T20:46:21Z,VDA9343,"54.437489,48.840721",400,108,210
1490993175,2017-03-31T20:46:15Z,VDA9343,"54.439957,48.8433",450,107,210
1490993163,2017-03-31T20:46:03Z,VDA9343,"54.444946,48.848286",550,104,211
1490993156,2017-03-31T20:45:56Z,VDA9343,"54.447357,48.850876",600,106,211
1490993147,2017-03-31T20:45:47Z,VDA9343,"54.45108,48.85487",675,107,212
1490993139,2017-03-31T20:45:39Z,VDA9343,"54.45583,48.859779",775,108,210
1490993132,2017-03-31T20:45:32Z,VDA9343,"54.457645,48.861526",825,109,211
1490993123,2017-03-31T20:45:23Z,VDA9343,"54.46225,48.866299",925,111,213
1490993111,2017-03-31T20:45:11Z,VDA9343,"54.466919,48.871552",1050,112,212
1490993105,2017-03-31T20:45:05Z,VDA9343,"54.469471,48.87418",1075,110,209
1490993099,2017-03-31T20:44:59Z,VDA9343,"54.472092,48.876801",1125,109,209
1490993093,2017-03-31T20:44:53Z,VDA9343,"54.475296,48.879871",1200,110,210
1490993081,2017-03-31T20:44:41Z,VDA9343,"54.481155,48.886333",1350,114,211
1490993072,2017-03-31T20:44:32Z,VDA9343,"54.484543,48.890129",1450,114,211
1490993066,2017-03-31T20:44:26Z,VDA9343,"54.486786,48.892406",1525,113,209
1490993059,2017-03-31T20:44:19Z,VDA9343,"54.490036,48.895622",1575,113,210
1490993026,2017-03-31T20:43:46Z,VDA9343,"54.504383,48.913132",1525,114,207
1490993020,2017-03-31T20:43:40Z,VDA9343,"54.506294,48.914795",1525,118,209
1490993014,2017-03-31T20:43:34Z,VDA9343,"54.509445,48.918484",1550,116,242
1490993008,2017-03-31T20:43:28Z,VDA9343,"54.5116,48.923702",1600,118,243
1490992999,2017-03-31T20:43:19Z,VDA9343,"54.513382,48.930035",1650,133,234
1490992993,2017-03-31T20:43:13Z,VDA9343,"54.515369,48.935852",1650,133,234
1490992987,2017-03-31T20:43:07Z,VDA9343,"54.517548,48.940376",1675,141,224
1490992965,2017-03-31T20:42:45Z,VDA9343,"54.52496,48.96315",1650,170,271
1490992947,2017-03-31T20:42:27Z,VDA9343,"54.51947,48.987877",1650,176,302
1490992941,2017-03-31T20:42:21Z,VDA9343,"54.517418,48.99353",1650,177,301
1490992932,2017-03-31T20:42:12Z,VDA9343,"54.513062,49.005646",1650,176,301
1490992923,2017-03-31T20:42:03Z,VDA9343,"54.509506,49.015503",1625,177,303
1490992917,2017-03-31T20:41:57Z,VDA9343,"54.506241,49.023823",1625,177,304
1490992907,2017-03-31T20:41:47Z,VDA9343,"54.502396,49.033356",1625,177,303
1490992901,2017-03-31T20:41:41Z,VDA9343,"54.499588,49.040722",1600,175,301
1490992895,2017-03-31T20:41:35Z,VDA9343,"54.497086,49.047733",1600,174,300
1490992889,2017-03-31T20:41:29Z,VDA9343,"54.494514,49.055038",1600,174,304
1490992883,2017-03-31T20:41:23Z,VDA9343,"54.491272,49.062439",1575,178,312
1490992877,2017-03-31T20:41:17Z,VDA9343,"54.487392,49.068104",1600,184,329
1490992871,2017-03-31T20:41:11Z,VDA9343,"54.482895,49.071968",1625,189,344
1490992865,2017-03-31T20:41:05Z,VDA9343,"54.477665,49.074345",1650,192,349
1490992859,2017-03-31T20:40:59Z,VDA9343,"54.472137,49.076088",1675,193,349
