Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1494592819,2017-05-12T12:40:19Z,VDA9043,"47.251011,39.80542",0,22,227
1494592813,2017-05-12T12:40:13Z,VDA9043,"47.250801,39.805721",0,25,227
1494592807,2017-05-12T12:40:07Z,VDA9043,"47.250652,39.805992",0,22,227
1494592795,2017-05-12T12:39:55Z,VDA9043,"47.250637,39.806583",0,24,227
1494592788,2017-05-12T12:39:48Z,VDA9043,"47.250858,39.806953",0,15,227
1494592782,2017-05-12T12:39:42Z,VDA9043,"47.251419,39.807796",0,26,225
1494592776,2017-05-12T12:39:36Z,VDA9043,"47.251797,39.808357",0,27,225
1494592761,2017-05-12T12:39:21Z,VDA9043,"47.253365,39.810661",0,33,225
1494592751,2017-05-12T12:39:11Z,VDA9043,"47.254467,39.812325",0,44,225
1494592742,2017-05-12T12:39:02Z,VDA9043,"47.256039,39.814682",0,59,225
1494592736,2017-05-12T12:38:56Z,VDA9043,"47.257633,39.817078",0,80,225
1494592727,2017-05-12T12:38:47Z,VDA9043,"47.259911,39.82053",0,105,225
1494592721,2017-05-12T12:38:41Z,VDA9043,"47.262817,39.82489",75,124,225
1494592712,2017-05-12T12:38:32Z,VDA9043,"47.265793,39.829353",125,123,225
1494592706,2017-05-12T12:38:26Z,VDA9043,"47.268818,39.833889",225,123,225
1494592699,2017-05-12T12:38:19Z,VDA9043,"47.270782,39.836906",275,119,226
1494592693,2017-05-12T12:38:13Z,VDA9043,"47.272961,39.840157",325,115,225
1494592687,2017-05-12T12:38:07Z,VDA9043,"47.275333,39.843819",400,117,226
1494592678,2017-05-12T12:37:58Z,VDA9043,"47.279022,39.849266",500,120,225
1494592672,2017-05-12T12:37:52Z,VDA9043,"47.281448,39.852905",575,123,225
1494592666,2017-05-12T12:37:46Z,VDA9043,"47.28392,39.856613",625,122,225
1494592659,2017-05-12T12:37:39Z,VDA9043,"47.286301,39.860184",675,119,226
1494592653,2017-05-12T12:37:33Z,VDA9043,"47.288498,39.863548",725,119,226
1494592647,2017-05-12T12:37:27Z,VDA9043,"47.290924,39.867325",775,116,225
