Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1494634330,2017-05-13T00:12:10Z,VDA5136,"33.270721,44.2267",0,19,241
1494634315,2017-05-13T00:11:55Z,VDA5136,"33.27058,44.226387",0,19,241
1494634309,2017-05-13T00:11:49Z,VDA5136,"33.270863,44.226978",0,19,239
1494634300,2017-05-13T00:11:40Z,VDA5136,"33.271328,44.227951",0,18,239
1494634294,2017-05-13T00:11:34Z,VDA5136,"33.271572,44.228462",0,18,239
1494634288,2017-05-13T00:11:28Z,VDA5136,"33.27177,44.22887",0,17,239
1494634282,2017-05-13T00:11:22Z,VDA5136,"33.272015,44.229378",0,16,241
1494634276,2017-05-13T00:11:16Z,VDA5136,"33.272236,44.229836",0,16,239
1494634267,2017-05-13T00:11:07Z,VDA5136,"33.272572,44.230507",0,15,298
1494634258,2017-05-13T00:10:58Z,VDA5136,"33.272919,44.231232",0,34,298
1494634246,2017-05-13T00:10:46Z,VDA5136,"33.273315,44.232063",0,32,298
1494634215,2017-05-13T00:10:15Z,VDA5136,"33.2742,44.233883",0,29,298
1494634185,2017-05-13T00:09:45Z,VDA5136,"33.274406,44.235447",0,29,298
1494634179,2017-05-13T00:09:39Z,VDA5136,"33.274246,44.23579",0,32,298
1494634167,2017-05-13T00:09:27Z,VDA5136,"33.273823,44.236603",0,16,298
1494634158,2017-05-13T00:09:18Z,VDA5136,"33.273365,44.237522",0,21,303
1494634152,2017-05-13T00:09:12Z,VDA5136,"33.272976,44.238152",0,23,309
1494634146,2017-05-13T00:09:06Z,VDA5136,"33.272644,44.238605",0,24,315
1494634140,2017-05-13T00:09:00Z,VDA5136,"33.272198,44.239113",0,24,320
1494634134,2017-05-13T00:08:54Z,VDA5136,"33.271511,44.239662",0,31,329
1494634128,2017-05-13T00:08:48Z,VDA5136,"33.270676,44.240253",0,43,329
1494634122,2017-05-13T00:08:42Z,VDA5136,"33.268993,44.241394",0,59,331
1494634116,2017-05-13T00:08:36Z,VDA5136,"33.267696,44.242264",0,67,329
1494634110,2017-05-13T00:08:30Z,VDA5136,"33.265751,44.24361",0,84,329
1494634104,2017-05-13T00:08:24Z,VDA5136,"33.263203,44.245335",0,100,331
1494634098,2017-05-13T00:08:18Z,VDA5136,"33.261131,44.246723",0,115,331
1494634092,2017-05-13T00:08:12Z,VDA5136,"33.257263,44.249359",225,138,329
1494634079,2017-05-13T00:07:59Z,VDA5136,"33.250542,44.254051",350,136,331
1494634073,2017-05-13T00:07:53Z,VDA5136,"33.248493,44.255398",425,136,330
1494634067,2017-05-13T00:07:47Z,VDA5136,"33.245281,44.257526",500,134,329
1494634061,2017-05-13T00:07:41Z,VDA5136,"33.241974,44.25985",575,131,329
1494634055,2017-05-13T00:07:35Z,VDA5136,"33.238953,44.261883",650,126,330
1494634049,2017-05-13T00:07:29Z,VDA5136,"33.235691,44.264141",700,122,330
1494634043,2017-05-13T00:07:23Z,VDA5136,"33.232773,44.266167",775,118,330
1494634037,2017-05-13T00:07:17Z,VDA5136,"33.229919,44.26812",825,116,329
1494634031,2017-05-13T00:07:11Z,VDA5136,"33.227142,44.270123",900,115,328
1494634025,2017-05-13T00:07:05Z,VDA5136,"33.224487,44.272102",950,114,329
1494634019,2017-05-13T00:06:59Z,VDA5136,"33.221329,44.274242",1000,115,331
1494634013,2017-05-13T00:06:53Z,VDA5136,"33.218746,44.275856",1050,114,332
1494634007,2017-05-13T00:06:47Z,VDA5136,"33.215813,44.277706",1125,116,331
1494634001,2017-05-13T00:06:41Z,VDA5136,"33.21302,44.279556",1175,117,329
1494633995,2017-05-13T00:06:35Z,VDA5136,"33.210133,44.281574",1225,118,328
1494633989,2017-05-13T00:06:29Z,VDA5136,"33.20734,44.283646",1300,119,328
1494633983,2017-05-13T00:06:23Z,VDA5136,"33.204391,44.285835",1375,121,328
1494633977,2017-05-13T00:06:17Z,VDA5136,"33.201508,44.287865",1425,122,330
1494633971,2017-05-13T00:06:11Z,VDA5136,"33.198486,44.289898",1500,122,331
1494633965,2017-05-13T00:06:05Z,VDA5136,"33.195515,44.291775",1525,122,331
1494633959,2017-05-13T00:05:59Z,VDA5136,"33.192535,44.293736",1575,122,331
1494633953,2017-05-13T00:05:53Z,VDA5136,"33.189373,44.295811",1625,122,331
1494633947,2017-05-13T00:05:47Z,VDA5136,"33.18631,44.29781",1675,122,330
1494633941,2017-05-13T00:05:41Z,VDA5136,"33.18346,44.299847",1725,122,329
1494633935,2017-05-13T00:05:35Z,VDA5136,"33.180405,44.30204",1775,122,328
1494633929,2017-05-13T00:05:29Z,VDA5136,"33.177593,44.304108",1825,125,328
1494633922,2017-05-13T00:05:22Z,VDA5136,"33.174381,44.306404",1900,127,329
