Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1494987872,2017-05-17T02:24:32Z,VDA5137,"35.762878,140.379166",0,20,343
1494987743,2017-05-17T02:22:23Z,VDA5137,"35.732849,140.398026",525,133,328
1494987732,2017-05-17T02:22:12Z,VDA5137,"35.72773,140.401825",625,135,327
1494987722,2017-05-17T02:22:02Z,VDA5137,"35.723862,140.404694",725,134,327
1494987712,2017-05-17T02:21:52Z,VDA5137,"35.718281,140.408661",825,133,329
1494987702,2017-05-17T02:21:42Z,VDA5137,"35.712742,140.412811",975,136,328
1494987692,2017-05-17T02:21:32Z,VDA5137,"35.707169,140.416946",1125,137,328
1494987682,2017-05-17T02:21:22Z,VDA5137,"35.701721,140.421066",1250,133,328
1494987673,2017-05-17T02:21:13Z,VDA5137,"35.696579,140.424728",1375,131,329
1494987662,2017-05-17T02:21:02Z,VDA5137,"35.69096,140.428391",1450,133,330
1494987652,2017-05-17T02:20:52Z,VDA5137,"35.68396,140.433304",1550,132,328
1494987637,2017-05-17T02:20:37Z,VDA5137,"35.677361,140.438232",1725,132,329
1494987627,2017-05-17T02:20:27Z,VDA5137,"35.670792,140.442963",1825,136,329
1494987617,2017-05-17T02:20:17Z,VDA5137,"35.666199,140.446304",1950,135,329
1494987607,2017-05-17T02:20:07Z,VDA5137,"35.66008,140.450562",2050,131,328
1494987597,2017-05-17T02:19:57Z,VDA5137,"35.655029,140.454193",2175,135,327
1494987587,2017-05-17T02:19:47Z,VDA5137,"35.64986,140.458145",2300,139,325
1494987577,2017-05-17T02:19:37Z,VDA5137,"35.642899,140.46347",2500,147,329
1494987567,2017-05-17T02:19:27Z,VDA5137,"35.638088,140.466843",2625,150,331
1494987557,2017-05-17T02:19:17Z,VDA5137,"35.631691,140.471069",2725,147,330
1494987547,2017-05-17T02:19:07Z,VDA5137,"35.625309,140.475403",2925,149,329
1494987537,2017-05-17T02:18:57Z,VDA5137,"35.617359,140.481033",3100,154,326
1494987528,2017-05-17T02:18:48Z,VDA5137,"35.61311,140.484344",3200,156,326
1494987522,2017-05-17T02:18:42Z,VDA5137,"35.609852,140.486816",3275,157,326
1494987512,2017-05-17T02:18:32Z,VDA5137,"35.602291,140.492523",3500,158,327
1494987502,2017-05-17T02:18:22Z,VDA5137,"35.5952,140.497635",3750,163,330
1494987492,2017-05-17T02:18:12Z,VDA5137,"35.58947,140.501465",3925,161,332
1494987482,2017-05-17T02:18:02Z,VDA5137,"35.583019,140.505524",4025,162,333
1494987467,2017-05-17T02:17:47Z,VDA5137,"35.571579,140.5121",4100,180,333
1494987457,2017-05-17T02:17:37Z,VDA5137,"35.56181,140.518066",4075,203,329
1494987446,2017-05-17T02:17:26Z,VDA5137,"35.55254,140.52504",4225,205,322
1494987436,2017-05-17T02:17:16Z,VDA5137,"35.547379,140.529861",4350,212,319
1494987426,2017-05-17T02:17:06Z,VDA5137,"35.540489,140.539337",4625,208,297
1494987401,2017-05-17T02:16:41Z,VDA5137,"35.53574,140.569504",5075,219,269
1494987391,2017-05-17T02:16:31Z,VDA5137,"35.53616,140.58252",5075,232,262
1494987382,2017-05-17T02:16:22Z,VDA5137,"35.537891,140.59404",5150,239,248
1494987372,2017-05-17T02:16:12Z,VDA5137,"35.543839,140.610046",5100,247,238
1494987366,2017-05-17T02:16:06Z,VDA5137,"35.545658,140.613251",5075,254,231
1494987356,2017-05-17T02:15:56Z,VDA5137,"35.55368,140.622879",5075,263,211
1494987341,2017-05-17T02:15:41Z,VDA5137,"35.570801,140.633179",5125,262,201
1494987326,2017-05-17T02:15:26Z,VDA5137,"35.588749,140.641815",5250,264,202
1494987312,2017-05-17T02:15:12Z,VDA5137,"35.60487,140.650131",5425,262,203
1494987296,2017-05-17T02:14:56Z,VDA5137,"35.622299,140.658707",5650,260,202
1494987286,2017-05-17T02:14:46Z,VDA5137,"35.634899,140.665085",5825,267,203
1494987276,2017-05-17T02:14:36Z,VDA5137,"35.646858,140.67128",5975,269,198
1494987266,2017-05-17T02:14:26Z,VDA5137,"35.65897,140.674789",6100,261,184
1494987251,2017-05-17T02:14:11Z,VDA5137,"35.677448,140.676132",6250,273,182
1494987240,2017-05-17T02:14:00Z,VDA5137,"35.690811,140.676834",6325,276,182
1494987226,2017-05-17T02:13:46Z,VDA5137,"35.709229,140.677933",6425,277,182
1494987211,2017-05-17T02:13:31Z,VDA5137,"35.730968,140.679245",6550,276,183
1494987196,2017-05-17T02:13:16Z,VDA5137,"35.748371,140.680557",6625,278,183
1494987181,2017-05-17T02:13:01Z,VDA5137,"35.77158,140.682159",6725,278,182
1494987167,2017-05-17T02:12:47Z,VDA5137,"35.78828,140.683136",6800,277,182
1494987152,2017-05-17T02:12:32Z,VDA5137,"35.808289,140.684509",6900,287,183
1494987136,2017-05-17T02:12:16Z,VDA5137,"35.832321,140.686172",7125,289,183
1494987121,2017-05-17T02:12:01Z,VDA5137,"35.848621,140.687134",7350,289,182
1494987106,2017-05-17T02:11:46Z,VDA5137,"35.873341,140.688461",7725,287,182
1494987091,2017-05-17T02:11:31Z,VDA5137,"35.8932,140.689484",8050,278,182
1494987078,2017-05-17T02:11:18Z,VDA5137,"35.90543,140.690231",8200,287,183
1494987058,2017-05-17T02:10:58Z,VDA5137,"35.93285,140.691772",8450,291,181
1494987035,2017-05-17T02:10:35Z,VDA5137,"35.965141,140.691971",8825,294,172
1494987023,2017-05-17T02:10:23Z,VDA5137,"35.978409,140.688644",9000,295,162
1494987011,2017-05-17T02:10:11Z,VDA5137,"35.994965,140.681824",9225,296,161
1494986996,2017-05-17T02:09:56Z,VDA5137,"36.016708,140.672607",9525,298,161
1494986984,2017-05-17T02:09:44Z,VDA5137,"36.02948,140.667175",9700,299,160
1494986972,2017-05-17T02:09:32Z,VDA5137,"36.045956,140.660004",9900,301,160
1494986960,2017-05-17T02:09:20Z,VDA5137,"36.061615,140.653046",10125,302,160
1494986948,2017-05-17T02:09:08Z,VDA5137,"36.077499,140.645996",10300,303,160
1494986936,2017-05-17T02:08:56Z,VDA5137,"36.093292,140.638901",10525,304,160
1494986924,2017-05-17T02:08:44Z,VDA5137,"36.10899,140.631897",10750,304,160
1494986912,2017-05-17T02:08:32Z,VDA5137,"36.125198,140.624664",10925,307,160
1494986899,2017-05-17T02:08:19Z,VDA5137,"36.143948,140.616119",11050,310,159
1494986887,2017-05-17T02:08:07Z,VDA5137,"36.158615,140.609436",11100,312,160
1494986875,2017-05-17T02:07:55Z,VDA5137,"36.174728,140.602341",11125,317,160
1494986863,2017-05-17T02:07:43Z,VDA5137,"36.19162,140.594849",11200,320,160
1494986851,2017-05-17T02:07:31Z,VDA5137,"36.210022,140.586777",11275,321,160
1494986839,2017-05-17T02:07:19Z,VDA5137,"36.225632,140.580078",11400,321,160
1494986827,2017-05-17T02:07:07Z,VDA5137,"36.242313,140.572815",11550,322,160
1494986814,2017-05-17T02:06:54Z,VDA5137,"36.263866,140.563293",11675,324,160
1494986799,2017-05-17T02:06:39Z,VDA5137,"36.282257,140.555573",11800,323,162
1494986793,2017-05-17T02:06:33Z,VDA5137,"36.292404,140.551544",11900,322,164
1494986772,2017-05-17T02:06:12Z,VDA5137,"36.324524,140.544067",12250,318,183
1494986756,2017-05-17T02:05:56Z,VDA5137,"36.34465,140.548096",12450,318,194
1494986724,2017-05-17T02:05:24Z,VDA5137,"36.390198,140.564346",12975,320,196
1494986691,2017-05-17T02:04:51Z,VDA5137,"36.438438,140.58252",13500,322,196
1494986656,2017-05-17T02:04:16Z,VDA5137,"36.48848,140.601257",14175,321,196
1494986620,2017-05-17T02:03:40Z,VDA5137,"36.540985,140.62059",14825,325,196
1494986585,2017-05-17T02:03:05Z,VDA5137,"36.590851,140.639084",15225,329,196
1494986551,2017-05-17T02:02:31Z,VDA5137,"36.640182,140.657791",15600,329,196
1494986520,2017-05-17T02:02:00Z,VDA5137,"36.685677,140.675262",16075,331,196
1494986489,2017-05-17T02:01:29Z,VDA5137,"36.732971,140.693085",16650,330,197
1494986408,2017-05-17T02:00:08Z,VDA5137,"36.855331,140.720901",18550,350,176
1494986399,2017-05-17T01:59:59Z,VDA5137,"36.87149,140.718857",18850,353,169
1494986393,2017-05-17T01:59:53Z,VDA5137,"36.880371,140.716507",19050,355,164
1494986387,2017-05-17T01:59:47Z,VDA5137,"36.891174,140.712372",19275,357,159
1494986378,2017-05-17T01:59:38Z,VDA5137,"36.906693,140.704712",19575,360,155
1494986372,2017-05-17T01:59:32Z,VDA5137,"36.912434,140.701248",19675,362,152
1494986366,2017-05-17T01:59:26Z,VDA5137,"36.92123,140.694794",19875,370,141
1494986309,2017-05-17T01:58:29Z,VDA5137,"36.988678,140.60022",21525,381,129
1494986246,2017-05-17T01:57:26Z,VDA5137,"37.060318,140.49205",22700,395,129
1494986185,2017-05-17T01:56:25Z,VDA5137,"37.131592,140.384827",24125,402,129
1494986122,2017-05-17T01:55:22Z,VDA5137,"37.210835,140.265442",25000,414,129
1494986059,2017-05-17T01:54:19Z,VDA5137,"37.28392,140.154434",25000,411,129
1494985998,2017-05-17T01:53:18Z,VDA5137,"37.356308,140.043854",24975,404,129
1494985936,2017-05-17T01:52:16Z,VDA5137,"37.430977,139.930237",25025,392,130
