Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1495440906,2017-05-22T08:15:06Z,VDA3047,"54.943092,38.843662",2450,141,108
1495440900,2017-05-22T08:15:00Z,VDA3047,"54.944504,38.836025",2550,140,107
1495440891,2017-05-22T08:14:51Z,VDA3047,"54.946609,38.825119",2475,144,111
1495440885,2017-05-22T08:14:45Z,VDA3047,"54.947609,38.820774",2450,144,112
1495440879,2017-05-22T08:14:39Z,VDA3047,"54.949127,38.814453",2425,143,111
1495440873,2017-05-22T08:14:33Z,VDA3047,"54.950546,38.807991",2400,137,110
1495440867,2017-05-22T08:14:27Z,VDA3047,"54.951797,38.802048",2400,135,109
1495440857,2017-05-22T08:14:17Z,VDA3047,"54.953568,38.79232",2425,138,105
1495440851,2017-05-22T08:14:11Z,VDA3047,"54.954544,38.7864",2450,144,106
1495440845,2017-05-22T08:14:05Z,VDA3047,"54.955811,38.779556",2500,150,109
1495440839,2017-05-22T08:13:59Z,VDA3047,"54.957413,38.77269",2525,156,116
1495440833,2017-05-22T08:13:53Z,VDA3047,"54.959427,38.765663",2575,161,120
1495440827,2017-05-22T08:13:47Z,VDA3047,"54.961853,38.759201",2575,162,130
1495440821,2017-05-22T08:13:41Z,VDA3047,"54.964966,38.753304",2550,162,135
1495440815,2017-05-22T08:13:35Z,VDA3047,"54.968079,38.747971",2500,161,129
1495440806,2017-05-22T08:13:26Z,VDA3047,"54.972561,38.737961",2525,161,125
1495440800,2017-05-22T08:13:20Z,VDA3047,"54.974808,38.732704",2525,164,128
1495440776,2017-05-22T08:12:56Z,VDA3047,"54.992809,38.719398",2600,190,190
1495440770,2017-05-22T08:12:50Z,VDA3047,"54.997192,38.721153",2550,199,200
1495440764,2017-05-22T08:12:44Z,VDA3047,"55.002274,38.724869",2525,204,205
1495440758,2017-05-22T08:12:38Z,VDA3047,"55.007858,38.729633",2575,203,207
1495440752,2017-05-22T08:12:32Z,VDA3047,"55.012314,38.733799",2575,198,211
1495440746,2017-05-22T08:12:26Z,VDA3047,"55.01683,38.73941",2575,197,222
1495440725,2017-05-22T08:12:05Z,VDA3047,"55.023972,38.768974",2500,191,270
1495440719,2017-05-22T08:11:59Z,VDA3047,"55.02372,38.780491",2525,192,271
1495440694,2017-05-22T08:11:34Z,VDA3047,"55.024372,38.82019",2550,190,281
1495440688,2017-05-22T08:11:28Z,VDA3047,"55.023239,38.827541",2525,188,295
1495440682,2017-05-22T08:11:22Z,VDA3047,"55.02063,38.835457",2575,184,309
1495440676,2017-05-22T08:11:16Z,VDA3047,"55.016556,38.842567",2575,183,324
1495440670,2017-05-22T08:11:10Z,VDA3047,"55.012848,38.846767",2575,185,329
1495440664,2017-05-22T08:11:04Z,VDA3047,"55.008957,38.850807",2525,187,329
1495440525,2017-05-22T08:08:45Z,VDA3047,"54.899551,38.938454",4925,193,10
1495440519,2017-05-22T08:08:39Z,VDA3047,"54.894352,38.936794",5050,193,10
1495440507,2017-05-22T08:08:27Z,VDA3047,"54.884205,38.933632",5250,195,10
1495440495,2017-05-22T08:08:15Z,VDA3047,"54.873917,38.930298",5275,206,9
1495440483,2017-05-22T08:08:03Z,VDA3047,"54.862091,38.926807",5225,219,9
1495440471,2017-05-22T08:07:51Z,VDA3047,"54.849754,38.922977",5425,223,10
1495440459,2017-05-22T08:07:39Z,VDA3047,"54.837418,38.919315",5575,228,9
1495440447,2017-05-22T08:07:27Z,VDA3047,"54.824711,38.915737",5525,238,9
1495440435,2017-05-22T08:07:15Z,VDA3047,"54.810333,38.911152",5500,250,10
1495440423,2017-05-22T08:07:03Z,VDA3047,"54.79771,38.907166",5650,252,9
1495440411,2017-05-22T08:06:51Z,VDA3047,"54.783836,38.903088",5850,254,10
1495440399,2017-05-22T08:06:39Z,VDA3047,"54.769272,38.898308",6100,252,11
1495440387,2017-05-22T08:06:27Z,VDA3047,"54.755814,38.893848",6300,254,9
1495440375,2017-05-22T08:06:15Z,VDA3047,"54.741894,38.889938",6575,252,9
1495440363,2017-05-22T08:06:03Z,VDA3047,"54.727798,38.88538",6925,246,10
1495440351,2017-05-22T08:05:51Z,VDA3047,"54.714287,38.881031",7225,243,9
1495440339,2017-05-22T08:05:39Z,VDA3047,"54.700699,38.87706",7350,247,9
1495440327,2017-05-22T08:05:27Z,VDA3047,"54.688126,38.873539",7500,252,9
1495440315,2017-05-22T08:05:15Z,VDA3047,"54.67244,38.868713",7800,258,10
1495440303,2017-05-22T08:05:03Z,VDA3047,"54.658287,38.864304",8100,260,9
1495440291,2017-05-22T08:04:51Z,VDA3047,"54.645493,38.860661",8400,261,9
1495440279,2017-05-22T08:04:39Z,VDA3047,"54.63121,38.856541",8650,263,10
1495440267,2017-05-22T08:04:27Z,VDA3047,"54.616203,38.85165",8925,265,10
1495440246,2017-05-22T08:04:06Z,VDA3047,"54.592041,38.844662",9700,263,9
1495440235,2017-05-22T08:03:55Z,VDA3047,"54.577881,38.840305",10200,263,10
1495440222,2017-05-22T08:03:42Z,VDA3047,"54.562435,38.835339",10500,270,10
