Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1496151398,2017-05-30T13:36:38Z,VDA2112,"47.156498,-1.608001",0,33,26
1496151317,2017-05-30T13:35:17Z,VDA2112,"47.128601,-1.62941",250,134,27
1496151311,2017-05-30T13:35:11Z,VDA2112,"47.125122,-1.632156",325,136,28
1496151305,2017-05-30T13:35:05Z,VDA2112,"47.122467,-1.634148",400,137,26
1496151299,2017-05-30T13:34:59Z,VDA2112,"47.119171,-1.63662",450,136,26
1496151293,2017-05-30T13:34:53Z,VDA2112,"47.115189,-1.639503",525,134,25
1496151287,2017-05-30T13:34:47Z,VDA2112,"47.111801,-1.641907",600,133,26
1496151281,2017-05-30T13:34:41Z,VDA2112,"47.109097,-1.643935",650,133,27
1496151275,2017-05-30T13:34:35Z,VDA2112,"47.105743,-1.646611",750,133,29
1496151269,2017-05-30T13:34:29Z,VDA2112,"47.102577,-1.649217",825,134,29
1496151263,2017-05-30T13:34:23Z,VDA2112,"47.099304,-1.651863",875,136,27
1496151257,2017-05-30T13:34:17Z,VDA2112,"47.095779,-1.654541",950,136,26
1496151251,2017-05-30T13:34:11Z,VDA2112,"47.091797,-1.657356",1025,135,25
1496151245,2017-05-30T13:34:05Z,VDA2112,"47.088333,-1.659781",1100,134,25
1496151239,2017-05-30T13:33:59Z,VDA2112,"47.0854,-1.661893",1150,134,26
1496151233,2017-05-30T13:33:53Z,VDA2112,"47.081676,-1.66471",1225,135,28
1496151227,2017-05-30T13:33:47Z,VDA2112,"47.077972,-1.667725",1325,136,29
1496151221,2017-05-30T13:33:41Z,VDA2112,"47.075775,-1.669579",1375,137,29
1496151215,2017-05-30T13:33:35Z,VDA2112,"47.072205,-1.672531",1425,137,29
1496151209,2017-05-30T13:33:29Z,VDA2112,"47.068817,-1.675278",1525,139,27
1496151203,2017-05-30T13:33:23Z,VDA2112,"47.065056,-1.678091",1625,140,26
1496151197,2017-05-30T13:33:17Z,VDA2112,"47.061859,-1.680359",1675,141,25
1496151191,2017-05-30T13:33:11Z,VDA2112,"47.058105,-1.682899",1775,143,23
1496151185,2017-05-30T13:33:05Z,VDA2112,"47.054352,-1.685371",1875,144,23
1496151179,2017-05-30T13:32:59Z,VDA2112,"47.05109,-1.687458",1950,145,23
1496151171,2017-05-30T13:32:51Z,VDA2112,"47.045647,-1.69119",2100,146,26
1496151165,2017-05-30T13:32:45Z,VDA2112,"47.041672,-1.69416",2225,147,30
1496151159,2017-05-30T13:32:39Z,VDA2112,"47.038605,-1.696632",2300,148,31
1496151153,2017-05-30T13:32:33Z,VDA2112,"47.034531,-1.700272",2425,147,32
1496151144,2017-05-30T13:32:24Z,VDA2112,"47.0294,-1.705275",2575,150,34
1496151135,2017-05-30T13:32:15Z,VDA2112,"47.024048,-1.710846",2725,147,36
1496151127,2017-05-30T13:32:07Z,VDA2112,"47.020321,-1.714994",2750,143,38
1496151108,2017-05-30T13:31:48Z,VDA2112,"47.011368,-1.726707",2700,142,44
1496151102,2017-05-30T13:31:42Z,VDA2112,"47.008759,-1.730621",2700,143,50
1496151096,2017-05-30T13:31:36Z,VDA2112,"47.006058,-1.73584",2725,147,58
1496151090,2017-05-30T13:31:30Z,VDA2112,"47.00412,-1.740488",2750,148,59
1496151082,2017-05-30T13:31:22Z,VDA2112,"47.000931,-1.748543",2800,153,59
1496151076,2017-05-30T13:31:16Z,VDA2112,"46.998596,-1.754311",2825,160,59
1496151069,2017-05-30T13:31:09Z,VDA2112,"46.99649,-1.759666",2850,166,60
1496151063,2017-05-30T13:31:03Z,VDA2112,"46.994019,-1.765841",2850,174,60
1496151051,2017-05-30T13:30:51Z,VDA2112,"46.989029,-1.778824",2825,196,60
1496151039,2017-05-30T13:30:39Z,VDA2112,"46.983685,-1.793025",2850,196,62
1496151033,2017-05-30T13:30:33Z,VDA2112,"46.980938,-1.801265",2850,196,65
1496151024,2017-05-30T13:30:24Z,VDA2112,"46.977814,-1.812538",2825,200,68
1496151012,2017-05-30T13:30:12Z,VDA2112,"46.973907,-1.82704",2850,202,68
1496151003,2017-05-30T13:30:03Z,VDA2112,"46.970741,-1.838731",2850,205,68
1496150997,2017-05-30T13:29:57Z,VDA2112,"46.968788,-1.846055",2850,206,68
1496150988,2017-05-30T13:29:48Z,VDA2112,"46.965637,-1.857857",2850,207,69
1496150979,2017-05-30T13:29:39Z,VDA2112,"46.961803,-1.872253",2825,207,68
1496150973,2017-05-30T13:29:33Z,VDA2112,"46.960327,-1.877701",2825,206,69
1496150967,2017-05-30T13:29:27Z,VDA2112,"46.957989,-1.887043",2850,205,78
1496150947,2017-05-30T13:29:07Z,VDA2112,"46.958454,-1.914368",3125,197,117
1496150941,2017-05-30T13:29:01Z,VDA2112,"46.960419,-1.920273",3225,199,117
1496150935,2017-05-30T13:28:55Z,VDA2112,"46.963394,-1.928444",3325,203,118
1496150929,2017-05-30T13:28:49Z,VDA2112,"46.965481,-1.933946",3375,204,119
1496150923,2017-05-30T13:28:43Z,VDA2112,"46.968647,-1.942397",3450,210,118
1496150917,2017-05-30T13:28:37Z,VDA2112,"46.971302,-1.949439",3550,210,118
1496150909,2017-05-30T13:28:29Z,VDA2112,"46.974934,-1.959369",3700,210,118
1496150903,2017-05-30T13:28:23Z,VDA2112,"46.978004,-1.967468",3775,214,121
1496150897,2017-05-30T13:28:17Z,VDA2112,"46.981541,-1.975215",3850,218,137
1496150891,2017-05-30T13:28:11Z,VDA2112,"46.986145,-1.98214",3900,217,141
