Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1497227941,2017-06-12T00:39:01Z,VDA7902,"32.148514,7.641595",29000,424,168
1497227921,2017-06-12T00:38:41Z,VDA7902,"32.181747,7.633521",29025,424,168
1497227831,2017-06-12T00:37:11Z,VDA7902,"32.357574,7.590838",29000,423,168
1497227825,2017-06-12T00:37:05Z,VDA7902,"32.367371,7.588531",29000,423,168
1497227608,2017-06-12T00:33:28Z,VDA7902,"32.782013,7.487622",29000,420,168
1497227533,2017-06-12T00:32:13Z,VDA7902,"32.925522,7.452631",29000,420,168
1497227448,2017-06-12T00:30:48Z,VDA7902,"33.087891,7.41275",29000,419,168
1497227390,2017-06-12T00:29:50Z,VDA7902,"33.196198,7.386328",29000,419,168
1497227328,2017-06-12T00:28:48Z,VDA7902,"33.316269,7.3565",28975,418,168
1497227267,2017-06-12T00:27:47Z,VDA7902,"33.430481,7.327881",28975,419,168
1497225021,2017-06-11T23:50:21Z,VDA7902,"37.654816,6.322165",24975,415,169
1497225008,2017-06-11T23:50:08Z,VDA7902,"37.678867,6.316482",24975,416,169
1497224947,2017-06-11T23:49:07Z,VDA7902,"37.794891,6.288621",25000,415,169
1497224886,2017-06-11T23:48:06Z,VDA7902,"37.909534,6.261013",25000,414,169
1497224709,2017-06-11T23:45:09Z,VDA7902,"38.245789,6.180452",24975,413,168
1497224663,2017-06-11T23:44:23Z,VDA7902,"38.330692,6.159807",24975,413,169
1497224571,2017-06-11T23:42:51Z,VDA7902,"38.502285,6.119629",25000,412,169
1497224559,2017-06-11T23:42:39Z,VDA7902,"38.525517,6.114197",25000,412,169
1497224498,2017-06-11T23:41:38Z,VDA7902,"38.640106,6.087262",25000,411,169
1497224407,2017-06-11T23:40:07Z,VDA7902,"38.812973,6.046204",25000,410,169
1497224355,2017-06-11T23:39:15Z,VDA7902,"38.90757,6.023682",25000,408,169
1497224294,2017-06-11T23:38:14Z,VDA7902,"39.020279,5.996804",24975,407,169
1497224231,2017-06-11T23:37:11Z,VDA7902,"39.138062,5.968204",24975,405,169
1497224170,2017-06-11T23:36:10Z,VDA7902,"39.251358,5.940857",24950,406,169
1497224106,2017-06-11T23:35:06Z,VDA7902,"39.36969,5.910645",25025,406,172
1497224100,2017-06-11T23:35:00Z,VDA7902,"39.379982,5.908813",24950,407,171
1497224039,2017-06-11T23:33:59Z,VDA7902,"39.489101,5.864624",24975,407,161
1497223976,2017-06-11T23:32:56Z,VDA7902,"39.609299,5.81195",25000,407,161
1497223910,2017-06-11T23:31:50Z,VDA7902,"39.725208,5.7605",25000,414,161
1497223820,2017-06-11T23:30:20Z,VDA7902,"39.885502,5.68937",25000,410,161
1497223725,2017-06-11T23:28:45Z,VDA7902,"40.058201,5.61227",24975,405,161
1497223696,2017-06-11T23:28:16Z,VDA7902,"40.108101,5.59004",24975,407,160
1497223608,2017-06-11T23:26:48Z,VDA7902,"40.289799,5.5075",24975,418,160
1497223596,2017-06-11T23:26:36Z,VDA7902,"40.311798,5.4974",24975,419,160
1497223507,2017-06-11T23:25:07Z,VDA7902,"40.454956,5.433411",25000,422,161
1497223501,2017-06-11T23:25:01Z,VDA7902,"40.463791,5.429504",24975,422,161
1497223412,2017-06-11T23:23:32Z,VDA7902,"40.627945,5.354858",25000,424,160
1497223360,2017-06-11T23:22:40Z,VDA7902,"40.72971,5.30804",25000,422,160
1497223327,2017-06-11T23:22:07Z,VDA7902,"40.792603,5.279236",24975,425,161
1497223286,2017-06-11T23:21:26Z,VDA7902,"40.862156,5.247158",25000,424,161
1497223225,2017-06-11T23:20:25Z,VDA7902,"40.974518,5.19574",25000,424,160
1497223164,2017-06-11T23:19:24Z,VDA7902,"41.087795,5.143349",25000,424,160
1497223100,2017-06-11T23:18:20Z,VDA7902,"41.205597,5.089233",24975,424,161
1497223012,2017-06-11T23:16:52Z,VDA7902,"41.372864,5.012451",24975,426,161
1497223006,2017-06-11T23:16:46Z,VDA7902,"41.380749,5.008954",24975,425,161
1497222945,2017-06-11T23:15:45Z,VDA7902,"41.49408,4.957705",24975,427,161
1497222882,2017-06-11T23:14:42Z,VDA7902,"41.61351,4.902711",25000,428,161
1497222821,2017-06-11T23:13:41Z,VDA7902,"41.72644,4.84934",25000,429,159
1497222760,2017-06-11T23:12:40Z,VDA7902,"41.84317,4.793036",24975,430,160
1497222699,2017-06-11T23:11:39Z,VDA7902,"41.955345,4.73894",24975,429,160
1497222636,2017-06-11T23:10:36Z,VDA7902,"42.0737,4.681487",25000,428,160
1497222575,2017-06-11T23:09:35Z,VDA7902,"42.188049,4.625868",25000,429,160
1497222512,2017-06-11T23:08:32Z,VDA7902,"42.307022,4.567878",25000,429,159
1497222450,2017-06-11T23:07:30Z,VDA7902,"42.421425,4.512187",25000,427,160
1497222389,2017-06-11T23:06:29Z,VDA7902,"42.534393,4.456704",25000,424,159
1497222328,2017-06-11T23:05:28Z,VDA7902,"42.64632,4.401685",25000,422,160
1497222267,2017-06-11T23:04:27Z,VDA7902,"42.757874,4.346716",25000,422,160
1497222204,2017-06-11T23:03:24Z,VDA7902,"42.876148,4.288199",24975,423,159
1497222140,2017-06-11T23:02:20Z,VDA7902,"42.993366,4.229409",25000,424,159
1497222073,2017-06-11T23:01:13Z,VDA7902,"43.116852,4.167587",25000,424,159
1497222011,2017-06-11T23:00:11Z,VDA7902,"43.228642,4.111241",25025,420,160
1497221948,2017-06-11T22:59:08Z,VDA7902,"43.345673,4.05232",25025,411,159
1497221887,2017-06-11T22:58:07Z,VDA7902,"43.452,3.997127",24975,404,159
1497221826,2017-06-11T22:57:06Z,VDA7902,"43.557449,3.943325",25000,394,160
1497221765,2017-06-11T22:56:05Z,VDA7902,"43.66288,3.890076",24975,384,159
1497221700,2017-06-11T22:55:00Z,VDA7902,"43.768135,3.836256",24725,382,159
1497221637,2017-06-11T22:53:57Z,VDA7902,"43.872849,3.782618",24475,378,159
1497221576,2017-06-11T22:52:56Z,VDA7902,"43.972454,3.731755",24150,377,159
1497221515,2017-06-11T22:51:55Z,VDA7902,"44.070911,3.67787",23850,376,156
1497221452,2017-06-11T22:50:52Z,VDA7902,"44.172958,3.61629",23350,378,156
1497221391,2017-06-11T22:49:51Z,VDA7902,"44.270664,3.556958",22900,379,156
1497221328,2017-06-11T22:48:48Z,VDA7902,"44.372337,3.495528",22550,377,156
1497221267,2017-06-11T22:47:47Z,VDA7902,"44.469543,3.436105",22175,375,155
1497221204,2017-06-11T22:46:44Z,VDA7902,"44.569859,3.374812",21775,374,156
1497221143,2017-06-11T22:45:43Z,VDA7902,"44.665756,3.315192",21375,373,155
1497221082,2017-06-11T22:44:42Z,VDA7902,"44.761513,3.255705",20950,371,156
1497221019,2017-06-11T22:43:39Z,VDA7902,"44.861275,3.193337",20475,370,155
1497220958,2017-06-11T22:42:38Z,VDA7902,"44.955635,3.134185",20025,369,156
1497220895,2017-06-11T22:41:35Z,VDA7902,"45.05484,3.07155",19575,366,155
1497220834,2017-06-11T22:40:34Z,VDA7902,"45.149014,3.011996",19050,366,156
1497220773,2017-06-11T22:39:33Z,VDA7902,"45.242065,2.953426",18775,358,156
1497220712,2017-06-11T22:38:32Z,VDA7902,"45.336155,2.893893",18250,357,155
1497220678,2017-06-11T22:37:58Z,VDA7902,"45.387501,2.861202",17925,357,155
1497220645,2017-06-11T22:37:25Z,VDA7902,"45.436939,2.829649",17675,355,155
1497220614,2017-06-11T22:36:54Z,VDA7902,"45.481815,2.800844",17375,353,156
1497220581,2017-06-11T22:36:21Z,VDA7902,"45.532047,2.768555",17125,351,155
1497220548,2017-06-11T22:35:48Z,VDA7902,"45.583439,2.735458",16800,349,156
1497220515,2017-06-11T22:35:15Z,VDA7902,"45.628922,2.706656",16575,345,155
1497220484,2017-06-11T22:34:44Z,VDA7902,"45.676033,2.676613",16200,345,155
1497220451,2017-06-11T22:34:11Z,VDA7902,"45.722118,2.647224",15900,342,155
