Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1465157524,2016-06-05T20:12:04Z,VDA2255,"32.9082,-80.0443",75,141,147
1465157518,2016-06-05T20:11:58Z,VDA2255,"32.9124,-80.0475",100,141,147
1465157512,2016-06-05T20:11:52Z,VDA2255,"32.9158,-80.0501",175,142,147
1465157506,2016-06-05T20:11:46Z,VDA2255,"32.9176,-80.0513",225,144,147
1465157500,2016-06-05T20:11:40Z,VDA2255,"32.921,-80.0539",300,146,147
1465157494,2016-06-05T20:11:34Z,VDA2255,"32.9247,-80.0567",400,148,147
1465157488,2016-06-05T20:11:28Z,VDA2255,"32.928,-80.0592",450,150,147
1465157482,2016-06-05T20:11:22Z,VDA2255,"32.9317,-80.062",550,152,147
1465157476,2016-06-05T20:11:16Z,VDA2255,"32.9355,-80.0648",600,155,147
1465157470,2016-06-05T20:11:10Z,VDA2255,"32.939,-80.0675",700,155,147
1465157464,2016-06-05T20:11:04Z,VDA2255,"32.9428,-80.0704",775,157,147
1465157458,2016-06-05T20:10:58Z,VDA2255,"32.9463,-80.0731",875,158,147
1465157452,2016-06-05T20:10:52Z,VDA2255,"32.9501,-80.076",975,159,147
1465157446,2016-06-05T20:10:46Z,VDA2255,"32.9539,-80.079",1075,159,147
1465157440,2016-06-05T20:10:40Z,VDA2255,"32.9575,-80.0817",1175,157,147
1465157434,2016-06-05T20:10:34Z,VDA2255,"32.9614,-80.0847",1250,156,148
1465157428,2016-06-05T20:10:28Z,VDA2255,"32.965,-80.0874",1350,156,148
1465157422,2016-06-05T20:10:22Z,VDA2255,"32.9687,-80.09",1425,157,148
1465157416,2016-06-05T20:10:16Z,VDA2255,"32.9724,-80.0927",1475,158,149
1465157410,2016-06-05T20:10:10Z,VDA2255,"32.9766,-80.0957",1550,160,148
1465157404,2016-06-05T20:10:04Z,VDA2255,"32.98,-80.0981",1600,159,149
1465157398,2016-06-05T20:09:58Z,VDA2255,"32.9838,-80.1009",1650,159,147
1465157392,2016-06-05T20:09:52Z,VDA2255,"32.9876,-80.1038",1725,157,145
1465157386,2016-06-05T20:09:46Z,VDA2255,"32.9914,-80.107",1800,153,145
1465157380,2016-06-05T20:09:40Z,VDA2255,"32.9948,-80.1097",1875,152,146
1465157374,2016-06-05T20:09:34Z,VDA2255,"32.9985,-80.1125",1925,156,147
1465157368,2016-06-05T20:09:28Z,VDA2255,"33.0023,-80.1154",1975,161,147
1465157362,2016-06-05T20:09:22Z,VDA2255,"33.0059,-80.1182",2075,165,147
1465157356,2016-06-05T20:09:16Z,VDA2255,"33.01,-80.1213",2175,168,148
1465157350,2016-06-05T20:09:10Z,VDA2255,"33.014,-80.1242",2275,172,147
1465157344,2016-06-05T20:09:04Z,VDA2255,"33.0182,-80.1274",2400,176,147
1465157338,2016-06-05T20:08:58Z,VDA2255,"33.0222,-80.1304",2500,178,147
1465157332,2016-06-05T20:08:52Z,VDA2255,"33.0266,-80.1337",2625,179,147
1465157326,2016-06-05T20:08:46Z,VDA2255,"33.0306,-80.1369",2750,182,147
1465157320,2016-06-05T20:08:40Z,VDA2255,"33.0352,-80.1404",2925,183,147
1465157314,2016-06-05T20:08:34Z,VDA2255,"33.0393,-80.1435",3125,181,147
1465157308,2016-06-05T20:08:28Z,VDA2255,"33.0438,-80.147",3325,183,147
1465157302,2016-06-05T20:08:22Z,VDA2255,"33.0479,-80.15",3500,183,147
1465157296,2016-06-05T20:08:16Z,VDA2255,"33.0524,-80.1534",3725,183,147
1465157290,2016-06-05T20:08:10Z,VDA2255,"33.0567,-80.1567",3975,182,147
1465157284,2016-06-05T20:08:04Z,VDA2255,"33.0609,-80.1599",4200,180,147
1465157278,2016-06-05T20:07:58Z,VDA2255,"33.0652,-80.1631",4450,182,147
1465157272,2016-06-05T20:07:52Z,VDA2255,"33.0695,-80.1663",4550,185,148
1465157266,2016-06-05T20:07:46Z,VDA2255,"33.0742,-80.1699",4725,190,148
1465157260,2016-06-05T20:07:40Z,VDA2255,"33.0787,-80.1731",4925,191,148
1465157248,2016-06-05T20:07:28Z,VDA2255,"33.0878,-80.1799",5200,191,147
1465157236,2016-06-05T20:07:16Z,VDA2255,"33.0966,-80.1867",5700,185,145
1465157224,2016-06-05T20:07:04Z,VDA2255,"33.1054,-80.194",5950,198,144
1465157212,2016-06-05T20:06:52Z,VDA2255,"33.1147,-80.2018",6000,208,144
1465157199,2016-06-05T20:06:39Z,VDA2255,"33.1242,-80.2095",6325,208,146
1465157188,2016-06-05T20:06:28Z,VDA2255,"33.1339,-80.2172",6700,208,147
1465157175,2016-06-05T20:06:15Z,VDA2255,"33.1438,-80.2245",6975,214,149
1465157164,2016-06-05T20:06:04Z,VDA2255,"33.1544,-80.2318",7200,219,150
1465157151,2016-06-05T20:05:51Z,VDA2255,"33.1653,-80.2389",7625,215,152
1465157139,2016-06-05T20:05:39Z,VDA2255,"33.1757,-80.2451",8025,209,153
1465157127,2016-06-05T20:05:27Z,VDA2255,"33.1865,-80.2514",8125,217,154
1465157115,2016-06-05T20:05:15Z,VDA2255,"33.198,-80.2575",8150,228,157
1465157103,2016-06-05T20:05:03Z,VDA2255,"33.2101,-80.2633",8150,234,159
1465157091,2016-06-05T20:04:51Z,VDA2255,"33.2222,-80.2686",8175,232,160
1465157079,2016-06-05T20:04:39Z,VDA2255,"33.2344,-80.2735",8150,227,163
1465157067,2016-06-05T20:04:27Z,VDA2255,"33.2464,-80.2773",8125,222,167
1465157055,2016-06-05T20:04:15Z,VDA2255,"33.2587,-80.2803",8125,217,169
1465157043,2016-06-05T20:04:03Z,VDA2255,"33.2708,-80.2829",8175,215,169
1465157031,2016-06-05T20:03:51Z,VDA2255,"33.2825,-80.2855",8150,220,169
1465157019,2016-06-05T20:03:39Z,VDA2255,"33.2949,-80.2881",8100,231,170
1465157007,2016-06-05T20:03:27Z,VDA2255,"33.3079,-80.2909",7975,243,169
1465156995,2016-06-05T20:03:15Z,VDA2255,"33.3221,-80.2941",8100,246,169
1465156983,2016-06-05T20:03:03Z,VDA2255,"33.335,-80.2969",8100,254,169
1465156971,2016-06-05T20:02:51Z,VDA2255,"33.3502,-80.3003",8125,261,169
1465156959,2016-06-05T20:02:39Z,VDA2255,"33.3635,-80.3033",8150,268,169
1465156944,2016-06-05T20:02:24Z,VDA2255,"33.382,-80.3079",8175,273,167
1465156938,2016-06-05T20:02:18Z,VDA2255,"33.3903,-80.3099",8225,270,169
1465156914,2016-06-05T20:01:54Z,VDA2255,"33.4218,-80.3137",8400,277,184
1465156908,2016-06-05T20:01:48Z,VDA2255,"33.4274,-80.3129",8425,278,191
1465156896,2016-06-05T20:01:36Z,VDA2255,"33.4423,-80.3074",8500,282,203
1465156884,2016-06-05T20:01:24Z,VDA2255,"33.4572,-80.2997",8625,282,202
1465156869,2016-06-05T20:01:09Z,VDA2255,"33.4758,-80.2913",9125,278,196
1465156863,2016-06-05T20:01:03Z,VDA2255,"33.4827,-80.289",9425,272,195
1465156857,2016-06-05T20:00:57Z,VDA2255,"33.49,-80.2865",9750,267,195
1465156851,2016-06-05T20:00:51Z,VDA2255,"33.4971,-80.284",10025,267,196
1465156839,2016-06-05T20:00:39Z,VDA2255,"33.5122,-80.2807",10575,271,183
1465156827,2016-06-05T20:00:27Z,VDA2255,"33.5273,-80.2801",11000,275,181
1465156815,2016-06-05T20:00:15Z,VDA2255,"33.5424,-80.279",11175,273,186
1465156802,2016-06-05T20:00:02Z,VDA2255,"33.5581,-80.2766",11400,275,187
1465156790,2016-06-05T19:59:50Z,VDA2255,"33.5733,-80.2744",11625,276,186
1465156757,2016-06-05T19:59:17Z,VDA2255,"33.6156,-80.2677",12050,286,188
1465156724,2016-06-05T19:58:44Z,VDA2255,"33.6584,-80.2548",12100,285,196
1465156691,2016-06-05T19:58:11Z,VDA2255,"33.7007,-80.2398",12150,277,196
1465156658,2016-06-05T19:57:38Z,VDA2255,"33.7408,-80.2258",12425,273,196
1465156625,2016-06-05T19:57:05Z,VDA2255,"33.7817,-80.2118",12900,283,195
1465156592,2016-06-05T19:56:32Z,VDA2255,"33.8249,-80.1999",13075,293,190
1465156559,2016-06-05T19:55:59Z,VDA2255,"33.8693,-80.1894",13250,293,191
1465156526,2016-06-05T19:55:26Z,VDA2255,"33.9136,-80.1789",13775,293,191
1465156493,2016-06-05T19:54:53Z,VDA2255,"33.958,-80.1678",14525,296,193
1465156460,2016-06-05T19:54:20Z,VDA2255,"34.0009,-80.1508",15750,295,201
1465156454,2016-06-05T19:54:14Z,VDA2255,"34.0083,-80.1472",15925,297,202
1465156448,2016-06-05T19:54:08Z,VDA2255,"34.0163,-80.1432",16125,297,203
1465156442,2016-06-05T19:54:02Z,VDA2255,"34.0241,-80.139",16300,297,205
1465156436,2016-06-05T19:53:56Z,VDA2255,"34.0312,-80.1348",16500,298,208
1465156430,2016-06-05T19:53:50Z,VDA2255,"34.038,-80.13",16675,298,211
1465156424,2016-06-05T19:53:44Z,VDA2255,"34.0453,-80.1246",16825,301,212
1465156418,2016-06-05T19:53:38Z,VDA2255,"34.0526,-80.119",16975,302,213
1465156400,2016-06-05T19:53:20Z,VDA2255,"34.0725,-80.101",17600,300,222
1465156339,2016-06-05T19:52:19Z,VDA2255,"34.1308,-80.0202",20075,309,233
1465156330,2016-06-05T19:52:10Z,VDA2255,"34.1364,-80.0108",20275,312,235
1465156324,2016-06-05T19:52:04Z,VDA2255,"34.1425,-80.0001",20600,314,237
1465156279,2016-06-05T19:51:19Z,VDA2255,"34.17,-79.931",22775,325,247
1465156218,2016-06-05T19:50:18Z,VDA2255,"34.2083,-79.8236",24150,361,246
1465156155,2016-06-05T19:49:15Z,VDA2255,"34.2503,-79.7083",26400,350,245
1465156092,2016-06-05T19:48:12Z,VDA2255,"34.2945,-79.5887",27750,386,245
1465156029,2016-06-05T19:47:09Z,VDA2255,"34.3423,-79.4619",28000,398,245
1465155947,2016-06-05T19:45:47Z,VDA2255,"34.4082,-79.2918",28025,395,244
1465155885,2016-06-05T19:44:45Z,VDA2255,"34.4607,-79.1765",28000,390,237
1465155822,2016-06-05T19:43:42Z,VDA2255,"34.5244,-79.0632",28050,377,235
1465155760,2016-06-05T19:42:40Z,VDA2255,"34.587,-78.9536",28075,375,234
1465155669,2016-06-05T19:41:09Z,VDA2255,"34.6777,-78.7973",28050,368,237
1465155633,2016-06-05T19:40:33Z,VDA2255,"34.7111,-78.734",28025,368,237
1465155570,2016-06-05T19:39:30Z,VDA2255,"34.7673,-78.6285",28050,363,237
1465155509,2016-06-05T19:38:29Z,VDA2255,"34.8222,-78.5261",28050,358,236
1465155446,2016-06-05T19:37:26Z,VDA2255,"34.8836,-78.424",28050,352,233
1465155383,2016-06-05T19:36:23Z,VDA2255,"34.9448,-78.3229",27975,353,233
1465155322,2016-06-05T19:35:22Z,VDA2255,"35.004,-78.2256",27950,353,233
1465155260,2016-06-05T19:34:20Z,VDA2255,"35.0654,-78.1251",28025,351,233
1465155196,2016-06-05T19:33:16Z,VDA2255,"35.1272,-78.0227",27850,357,233
1465155135,2016-06-05T19:32:15Z,VDA2255,"35.1871,-77.9232",28625,369,233
1465155072,2016-06-05T19:31:12Z,VDA2255,"35.2536,-77.8164",29375,378,228
1465155006,2016-06-05T19:30:06Z,VDA2255,"35.3326,-77.7113",30025,381,225
1465154975,2016-06-05T19:29:35Z,VDA2255,"35.3738,-77.6689",30000,385,215
1465154912,2016-06-05T19:28:32Z,VDA2255,"35.4667,-77.5894",30000,386,214
1465154851,2016-06-05T19:27:31Z,VDA2255,"35.5556,-77.514",30000,386,214
1465154788,2016-06-05T19:26:28Z,VDA2255,"35.6493,-77.4348",30025,387,214
1465154725,2016-06-05T19:25:25Z,VDA2255,"35.7421,-77.3553",30025,386,214
1465154664,2016-06-05T19:24:24Z,VDA2255,"35.8344,-77.2841",30050,390,207
1465154594,2016-06-05T19:23:14Z,VDA2255,"35.9539,-77.2211",30050,394,202
1465154531,2016-06-05T19:22:11Z,VDA2255,"36.0584,-77.1679",30050,394,202
1465154468,2016-06-05T19:21:08Z,VDA2255,"36.1649,-77.1132",30025,395,202
1465154405,2016-06-05T19:20:05Z,VDA2255,"36.2743,-77.0569",30025,393,202
1465154342,2016-06-05T19:19:02Z,VDA2255,"36.3777,-77.0038",30025,390,202
1465154281,2016-06-05T19:18:01Z,VDA2255,"36.4777,-76.9523",30025,387,202
1465154218,2016-06-05T19:16:58Z,VDA2255,"36.5816,-76.8978",30000,383,202
1465154155,2016-06-05T19:15:55Z,VDA2255,"36.6831,-76.8432",30000,374,210
1465154126,2016-06-05T19:15:26Z,VDA2255,"36.7243,-76.8046",29975,368,220
1465154081,2016-06-05T19:14:41Z,VDA2255,"36.7787,-76.7376",30000,364,229
1465154027,2016-06-05T19:13:47Z,VDA2255,"36.8382,-76.6519",30000,365,228
1465153964,2016-06-05T19:12:44Z,VDA2255,"36.9095,-76.5535",30000,367,227
1465153901,2016-06-05T19:11:41Z,VDA2255,"36.9817,-76.4545",30000,366,227
1465153838,2016-06-05T19:10:38Z,VDA2255,"37.0546,-76.3556",30000,368,227
1465153777,2016-06-05T19:09:37Z,VDA2255,"37.1245,-76.26",30000,368,227
1465153714,2016-06-05T19:08:34Z,VDA2255,"37.1967,-76.1599",30025,369,228
1465153651,2016-06-05T19:07:31Z,VDA2255,"37.2674,-76.0575",30000,369,229
1465153588,2016-06-05T19:06:28Z,VDA2255,"37.3405,-75.9591",29950,371,225
1465153576,2016-06-05T19:06:16Z,VDA2255,"37.3554,-75.9408",30025,370,223
1465153564,2016-06-05T19:06:04Z,VDA2255,"37.3728,-75.9213",30000,373,219
1465153503,2016-06-05T19:05:03Z,VDA2255,"37.4598,-75.8472",30000,374,213
1465153442,2016-06-05T19:04:02Z,VDA2255,"37.546,-75.7749",30000,375,213
1465153379,2016-06-05T19:02:59Z,VDA2255,"37.6383,-75.6976",29975,376,213
