Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1465278729,2016-06-07T05:52:09Z,VDA2212,"51.4328,12.249",0,43,87
1465278723,2016-06-07T05:52:03Z,VDA2212,"51.4327,12.2465",0,57,87
1465278717,2016-06-07T05:51:57Z,VDA2212,"51.4326,12.2442",0,70,87
1465278711,2016-06-07T05:51:51Z,VDA2212,"51.4324,12.2406",0,90,87
1465278705,2016-06-07T05:51:45Z,VDA2212,"51.4322,12.2366",0,105,87
1465278699,2016-06-07T05:51:39Z,VDA2212,"51.4319,12.231",150,127,85
1465278693,2016-06-07T05:51:33Z,VDA2212,"51.4317,12.2254",125,131,86
1465278687,2016-06-07T05:51:27Z,VDA2212,"51.4314,12.2191",150,135,86
1465278681,2016-06-07T05:51:21Z,VDA2212,"51.4311,12.2134",225,137,86
1465278675,2016-06-07T05:51:15Z,VDA2212,"51.4309,12.2073",325,137,86
1465278669,2016-06-07T05:51:09Z,VDA2212,"51.4307,12.2012",400,136,86
1465278663,2016-06-07T05:51:03Z,VDA2212,"51.4304,12.1952",450,136,85
1465278657,2016-06-07T05:50:57Z,VDA2212,"51.4301,12.1889",550,136,86
1465278651,2016-06-07T05:50:51Z,VDA2212,"51.4298,12.183",600,138,85
1465278645,2016-06-07T05:50:45Z,VDA2212,"51.4295,12.1767",675,139,85
1465278639,2016-06-07T05:50:39Z,VDA2212,"51.4292,12.1702",750,141,85
1465278633,2016-06-07T05:50:33Z,VDA2212,"51.4289,12.1643",825,141,85
1465278627,2016-06-07T05:50:27Z,VDA2212,"51.4286,12.1578",875,140,85
1465278621,2016-06-07T05:50:21Z,VDA2212,"51.4283,12.1514",950,138,85
1465278615,2016-06-07T05:50:15Z,VDA2212,"51.4281,12.1455",1025,139,85
1465278609,2016-06-07T05:50:09Z,VDA2212,"51.4277,12.1385",1100,142,86
1465278603,2016-06-07T05:50:03Z,VDA2212,"51.4275,12.1329",1175,144,86
1465278596,2016-06-07T05:49:56Z,VDA2212,"51.4272,12.1266",1250,147,86
1465278590,2016-06-07T05:49:50Z,VDA2212,"51.4269,12.1189",1350,150,86
1465278584,2016-06-07T05:49:44Z,VDA2212,"51.4267,12.1132",1425,153,86
1465278578,2016-06-07T05:49:38Z,VDA2212,"51.4263,12.1057",1525,156,85
1465278572,2016-06-07T05:49:32Z,VDA2212,"51.426,12.0994",1600,159,85
1465278566,2016-06-07T05:49:26Z,VDA2212,"51.4257,12.0922",1700,163,85
1465278560,2016-06-07T05:49:20Z,VDA2212,"51.4254,12.0847",1800,166,85
1465278554,2016-06-07T05:49:14Z,VDA2212,"51.425,12.0773",1925,168,85
1465278548,2016-06-07T05:49:08Z,VDA2212,"51.4246,12.0697",2050,171,85
1465278542,2016-06-07T05:49:02Z,VDA2212,"51.4242,12.0616",2175,172,86
1465278536,2016-06-07T05:48:56Z,VDA2212,"51.4239,12.0543",2325,174,86
1465278530,2016-06-07T05:48:50Z,VDA2212,"51.4235,12.0464",2475,175,86
1465278524,2016-06-07T05:48:44Z,VDA2212,"51.4232,12.0383",2625,176,86
1465278518,2016-06-07T05:48:38Z,VDA2212,"51.4229,12.0306",2775,178,86
1465278512,2016-06-07T05:48:32Z,VDA2212,"51.4225,12.0224",2875,183,85
1465278506,2016-06-07T05:48:26Z,VDA2212,"51.4221,12.0139",2900,191,85
1465278500,2016-06-07T05:48:20Z,VDA2212,"51.4216,12.0052",3000,192,84
1465278494,2016-06-07T05:48:14Z,VDA2212,"51.4211,11.9972",3125,192,84
1465278488,2016-06-07T05:48:08Z,VDA2212,"51.4206,11.9882",3250,191,84
1465278482,2016-06-07T05:48:02Z,VDA2212,"51.4201,11.98",3375,191,84
1465278476,2016-06-07T05:47:56Z,VDA2212,"51.4196,11.9709",3525,190,85
1465278470,2016-06-07T05:47:50Z,VDA2212,"51.4192,11.9627",3625,189,86
1465278464,2016-06-07T05:47:44Z,VDA2212,"51.4189,11.9536",3725,190,87
1465278458,2016-06-07T05:47:38Z,VDA2212,"51.4187,11.9458",3800,192,88
1465278452,2016-06-07T05:47:32Z,VDA2212,"51.4186,11.9373",3825,194,88
1465278446,2016-06-07T05:47:26Z,VDA2212,"51.4185,11.9279",3800,194,89
1465278440,2016-06-07T05:47:20Z,VDA2212,"51.4184,11.9192",3775,194,89
1465278434,2016-06-07T05:47:14Z,VDA2212,"51.4183,11.9114",3800,193,89
1465278428,2016-06-07T05:47:08Z,VDA2212,"51.4182,11.9026",3825,194,90
1465278422,2016-06-07T05:47:02Z,VDA2212,"51.4184,11.8936",3900,197,93
1465278415,2016-06-07T05:46:55Z,VDA2212,"51.4188,11.8853",3950,200,97
1465278409,2016-06-07T05:46:49Z,VDA2212,"51.4198,11.8762",4000,200,105
1465278403,2016-06-07T05:46:43Z,VDA2212,"51.4216,11.8674",4050,202,113
1465278397,2016-06-07T05:46:37Z,VDA2212,"51.4239,11.8594",4125,201,114
1465278391,2016-06-07T05:46:31Z,VDA2212,"51.4263,11.851",4200,200,114
1465278385,2016-06-07T05:46:25Z,VDA2212,"51.4285,11.8433",4300,199,114
1465278379,2016-06-07T05:46:19Z,VDA2212,"51.4311,11.8344",4425,199,115
1465278373,2016-06-07T05:46:13Z,VDA2212,"51.4332,11.8273",4525,199,115
1465278367,2016-06-07T05:46:07Z,VDA2212,"51.4358,11.8187",4650,200,116
1465278361,2016-06-07T05:46:01Z,VDA2212,"51.4381,11.8112",4800,200,116
1465278355,2016-06-07T05:45:55Z,VDA2212,"51.4407,11.8027",4950,201,115
1465278343,2016-06-07T05:45:43Z,VDA2212,"51.446,11.7852",5225,204,115
1465278331,2016-06-07T05:45:31Z,VDA2212,"51.4509,11.7687",5425,211,115
1465278319,2016-06-07T05:45:19Z,VDA2212,"51.4557,11.7529",5600,214,115
1465278307,2016-06-07T05:45:07Z,VDA2212,"51.4615,11.734",5850,218,116
1465278295,2016-06-07T05:44:55Z,VDA2212,"51.4664,11.7177",6075,219,115
1465278283,2016-06-07T05:44:43Z,VDA2212,"51.4717,11.6992",6325,221,115
