Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1480743604,2016-12-03T05:40:04Z,VDA2671,"35.193481,-80.950302",1000,119,338
1480743541,2016-12-03T05:39:01Z,VDA2671,"35.16925,-80.948166",1100,117,355
1480743527,2016-12-03T05:38:47Z,VDA2671,"35.161926,-80.94738",1225,115,356
1480743517,2016-12-03T05:38:37Z,VDA2671,"35.156387,-80.94693",1325,116,356
1480743507,2016-12-03T05:38:27Z,VDA2671,"35.151077,-80.94648",1425,116,357
1480743498,2016-12-03T05:38:18Z,VDA2671,"35.146053,-80.946182",1550,115,356
1480743484,2016-12-03T05:38:04Z,VDA2671,"35.138794,-80.945602",1675,114,356
1480743474,2016-12-03T05:37:54Z,VDA2671,"35.133636,-80.945137",1750,116,355
1480743468,2016-12-03T05:37:48Z,VDA2671,"35.130039,-80.944748",1825,115,355
1480743457,2016-12-03T05:37:37Z,VDA2671,"35.124409,-80.944176",1950,118,356
1480743443,2016-12-03T05:37:23Z,VDA2671,"35.116837,-80.943451",2100,118,355
1480743432,2016-12-03T05:37:12Z,VDA2671,"35.110474,-80.942947",2250,118,357
1480743420,2016-12-03T05:37:00Z,VDA2671,"35.104252,-80.94252",2375,118,356
1480743411,2016-12-03T05:36:51Z,VDA2671,"35.098991,-80.942001",2450,116,355
1480743401,2016-12-03T05:36:41Z,VDA2671,"35.093811,-80.94149",2525,116,356
1480743391,2016-12-03T05:36:31Z,VDA2671,"35.088238,-80.941086",2600,118,356
1480743370,2016-12-03T05:36:10Z,VDA2671,"35.075867,-80.940147",2850,119,356
1480743364,2016-12-03T05:36:04Z,VDA2671,"35.073109,-80.940002",2925,120,356
1480743356,2016-12-03T05:35:56Z,VDA2671,"35.068314,-80.939583",3050,120,355
1480743349,2016-12-03T05:35:49Z,VDA2671,"35.064869,-80.939255",3150,120,354
1480743343,2016-12-03T05:35:43Z,VDA2671,"35.061237,-80.938858",3250,120,354
1480743330,2016-12-03T05:35:30Z,VDA2671,"35.054115,-80.93782",3450,122,352
1480743324,2016-12-03T05:35:24Z,VDA2671,"35.050529,-80.937195",3575,122,351
1480743317,2016-12-03T05:35:17Z,VDA2671,"35.047256,-80.936615",3675,122,351
1480743311,2016-12-03T05:35:11Z,VDA2671,"35.043594,-80.935944",3725,119,350
1480743305,2016-12-03T05:35:05Z,VDA2671,"35.040054,-80.935196",3725,118,349
1480743299,2016-12-03T05:34:59Z,VDA2671,"35.037029,-80.934509",3725,119,348
1480743293,2016-12-03T05:34:53Z,VDA2671,"35.03326,-80.933472",3725,120,346
1480743287,2016-12-03T05:34:47Z,VDA2671,"35.030231,-80.932556",3750,119,345
1480743281,2016-12-03T05:34:41Z,VDA2671,"35.026932,-80.931519",3750,120,344
1480743274,2016-12-03T05:34:34Z,VDA2671,"35.022812,-80.929832",3775,123,335
1480743268,2016-12-03T05:34:28Z,VDA2671,"35.020271,-80.928207",3800,125,328
1480743262,2016-12-03T05:34:22Z,VDA2671,"35.016685,-80.925522",3800,125,328
1480743256,2016-12-03T05:34:16Z,VDA2671,"35.014267,-80.923752",3800,126,328
1480743250,2016-12-03T05:34:10Z,VDA2671,"35.010956,-80.92131",3775,125,328
1480743243,2016-12-03T05:34:03Z,VDA2671,"35.007793,-80.918999",3775,123,328
1480743237,2016-12-03T05:33:57Z,VDA2671,"35.004768,-80.91671",3750,123,327
1480743231,2016-12-03T05:33:51Z,VDA2671,"35.001755,-80.91436",3750,123,326
1480743225,2016-12-03T05:33:45Z,VDA2671,"34.999054,-80.912178",3725,123,325
1480743219,2016-12-03T05:33:39Z,VDA2671,"34.995876,-80.909561",3725,123,326
1480743212,2016-12-03T05:33:32Z,VDA2671,"34.993179,-80.90744",3725,123,328
1480743206,2016-12-03T05:33:26Z,VDA2671,"34.990105,-80.90509",3725,124,328
1480743200,2016-12-03T05:33:20Z,VDA2671,"34.987015,-80.902817",3700,125,328
1480743194,2016-12-03T05:33:14Z,VDA2671,"34.98381,-80.900459",3700,126,328
1480743188,2016-12-03T05:33:08Z,VDA2671,"34.980888,-80.898285",3675,126,328
1480743181,2016-12-03T05:33:01Z,VDA2671,"34.977859,-80.896088",3675,126,329
1480743175,2016-12-03T05:32:55Z,VDA2671,"34.974518,-80.89357",3675,128,329
1480743169,2016-12-03T05:32:49Z,VDA2671,"34.971207,-80.891129",3675,128,328
1480743162,2016-12-03T05:32:42Z,VDA2671,"34.968155,-80.888916",3700,131,328
1480743156,2016-12-03T05:32:36Z,VDA2671,"34.963989,-80.885811",3700,135,328
1480743150,2016-12-03T05:32:30Z,VDA2671,"34.961384,-80.883926",3725,139,329
1480743144,2016-12-03T05:32:24Z,VDA2671,"34.957901,-80.881348",3750,146,328
