Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1481028956,2016-12-06T12:55:56Z,VDA2732,"47.155415,-1.604364",0,18,28
1481028947,2016-12-06T12:55:47Z,VDA2732,"47.155613,-1.604761",0,24,28
1481028941,2016-12-06T12:55:41Z,VDA2732,"47.155792,-1.60512",0,23,28
1481028932,2016-12-06T12:55:32Z,VDA2732,"47.15601,-1.605566",0,21,28
1481028908,2016-12-06T12:55:08Z,VDA2732,"47.156502,-1.606579",0,23,28
1481028902,2016-12-06T12:55:02Z,VDA2732,"47.156635,-1.606856",0,22,28
1481028875,2016-12-06T12:54:35Z,VDA2732,"47.156475,-1.608106",0,29,28
1481028869,2016-12-06T12:54:29Z,VDA2732,"47.156101,-1.608381",0,16,28
1481028862,2016-12-06T12:54:22Z,VDA2732,"47.155483,-1.608846",0,23,25
1481028852,2016-12-06T12:54:12Z,VDA2732,"47.154461,-1.609603",0,28,25
1481028842,2016-12-06T12:54:02Z,VDA2732,"47.153122,-1.610606",0,57,28
1481028833,2016-12-06T12:53:53Z,VDA2732,"47.149536,-1.613335",0,105,28
1481028822,2016-12-06T12:53:42Z,VDA2732,"47.145538,-1.616432",0,127,27
1481028812,2016-12-06T12:53:32Z,VDA2732,"47.139908,-1.620689",0,131,27
1481028797,2016-12-06T12:53:17Z,VDA2732,"47.132374,-1.62654",0,132,28
1481028787,2016-12-06T12:53:07Z,VDA2732,"47.126633,-1.630783",75,131,26
1481028777,2016-12-06T12:52:57Z,VDA2732,"47.120594,-1.635414",200,136,27
1481028767,2016-12-06T12:52:47Z,VDA2732,"47.115799,-1.639076",325,139,27
1481028757,2016-12-06T12:52:37Z,VDA2732,"47.109795,-1.643724",450,144,27
1481028747,2016-12-06T12:52:27Z,VDA2732,"47.10379,-1.648301",600,146,27
1481028737,2016-12-06T12:52:17Z,VDA2732,"47.097736,-1.652879",750,145,27
1481028727,2016-12-06T12:52:07Z,VDA2732,"47.091888,-1.657356",875,145,27
1481028717,2016-12-06T12:51:57Z,VDA2732,"47.085846,-1.661957",975,145,26
1481028707,2016-12-06T12:51:47Z,VDA2732,"47.079906,-1.666401",1075,146,27
1481028697,2016-12-06T12:51:37Z,VDA2732,"47.073345,-1.671401",1225,146,27
1481028688,2016-12-06T12:51:28Z,VDA2732,"47.067764,-1.67569",1325,145,27
1481028677,2016-12-06T12:51:17Z,VDA2732,"47.061539,-1.680428",1475,143,26
1481028650,2016-12-06T12:50:50Z,VDA2732,"47.045334,-1.692444",1925,144,26
1481028641,2016-12-06T12:50:41Z,VDA2732,"47.040852,-1.695698",2050,148,27
1481028632,2016-12-06T12:50:32Z,VDA2732,"47.034008,-1.700979",2225,152,28
1481028626,2016-12-06T12:50:26Z,VDA2732,"47.031601,-1.70295",2275,151,28
1481028620,2016-12-06T12:50:20Z,VDA2732,"47.027893,-1.705971",2400,151,29
1481028614,2016-12-06T12:50:14Z,VDA2732,"47.024231,-1.708992",2475,153,29
1481028608,2016-12-06T12:50:08Z,VDA2732,"47.020477,-1.712219",2575,154,30
1481028602,2016-12-06T12:50:02Z,VDA2732,"47.016815,-1.715378",2650,152,30
1481028596,2016-12-06T12:49:56Z,VDA2732,"47.01329,-1.718445",2650,152,31
1481028590,2016-12-06T12:49:50Z,VDA2732,"47.00938,-1.721896",2650,152,31
1481028584,2016-12-06T12:49:44Z,VDA2732,"47.00589,-1.725065",2650,152,32
1481028578,2016-12-06T12:49:38Z,VDA2732,"47.002213,-1.728445",2625,152,32
1481028572,2016-12-06T12:49:32Z,VDA2732,"46.998116,-1.732248",2625,152,32
1481028566,2016-12-06T12:49:26Z,VDA2732,"46.995041,-1.735136",2625,152,32
1481028560,2016-12-06T12:49:20Z,VDA2732,"46.991505,-1.738657",2575,152,37
1481028552,2016-12-06T12:49:12Z,VDA2732,"46.987198,-1.744904",2625,153,57
1481028545,2016-12-06T12:49:05Z,VDA2732,"46.985126,-1.750559",2650,155,69
1481028536,2016-12-06T12:48:56Z,VDA2732,"46.982666,-1.76049",2700,164,70
1481028530,2016-12-06T12:48:50Z,VDA2732,"46.980972,-1.767288",2725,170,70
1481028509,2016-12-06T12:48:29Z,VDA2732,"46.97731,-1.789398",2700,167,94
1481028503,2016-12-06T12:48:23Z,VDA2732,"46.97847,-1.797603",2700,165,114
1481028497,2016-12-06T12:48:17Z,VDA2732,"46.980194,-1.802513",2700,163,131
1481028491,2016-12-06T12:48:11Z,VDA2732,"46.983078,-1.807594",2700,162,138
1481028485,2016-12-06T12:48:05Z,VDA2732,"46.986618,-1.811476",2725,159,150
1481028479,2016-12-06T12:47:59Z,VDA2732,"46.990631,-1.814529",2725,159,153
1481028473,2016-12-06T12:47:53Z,VDA2732,"46.994205,-1.817251",2725,160,153
1481028467,2016-12-06T12:47:47Z,VDA2732,"46.999237,-1.820915",2725,162,153
1481028461,2016-12-06T12:47:41Z,VDA2732,"47.00235,-1.82325",2725,163,153
1481028455,2016-12-06T12:47:35Z,VDA2732,"47.006744,-1.826477",2725,164,153
1481028449,2016-12-06T12:47:29Z,VDA2732,"47.010918,-1.829505",2725,168,153
1481028443,2016-12-06T12:47:23Z,VDA2732,"47.014687,-1.832181",2725,170,153
1481028434,2016-12-06T12:47:14Z,VDA2732,"47.022217,-1.837601",2650,190,153
1481028428,2016-12-06T12:47:08Z,VDA2732,"47.026703,-1.840828",2675,193,153
1481028422,2016-12-06T12:47:02Z,VDA2732,"47.031353,-1.844224",2725,199,153
1481028416,2016-12-06T12:46:56Z,VDA2732,"47.036179,-1.847694",2775,202,153
1481028410,2016-12-06T12:46:50Z,VDA2732,"47.040989,-1.851267",2875,203,153
1481028404,2016-12-06T12:46:44Z,VDA2732,"47.046993,-1.855703",3000,201,152
1481028396,2016-12-06T12:46:36Z,VDA2732,"47.053802,-1.860809",3150,200,153
1481028389,2016-12-06T12:46:29Z,VDA2732,"47.058929,-1.864655",3275,200,153
1481028383,2016-12-06T12:46:23Z,VDA2732,"47.064266,-1.868662",3425,200,153
1481028377,2016-12-06T12:46:17Z,VDA2732,"47.068497,-1.871796",3525,200,153
1481028371,2016-12-06T12:46:11Z,VDA2732,"47.074539,-1.876259",3700,199,153
1481028365,2016-12-06T12:46:05Z,VDA2732,"47.078556,-1.879225",3800,199,153
1481028359,2016-12-06T12:45:59Z,VDA2732,"47.083538,-1.882958",3900,200,153
1481028353,2016-12-06T12:45:53Z,VDA2732,"47.088612,-1.886761",4050,199,152
1481028347,2016-12-06T12:45:47Z,VDA2732,"47.093502,-1.890423",4175,199,152
1481028341,2016-12-06T12:45:41Z,VDA2732,"47.098389,-1.894043",4275,202,152
1481028335,2016-12-06T12:45:35Z,VDA2732,"47.103508,-1.897959",4350,204,152
1481028329,2016-12-06T12:45:29Z,VDA2732,"47.109009,-1.902077",4475,205,152
