Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1482361135,2016-12-21T22:58:55Z,VDA9580,"48.528553,135.179306",0,21,222
1482361126,2016-12-21T22:58:46Z,VDA9580,"48.528809,135.178894",0,18,222
1482361101,2016-12-21T22:58:21Z,VDA9580,"48.529278,135.177917",0,17,222
1482361073,2016-12-21T22:57:53Z,VDA9580,"48.528992,135.176971",0,17,222
1482361060,2016-12-21T22:57:40Z,VDA9580,"48.528671,135.176544",0,21,222
1482361048,2016-12-21T22:57:28Z,VDA9580,"48.52832,135.176071",0,19,222
1482361011,2016-12-21T22:56:51Z,VDA9580,"48.527042,135.174149",0,18,222
1482361005,2016-12-21T22:56:45Z,VDA9580,"48.527321,135.174728",0,17,222
1482360992,2016-12-21T22:56:32Z,VDA9580,"48.527122,135.174286",0,18,222
1482360986,2016-12-21T22:56:26Z,VDA9580,"48.526978,135.174042",0,15,222
1482360955,2016-12-21T22:55:55Z,VDA9580,"48.526405,135.173264",0,15,222
1482360946,2016-12-21T22:55:46Z,VDA9580,"48.526203,135.173141",0,15,222
1482360921,2016-12-21T22:55:21Z,VDA9580,"48.525639,135.173294",0,15,222
1482360909,2016-12-21T22:55:09Z,VDA9580,"48.525387,135.173706",0,21,222
1482360903,2016-12-21T22:55:03Z,VDA9580,"48.525249,135.17395",0,18,222
1482360893,2016-12-21T22:54:53Z,VDA9580,"48.525085,135.174225",0,18,222
1482360859,2016-12-21T22:54:19Z,VDA9580,"48.524403,135.175339",0,22,222
1482360850,2016-12-21T22:54:10Z,VDA9580,"48.524132,135.175812",0,23,222
1482360835,2016-12-21T22:53:55Z,VDA9580,"48.523727,135.176498",0,22,222
1482360825,2016-12-21T22:53:45Z,VDA9580,"48.523464,135.176941",0,19,222
1482360810,2016-12-21T22:53:30Z,VDA9580,"48.523178,135.177429",0,16,222
1482360794,2016-12-21T22:53:14Z,VDA9580,"48.522945,135.177826",0,17,222
1482360788,2016-12-21T22:53:08Z,VDA9580,"48.522812,135.17804",0,19,222
1482360782,2016-12-21T22:53:02Z,VDA9580,"48.522675,135.178284",0,20,222
1482360773,2016-12-21T22:52:53Z,VDA9580,"48.522446,135.17865",0,21,222
1482360767,2016-12-21T22:52:47Z,VDA9580,"48.522293,135.178925",0,21,222
1482360758,2016-12-21T22:52:38Z,VDA9580,"48.522057,135.179306",0,18,222
