Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1483999222,2017-01-09T22:00:22Z,VDA2056,"60.239201,11.105216",1475,135,195
1483999215,2017-01-09T22:00:15Z,VDA2056,"60.242832,11.107374",1550,132,196
1483999209,2017-01-09T22:00:09Z,VDA2056,"60.246231,11.109336",1625,129,196
1483999203,2017-01-09T22:00:03Z,VDA2056,"60.249767,11.111494",1700,127,195
1483999197,2017-01-09T21:59:57Z,VDA2056,"60.253353,11.113554",1775,127,195
1483999191,2017-01-09T21:59:51Z,VDA2056,"60.256798,11.115516",1825,125,196
1483999185,2017-01-09T21:59:45Z,VDA2056,"60.259964,11.117407",1875,124,196
1483999179,2017-01-09T21:59:39Z,VDA2056,"60.26358,11.11949",1975,123,195
1483999173,2017-01-09T21:59:33Z,VDA2056,"60.266945,11.121401",2050,124,195
1483999167,2017-01-09T21:59:27Z,VDA2056,"60.270401,11.123373",2125,123,195
1483999161,2017-01-09T21:59:21Z,VDA2056,"60.273556,11.125227",2200,124,196
1483999155,2017-01-09T21:59:15Z,VDA2056,"60.276909,11.127287",2275,125,196
1483999149,2017-01-09T21:59:09Z,VDA2056,"60.280243,11.12915",2350,126,195
1483999142,2017-01-09T21:59:02Z,VDA2056,"60.284042,11.131329",2450,127,195
1483999136,2017-01-09T21:58:56Z,VDA2056,"60.287384,11.133172",2500,127,195
1483999130,2017-01-09T21:58:50Z,VDA2056,"60.290863,11.135212",2575,127,195
1483999124,2017-01-09T21:58:44Z,VDA2056,"60.29446,11.137292",2650,128,196
1483999118,2017-01-09T21:58:38Z,VDA2056,"60.29781,11.139352",2700,128,196
1483999112,2017-01-09T21:58:32Z,VDA2056,"60.301346,11.141462",2750,128,196
1483999106,2017-01-09T21:58:26Z,VDA2056,"60.304699,11.143373",2825,126,195
1483999100,2017-01-09T21:58:20Z,VDA2056,"60.308167,11.145346",2900,127,195
1483999085,2017-01-09T21:58:05Z,VDA2056,"60.31778,11.150828",3075,131,196
1483999079,2017-01-09T21:57:59Z,VDA2056,"60.320156,11.152202",3100,132,196
1483999073,2017-01-09T21:57:53Z,VDA2056,"60.323692,11.15436",3175,132,196
1483999067,2017-01-09T21:57:47Z,VDA2056,"60.327419,11.156616",3275,131,196
1483999061,2017-01-09T21:57:41Z,VDA2056,"60.330677,11.158676",3350,130,196
1483999055,2017-01-09T21:57:35Z,VDA2056,"60.334354,11.160834",3450,130,196
1483999049,2017-01-09T21:57:29Z,VDA2056,"60.337692,11.162867",3550,131,195
1483999043,2017-01-09T21:57:23Z,VDA2056,"60.34129,11.164954",3650,130,196
1483999037,2017-01-09T21:57:17Z,VDA2056,"60.344925,11.167034",3750,129,195
1483999030,2017-01-09T21:57:10Z,VDA2056,"60.348507,11.169074",3850,130,195
1483999024,2017-01-09T21:57:04Z,VDA2056,"60.35181,11.170839",3950,130,194
1483999018,2017-01-09T21:56:58Z,VDA2056,"60.355583,11.172899",4025,132,194
1483999012,2017-01-09T21:56:52Z,VDA2056,"60.359207,11.174801",4125,134,195
1483999006,2017-01-09T21:56:46Z,VDA2056,"60.362751,11.176824",4225,135,195
1483999000,2017-01-09T21:56:40Z,VDA2056,"60.366428,11.178884",4325,135,195
1483998994,2017-01-09T21:56:34Z,VDA2056,"60.37043,11.181237",4375,134,196
1483998988,2017-01-09T21:56:28Z,VDA2056,"60.374016,11.183297",4375,134,196
1483998982,2017-01-09T21:56:22Z,VDA2056,"60.377426,11.185313",4375,134,196
1483998976,2017-01-09T21:56:16Z,VDA2056,"60.381271,11.187586",4375,136,196
1483998970,2017-01-09T21:56:10Z,VDA2056,"60.384861,11.189673",4350,140,196
1483998964,2017-01-09T21:56:04Z,VDA2056,"60.388596,11.192038",4300,146,197
1483998957,2017-01-09T21:55:57Z,VDA2056,"60.39259,11.194578",4275,152,197
1483998951,2017-01-09T21:55:51Z,VDA2056,"60.396965,11.19752",4275,153,198
1483998945,2017-01-09T21:55:45Z,VDA2056,"60.40097,11.200365",4275,153,199
1483998939,2017-01-09T21:55:39Z,VDA2056,"60.405022,11.203308",4275,154,199
1483998930,2017-01-09T21:55:30Z,VDA2056,"60.411163,11.20776",4275,154,199
1483998924,2017-01-09T21:55:24Z,VDA2056,"60.415146,11.210695",4275,154,199
1483998918,2017-01-09T21:55:18Z,VDA2056,"60.419312,11.213706",4275,154,198
1483998912,2017-01-09T21:55:12Z,VDA2056,"60.423733,11.216649",4250,153,195
1483998906,2017-01-09T21:55:06Z,VDA2056,"60.427876,11.218709",4250,153,191
1483998900,2017-01-09T21:55:00Z,VDA2056,"60.432114,11.220082",4250,154,186
1483998894,2017-01-09T21:54:54Z,VDA2056,"60.436295,11.220735",4225,159,181
1483998887,2017-01-09T21:54:47Z,VDA2056,"60.441376,11.220166",4200,167,168
1483998881,2017-01-09T21:54:41Z,VDA2056,"60.445633,11.217798",4225,172,157
1483998875,2017-01-09T21:54:35Z,VDA2056,"60.450165,11.213253",4325,171,150
1483998869,2017-01-09T21:54:29Z,VDA2056,"60.454239,11.208517",4375,166,148
1483998863,2017-01-09T21:54:23Z,VDA2056,"60.457996,11.203603",4325,168,145
1483998857,2017-01-09T21:54:17Z,VDA2056,"60.461884,11.197531",4300,176,133
1483998851,2017-01-09T21:54:11Z,VDA2056,"60.465179,11.189197",4325,185,121
1483998845,2017-01-09T21:54:05Z,VDA2056,"60.46756,11.179346",4300,197,108
1483998839,2017-01-09T21:53:59Z,VDA2056,"60.468887,11.168739",4325,206,98
1483998833,2017-01-09T21:53:53Z,VDA2056,"60.469391,11.157563",4350,213,92
1483998827,2017-01-09T21:53:47Z,VDA2056,"60.469635,11.145433",4400,215,92
1483998821,2017-01-09T21:53:41Z,VDA2056,"60.469868,11.132976",4450,218,92
1483998814,2017-01-09T21:53:34Z,VDA2056,"60.470146,11.120616",4550,218,92
1483998805,2017-01-09T21:53:25Z,VDA2056,"60.470627,11.1014",4675,220,93
1483998799,2017-01-09T21:53:19Z,VDA2056,"60.471031,11.088933",4725,221,93
1483998793,2017-01-09T21:53:13Z,VDA2056,"60.471405,11.076279",4825,222,92
1483998787,2017-01-09T21:53:07Z,VDA2056,"60.471634,11.063422",4925,225,90
1483998781,2017-01-09T21:53:01Z,VDA2056,"60.471542,11.051299",4975,228,86
1483998769,2017-01-09T21:52:49Z,VDA2056,"60.469528,11.025727",5175,235,77
1483998757,2017-01-09T21:52:37Z,VDA2056,"60.466423,10.998688",5350,236,77
1483998745,2017-01-09T21:52:25Z,VDA2056,"60.463444,10.972792",5550,236,76
1483998733,2017-01-09T21:52:13Z,VDA2056,"60.460464,10.946699",5800,235,76
1483998721,2017-01-09T21:52:01Z,VDA2056,"60.457535,10.9206",5925,238,77
1483998708,2017-01-09T21:51:48Z,VDA2056,"60.454559,10.893134",5900,249,78
1483998696,2017-01-09T21:51:36Z,VDA2056,"60.451897,10.865184",5925,259,79
