Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1484333839,2017-01-13T18:57:19Z,VDA4532,"4.79718,-52.397198",3575,224,244
1484333831,2017-01-13T18:57:11Z,VDA4532,"4.800281,-52.390202",3700,224,244
1484333817,2017-01-13T18:56:57Z,VDA4532,"4.813874,-52.363777",4200,225,234
1484333801,2017-01-13T18:56:41Z,VDA4532,"4.815084,-52.362072",4250,225,232
1484333794,2017-01-13T18:56:34Z,VDA4532,"4.819553,-52.356293",4400,225,231
1484333787,2017-01-13T18:56:27Z,VDA4532,"4.824115,-52.350468",4525,227,231
1484333777,2017-01-13T18:56:17Z,VDA4532,"4.830446,-52.342419",4700,226,231
1484333769,2017-01-13T18:56:09Z,VDA4532,"4.835474,-52.336166",4900,225,229
1484333756,2017-01-13T18:55:56Z,VDA4532,"4.845062,-52.326672",5200,223,219
1484333749,2017-01-13T18:55:49Z,VDA4532,"4.850836,-52.321865",5325,224,220
1484333743,2017-01-13T18:55:43Z,VDA4532,"4.856461,-52.316708",5475,225,226
1484333729,2017-01-13T18:55:29Z,VDA4532,"4.865454,-52.306335",5725,228,229
1484333718,2017-01-13T18:55:18Z,VDA4532,"4.872716,-52.297337",5775,232,233
1484333707,2017-01-13T18:55:07Z,VDA4532,"4.879931,-52.288101",5850,230,229
1484333695,2017-01-13T18:54:55Z,VDA4532,"4.888733,-52.27779",5825,233,229
1484333683,2017-01-13T18:54:43Z,VDA4532,"4.897761,-52.267124",5825,246,229
1484333669,2017-01-13T18:54:29Z,VDA4532,"4.907547,-52.255585",5950,253,229
1484333657,2017-01-13T18:54:17Z,VDA4532,"4.917114,-52.244228",6075,259,230
1484333644,2017-01-13T18:54:04Z,VDA4532,"4.927094,-52.232262",6075,269,230
1484333631,2017-01-13T18:53:51Z,VDA4532,"4.93761,-52.219486",6075,280,230
1484333618,2017-01-13T18:53:38Z,VDA4532,"4.948792,-52.206055",6025,296,230
1484333604,2017-01-13T18:53:24Z,VDA4532,"4.961334,-52.190971",6225,302,230
1484333591,2017-01-13T18:53:11Z,VDA4532,"4.972595,-52.176865",6525,305,232
1484333578,2017-01-13T18:52:58Z,VDA4532,"4.984039,-52.162479",6825,307,230
1484333565,2017-01-13T18:52:45Z,VDA4532,"4.995758,-52.147911",7125,308,231
