Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1485968000,2017-02-01T16:53:20Z,VDA2075,"25.804539,-80.268761",0,2,354
1485967976,2017-02-01T16:52:56Z,VDA2075,"25.804779,-80.269005",0,17,354
1485967964,2017-02-01T16:52:44Z,VDA2075,"25.805042,-80.269226",0,15,354
1485967951,2017-02-01T16:52:31Z,VDA2075,"25.80526,-80.269341",0,11,354
1485967939,2017-02-01T16:52:19Z,VDA2075,"25.805267,-80.269691",0,25,354
1485967897,2017-02-01T16:51:37Z,VDA2075,"25.802811,-80.269699",0,17,354
1485967888,2017-02-01T16:51:28Z,VDA2075,"25.802195,-80.269806",0,15,81
1485967753,2017-02-01T16:49:13Z,VDA2075,"25.800159,-80.31382",0,128,87
1485967738,2017-02-01T16:48:58Z,VDA2075,"25.79965,-80.325417",250,133,89
1485967724,2017-02-01T16:48:44Z,VDA2075,"25.79915,-80.334518",400,138,88
1485967714,2017-02-01T16:48:34Z,VDA2075,"25.79888,-80.340736",475,138,88
1485967708,2017-02-01T16:48:28Z,VDA2075,"25.798691,-80.346748",500,133,89
1485967700,2017-02-01T16:48:20Z,VDA2075,"25.798651,-80.350853",525,129,88
1485967680,2017-02-01T16:48:00Z,VDA2075,"25.79809,-80.364159",850,132,90
1485967674,2017-02-01T16:47:54Z,VDA2075,"25.797911,-80.367477",925,133,87
1485967664,2017-02-01T16:47:44Z,VDA2075,"25.797569,-80.375298",1050,148,87
1485967644,2017-02-01T16:47:24Z,VDA2075,"25.79686,-80.388741",1375,140,90
1485967638,2017-02-01T16:47:18Z,VDA2075,"25.7966,-80.394737",1525,148,87
1485967630,2017-02-01T16:47:10Z,VDA2075,"25.7964,-80.39917",1625,143,87
1485967620,2017-02-01T16:47:00Z,VDA2075,"25.79608,-80.407921",1800,149,87
1485967614,2017-02-01T16:46:54Z,VDA2075,"25.79599,-80.41066",1825,148,88
1485967604,2017-02-01T16:46:44Z,VDA2075,"25.795759,-80.418137",1925,144,88
1485967580,2017-02-01T16:46:20Z,VDA2075,"25.795071,-80.436546",2175,143,89
1485967574,2017-02-01T16:46:14Z,VDA2075,"25.7948,-80.440422",2250,140,88
1485967564,2017-02-01T16:46:04Z,VDA2075,"25.794109,-80.447693",2375,136,87
1485967555,2017-02-01T16:45:55Z,VDA2075,"25.79357,-80.453758",2525,137,83
1485967545,2017-02-01T16:45:45Z,VDA2075,"25.79269,-80.461121",2650,135,81
1485967535,2017-02-01T16:45:35Z,VDA2075,"25.79166,-80.468384",2700,141,82
1485967529,2017-02-01T16:45:29Z,VDA2075,"25.791,-80.472008",2725,147,81
1485967519,2017-02-01T16:45:19Z,VDA2075,"25.789379,-80.480186",2750,164,77
1485967510,2017-02-01T16:45:10Z,VDA2075,"25.78826,-80.487961",2700,183,89
1485967500,2017-02-01T16:45:00Z,VDA2075,"25.788851,-80.497688",2700,195,132
1485967492,2017-02-01T16:44:52Z,VDA2075,"25.79162,-80.505791",2700,193,115
1485967482,2017-02-01T16:44:42Z,VDA2075,"25.796169,-80.514023",2725,196,126
