Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1486042256,2017-02-02T13:30:56Z,VDA2075,"35.314434,-77.626884",125,145,41
1486042250,2017-02-02T13:30:50Z,VDA2075,"35.311707,-77.629791",200,146,41
1486042244,2017-02-02T13:30:44Z,VDA2075,"35.309097,-77.632599",275,145,40
1486042236,2017-02-02T13:30:36Z,VDA2075,"35.304565,-77.637283",400,144,40
1486042229,2017-02-02T13:30:29Z,VDA2075,"35.30127,-77.640778",475,143,41
1486042223,2017-02-02T13:30:23Z,VDA2075,"35.298607,-77.643715",525,143,41
1486042217,2017-02-02T13:30:17Z,VDA2075,"35.295719,-77.646751",600,142,40
1486042211,2017-02-02T13:30:11Z,VDA2075,"35.292297,-77.650337",675,141,40
1486042205,2017-02-02T13:30:05Z,VDA2075,"35.28883,-77.654053",750,143,41
1486042197,2017-02-02T13:29:57Z,VDA2075,"35.285019,-77.658173",850,145,42
1486042190,2017-02-02T13:29:50Z,VDA2075,"35.282173,-77.661362",950,147,43
1486042184,2017-02-02T13:29:44Z,VDA2075,"35.279102,-77.664925",1050,147,44
1486042178,2017-02-02T13:29:38Z,VDA2075,"35.276093,-77.668648",1125,149,44
1486042172,2017-02-02T13:29:32Z,VDA2075,"35.27319,-77.671997",1225,150,38
1486042166,2017-02-02T13:29:26Z,VDA2075,"35.269592,-77.674942",1325,149,26
1486042160,2017-02-02T13:29:20Z,VDA2075,"35.265427,-77.676712",1425,148,12
1486042154,2017-02-02T13:29:14Z,VDA2075,"35.261581,-77.677574",1450,149,8
1486042148,2017-02-02T13:29:08Z,VDA2075,"35.2575,-77.678368",1475,151,9
1486042142,2017-02-02T13:29:02Z,VDA2075,"35.253204,-77.679176",1500,153,8
1486042136,2017-02-02T13:28:56Z,VDA2075,"35.248749,-77.680061",1575,155,8
1486042130,2017-02-02T13:28:50Z,VDA2075,"35.244095,-77.680954",1650,157,9
1486042124,2017-02-02T13:28:44Z,VDA2075,"35.239655,-77.68187",1750,157,9
1486042118,2017-02-02T13:28:38Z,VDA2075,"35.235809,-77.682632",1825,158,9
1486042112,2017-02-02T13:28:32Z,VDA2075,"35.231663,-77.68351",1900,160,9
1486042106,2017-02-02T13:28:26Z,VDA2075,"35.227104,-77.684441",1950,162,9
1486042100,2017-02-02T13:28:20Z,VDA2075,"35.222672,-77.685394",1975,164,9
1486042094,2017-02-02T13:28:14Z,VDA2075,"35.217793,-77.686386",1975,164,9
1486042088,2017-02-02T13:28:08Z,VDA2075,"35.21323,-77.687363",1975,163,9
1486042082,2017-02-02T13:28:02Z,VDA2075,"35.209213,-77.688248",1975,161,9
1486042076,2017-02-02T13:27:56Z,VDA2075,"35.204819,-77.689201",1975,162,9
1486042070,2017-02-02T13:27:50Z,VDA2075,"35.199646,-77.690323",1975,163,9
1486042064,2017-02-02T13:27:44Z,VDA2075,"35.195755,-77.691162",1975,164,9
1486042056,2017-02-02T13:27:36Z,VDA2075,"35.188698,-77.692734",1975,166,10
1486042049,2017-02-02T13:27:29Z,VDA2075,"35.183899,-77.693802",2000,167,10
1486042043,2017-02-02T13:27:23Z,VDA2075,"35.179596,-77.694756",2000,168,10
