Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1487846076,2017-02-23T10:34:36Z,VDA7720,"34.569489,69.205238",0,30,303
1487846070,2017-02-23T10:34:30Z,VDA7720,"34.569603,69.204811",0,27,303
1487846064,2017-02-23T10:34:24Z,VDA7720,"34.569714,69.204437",0,25,303
1487846058,2017-02-23T10:34:18Z,VDA7720,"34.569798,69.204155",0,23,303
1487846052,2017-02-23T10:34:12Z,VDA7720,"34.569866,69.203865",0,22,303
1487846040,2017-02-23T10:34:00Z,VDA7720,"34.569717,69.203384",0,20,303
1487846034,2017-02-23T10:33:54Z,VDA7720,"34.569492,69.203293",0,20,303
1487846022,2017-02-23T10:33:42Z,VDA7720,"34.569088,69.203156",0,17,303
1487846003,2017-02-23T10:33:23Z,VDA7720,"34.568733,69.203033",0,10,303
1487845991,2017-02-23T10:33:11Z,VDA7720,"34.568363,69.203094",0,24,303
1487845983,2017-02-23T10:33:03Z,VDA7720,"34.568001,69.203735",0,22,289
1487845976,2017-02-23T10:32:56Z,VDA7720,"34.567749,69.204659",0,34,286
1487845970,2017-02-23T10:32:50Z,VDA7720,"34.567371,69.2062",0,50,286
1487845964,2017-02-23T10:32:44Z,VDA7720,"34.566833,69.208389",0,72,286
1487845958,2017-02-23T10:32:38Z,VDA7720,"34.566307,69.210449",0,86,286
1487845952,2017-02-23T10:32:32Z,VDA7720,"34.565552,69.213448",0,100,286
1487845946,2017-02-23T10:32:26Z,VDA7720,"34.56459,69.217186",0,125,286
1487845933,2017-02-23T10:32:13Z,VDA7720,"34.562164,69.226646",5600,155,287
1487845921,2017-02-23T10:32:01Z,VDA7720,"34.559464,69.237076",5850,158,287
1487845909,2017-02-23T10:31:49Z,VDA7720,"34.5569,69.24688",6025,156,287
1487845897,2017-02-23T10:31:37Z,VDA7720,"34.554192,69.257187",6200,160,287
1487845885,2017-02-23T10:31:25Z,VDA7720,"34.551498,69.267792",6425,161,287
1487845873,2017-02-23T10:31:13Z,VDA7720,"34.548752,69.278275",6650,163,287
1487845861,2017-02-23T10:31:01Z,VDA7720,"34.546051,69.288757",6850,164,287
1487845849,2017-02-23T10:30:49Z,VDA7720,"34.543213,69.299744",7100,164,287
1487845837,2017-02-23T10:30:37Z,VDA7720,"34.540512,69.310219",7300,163,287
1487845825,2017-02-23T10:30:25Z,VDA7720,"34.537712,69.321098",7500,164,287
1487845812,2017-02-23T10:30:12Z,VDA7720,"34.534973,69.331749",7675,163,287
1487845800,2017-02-23T10:30:00Z,VDA7720,"34.532089,69.342621",7900,162,287
1487845788,2017-02-23T10:29:48Z,VDA7720,"34.529423,69.35257",8100,164,287
1487845776,2017-02-23T10:29:36Z,VDA7720,"34.526596,69.363251",8325,165,286
1487845764,2017-02-23T10:29:24Z,VDA7720,"34.523895,69.374069",8525,167,286
1487845752,2017-02-23T10:29:12Z,VDA7720,"34.521137,69.38501",8700,168,287
1487845740,2017-02-23T10:29:00Z,VDA7720,"34.518253,69.396172",8900,166,287
1487845727,2017-02-23T10:28:47Z,VDA7720,"34.515411,69.406815",9075,167,288
1487845715,2017-02-23T10:28:35Z,VDA7720,"34.512405,69.417732",9300,167,288
1487845703,2017-02-23T10:28:23Z,VDA7720,"34.509384,69.428772",9550,168,287
1487845691,2017-02-23T10:28:11Z,VDA7720,"34.506565,69.439606",9725,173,287
1487845679,2017-02-23T10:27:59Z,VDA7720,"34.503681,69.450989",9925,181,285
1487845667,2017-02-23T10:27:47Z,VDA7720,"34.500778,69.463356",10250,181,285
1487845655,2017-02-23T10:27:35Z,VDA7720,"34.498169,69.474907",10575,182,285
1487845643,2017-02-23T10:27:23Z,VDA7720,"34.4953,69.487213",10925,182,286
1487845630,2017-02-23T10:27:10Z,VDA7720,"34.492355,69.498779",11250,181,287
1487845618,2017-02-23T10:26:58Z,VDA7720,"34.488922,69.51078",11600,180,290
1487845606,2017-02-23T10:26:46Z,VDA7720,"34.485245,69.52211",11950,180,292
1487845600,2017-02-23T10:26:40Z,VDA7720,"34.483292,69.527481",12125,179,293
1487845594,2017-02-23T10:26:34Z,VDA7720,"34.480911,69.53376",12325,179,295
1487845588,2017-02-23T10:26:28Z,VDA7720,"34.478916,69.538651",12475,180,298
1487845582,2017-02-23T10:26:22Z,VDA7720,"34.476379,69.544075",12625,182,302
1487845551,2017-02-23T10:25:51Z,VDA7720,"34.457382,69.57019",12650,216,307
1487845545,2017-02-23T10:25:45Z,VDA7720,"34.453674,69.576027",12650,219,307
1487845539,2017-02-23T10:25:39Z,VDA7720,"34.449966,69.581909",12650,221,307
1487845533,2017-02-23T10:25:33Z,VDA7720,"34.446213,69.587852",12675,223,307
1487845527,2017-02-23T10:25:27Z,VDA7720,"34.442184,69.59407",12625,225,309
1487845519,2017-02-23T10:25:19Z,VDA7720,"34.435669,69.601936",12675,227,322
1487845494,2017-02-23T10:24:54Z,VDA7720,"34.411102,69.610886",12900,235,4
1487845488,2017-02-23T10:24:48Z,VDA7720,"34.404526,69.609543",13025,236,15
1487845482,2017-02-23T10:24:42Z,VDA7720,"34.398426,69.606857",13225,232,25
1487845470,2017-02-23T10:24:30Z,VDA7720,"34.387581,69.598503",13625,230,35
1487845439,2017-02-23T10:23:59Z,VDA7720,"34.361324,69.575157",14300,238,37
1487845433,2017-02-23T10:23:53Z,VDA7720,"34.355831,69.570122",14275,240,37
1487845427,2017-02-23T10:23:47Z,VDA7720,"34.350586,69.565208",14300,243,38
1487845421,2017-02-23T10:23:41Z,VDA7720,"34.345123,69.559822",14350,244,40
1487845415,2017-02-23T10:23:35Z,VDA7720,"34.340332,69.554497",14400,245,44
1487845409,2017-02-23T10:23:29Z,VDA7720,"34.335579,69.548203",14450,244,52
1487845403,2017-02-23T10:23:23Z,VDA7720,"34.331635,69.541046",14475,246,62
1487845382,2017-02-23T10:23:02Z,VDA7720,"34.326187,69.511452",14450,251,91
1487845375,2017-02-23T10:22:55Z,VDA7720,"34.326828,69.503235",14425,253,101
1487845369,2017-02-23T10:22:49Z,VDA7720,"34.328476,69.495255",14425,258,109
1487845345,2017-02-23T10:22:25Z,VDA7720,"34.343403,69.463692",14550,267,122
1487845314,2017-02-23T10:21:54Z,VDA7720,"34.363792,69.424324",15425,263,121
1487845281,2017-02-23T10:21:21Z,VDA7720,"34.384644,69.383148",16075,275,121
1487845250,2017-02-23T10:20:50Z,VDA7720,"34.405876,69.341415",16175,280,121
1487845214,2017-02-23T10:20:14Z,VDA7720,"34.42971,69.293808",16925,272,120
1487845208,2017-02-23T10:20:08Z,VDA7720,"34.433758,69.285507",16950,277,119
1487845202,2017-02-23T10:20:02Z,VDA7720,"34.437622,69.277267",16950,285,118
1487845196,2017-02-23T10:19:56Z,VDA7720,"34.441349,69.268631",16975,292,116
1487845190,2017-02-23T10:19:50Z,VDA7720,"34.445023,69.259216",17025,297,112
1487845171,2017-02-23T10:19:31Z,VDA7720,"34.451683,69.229599",17425,303,100
1487845138,2017-02-23T10:18:58Z,VDA7720,"34.460999,69.171997",17600,327,100
1487845107,2017-02-23T10:18:27Z,VDA7720,"34.470348,69.113503",17400,360,100
1487845071,2017-02-23T10:17:51Z,VDA7720,"34.482498,69.040375",17725,379,103
1487845065,2017-02-23T10:17:45Z,VDA7720,"34.485672,69.025757",17750,386,106
1487845059,2017-02-23T10:17:39Z,VDA7720,"34.488464,69.014435",17800,390,107
1487845053,2017-02-23T10:17:33Z,VDA7720,"34.491901,69.001465",17875,393,108
1487845046,2017-02-23T10:17:26Z,VDA7720,"34.495674,68.988815",18050,395,112
1487845037,2017-02-23T10:17:17Z,VDA7720,"34.503067,68.969925",18400,396,119
1487844976,2017-02-23T10:16:16Z,VDA7720,"34.564804,68.851204",20300,432,121
1487844915,2017-02-23T10:15:15Z,VDA7720,"34.629883,68.718567",22250,469,119
