Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1487856458,2017-02-23T13:27:38Z,VDA7720,"36.711689,67.231445",0,13,64
1487856442,2017-02-23T13:27:22Z,VDA7720,"36.711864,67.231155",0,15,64
1487856436,2017-02-23T13:27:16Z,VDA7720,"36.711777,67.230934",0,21,64
1487856430,2017-02-23T13:27:10Z,VDA7720,"36.711674,67.230637",0,25,64
1487856424,2017-02-23T13:27:04Z,VDA7720,"36.711536,67.230232",0,15,64
1487856417,2017-02-23T13:26:57Z,VDA7720,"36.711178,67.229362",0,23,64
1487856411,2017-02-23T13:26:51Z,VDA7720,"36.710991,67.228851",0,25,64
1487856404,2017-02-23T13:26:44Z,VDA7720,"36.710686,67.228119",0,25,61
1487856396,2017-02-23T13:26:36Z,VDA7720,"36.710232,67.226936",0,24,64
1487856389,2017-02-23T13:26:29Z,VDA7720,"36.709919,67.226112",0,24,64
1487856383,2017-02-23T13:26:23Z,VDA7720,"36.709625,67.225311",0,27,64
1487856377,2017-02-23T13:26:17Z,VDA7720,"36.709255,67.224319",0,30,64
1487856370,2017-02-23T13:26:10Z,VDA7720,"36.708836,67.223152",0,35,64
1487856363,2017-02-23T13:26:03Z,VDA7720,"36.708359,67.221825",0,41,67
1487856357,2017-02-23T13:25:57Z,VDA7720,"36.707726,67.220062",0,62,64
1487856350,2017-02-23T13:25:50Z,VDA7720,"36.706924,67.21785",0,76,67
1487856344,2017-02-23T13:25:44Z,VDA7720,"36.705952,67.215042",0,92,67
1487856338,2017-02-23T13:25:38Z,VDA7720,"36.704716,67.211578",0,110,64
1487856331,2017-02-23T13:25:31Z,VDA7720,"36.703125,67.20726",1050,123,65
1487856324,2017-02-23T13:25:24Z,VDA7720,"36.701431,67.202568",1100,127,65
1487856317,2017-02-23T13:25:17Z,VDA7720,"36.699921,67.198288",1200,127,65
1487856311,2017-02-23T13:25:11Z,VDA7720,"36.698456,67.194275",1275,126,66
1487856305,2017-02-23T13:25:05Z,VDA7720,"36.696991,67.190155",1350,125,66
1487856299,2017-02-23T13:24:59Z,VDA7720,"36.695545,67.186127",1400,125,66
1487856293,2017-02-23T13:24:53Z,VDA7720,"36.69397,67.181793",1475,123,65
1487856287,2017-02-23T13:24:47Z,VDA7720,"36.692642,67.178078",1500,122,66
1487856280,2017-02-23T13:24:40Z,VDA7720,"36.691265,67.174034",1550,121,67
1487856274,2017-02-23T13:24:34Z,VDA7720,"36.68985,67.170067",1625,120,65
1487856268,2017-02-23T13:24:28Z,VDA7720,"36.688385,67.166",1725,121,66
1487856261,2017-02-23T13:24:21Z,VDA7720,"36.686886,67.161705",1800,123,66
1487856255,2017-02-23T13:24:15Z,VDA7720,"36.685364,67.157478",1875,126,66
1487856248,2017-02-23T13:24:08Z,VDA7720,"36.683807,67.153076",1950,131,66
1487856239,2017-02-23T13:23:59Z,VDA7720,"36.681473,67.146545",2075,135,66
1487856233,2017-02-23T13:23:53Z,VDA7720,"36.679779,67.141739",2175,136,65
1487856226,2017-02-23T13:23:46Z,VDA7720,"36.678085,67.137108",2250,139,66
1487856220,2017-02-23T13:23:40Z,VDA7720,"36.676483,67.13253",2350,141,66
1487856214,2017-02-23T13:23:34Z,VDA7720,"36.674969,67.12822",2425,144,66
1487856208,2017-02-23T13:23:28Z,VDA7720,"36.67305,67.122803",2525,146,65
1487856201,2017-02-23T13:23:21Z,VDA7720,"36.671387,67.118286",2650,144,65
1487856195,2017-02-23T13:23:15Z,VDA7720,"36.669571,67.113304",2700,143,66
1487856189,2017-02-23T13:23:09Z,VDA7720,"36.668015,67.108902",2700,142,65
1487856182,2017-02-23T13:23:02Z,VDA7720,"36.666218,67.103966",2700,142,65
1487856174,2017-02-23T13:22:54Z,VDA7720,"36.663803,67.097107",2750,143,66
1487856167,2017-02-23T13:22:47Z,VDA7720,"36.662075,67.092339",2775,145,66
1487856160,2017-02-23T13:22:40Z,VDA7720,"36.660305,67.087425",2800,150,65
1487856154,2017-02-23T13:22:34Z,VDA7720,"36.658356,67.08223",2825,154,65
