Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1488107271,2017-02-26T11:07:51Z,VDA5035,"26.434845,49.79776",375,124,345
1488107265,2017-02-26T11:07:45Z,VDA5035,"26.432175,49.798542",450,126,344
1488107259,2017-02-26T11:07:39Z,VDA5035,"26.428637,49.799652",525,127,344
1488107253,2017-02-26T11:07:33Z,VDA5035,"26.425232,49.800766",575,129,343
1488107247,2017-02-26T11:07:27Z,VDA5035,"26.421478,49.80196",625,127,344
1488107241,2017-02-26T11:07:21Z,VDA5035,"26.41832,49.802944",675,127,344
1488107235,2017-02-26T11:07:15Z,VDA5035,"26.414904,49.803932",725,126,345
1488107229,2017-02-26T11:07:09Z,VDA5035,"26.411552,49.804935",800,125,344
1488107223,2017-02-26T11:07:03Z,VDA5035,"26.408014,49.806095",850,125,343
1488107217,2017-02-26T11:06:57Z,VDA5035,"26.40477,49.807194",900,125,343
1488107211,2017-02-26T11:06:51Z,VDA5035,"26.40131,49.808315",975,126,344
1488107205,2017-02-26T11:06:45Z,VDA5035,"26.39782,49.809319",1075,126,345
1488107199,2017-02-26T11:06:39Z,VDA5035,"26.394375,49.810268",1150,129,345
1488107193,2017-02-26T11:06:33Z,VDA5035,"26.390882,49.811325",1225,129,344
1488107187,2017-02-26T11:06:27Z,VDA5035,"26.387512,49.812428",1300,130,344
1488107181,2017-02-26T11:06:21Z,VDA5035,"26.383854,49.813545",1375,130,345
1488107175,2017-02-26T11:06:15Z,VDA5035,"26.380234,49.814602",1475,130,345
1488107169,2017-02-26T11:06:09Z,VDA5035,"26.376823,49.815605",1575,130,344
1488107163,2017-02-26T11:06:03Z,VDA5035,"26.37324,49.816765",1650,132,343
1488107157,2017-02-26T11:05:57Z,VDA5035,"26.369522,49.81797",1725,134,344
1488107150,2017-02-26T11:05:50Z,VDA5035,"26.365744,49.819088",1800,134,344
1488107144,2017-02-26T11:05:44Z,VDA5035,"26.362289,49.820198",1825,134,344
1488107138,2017-02-26T11:05:38Z,VDA5035,"26.358528,49.821308",1850,135,345
1488107132,2017-02-26T11:05:32Z,VDA5035,"26.354919,49.822376",1850,136,344
1488107126,2017-02-26T11:05:26Z,VDA5035,"26.351349,49.823517",1875,137,344
1488107120,2017-02-26T11:05:20Z,VDA5035,"26.347595,49.824707",1875,135,344
1488107114,2017-02-26T11:05:14Z,VDA5035,"26.343933,49.825848",1900,136,344
