Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1489237459,2017-03-11T13:04:19Z,VDA6551,"25.333649,55.497475",0,0,221
1489237404,2017-03-11T13:03:24Z,VDA6551,"25.333879,55.497631",0,2,303
1489237374,2017-03-11T13:02:54Z,VDA6551,"25.334187,55.497829",0,17,303
1489237319,2017-03-11T13:01:59Z,VDA6551,"25.334751,55.498497",0,13,303
1489237299,2017-03-11T13:01:39Z,VDA6551,"25.335032,55.498188",0,16,303
1489237289,2017-03-11T13:01:29Z,VDA6551,"25.335287,55.498226",0,15,303
1489236891,2017-03-11T12:54:51Z,VDA6551,"25.337093,55.507114",0,29,303
1489236882,2017-03-11T12:54:42Z,VDA6551,"25.33643,55.508282",0,36,300
1489236872,2017-03-11T12:54:32Z,VDA6551,"25.335354,55.510139",0,44,303
1489236862,2017-03-11T12:54:22Z,VDA6551,"25.334217,55.512154",0,46,300
1489236761,2017-03-11T12:52:41Z,VDA6551,"25.309204,55.555115",550,131,301
1489236755,2017-03-11T12:52:35Z,VDA6551,"25.307373,55.55827",625,131,301
1489236749,2017-03-11T12:52:29Z,VDA6551,"25.305176,55.562237",725,132,301
1489236743,2017-03-11T12:52:23Z,VDA6551,"25.303375,55.565376",775,134,302
1489236737,2017-03-11T12:52:17Z,VDA6551,"25.301188,55.569107",825,135,302
1489236731,2017-03-11T12:52:11Z,VDA6551,"25.299278,55.572422",900,135,301
1489236725,2017-03-11T12:52:05Z,VDA6551,"25.297184,55.576153",975,134,302
1489236719,2017-03-11T12:51:59Z,VDA6551,"25.295105,55.579784",1050,134,302
1489236713,2017-03-11T12:51:53Z,VDA6551,"25.292995,55.583515",1125,137,302
1489236707,2017-03-11T12:51:47Z,VDA6551,"25.290993,55.586987",1200,138,302
1489236701,2017-03-11T12:51:41Z,VDA6551,"25.288851,55.590614",1275,140,302
1489236695,2017-03-11T12:51:35Z,VDA6551,"25.286896,55.593983",1325,141,302
1489236689,2017-03-11T12:51:29Z,VDA6551,"25.284708,55.59766",1425,142,302
1489236683,2017-03-11T12:51:23Z,VDA6551,"25.282654,55.601299",1525,143,301
1489236677,2017-03-11T12:51:17Z,VDA6551,"25.280472,55.605122",1650,143,302
1489236668,2017-03-11T12:51:08Z,VDA6551,"25.277161,55.610809",1775,145,302
1489236662,2017-03-11T12:51:02Z,VDA6551,"25.274933,55.614605",1850,148,302
1489236656,2017-03-11T12:50:56Z,VDA6551,"25.272745,55.61834",1900,149,302
1489236650,2017-03-11T12:50:50Z,VDA6551,"25.270432,55.622303",1975,148,301
1489236644,2017-03-11T12:50:44Z,VDA6551,"25.268051,55.626575",2000,147,301
1489236638,2017-03-11T12:50:38Z,VDA6551,"25.266083,55.629986",1975,146,302
1489236632,2017-03-11T12:50:32Z,VDA6551,"25.263807,55.633831",1925,146,303
1489236626,2017-03-11T12:50:26Z,VDA6551,"25.261618,55.637615",1925,146,302
1489236620,2017-03-11T12:50:20Z,VDA6551,"25.259384,55.641399",1950,146,302
1489236614,2017-03-11T12:50:14Z,VDA6551,"25.257202,55.645142",1975,148,302
1489236608,2017-03-11T12:50:08Z,VDA6551,"25.254913,55.648907",1975,152,303
1489236602,2017-03-11T12:50:02Z,VDA6551,"25.252487,55.652973",1975,155,302
1489236593,2017-03-11T12:49:53Z,VDA6551,"25.248779,55.659332",1975,157,302
1489236586,2017-03-11T12:49:46Z,VDA6551,"25.246489,55.663422",1950,157,300
1489236580,2017-03-11T12:49:40Z,VDA6551,"25.244301,55.667362",1950,156,300
1489236574,2017-03-11T12:49:34Z,VDA6551,"25.242096,55.671539",1925,154,299
