Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1490374891,2017-03-24T17:01:31Z,VDA4751,"42.569698,27.518644",0,10,105
1490374881,2017-03-24T17:01:21Z,VDA4751,"42.569706,27.518421",0,13,92
1490374867,2017-03-24T17:01:07Z,VDA4751,"42.569721,27.518036",0,13,98
1490374857,2017-03-24T17:00:57Z,VDA4751,"42.569717,27.517815",0,16,50
1490374851,2017-03-24T17:00:51Z,VDA4751,"42.569561,27.517599",0,21,45
1490374839,2017-03-24T17:00:39Z,VDA4751,"42.569241,27.517176",0,19,44
1490374831,2017-03-24T17:00:31Z,VDA4751,"42.569046,27.516928",0,17,48
1490374818,2017-03-24T17:00:18Z,VDA4751,"42.568794,27.516602",0,22,46
1490374812,2017-03-24T17:00:12Z,VDA4751,"42.568634,27.516376",0,21,46
1490374806,2017-03-24T17:00:06Z,VDA4751,"42.568485,27.516165",0,19,43
1490374797,2017-03-24T16:59:57Z,VDA4751,"42.568279,27.515898",0,16,49
1490374788,2017-03-24T16:59:48Z,VDA4751,"42.568134,27.515675",0,16,30
1490374779,2017-03-24T16:59:39Z,VDA4751,"42.56789,27.515547",0,17,349
1490374767,2017-03-24T16:59:27Z,VDA4751,"42.567635,27.51577",0,15,316
1490374755,2017-03-24T16:59:15Z,VDA4751,"42.567379,27.516106",0,18,295
1490374746,2017-03-24T16:59:06Z,VDA4751,"42.567249,27.516319",0,16,277
1490374740,2017-03-24T16:59:00Z,VDA4751,"42.567272,27.516539",0,15,229
1490374688,2017-03-24T16:58:08Z,VDA4751,"42.568275,27.518101",0,24,225
1490374673,2017-03-24T16:57:53Z,VDA4751,"42.568752,27.518724",0,23,220
1490374655,2017-03-24T16:57:35Z,VDA4751,"42.569321,27.519363",0,21,221
1490374599,2017-03-24T16:56:39Z,VDA4751,"42.571186,27.521502",0,24,221
1490374559,2017-03-24T16:55:59Z,VDA4751,"42.572502,27.523014",0,28,220
1490374547,2017-03-24T16:55:47Z,VDA4751,"42.572987,27.523561",0,30,219
1490374541,2017-03-24T16:55:41Z,VDA4751,"42.573372,27.523998",0,33,225
1490374535,2017-03-24T16:55:35Z,VDA4751,"42.573578,27.524248",0,31,216
1490374528,2017-03-24T16:55:28Z,VDA4751,"42.573853,27.524544",0,33,221
1490374513,2017-03-24T16:55:13Z,VDA4751,"42.574558,27.525351",0,29,223
1490374507,2017-03-24T16:55:07Z,VDA4751,"42.574791,27.525637",0,27,220
1490374499,2017-03-24T16:54:59Z,VDA4751,"42.57513,27.526022",0,25,222
1490374492,2017-03-24T16:54:52Z,VDA4751,"42.575432,27.526373",0,23,221
1490374477,2017-03-24T16:54:37Z,VDA4751,"42.575832,27.52676",0,21,170
1490374463,2017-03-24T16:54:23Z,VDA4751,"42.576397,27.526501",0,23,128
1490374457,2017-03-24T16:54:17Z,VDA4751,"42.57655,27.526213",0,24,102
1490374447,2017-03-24T16:54:07Z,VDA4751,"42.576618,27.525719",0,21,84
1490374441,2017-03-24T16:54:01Z,VDA4751,"42.576618,27.525368",0,23,87
1490374432,2017-03-24T16:53:52Z,VDA4751,"42.576599,27.524841",0,28,92
1490374426,2017-03-24T16:53:46Z,VDA4751,"42.576599,27.52442",0,27,77
1490374420,2017-03-24T16:53:40Z,VDA4751,"42.57653,27.524029",0,24,74
1490374414,2017-03-24T16:53:34Z,VDA4751,"42.576439,27.523701",0,23,52
1490374402,2017-03-24T16:53:22Z,VDA4751,"42.576073,27.523108",0,32,44
1490374396,2017-03-24T16:53:16Z,VDA4751,"42.575741,27.522688",0,18,44
1490374378,2017-03-24T16:52:58Z,VDA4751,"42.574139,27.52055",0,36,44
1490374372,2017-03-24T16:52:52Z,VDA4751,"42.573338,27.519487",0,41,45
1490374366,2017-03-24T16:52:46Z,VDA4751,"42.572453,27.518293",0,46,43
1490374360,2017-03-24T16:52:40Z,VDA4751,"42.571476,27.517015",0,51,44
1490374354,2017-03-24T16:52:34Z,VDA4751,"42.570393,27.515577",0,59,44
1490374348,2017-03-24T16:52:28Z,VDA4751,"42.569099,27.513853",0,70,44
1490374339,2017-03-24T16:52:19Z,VDA4751,"42.566677,27.510687",0,96,43
1490374333,2017-03-24T16:52:13Z,VDA4751,"42.564514,27.507893",0,113,44
1490374327,2017-03-24T16:52:07Z,VDA4751,"42.561501,27.503826",0,121,44
1490374317,2017-03-24T16:51:57Z,VDA4751,"42.55843,27.499737",0,121,44
1490374308,2017-03-24T16:51:48Z,VDA4751,"42.554192,27.494244",75,122,43
1490374299,2017-03-24T16:51:39Z,VDA4751,"42.551212,27.490349",125,125,44
1490374291,2017-03-24T16:51:31Z,VDA4751,"42.547348,27.485109",250,123,44
1490374285,2017-03-24T16:51:25Z,VDA4751,"42.54493,27.481981",275,121,43
1490374276,2017-03-24T16:51:16Z,VDA4751,"42.541306,27.477243",325,121,44
1490374269,2017-03-24T16:51:09Z,VDA4751,"42.538921,27.473997",350,127,45
1490374263,2017-03-24T16:51:03Z,VDA4751,"42.536362,27.470503",425,129,45
1490374257,2017-03-24T16:50:57Z,VDA4751,"42.533661,27.466694",525,130,45
1490374251,2017-03-24T16:50:51Z,VDA4751,"42.531097,27.463137",625,134,45
