Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1491307466,2017-04-04T12:04:26Z,VDA2042,"47.154358,-1.603599",0,17,28
1491307285,2017-04-04T12:01:25Z,VDA2042,"47.12846,-1.629498",75,127,26
1491307276,2017-04-04T12:01:16Z,VDA2042,"47.123482,-1.63316",175,123,28
1491307270,2017-04-04T12:01:10Z,VDA2042,"47.120548,-1.635414",250,125,27
1491307264,2017-04-04T12:01:04Z,VDA2042,"47.117615,-1.637718",325,126,27
1491307258,2017-04-04T12:00:58Z,VDA2042,"47.114136,-1.640396",425,125,27
1491307252,2017-04-04T12:00:52Z,VDA2042,"47.111332,-1.642597",475,126,27
1491307246,2017-04-04T12:00:46Z,VDA2042,"47.108093,-1.645134",525,127,28
1491307240,2017-04-04T12:00:40Z,VDA2042,"47.105,-1.647527",600,128,27
1491307234,2017-04-04T12:00:34Z,VDA2042,"47.10202,-1.649851",675,129,26
1491307228,2017-04-04T12:00:28Z,VDA2042,"47.098663,-1.652206",750,128,25
1491307222,2017-04-04T12:00:22Z,VDA2042,"47.095459,-1.654541",800,129,26
1491307216,2017-04-04T12:00:16Z,VDA2042,"47.092255,-1.656944",850,130,26
1491307210,2017-04-04T12:00:10Z,VDA2042,"47.088959,-1.659348",925,129,27
1491307204,2017-04-04T12:00:04Z,VDA2042,"47.085846,-1.661751",975,127,27
1491307197,2017-04-04T11:59:57Z,VDA2042,"47.082504,-1.664291",1050,127,28
1491307191,2017-04-04T11:59:51Z,VDA2042,"47.079441,-1.666682",1100,129,28
1491307185,2017-04-04T11:59:45Z,VDA2042,"47.07637,-1.669098",1175,130,27
1491307179,2017-04-04T11:59:39Z,VDA2042,"47.073017,-1.671612",1250,131,26
1491307173,2017-04-04T11:59:33Z,VDA2042,"47.069714,-1.674007",1350,132,26
1491307167,2017-04-04T11:59:27Z,VDA2042,"47.065887,-1.676857",1425,133,27
1491307161,2017-04-04T11:59:21Z,VDA2042,"47.063103,-1.678936",1475,135,26
1491307155,2017-04-04T11:59:15Z,VDA2042,"47.05957,-1.681595",1575,137,27
1491307149,2017-04-04T11:59:09Z,VDA2042,"47.056305,-1.684077",1650,138,27
1491307131,2017-04-04T11:58:51Z,VDA2042,"47.043594,-1.693748",1950,145,27
1491307124,2017-04-04T11:58:44Z,VDA2042,"47.041443,-1.695396",2025,146,27
1491307118,2017-04-04T11:58:38Z,VDA2042,"47.036819,-1.698967",2150,148,27
1491307109,2017-04-04T11:58:29Z,VDA2042,"47.031967,-1.702675",2300,147,27
1491307103,2017-04-04T11:58:23Z,VDA2042,"47.028748,-1.705135",2400,148,27
1491307095,2017-04-04T11:58:15Z,VDA2042,"47.022629,-1.709816",2550,149,27
1491307088,2017-04-04T11:58:08Z,VDA2042,"47.019527,-1.712107",2600,153,26
1491307082,2017-04-04T11:58:02Z,VDA2042,"47.013977,-1.716133",2675,161,24
1491307076,2017-04-04T11:57:56Z,VDA2042,"47.01157,-1.717741",2700,163,24
1491307070,2017-04-04T11:57:50Z,VDA2042,"47.007145,-1.720628",2725,170,23
1491307064,2017-04-04T11:57:44Z,VDA2042,"47.001297,-1.724373",2750,179,22
1491307056,2017-04-04T11:57:36Z,VDA2042,"46.995789,-1.727671",2700,192,21
1491307049,2017-04-04T11:57:29Z,VDA2042,"46.990128,-1.730827",2700,196,20
1491307043,2017-04-04T11:57:23Z,VDA2042,"46.984894,-1.733727",2700,194,22
1491307037,2017-04-04T11:57:17Z,VDA2042,"46.98061,-1.736333",2700,192,24
1491307031,2017-04-04T11:57:11Z,VDA2042,"46.973816,-1.741896",2650,193,37
1491307025,2017-04-04T11:57:05Z,VDA2042,"46.970371,-1.74584",2625,193,43
1491307019,2017-04-04T11:56:59Z,VDA2042,"46.966644,-1.75177",2625,191,63
1491307013,2017-04-04T11:56:53Z,VDA2042,"46.963947,-1.758305",2650,192,66
1491307007,2017-04-04T11:56:47Z,VDA2042,"46.962132,-1.765066",2625,196,70
1491307001,2017-04-04T11:56:41Z,VDA2042,"46.96051,-1.771751",2625,198,70
1491306995,2017-04-04T11:56:35Z,VDA2042,"46.958637,-1.779222",2625,201,70
1491306989,2017-04-04T11:56:29Z,VDA2042,"46.956802,-1.786652",2625,205,70
1491306983,2017-04-04T11:56:23Z,VDA2042,"46.954868,-1.794363",2650,207,69
1491306977,2017-04-04T11:56:17Z,VDA2042,"46.952682,-1.803131",2675,205,69
1491306971,2017-04-04T11:56:11Z,VDA2042,"46.950771,-1.810631",2725,205,70
1491306965,2017-04-04T11:56:05Z,VDA2042,"46.948471,-1.819817",2775,205,70
1491306956,2017-04-04T11:55:56Z,VDA2042,"46.945602,-1.831548",2875,204,69
1491306950,2017-04-04T11:55:50Z,VDA2042,"46.943985,-1.838013",2975,202,70
1491306927,2017-04-04T11:55:27Z,VDA2042,"46.93959,-1.868774",3550,199,97
1491306921,2017-04-04T11:55:21Z,VDA2042,"46.940762,-1.876972",3700,201,114
