Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1491612062,2017-04-08T00:41:02Z,VDA4782,"44.809811,-68.823853",0,2,135
1491612041,2017-04-08T00:40:41Z,VDA4782,"44.809673,-68.823639",0,12,135
1491612029,2017-04-08T00:40:29Z,VDA4782,"44.809536,-68.82341",0,13,135
1491612017,2017-04-08T00:40:17Z,VDA4782,"44.809307,-68.823196",0,15,135
1491612004,2017-04-08T00:40:04Z,VDA4782,"44.808975,-68.823296",0,19,135
1491611992,2017-04-08T00:39:52Z,VDA4782,"44.808601,-68.823448",0,20,135
1491611986,2017-04-08T00:39:46Z,VDA4782,"44.808392,-68.823296",0,23,135
1491611977,2017-04-08T00:39:37Z,VDA4782,"44.808117,-68.822906",0,25,135
1491611971,2017-04-08T00:39:31Z,VDA4782,"44.807926,-68.822632",0,26,135
1491611965,2017-04-08T00:39:25Z,VDA4782,"44.807693,-68.822296",0,30,135
1491611959,2017-04-08T00:39:19Z,VDA4782,"44.807461,-68.82196",0,30,135
1491611953,2017-04-08T00:39:13Z,VDA4782,"44.807213,-68.821579",0,30,135
1491611947,2017-04-08T00:39:07Z,VDA4782,"44.806915,-68.821175",0,30,135
1491611941,2017-04-08T00:39:01Z,VDA4782,"44.806728,-68.820908",0,30,135
1491611935,2017-04-08T00:38:55Z,VDA4782,"44.806469,-68.820534",0,31,135
1491611929,2017-04-08T00:38:49Z,VDA4782,"44.806206,-68.820122",0,31,135
1491611920,2017-04-08T00:38:40Z,VDA4782,"44.80584,-68.819588",0,30,135
1491611914,2017-04-08T00:38:34Z,VDA4782,"44.80555,-68.81913",0,22,135
1491611902,2017-04-08T00:38:22Z,VDA4782,"44.805279,-68.818817",0,21,135
1491611896,2017-04-08T00:38:16Z,VDA4782,"44.805038,-68.818771",0,21,135
1491611890,2017-04-08T00:38:10Z,VDA4782,"44.804817,-68.818878",0,21,135
1491611884,2017-04-08T00:38:04Z,VDA4782,"44.804607,-68.81913",0,26,135
1491611878,2017-04-08T00:37:58Z,VDA4782,"44.804398,-68.81942",0,26,135
1491611872,2017-04-08T00:37:52Z,VDA4782,"44.804192,-68.819717",0,26,135
1491611866,2017-04-08T00:37:46Z,VDA4782,"44.803997,-68.819977",0,27,135
1491611854,2017-04-08T00:37:34Z,VDA4782,"44.803516,-68.820602",0,26,135
1491611847,2017-04-08T00:37:27Z,VDA4782,"44.803284,-68.820908",0,24,135
1491611836,2017-04-08T00:37:16Z,VDA4782,"44.803173,-68.821579",0,23,135
1491611829,2017-04-08T00:37:09Z,VDA4782,"44.803265,-68.821877",0,23,135
1491611823,2017-04-08T00:37:03Z,VDA4782,"44.803471,-68.822182",0,30,135
1491611808,2017-04-08T00:36:48Z,VDA4782,"44.804249,-68.823326",0,21,135
1491611802,2017-04-08T00:36:42Z,VDA4782,"44.804703,-68.823952",0,21,135
1491611793,2017-04-08T00:36:33Z,VDA4782,"44.805325,-68.824814",0,20,135
1491611787,2017-04-08T00:36:27Z,VDA4782,"44.805771,-68.825455",0,22,132
1491611781,2017-04-08T00:36:21Z,VDA4782,"44.806202,-68.826134",0,26,132
1491611772,2017-04-08T00:36:12Z,VDA4782,"44.807236,-68.82766",0,50,135
1491611766,2017-04-08T00:36:06Z,VDA4782,"44.808681,-68.829712",0,76,135
1491611760,2017-04-08T00:36:00Z,VDA4782,"44.810051,-68.831718",0,96,135
1491611754,2017-04-08T00:35:54Z,VDA4782,"44.812042,-68.834641",0,110,135
1491611748,2017-04-08T00:35:48Z,VDA4782,"44.81435,-68.83799",800,120,134
1491611742,2017-04-08T00:35:42Z,VDA4782,"44.816723,-68.8414",825,123,134
1491611736,2017-04-08T00:35:36Z,VDA4782,"44.819515,-68.84536",925,126,134
1491611730,2017-04-08T00:35:30Z,VDA4782,"44.821846,-68.84864",1000,127,134
1491611724,2017-04-08T00:35:24Z,VDA4782,"44.824265,-68.852165",1100,127,133
1491611718,2017-04-08T00:35:18Z,VDA4782,"44.826778,-68.855942",1150,130,133
1491611712,2017-04-08T00:35:12Z,VDA4782,"44.829208,-68.859558",1200,134,132
1491611706,2017-04-08T00:35:06Z,VDA4782,"44.831955,-68.863747",1275,135,133
1491611699,2017-04-08T00:34:59Z,VDA4782,"44.834518,-68.867409",1350,131,135
1491611693,2017-04-08T00:34:53Z,VDA4782,"44.836945,-68.870804",1400,125,135
