Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1492542127,2017-04-18T19:02:07Z,VDA2095,"45.60603,8.721188",0,2,168
1492542109,2017-04-18T19:01:49Z,VDA2095,"45.606056,8.721403",0,9,168
1492542094,2017-04-18T19:01:34Z,VDA2095,"45.606087,8.721634",0,12,168
1492542079,2017-04-18T19:01:19Z,VDA2095,"45.606125,8.722006",0,14,168
1492542067,2017-04-18T19:01:07Z,VDA2095,"45.606144,8.722406",0,15,168
1492542056,2017-04-18T19:00:56Z,VDA2095,"45.606388,8.722591",0,19,168
1492542049,2017-04-18T19:00:49Z,VDA2095,"45.606632,8.722527",0,23,168
1492542043,2017-04-18T19:00:43Z,VDA2095,"45.606857,8.722475",0,23,168
1492542037,2017-04-18T19:00:37Z,VDA2095,"45.607147,8.722389",0,27,168
1492542028,2017-04-18T19:00:28Z,VDA2095,"45.60767,8.722235",0,33,168
1492542022,2017-04-18T19:00:22Z,VDA2095,"45.608055,8.722132",0,16,168
1492542016,2017-04-18T19:00:16Z,VDA2095,"45.608574,8.721989",0,18,168
1492542010,2017-04-18T19:00:10Z,VDA2095,"45.609066,8.721855",0,19,168
1492542004,2017-04-18T19:00:04Z,VDA2095,"45.609577,8.72172",0,17,168
1492541998,2017-04-18T18:59:58Z,VDA2095,"45.61002,8.721582",0,15,168
1492541992,2017-04-18T18:59:52Z,VDA2095,"45.610405,8.72147",0,31,168
1492541986,2017-04-18T18:59:46Z,VDA2095,"45.610752,8.721376",0,28,168
1492541980,2017-04-18T18:59:40Z,VDA2095,"45.611057,8.721403",0,26,168
1492541974,2017-04-18T18:59:34Z,VDA2095,"45.611286,8.721621",0,26,168
1492541961,2017-04-18T18:59:21Z,VDA2095,"45.611568,8.722303",0,23,168
1492541953,2017-04-18T18:59:13Z,VDA2095,"45.611965,8.722321",0,24,168
1492541947,2017-04-18T18:59:07Z,VDA2095,"45.612221,8.722252",0,25,168
1492541941,2017-04-18T18:59:01Z,VDA2095,"45.612511,8.722173",0,26,168
1492541932,2017-04-18T18:58:52Z,VDA2095,"45.612968,8.722022",0,28,168
1492541925,2017-04-18T18:58:45Z,VDA2095,"45.613289,8.721922",0,25,168
1492541917,2017-04-18T18:58:37Z,VDA2095,"45.613663,8.722029",0,21,168
1492541910,2017-04-18T18:58:30Z,VDA2095,"45.613804,8.722274",0,19,168
1492541904,2017-04-18T18:58:24Z,VDA2095,"45.613838,8.722558",0,21,168
1492541896,2017-04-18T18:58:16Z,VDA2095,"45.613907,8.723059",0,21,168
1492541886,2017-04-18T18:58:06Z,VDA2095,"45.613976,8.723597",0,25,168
1492541880,2017-04-18T18:58:00Z,VDA2095,"45.614025,8.724003",0,23,168
1492541874,2017-04-18T18:57:54Z,VDA2095,"45.614056,8.724317",0,21,168
1492541862,2017-04-18T18:57:42Z,VDA2095,"45.614365,8.724752",0,21,168
1492541856,2017-04-18T18:57:36Z,VDA2095,"45.614582,8.724719",0,19,168
1492541848,2017-04-18T18:57:28Z,VDA2095,"45.614948,8.724602",0,29,168
1492541838,2017-04-18T18:57:18Z,VDA2095,"45.615475,8.724451",0,33,168
1492541832,2017-04-18T18:57:12Z,VDA2095,"45.615921,8.724334",0,16,168
1492541826,2017-04-18T18:57:06Z,VDA2095,"45.616421,8.724209",0,19,168
1492541820,2017-04-18T18:57:00Z,VDA2095,"45.616962,8.724049",0,20,168
