Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1492881894,2017-04-22T17:24:54Z,VDA4814,"53.294048,-113.570335",0,16,315
1492881884,2017-04-22T17:24:44Z,VDA4814,"53.293659,-113.569695",0,15,104
1492881872,2017-04-22T17:24:32Z,VDA4814,"53.293053,-113.568672",0,32,104
1492881802,2017-04-22T17:23:22Z,VDA4814,"53.291016,-113.566971",0,22,104
1492881796,2017-04-22T17:23:16Z,VDA4814,"53.291016,-113.567322",0,26,104
1492881790,2017-04-22T17:23:10Z,VDA4814,"53.291012,-113.567818",0,24,104
1492881784,2017-04-22T17:23:04Z,VDA4814,"53.291012,-113.568275",0,25,104
1492881778,2017-04-22T17:22:58Z,VDA4814,"53.291004,-113.568771",0,28,104
1492881762,2017-04-22T17:22:42Z,VDA4814,"53.291267,-113.570419",0,18,129
1492881756,2017-04-22T17:22:36Z,VDA4814,"53.291759,-113.571243",0,30,135
1492881744,2017-04-22T17:22:24Z,VDA4814,"53.293762,-113.5746",0,72,135
1492881735,2017-04-22T17:22:15Z,VDA4814,"53.296635,-113.57943",0,100,135
1492881729,2017-04-22T17:22:09Z,VDA4814,"53.29937,-113.584",0,120,135
1492881723,2017-04-22T17:22:03Z,VDA4814,"53.300892,-113.586548",0,130,135
1492881717,2017-04-22T17:21:57Z,VDA4814,"53.303524,-113.591042",2025,144,135
1492881711,2017-04-22T17:21:51Z,VDA4814,"53.306503,-113.596046",2100,147,134
1492881705,2017-04-22T17:21:45Z,VDA4814,"53.309601,-113.601303",2200,149,135
1492881699,2017-04-22T17:21:39Z,VDA4814,"53.312412,-113.605988",2275,149,135
1492881690,2017-04-22T17:21:30Z,VDA4814,"53.317162,-113.613739",2425,149,135
1492881683,2017-04-22T17:21:23Z,VDA4814,"53.320095,-113.618668",2500,149,135
1492881677,2017-04-22T17:21:17Z,VDA4814,"53.322842,-113.623192",2575,149,134
1492881671,2017-04-22T17:21:11Z,VDA4814,"53.326008,-113.628525",2675,149,134
1492881665,2017-04-22T17:21:05Z,VDA4814,"53.328827,-113.63324",2750,148,135
1492881659,2017-04-22T17:20:59Z,VDA4814,"53.331825,-113.638298",2850,147,134
1492881653,2017-04-22T17:20:53Z,VDA4814,"53.334759,-113.643227",2925,147,134
1492881647,2017-04-22T17:20:47Z,VDA4814,"53.337753,-113.648232",3000,147,134
1492881641,2017-04-22T17:20:41Z,VDA4814,"53.340626,-113.653",3075,147,135
1492881635,2017-04-22T17:20:35Z,VDA4814,"53.34351,-113.657845",3175,148,135
1492881629,2017-04-22T17:20:29Z,VDA4814,"53.346497,-113.662827",3250,147,135
1492881623,2017-04-22T17:20:23Z,VDA4814,"53.349747,-113.668236",3325,147,135
1492881617,2017-04-22T17:20:17Z,VDA4814,"53.352539,-113.672867",3400,146,134
1492881611,2017-04-22T17:20:11Z,VDA4814,"53.355244,-113.677475",3475,146,134
1492881604,2017-04-22T17:20:04Z,VDA4814,"53.35817,-113.682518",3550,145,134
1492881598,2017-04-22T17:19:58Z,VDA4814,"53.361107,-113.687492",3625,145,134
1492881590,2017-04-22T17:19:50Z,VDA4814,"53.365532,-113.694923",3750,144,135
1492881583,2017-04-22T17:19:43Z,VDA4814,"53.368195,-113.699394",3850,143,134
1492881577,2017-04-22T17:19:37Z,VDA4814,"53.37117,-113.704491",3925,144,134
1492881571,2017-04-22T17:19:31Z,VDA4814,"53.374142,-113.709549",4025,146,134
1492881565,2017-04-22T17:19:25Z,VDA4814,"53.376842,-113.714073",4100,147,135
1492881559,2017-04-22T17:19:19Z,VDA4814,"53.37973,-113.718834",4200,147,135
1492881553,2017-04-22T17:19:13Z,VDA4814,"53.382847,-113.724007",4300,147,135
1492881547,2017-04-22T17:19:07Z,VDA4814,"53.385864,-113.729057",4400,149,135
1492881541,2017-04-22T17:19:01Z,VDA4814,"53.38876,-113.733864",4500,149,135
1492881535,2017-04-22T17:18:55Z,VDA4814,"53.391926,-113.739197",4625,149,134
1492881528,2017-04-22T17:18:48Z,VDA4814,"53.394699,-113.743889",4725,148,134
1492881522,2017-04-22T17:18:42Z,VDA4814,"53.397629,-113.748909",4775,151,133
1492881516,2017-04-22T17:18:36Z,VDA4814,"53.400558,-113.754013",4800,154,133
1492881510,2017-04-22T17:18:30Z,VDA4814,"53.403717,-113.759583",4850,157,133
1492881504,2017-04-22T17:18:24Z,VDA4814,"53.406868,-113.765121",4875,160,133
1492881498,2017-04-22T17:18:18Z,VDA4814,"53.41008,-113.770615",4900,162,134
1492881492,2017-04-22T17:18:12Z,VDA4814,"53.4132,-113.775948",4925,164,135
1492881486,2017-04-22T17:18:06Z,VDA4814,"53.41655,-113.781364",4900,167,136
1492881480,2017-04-22T17:18:00Z,VDA4814,"53.419949,-113.786774",4850,174,137
1492881471,2017-04-22T17:17:51Z,VDA4814,"53.425598,-113.795052",4800,179,141
1492881465,2017-04-22T17:17:45Z,VDA4814,"53.42968,-113.800186",4800,180,147
1492881441,2017-04-22T17:17:21Z,VDA4814,"53.449791,-113.807617",4750,191,187
1492881435,2017-04-22T17:17:15Z,VDA4814,"53.454865,-113.805679",4750,190,199
1492881429,2017-04-22T17:17:09Z,VDA4814,"53.459564,-113.80204",4775,188,211
1492881423,2017-04-22T17:17:03Z,VDA4814,"53.463943,-113.796791",4800,194,218
