Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1494570216,2017-05-12T06:23:36Z,VDA3024,"61.186993,-149.998062",0,2,345
1494570192,2017-05-12T06:23:12Z,VDA3024,"61.186764,-149.997925",0,11,345
1494570177,2017-05-12T06:22:57Z,VDA3024,"61.186527,-149.997787",0,15,345
1494570165,2017-05-12T06:22:45Z,VDA3024,"61.186249,-149.997559",0,20,345
1494570158,2017-05-12T06:22:38Z,VDA3024,"61.186043,-149.997589",0,21,345
1494570152,2017-05-12T06:22:32Z,VDA3024,"61.185917,-149.997955",0,20,345
1494570146,2017-05-12T06:22:26Z,VDA3024,"61.185837,-149.998489",0,25,345
1494570140,2017-05-12T06:22:20Z,VDA3024,"61.185772,-149.999054",0,24,345
1494570134,2017-05-12T06:22:14Z,VDA3024,"61.185688,-149.999619",0,30,345
1494570127,2017-05-12T06:22:07Z,VDA3024,"61.185608,-150.000305",0,26,345
1494570121,2017-05-12T06:22:01Z,VDA3024,"61.185528,-150.000946",0,26,345
1494570112,2017-05-12T06:21:52Z,VDA3024,"61.185436,-150.001785",0,21,345
1494570106,2017-05-12T06:21:46Z,VDA3024,"61.185368,-150.002197",0,20,345
1494570096,2017-05-12T06:21:36Z,VDA3024,"61.185116,-150.002594",0,18,345
1494570088,2017-05-12T06:21:28Z,VDA3024,"61.184841,-150.002518",0,18,345
1494570081,2017-05-12T06:21:21Z,VDA3024,"61.184635,-150.002426",0,22,345
1494570075,2017-05-12T06:21:15Z,VDA3024,"61.184406,-150.002274",0,24,345
1494570066,2017-05-12T06:21:06Z,VDA3024,"61.183933,-150.002014",0,30,345
1494570060,2017-05-12T06:21:00Z,VDA3024,"61.183537,-150.001801",0,15,345
1494570042,2017-05-12T06:20:42Z,VDA3024,"61.182083,-150.000992",0,19,345
1494570035,2017-05-12T06:20:35Z,VDA3024,"61.181545,-150.000687",0,19,343
1494570029,2017-05-12T06:20:29Z,VDA3024,"61.181053,-150.000412",0,19,345
1494570023,2017-05-12T06:20:23Z,VDA3024,"61.18045,-150.000076",0,19,343
1494570017,2017-05-12T06:20:17Z,VDA3024,"61.179985,-149.999802",0,19,345
1494570010,2017-05-12T06:20:10Z,VDA3024,"61.179451,-149.999496",0,19,345
1494570004,2017-05-12T06:20:04Z,VDA3024,"61.178917,-149.999207",0,18,343
1494569992,2017-05-12T06:19:52Z,VDA3024,"61.177975,-149.998688",0,34,61
1494569982,2017-05-12T06:19:42Z,VDA3024,"61.177414,-149.998367",0,29,61
1494569976,2017-05-12T06:19:36Z,VDA3024,"61.177105,-149.99823",0,25,61
1494569968,2017-05-12T06:19:28Z,VDA3024,"61.17675,-149.99791",0,21,61
1494569961,2017-05-12T06:19:21Z,VDA3024,"61.176636,-149.997513",0,20,61
1494569955,2017-05-12T06:19:15Z,VDA3024,"61.176613,-149.997116",0,19,61
1494569949,2017-05-12T06:19:09Z,VDA3024,"61.176693,-149.99649",0,27,61
1494569942,2017-05-12T06:19:02Z,VDA3024,"61.176762,-149.995941",0,27,61
1494569936,2017-05-12T06:18:56Z,VDA3024,"61.17683,-149.995377",0,25,61
1494569930,2017-05-12T06:18:50Z,VDA3024,"61.176922,-149.994797",0,24,61
1494569924,2017-05-12T06:18:44Z,VDA3024,"61.177002,-149.994247",0,25,61
1494569918,2017-05-12T06:18:38Z,VDA3024,"61.177116,-149.993637",0,24,61
1494569912,2017-05-12T06:18:32Z,VDA3024,"61.177219,-149.993118",0,25,61
1494569905,2017-05-12T06:18:25Z,VDA3024,"61.177357,-149.992584",0,25,61
1494569899,2017-05-12T06:18:19Z,VDA3024,"61.177414,-149.99202",0,23,61
1494569893,2017-05-12T06:18:13Z,VDA3024,"61.177322,-149.991562",0,21,61
