Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1497675727,2017-06-17T05:02:07Z,VDA3049,"31.735592,118.88932",400,163,239
1497675715,2017-06-17T05:01:55Z,VDA3049,"31.740189,118.898247",575,163,238
1497675706,2017-06-17T05:01:46Z,VDA3049,"31.743366,118.904259",675,164,237
1497675697,2017-06-17T05:01:37Z,VDA3049,"31.747192,118.911385",800,163,238
1497675691,2017-06-17T05:01:31Z,VDA3049,"31.749435,118.915588",875,163,238
1497675685,2017-06-17T05:01:25Z,VDA3049,"31.752256,118.920853",925,162,238
1497675673,2017-06-17T05:01:13Z,VDA3049,"31.757051,118.929916",1100,163,238
1497675667,2017-06-17T05:01:07Z,VDA3049,"31.759827,118.935188",1200,166,238
1497675661,2017-06-17T05:01:01Z,VDA3049,"31.761894,118.939087",1275,167,238
1497675649,2017-06-17T05:00:49Z,VDA3049,"31.767059,118.948921",1475,168,238
1497675643,2017-06-17T05:00:43Z,VDA3049,"31.770035,118.954414",1600,166,238
1497675634,2017-06-17T05:00:34Z,VDA3049,"31.772873,118.95974",1675,166,238
1497675627,2017-06-17T05:00:27Z,VDA3049,"31.775162,118.964111",1775,167,238
1497675619,2017-06-17T05:00:19Z,VDA3049,"31.77887,118.971054",1950,165,237
1497675612,2017-06-17T05:00:12Z,VDA3049,"31.781616,118.975945",2050,165,236
1497675606,2017-06-17T05:00:06Z,VDA3049,"31.784134,118.980453",2075,166,236
1497675600,2017-06-17T05:00:00Z,VDA3049,"31.786652,118.985123",2100,168,238
1497675594,2017-06-17T04:59:54Z,VDA3049,"31.78908,118.98967",2125,171,239
1497675588,2017-06-17T04:59:48Z,VDA3049,"31.7915,118.994492",2150,178,239
1497675582,2017-06-17T04:59:42Z,VDA3049,"31.794159,118.999786",2150,189,239
1497675576,2017-06-17T04:59:36Z,VDA3049,"31.797646,119.006538",2150,202,239
1497675570,2017-06-17T04:59:30Z,VDA3049,"31.799881,119.010994",2125,204,239
1497675564,2017-06-17T04:59:24Z,VDA3049,"31.802628,119.016518",2100,205,240
1497675558,2017-06-17T04:59:18Z,VDA3049,"31.805698,119.022964",2100,206,240
1497675552,2017-06-17T04:59:12Z,VDA3049,"31.808441,119.028519",2125,205,240
1497675542,2017-06-17T04:59:02Z,VDA3049,"31.813847,119.040512",2150,204,242
1497675534,2017-06-17T04:58:54Z,VDA3049,"31.816589,119.04615",2125,202,237
1497675528,2017-06-17T04:58:48Z,VDA3049,"31.820038,119.051834",2100,200,230
1497675522,2017-06-17T04:58:42Z,VDA3049,"31.823809,119.056595",2100,201,222
1497675516,2017-06-17T04:58:36Z,VDA3049,"31.828079,119.060432",2100,202,210
1497675510,2017-06-17T04:58:30Z,VDA3049,"31.833344,119.063889",2125,205,208
1497675504,2017-06-17T04:58:24Z,VDA3049,"31.838379,119.067078",2175,208,208
1497675498,2017-06-17T04:58:18Z,VDA3049,"31.84322,119.07016",2125,213,208
1497675492,2017-06-17T04:58:12Z,VDA3049,"31.848619,119.073639",2150,210,209
1497675486,2017-06-17T04:58:06Z,VDA3049,"31.853943,119.077187",2225,209,211
1497675480,2017-06-17T04:58:00Z,VDA3049,"31.858612,119.080704",2250,209,220
1497675474,2017-06-17T04:57:54Z,VDA3049,"31.86319,119.085258",2375,210,227
1497675468,2017-06-17T04:57:48Z,VDA3049,"31.866714,119.090424",2475,214,237
1497675444,2017-06-17T04:57:24Z,VDA3049,"31.871979,119.118607",2950,223,274
