Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498806534,2017-06-30T07:08:54Z,VDA3051,"-12.408211,130.876251",0,0,16
1498806450,2017-06-30T07:07:30Z,VDA3051,"-12.408394,130.87619",0,2,16
1498806431,2017-06-30T07:07:11Z,VDA3051,"-12.4086,130.876114",0,9,16
1498806413,2017-06-30T07:06:53Z,VDA3051,"-12.408852,130.876022",0,11,16
1498806401,2017-06-30T07:06:41Z,VDA3051,"-12.409081,130.875992",0,15,16
1498806389,2017-06-30T07:06:29Z,VDA3051,"-12.409424,130.876114",0,19,16
1498806383,2017-06-30T07:06:23Z,VDA3051,"-12.409628,130.876099",0,20,16
1498806377,2017-06-30T07:06:17Z,VDA3051,"-12.409859,130.876022",0,23,16
1498806371,2017-06-30T07:06:11Z,VDA3051,"-12.41014,130.875931",0,27,16
1498806362,2017-06-30T07:06:02Z,VDA3051,"-12.410648,130.875732",0,15,16
1498806350,2017-06-30T07:05:50Z,VDA3051,"-12.411525,130.875427",0,19,19
1498806343,2017-06-30T07:05:43Z,VDA3051,"-12.412125,130.875214",0,21,19
1498806337,2017-06-30T07:05:37Z,VDA3051,"-12.412654,130.875031",0,19,19
1498806331,2017-06-30T07:05:31Z,VDA3051,"-12.413155,130.874863",0,16,19
1498806325,2017-06-30T07:05:25Z,VDA3051,"-12.413515,130.874725",0,28,289
1498806134,2017-06-30T07:02:14Z,VDA3051,"-12.413992,130.874557",0,17,289
1498806128,2017-06-30T07:02:08Z,VDA3051,"-12.414253,130.874481",0,29,289
1498806119,2017-06-30T07:01:59Z,VDA3051,"-12.414737,130.874496",0,26,289
1498806113,2017-06-30T07:01:53Z,VDA3051,"-12.414986,130.874603",0,23,289
1498806104,2017-06-30T07:01:44Z,VDA3051,"-12.415226,130.874832",0,17,289
1498805492,2017-06-30T06:51:32Z,VDA3051,"-12.415363,130.875076",0,24,289
1498805486,2017-06-30T06:51:26Z,VDA3051,"-12.41547,130.875336",0,24,289
1498805479,2017-06-30T06:51:19Z,VDA3051,"-12.415546,130.87558",0,24,289
1498805473,2017-06-30T06:51:13Z,VDA3051,"-12.415656,130.875916",0,32,289
1498805464,2017-06-30T06:51:04Z,VDA3051,"-12.415854,130.876495",0,16,289
1498805456,2017-06-30T06:50:56Z,VDA3051,"-12.416084,130.877167",0,16,289
1498805446,2017-06-30T06:50:46Z,VDA3051,"-12.416308,130.877869",0,16,109
1498805434,2017-06-30T06:50:34Z,VDA3051,"-12.416588,130.878693",0,34,109
1498805428,2017-06-30T06:50:28Z,VDA3051,"-12.416716,130.879074",0,33,109
1498805422,2017-06-30T06:50:22Z,VDA3051,"-12.416851,130.879471",0,32,109
1498805416,2017-06-30T06:50:16Z,VDA3051,"-12.416984,130.879837",0,32,109
1498805410,2017-06-30T06:50:10Z,VDA3051,"-12.417103,130.880203",0,31,109
1498805404,2017-06-30T06:50:04Z,VDA3051,"-12.417217,130.880554",0,31,109
1498805398,2017-06-30T06:49:58Z,VDA3051,"-12.417333,130.880905",0,30,109
1498805392,2017-06-30T06:49:52Z,VDA3051,"-12.417435,130.881226",0,29,109
1498805386,2017-06-30T06:49:46Z,VDA3051,"-12.417549,130.881561",0,29,109
1498805380,2017-06-30T06:49:40Z,VDA3051,"-12.41767,130.881882",0,28,109
1498805361,2017-06-30T06:49:21Z,VDA3051,"-12.417949,130.882736",0,22,109
1498805355,2017-06-30T06:49:15Z,VDA3051,"-12.418007,130.88295",0,20,109
1498805349,2017-06-30T06:49:09Z,VDA3051,"-12.418041,130.883163",0,19,109
1498805343,2017-06-30T06:49:03Z,VDA3051,"-12.418042,130.883377",0,19,109
1498805331,2017-06-30T06:48:51Z,VDA3051,"-12.417879,130.883728",0,18,109
1498805316,2017-06-30T06:48:36Z,VDA3051,"-12.417503,130.883987",0,16,109
1498805304,2017-06-30T06:48:24Z,VDA3051,"-12.417229,130.884109",0,15,109
1498805291,2017-06-30T06:48:11Z,VDA3051,"-12.41696,130.884201",0,15,109
1498805282,2017-06-30T06:48:02Z,VDA3051,"-12.41668,130.884308",0,23,109
1498805276,2017-06-30T06:47:56Z,VDA3051,"-12.416425,130.884384",0,26,109
1498805270,2017-06-30T06:47:50Z,VDA3051,"-12.416119,130.884445",0,27,109
1498805261,2017-06-30T06:47:41Z,VDA3051,"-12.41568,130.884216",0,32,109
1498805255,2017-06-30T06:47:35Z,VDA3051,"-12.41547,130.883865",0,33,109
1498805249,2017-06-30T06:47:29Z,VDA3051,"-12.415318,130.883438",0,21,106
1498805243,2017-06-30T06:47:23Z,VDA3051,"-12.415066,130.882706",0,31,109
1498805237,2017-06-30T06:47:17Z,VDA3051,"-12.414791,130.881821",0,41,109
1498805231,2017-06-30T06:47:11Z,VDA3051,"-12.414353,130.880508",0,55,109
1498805221,2017-06-30T06:47:01Z,VDA3051,"-12.41311,130.876785",0,90,109
1498805211,2017-06-30T06:46:51Z,VDA3051,"-12.41144,130.871796",175,122,108
1498805201,2017-06-30T06:46:41Z,VDA3051,"-12.40976,130.866776",200,125,105
1498805191,2017-06-30T06:46:31Z,VDA3051,"-12.40785,130.861145",325,128,105
1498805181,2017-06-30T06:46:21Z,VDA3051,"-12.40589,130.855316",425,127,105
1498805171,2017-06-30T06:46:11Z,VDA3051,"-12.40394,130.849533",525,123,105
1498805156,2017-06-30T06:45:56Z,VDA3051,"-12.399811,130.837509",775,134,110
1498805150,2017-06-30T06:45:50Z,VDA3051,"-12.399514,130.836563",800,137,109
1498805107,2017-06-30T06:45:07Z,VDA3051,"-12.389374,130.80867",1450,137,109
1498805101,2017-06-30T06:45:01Z,VDA3051,"-12.388641,130.806534",1525,137,109
1498805090,2017-06-30T06:44:50Z,VDA3051,"-12.386124,130.799393",1725,135,110
1498805077,2017-06-30T06:44:37Z,VDA3051,"-12.383826,130.79277",1875,136,108
1498805071,2017-06-30T06:44:31Z,VDA3051,"-12.382616,130.789108",1950,135,109
1498805065,2017-06-30T06:44:25Z,VDA3051,"-12.3808,130.783859",2100,134,112
1498805059,2017-06-30T06:44:19Z,VDA3051,"-12.379869,130.781494",2175,136,112
1498805053,2017-06-30T06:44:13Z,VDA3051,"-12.37824,130.777344",2275,137,112
1498805047,2017-06-30T06:44:07Z,VDA3051,"-12.377029,130.774307",2325,139,112
1498805041,2017-06-30T06:44:01Z,VDA3051,"-12.375549,130.770782",2400,139,113
1498805035,2017-06-30T06:43:55Z,VDA3051,"-12.373864,130.76651",2500,140,111
1498805029,2017-06-30T06:43:49Z,VDA3051,"-12.372281,130.762161",2550,144,109
1498805023,2017-06-30T06:43:43Z,VDA3051,"-12.371164,130.758896",2625,144,109
1498805017,2017-06-30T06:43:37Z,VDA3051,"-12.369873,130.755112",2675,148,110
1498805011,2017-06-30T06:43:31Z,VDA3051,"-12.368418,130.750992",2725,149,109
1498805005,2017-06-30T06:43:25Z,VDA3051,"-12.366881,130.74646",2750,149,108
1498804999,2017-06-30T06:43:19Z,VDA3051,"-12.365857,130.743179",2800,149,105
1498804993,2017-06-30T06:43:13Z,VDA3051,"-12.364563,130.738388",2925,151,106
1498804987,2017-06-30T06:43:07Z,VDA3051,"-12.363623,130.735229",3025,150,110
1498804981,2017-06-30T06:43:01Z,VDA3051,"-12.362137,130.730911",3125,152,109
1498804975,2017-06-30T06:42:55Z,VDA3051,"-12.360876,130.726852",3200,158,101
1498804968,2017-06-30T06:42:48Z,VDA3051,"-12.360085,130.722656",3250,164,100
1498804962,2017-06-30T06:42:42Z,VDA3051,"-12.359253,130.718033",3275,171,101
1498804956,2017-06-30T06:42:36Z,VDA3051,"-12.358223,130.712677",3250,184,100
1498804950,2017-06-30T06:42:30Z,VDA3051,"-12.357376,130.707947",3200,193,101
1498804944,2017-06-30T06:42:24Z,VDA3051,"-12.356323,130.702255",3200,193,102
1498804922,2017-06-30T06:42:02Z,VDA3051,"-12.34994,130.683868",3175,190,114
1498804912,2017-06-30T06:41:52Z,VDA3051,"-12.34612,130.675873",3200,191,115
1498804902,2017-06-30T06:41:42Z,VDA3051,"-12.34184,130.667435",3200,188,120
1498804892,2017-06-30T06:41:32Z,VDA3051,"-12.33623,130.660645",3200,188,139
1498804872,2017-06-30T06:41:12Z,VDA3051,"-12.31958,130.654282",3200,193,180
1498804862,2017-06-30T06:41:02Z,VDA3051,"-12.30995,130.655945",3200,205,201
1498804852,2017-06-30T06:40:52Z,VDA3051,"-12.3018,130.660538",3175,210,218
1498804842,2017-06-30T06:40:42Z,VDA3051,"-12.29482,130.668106",3175,208,236
1498804832,2017-06-30T06:40:32Z,VDA3051,"-12.28909,130.676346",3175,207,237
1498804822,2017-06-30T06:40:22Z,VDA3051,"-12.28363,130.684311",3200,206,237
1498804812,2017-06-30T06:40:12Z,VDA3051,"-12.27815,130.692596",3175,208,236
1498804802,2017-06-30T06:40:02Z,VDA3051,"-12.2726,130.700974",3175,208,235
1498804792,2017-06-30T06:39:52Z,VDA3051,"-12.26715,130.709183",3175,208,235
1498804782,2017-06-30T06:39:42Z,VDA3051,"-12.26158,130.717789",3175,204,240
1498804758,2017-06-30T06:39:18Z,VDA3051,"-12.255435,130.73822",3150,216,272
1498804752,2017-06-30T06:39:12Z,VDA3051,"-12.256227,130.744431",3150,217,283
1498804746,2017-06-30T06:39:06Z,VDA3051,"-12.257996,130.750183",3150,218,290
1498804740,2017-06-30T06:39:00Z,VDA3051,"-12.260376,130.756393",3150,218,292
1498804734,2017-06-30T06:38:54Z,VDA3051,"-12.262558,130.76178",3125,217,293
1498804728,2017-06-30T06:38:48Z,VDA3051,"-12.265211,130.767899",3125,218,293
1498804722,2017-06-30T06:38:42Z,VDA3051,"-12.267678,130.773636",3125,217,293
1498804716,2017-06-30T06:38:36Z,VDA3051,"-12.270053,130.779175",3100,218,293
1498804710,2017-06-30T06:38:30Z,VDA3051,"-12.27252,130.784958",3100,220,293
1498804702,2017-06-30T06:38:22Z,VDA3051,"-12.276244,130.793732",3075,221,293
1498804695,2017-06-30T06:38:15Z,VDA3051,"-12.278711,130.799561",3075,222,292
