Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1464678084,2016-05-31T07:01:24Z,VDA7281,"53.0174,26.0502",4075,195,135
1464678078,2016-05-31T07:01:18Z,VDA7281,"53.0216,26.0432",4200,195,135
1464678072,2016-05-31T07:01:12Z,VDA7281,"53.025,26.0375",4300,195,135
1464678066,2016-05-31T07:01:06Z,VDA7281,"53.029,26.031",4425,195,135
1464678060,2016-05-31T07:01:00Z,VDA7281,"53.0328,26.0247",4550,196,135
1464678054,2016-05-31T07:00:54Z,VDA7281,"53.0367,26.0183",4675,196,135
1464678048,2016-05-31T07:00:48Z,VDA7281,"53.0408,26.0115",4800,197,135
1464678042,2016-05-31T07:00:42Z,VDA7281,"53.0447,26.0053",4925,197,136
1464678030,2016-05-31T07:00:30Z,VDA7281,"53.0526,25.9926",5175,197,133
1464677930,2016-05-31T06:58:50Z,VDA7281,"53.1,25.8549",6875,223,118
1464677899,2016-05-31T06:58:19Z,VDA7281,"53.1149,25.81",7050,240,118
1464677889,2016-05-31T06:58:09Z,VDA7281,"53.1218,25.789",7100,247,118
1464677878,2016-05-31T06:57:58Z,VDA7281,"53.1264,25.7749",7200,249,118
1464677863,2016-05-31T06:57:43Z,VDA7281,"53.1349,25.7494",7475,250,118
1464677848,2016-05-31T06:57:28Z,VDA7281,"53.143,25.7246",7750,250,118
1464677833,2016-05-31T06:57:13Z,VDA7281,"53.1516,25.6985",8025,251,118
1464677818,2016-05-31T06:56:58Z,VDA7281,"53.16,25.673",8275,251,118
1464677803,2016-05-31T06:56:43Z,VDA7281,"53.1691,25.6449",8550,254,118
1464677787,2016-05-31T06:56:27Z,VDA7281,"53.1772,25.6204",8775,255,118
1464677772,2016-05-31T06:56:12Z,VDA7281,"53.1857,25.5942",9000,257,118
1464677757,2016-05-31T06:55:57Z,VDA7281,"53.1952,25.5655",9250,261,119
1464677746,2016-05-31T06:55:46Z,VDA7281,"53.2008,25.5488",9425,262,118
1464677731,2016-05-31T06:55:31Z,VDA7281,"53.2092,25.5223",9725,261,118
1464677716,2016-05-31T06:55:16Z,VDA7281,"53.2181,25.4951",9925,264,118
1464677701,2016-05-31T06:55:01Z,VDA7281,"53.2269,25.4685",10050,264,117
1464677686,2016-05-31T06:54:46Z,VDA7281,"53.2356,25.4409",10200,268,118
1464677675,2016-05-31T06:54:35Z,VDA7281,"53.242,25.4218",10225,273,118
1464677660,2016-05-31T06:54:20Z,VDA7281,"53.2512,25.393",10300,281,117
1464677645,2016-05-31T06:54:05Z,VDA7281,"53.2603,25.364",10575,284,118
1464677630,2016-05-31T06:53:50Z,VDA7281,"53.2705,25.3331",10975,290,118
1464677619,2016-05-31T06:53:39Z,VDA7281,"53.2772,25.3123",11200,295,118
1464677585,2016-05-31T06:53:05Z,VDA7281,"53.3006,25.2398",12425,298,117
1464677551,2016-05-31T06:52:31Z,VDA7281,"53.3221,25.1739",13425,305,117
1464677518,2016-05-31T06:51:58Z,VDA7281,"53.3443,25.1041",14475,313,118
1464677487,2016-05-31T06:51:27Z,VDA7281,"53.3654,25.0381",15500,320,120
1464677454,2016-05-31T06:50:54Z,VDA7281,"53.3867,24.9631",16700,324,112
1464677421,2016-05-31T06:50:21Z,VDA7281,"53.406,24.8851",17775,333,112
1464677360,2016-05-31T06:49:20Z,VDA7281,"53.4425,24.7369",20150,340,112
1464677299,2016-05-31T06:48:19Z,VDA7281,"53.4795,24.5836",22300,358,111
1464677238,2016-05-31T06:47:18Z,VDA7281,"53.518,24.4243",24525,368,111
1464677175,2016-05-31T06:46:15Z,VDA7281,"53.5565,24.2621",27475,337,111
1464677114,2016-05-31T06:45:14Z,VDA7281,"53.5914,24.1089",27950,363,108
1464677108,2016-05-31T06:45:08Z,VDA7281,"53.5949,24.0912",27950,364,108
1464677102,2016-05-31T06:45:02Z,VDA7281,"53.5979,24.0761",28025,366,107
1464677096,2016-05-31T06:44:56Z,VDA7281,"53.6009,24.0597",28025,367,106
1464677090,2016-05-31T06:44:50Z,VDA7281,"53.6036,24.0437",28000,370,103
1464677084,2016-05-31T06:44:44Z,VDA7281,"53.6056,24.0261",28000,374,96
1464677023,2016-05-31T06:43:43Z,VDA7281,"53.6005,23.8491",28100,368,86
1464676962,2016-05-31T06:42:42Z,VDA7281,"53.5931,23.679",28025,356,84
1464676956,2016-05-31T06:42:36Z,VDA7281,"53.5922,23.6621",28100,353,85
1464676950,2016-05-31T06:42:30Z,VDA7281,"53.5915,23.6438",28075,351,86
1464676944,2016-05-31T06:42:24Z,VDA7281,"53.5908,23.6291",28000,353,83
1464676925,2016-05-31T06:42:05Z,VDA7281,"53.5833,23.5755",27975,355,72
1464676857,2016-05-31T06:40:57Z,VDA7281,"53.5487,23.3889",28275,388,72
1464676796,2016-05-31T06:39:56Z,VDA7281,"53.5152,23.2095",30400,389,72
1464676733,2016-05-31T06:38:53Z,VDA7281,"53.482,23.0341",32025,395,72
1464676670,2016-05-31T06:37:50Z,VDA7281,"53.4466,22.8475",32050,394,72
1464676607,2016-05-31T06:36:47Z,VDA7281,"53.4119,22.666",32000,390,72
1464676546,2016-05-31T06:35:46Z,VDA7281,"53.3774,22.4888",32025,393,72
1464676483,2016-05-31T06:34:43Z,VDA7281,"53.342,22.3081",32125,404,71
1464676420,2016-05-31T06:33:40Z,VDA7281,"53.3042,22.1159",32975,413,72
1464676359,2016-05-31T06:32:39Z,VDA7281,"53.2694,21.937",32975,411,71
1464676296,2016-05-31T06:31:36Z,VDA7281,"53.2321,21.746",32925,408,72
1464676233,2016-05-31T06:30:33Z,VDA7281,"53.1951,21.5576",32900,405,71
1464676172,2016-05-31T06:29:32Z,VDA7281,"53.1599,21.3798",32900,403,71
1464676109,2016-05-31T06:28:29Z,VDA7281,"53.1222,21.1918",32900,406,71
1464676046,2016-05-31T06:27:26Z,VDA7281,"53.0843,21.0042",32900,407,71
1464675983,2016-05-31T06:26:23Z,VDA7281,"53.0462,20.8173",32925,409,71
1464675922,2016-05-31T06:25:22Z,VDA7281,"53.0089,20.6366",32925,413,71
1464675859,2016-05-31T06:24:19Z,VDA7281,"52.9695,20.4468",32950,415,70
1464675796,2016-05-31T06:23:16Z,VDA7281,"52.9295,20.256",32925,419,70
1464675733,2016-05-31T06:22:13Z,VDA7281,"52.889,20.0655",32975,419,70
1464675672,2016-05-31T06:21:12Z,VDA7281,"52.8498,19.8827",32950,419,70
1464675609,2016-05-31T06:20:09Z,VDA7281,"52.8085,19.6915",32950,420,70
1464675546,2016-05-31T06:19:06Z,VDA7281,"52.7669,19.5008",32950,421,70
1464675485,2016-05-31T06:18:05Z,VDA7281,"52.7269,19.3185",32925,422,70
1464675422,2016-05-31T06:17:02Z,VDA7281,"52.6847,19.1285",32950,420,69
1464675359,2016-05-31T06:15:59Z,VDA7281,"52.6416,18.9392",32900,419,69
1464675296,2016-05-31T06:14:56Z,VDA7281,"52.5981,18.7503",32925,419,69
1464675235,2016-05-31T06:13:55Z,VDA7281,"52.556,18.5698",32925,418,69
1464675172,2016-05-31T06:12:52Z,VDA7281,"52.5123,18.3842",32900,419,68
1464675109,2016-05-31T06:11:49Z,VDA7281,"52.4678,18.1968",32900,418,68
1464675046,2016-05-31T06:10:46Z,VDA7281,"52.4235,18.0111",33000,415,68
1464674985,2016-05-31T06:09:45Z,VDA7281,"52.3805,17.8332",32925,417,68
1464674922,2016-05-31T06:08:42Z,VDA7281,"52.3355,17.6482",32950,417,68
1464674859,2016-05-31T06:07:39Z,VDA7281,"52.2902,17.4632",32950,416,68
1464674798,2016-05-31T06:06:38Z,VDA7281,"52.2468,17.2868",32900,415,68
1464674735,2016-05-31T06:05:35Z,VDA7281,"52.2014,17.1048",32900,413,67
1464674672,2016-05-31T06:04:32Z,VDA7281,"52.1549,16.9196",32900,411,68
1464674603,2016-05-31T06:03:23Z,VDA7281,"52.1061,16.7258",32925,417,67
1464674538,2016-05-31T06:02:18Z,VDA7281,"52.055,16.5252",32975,425,67
1464674477,2016-05-31T06:01:17Z,VDA7281,"52.0107,16.3538",33050,423,67
1464674412,2016-05-31T06:00:12Z,VDA7281,"51.962,16.1657",32850,418,67
1464674351,2016-05-31T05:59:11Z,VDA7281,"51.9162,15.9901",32475,411,67
1464674286,2016-05-31T05:58:06Z,VDA7281,"51.8654,15.7972",31900,406,66
1464674225,2016-05-31T05:57:05Z,VDA7281,"51.8217,15.6338",31325,401,67
1464674160,2016-05-31T05:56:00Z,VDA7281,"51.776,15.4594",30675,396,66
1464674095,2016-05-31T05:54:55Z,VDA7281,"51.7291,15.284",30000,392,66
1464674034,2016-05-31T05:53:54Z,VDA7281,"51.6858,15.1225",29150,392,66
1464673969,2016-05-31T05:52:49Z,VDA7281,"51.6389,14.9489",28450,387,66
1464673904,2016-05-31T05:51:44Z,VDA7281,"51.5927,14.7778",27675,382,66
1464673893,2016-05-31T05:51:33Z,VDA7281,"51.5858,14.7514",27550,381,69
1464673873,2016-05-31T05:51:13Z,VDA7281,"51.5767,14.6971",27300,377,79
1464673808,2016-05-31T05:50:08Z,VDA7281,"51.5566,14.5151",27075,366,79
1464673747,2016-05-31T05:49:07Z,VDA7281,"51.5381,14.3546",26425,367,79
1464673682,2016-05-31T05:48:02Z,VDA7281,"51.5192,14.1823",25575,360,80
1464673617,2016-05-31T05:46:57Z,VDA7281,"51.5013,14.0112",24525,354,80
1464673556,2016-05-31T05:45:56Z,VDA7281,"51.4865,13.8524",23425,353,82
1464673491,2016-05-31T05:44:51Z,VDA7281,"51.4721,13.6858",22350,345,82
1464673430,2016-05-31T05:43:50Z,VDA7281,"51.4586,13.5326",21175,341,80
1464673365,2016-05-31T05:42:45Z,VDA7281,"51.4432,13.3689",19775,339,82
1464673301,2016-05-31T05:41:41Z,VDA7281,"51.4284,13.1874",18300,329,82
1464673264,2016-05-31T05:41:04Z,VDA7281,"51.4231,13.1236",17775,327,82
1464673233,2016-05-31T05:40:33Z,VDA7281,"51.4165,13.0447",17025,324,82
1464673201,2016-05-31T05:40:01Z,VDA7281,"51.4106,12.974",16350,322,82
1464673168,2016-05-31T05:39:28Z,VDA7281,"51.4034,12.8899",15425,322,82
1464673130,2016-05-31T05:38:50Z,VDA7281,"51.3963,12.8055",14525,320,82
1464673097,2016-05-31T05:38:17Z,VDA7281,"51.3897,12.7297",13750,314,81
1464673064,2016-05-31T05:37:44Z,VDA7281,"51.3828,12.6528",12850,311,82
1464673033,2016-05-31T05:37:13Z,VDA7281,"51.3765,12.5853",12050,308,81
1464673021,2016-05-31T05:37:01Z,VDA7281,"51.3742,12.5583",11700,307,82
1464673009,2016-05-31T05:36:49Z,VDA7281,"51.3715,12.5294",11275,307,81
1464672997,2016-05-31T05:36:37Z,VDA7281,"51.369,12.5036",10925,307,81
1464672985,2016-05-31T05:36:25Z,VDA7281,"51.3667,12.4765",10650,303,82
1464672973,2016-05-31T05:36:13Z,VDA7281,"51.3642,12.4487",10400,298,80
1464672961,2016-05-31T05:36:01Z,VDA7281,"51.3615,12.4235",10200,292,81
1464672949,2016-05-31T05:35:49Z,VDA7281,"51.3595,12.3986",10000,284,84
1464672937,2016-05-31T05:35:37Z,VDA7281,"51.3581,12.374",9775,278,84
1464672925,2016-05-31T05:35:25Z,VDA7281,"51.3566,12.3486",9525,273,84
1464672913,2016-05-31T05:35:13Z,VDA7281,"51.3553,12.3249",9225,267,85
1464672901,2016-05-31T05:35:01Z,VDA7281,"51.3539,12.3006",8775,269,83
1464672889,2016-05-31T05:34:49Z,VDA7281,"51.3521,12.2776",8275,274,82
1464672877,2016-05-31T05:34:37Z,VDA7281,"51.3498,12.2529",7925,273,79
1464672862,2016-05-31T05:34:22Z,VDA7281,"51.3457,12.2233",7450,272,75
1464672856,2016-05-31T05:34:16Z,VDA7281,"51.3438,12.2118",7225,273,75
1464672835,2016-05-31T05:33:55Z,VDA7281,"51.3391,12.1696",6525,272,90
1464672829,2016-05-31T05:33:49Z,VDA7281,"51.3396,12.1573",6450,266,98
1464672823,2016-05-31T05:33:43Z,VDA7281,"51.341,12.1465",6400,261,106
1464672817,2016-05-31T05:33:37Z,VDA7281,"51.3435,12.1354",6300,255,114
1464672811,2016-05-31T05:33:31Z,VDA7281,"51.347,12.1251",6175,251,123
1464672805,2016-05-31T05:33:25Z,VDA7281,"51.3511,12.1164",6050,247,132
1464672799,2016-05-31T05:33:19Z,VDA7281,"51.3557,12.1092",5925,246,140
1464672793,2016-05-31T05:33:13Z,VDA7281,"51.3614,12.1024",5750,239,147
1464672787,2016-05-31T05:33:07Z,VDA7281,"51.3673,12.0972",5550,235,156
1464672763,2016-05-31T05:32:43Z,VDA7281,"51.3911,12.0906",5125,204,185
1464672757,2016-05-31T05:32:37Z,VDA7281,"51.3968,12.0919",5000,194,190
1464672751,2016-05-31T05:32:31Z,VDA7281,"51.4026,12.0939",4825,188,195
1464672745,2016-05-31T05:32:25Z,VDA7281,"51.4072,12.0962",4725,181,200
1464672739,2016-05-31T05:32:19Z,VDA7281,"51.4117,12.099",4625,172,203
1464672733,2016-05-31T05:32:13Z,VDA7281,"51.4161,12.1024",4425,171,212
1464672726,2016-05-31T05:32:06Z,VDA7281,"51.4199,12.1068",4250,171,224
1464672720,2016-05-31T05:32:00Z,VDA7281,"51.4229,12.1125",4100,171,238
1464672714,2016-05-31T05:31:54Z,VDA7281,"51.4252,12.1195",3875,171,249
1464672708,2016-05-31T05:31:48Z,VDA7281,"51.4264,12.127",3675,173,261
1464672702,2016-05-31T05:31:42Z,VDA7281,"51.427,12.1346",3475,171,264
1464672696,2016-05-31T05:31:36Z,VDA7281,"51.4275,12.1421",3275,171,264
1464672690,2016-05-31T05:31:30Z,VDA7281,"51.428,12.1498",3075,169,264
1464672684,2016-05-31T05:31:24Z,VDA7281,"51.4284,12.1574",2875,168,264
1464672678,2016-05-31T05:31:18Z,VDA7281,"51.4289,12.1643",2700,166,264
1464672672,2016-05-31T05:31:12Z,VDA7281,"51.4294,12.1721",2475,165,263
1464672666,2016-05-31T05:31:06Z,VDA7281,"51.43,12.1795",2275,165,263
1464672660,2016-05-31T05:31:00Z,VDA7281,"51.4305,12.1868",2075,163,264
1464672654,2016-05-31T05:30:54Z,VDA7281,"51.431,12.195",1875,160,265
1464672648,2016-05-31T05:30:48Z,VDA7281,"51.4313,12.2009",1725,158,267
1464672642,2016-05-31T05:30:42Z,VDA7281,"51.4315,12.208",1550,156,268
1464672636,2016-05-31T05:30:36Z,VDA7281,"51.4316,12.2153",1325,154,268
1464672630,2016-05-31T05:30:30Z,VDA7281,"51.4317,12.2218",1100,155,267
1464672624,2016-05-31T05:30:24Z,VDA7281,"51.4319,12.2286",850,158,266
1464672618,2016-05-31T05:30:18Z,VDA7281,"51.4322,12.2361",625,159,266
1464672612,2016-05-31T05:30:12Z,VDA7281,"51.4325,12.243",525,148,266
1464672606,2016-05-31T05:30:06Z,VDA7281,"51.4328,12.2495",575,128,265
1464672600,2016-05-31T05:30:00Z,VDA7281,"51.4331,12.2548",0,105,266
1464672594,2016-05-31T05:29:54Z,VDA7281,"51.4333,12.2591",0,84,266
1464672588,2016-05-31T05:29:48Z,VDA7281,"51.4334,12.2624",0,58,266
1464672582,2016-05-31T05:29:42Z,VDA7281,"51.4335,12.2643",0,34,266
1464672576,2016-05-31T05:29:36Z,VDA7281,"51.4336,12.2655",0,16,267
1464672317,2016-05-31T05:25:17Z,VDA7281,"51.4336,12.266",0,12,260
1464672311,2016-05-31T05:25:11Z,VDA7281,"51.4336,12.2662",0,22,259
1464672305,2016-05-31T05:25:05Z,VDA7281,"51.4336,12.2666",0,23,309
1464672293,2016-05-31T05:24:53Z,VDA7281,"51.4332,12.2674",0,15,313
1464672284,2016-05-31T05:24:44Z,VDA7281,"51.4328,12.2681",0,28,315
1464672278,2016-05-31T05:24:38Z,VDA7281,"51.4326,12.2685",0,22,313
1464672272,2016-05-31T05:24:32Z,VDA7281,"51.4325,12.2688",0,20,315
1464672266,2016-05-31T05:24:26Z,VDA7281,"51.4323,12.269",0,22,342
1464671856,2016-05-31T05:17:36Z,VDA7281,"51.432,12.2692",0,0,163
1464671826,2016-05-31T05:17:06Z,VDA7281,"51.4305,12.2667",0,0,344
1464671793,2016-05-31T05:16:33Z,VDA7281,"51.4319,12.2692",0,19,7
1464671781,2016-05-31T05:16:21Z,VDA7281,"51.4311,12.269",0,17,40
1464671772,2016-05-31T05:16:12Z,VDA7281,"51.4306,12.2681",0,17,82
1464671760,2016-05-31T05:16:00Z,VDA7281,"51.4305,12.2666",0,21,85
1464671754,2016-05-31T05:15:54Z,VDA7281,"51.4305,12.2656",0,21,85
1464671748,2016-05-31T05:15:48Z,VDA7281,"51.4304,12.2646",0,21,86
1464671742,2016-05-31T05:15:42Z,VDA7281,"51.4304,12.2637",0,22,85
1464671736,2016-05-31T05:15:36Z,VDA7281,"51.4303,12.2627",0,21,85
1464671727,2016-05-31T05:15:27Z,VDA7281,"51.4303,12.2613",0,21,86
1464671721,2016-05-31T05:15:21Z,VDA7281,"51.4302,12.2604",0,18,84
1464671715,2016-05-31T05:15:15Z,VDA7281,"51.4302,12.2596",0,16,84
1464671709,2016-05-31T05:15:09Z,VDA7281,"51.4302,12.2589",0,16,85
1464671703,2016-05-31T05:15:03Z,VDA7281,"51.4301,12.2581",0,16,86
1464671697,2016-05-31T05:14:57Z,VDA7281,"51.4301,12.2574",0,16,84
1464671691,2016-05-31T05:14:51Z,VDA7281,"51.43,12.2566",0,16,88
1464671685,2016-05-31T05:14:45Z,VDA7281,"51.43,12.2559",0,16,85
1464671679,2016-05-31T05:14:39Z,VDA7281,"51.43,12.2553",0,15,85
1464671673,2016-05-31T05:14:33Z,VDA7281,"51.43,12.2545",0,15,83
1464671667,2016-05-31T05:14:27Z,VDA7281,"51.4299,12.2536",0,15,83
1464671660,2016-05-31T05:14:20Z,VDA7281,"51.4299,12.253",0,15,88
1464671654,2016-05-31T05:14:14Z,VDA7281,"51.4299,12.2524",0,15,86
1464671648,2016-05-31T05:14:08Z,VDA7281,"51.4298,12.2516",0,15,83
1464671642,2016-05-31T05:14:02Z,VDA7281,"51.4298,12.251",0,15,86
1464671633,2016-05-31T05:13:53Z,VDA7281,"51.4297,12.25",0,16,87
1464671627,2016-05-31T05:13:47Z,VDA7281,"51.4297,12.2491",0,16,86
1464671621,2016-05-31T05:13:41Z,VDA7281,"51.4297,12.2485",0,16,85
1464671615,2016-05-31T05:13:35Z,VDA7281,"51.4296,12.2476",0,17,86
1464671603,2016-05-31T05:13:23Z,VDA7281,"51.4296,12.2463",0,17,85
1464671597,2016-05-31T05:13:17Z,VDA7281,"51.4295,12.2454",0,18,84
1464671591,2016-05-31T05:13:11Z,VDA7281,"51.4295,12.2446",0,18,86
1464671582,2016-05-31T05:13:02Z,VDA7281,"51.4294,12.2433",0,19,82
1464671576,2016-05-31T05:12:56Z,VDA7281,"51.4294,12.2425",0,19,87
1464671570,2016-05-31T05:12:50Z,VDA7281,"51.4293,12.2417",0,18,87
1464671564,2016-05-31T05:12:44Z,VDA7281,"51.4293,12.2408",0,19,86
1464671558,2016-05-31T05:12:38Z,VDA7281,"51.4293,12.24",0,19,85
1464671552,2016-05-31T05:12:32Z,VDA7281,"51.4292,12.2391",0,18,85
1464671546,2016-05-31T05:12:26Z,VDA7281,"51.4292,12.2384",0,18,85
1464671540,2016-05-31T05:12:20Z,VDA7281,"51.4292,12.2375",0,17,85
1464671534,2016-05-31T05:12:14Z,VDA7281,"51.4291,12.2368",0,15,86
1464671528,2016-05-31T05:12:08Z,VDA7281,"51.4291,12.236",0,29,86
1464671522,2016-05-31T05:12:02Z,VDA7281,"51.4291,12.2356",0,23,96
1464671516,2016-05-31T05:11:56Z,VDA7281,"51.4291,12.2353",0,20,83
1464671510,2016-05-31T05:11:50Z,VDA7281,"51.4291,12.235",0,20,49
1464671498,2016-05-31T05:11:38Z,VDA7281,"51.4287,12.2345",0,27,357
1464671492,2016-05-31T05:11:32Z,VDA7281,"51.4284,12.2345",0,33,356
1464671486,2016-05-31T05:11:26Z,VDA7281,"51.428,12.2346",0,30,353
1464671480,2016-05-31T05:11:20Z,VDA7281,"51.4276,12.2346",0,28,353
1464671471,2016-05-31T05:11:11Z,VDA7281,"51.4272,12.2347",0,26,36
1464671462,2016-05-31T05:11:02Z,VDA7281,"51.4268,12.2342",0,24,72
1464671456,2016-05-31T05:10:56Z,VDA7281,"51.4268,12.2339",0,25,87
1464671450,2016-05-31T05:10:50Z,VDA7281,"51.4268,12.2335",0,26,83
1464671444,2016-05-31T05:10:44Z,VDA7281,"51.4267,12.2329",0,25,83
1464671437,2016-05-31T05:10:37Z,VDA7281,"51.4267,12.2326",0,24,88
1464671428,2016-05-31T05:10:28Z,VDA7281,"51.4267,12.2319",0,23,81
1464671422,2016-05-31T05:10:22Z,VDA7281,"51.4267,12.2315",0,22,80
1464671416,2016-05-31T05:10:16Z,VDA7281,"51.4266,12.2311",0,19,82
1464671410,2016-05-31T05:10:10Z,VDA7281,"51.4266,12.2309",0,13,85
1464671284,2016-05-31T05:08:04Z,VDA7281,"51.4266,12.2307",0,0,215
1464671085,2016-05-31T05:04:45Z,VDA7281,"51.4266,12.2307",0,0,341
1464670834,2016-05-31T05:00:34Z,VDA7281,"51.4266,12.2307",0,0,341
1464670142,2016-05-31T04:49:02Z,VDA7281,"51.4266,12.2307",0,0,341
1464670045,2016-05-31T04:47:25Z,VDA7281,"51.4266,12.2307",0,2,251
1464670012,2016-05-31T04:46:52Z,VDA7281,"51.4265,12.231",0,2,311
1464669982,2016-05-31T04:46:22Z,VDA7281,"51.4264,12.2312",0,2,317
1464669951,2016-05-31T04:45:51Z,VDA7281,"51.4263,12.2314",0,2,339
1464669906,2016-05-31T04:45:06Z,VDA7281,"51.426,12.2316",0,2,16
1464669869,2016-05-31T04:44:29Z,VDA7281,"51.4258,12.2315",0,2,11
1464669788,2016-05-31T04:43:08Z,VDA7281,"51.4256,12.2316",0,0,0
