Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1464801999,2016-06-01T17:26:39Z,VDA6779,"51.426,12.2315",0,13,266
1464801987,2016-06-01T17:26:27Z,VDA6779,"51.4263,12.2315",0,17,266
1464801978,2016-06-01T17:26:18Z,VDA6779,"51.4266,12.2315",0,19,266
1464801972,2016-06-01T17:26:12Z,VDA6779,"51.4267,12.2318",0,18,266
1464801966,2016-06-01T17:26:06Z,VDA6779,"51.4267,12.2321",0,20,266
1464801960,2016-06-01T17:26:00Z,VDA6779,"51.4267,12.2325",0,25,266
1464801954,2016-06-01T17:25:54Z,VDA6779,"51.4267,12.2329",0,25,266
1464801948,2016-06-01T17:25:48Z,VDA6779,"51.4267,12.2334",0,23,266
1464801933,2016-06-01T17:25:33Z,VDA6779,"51.4268,12.2343",0,20,266
1464801920,2016-06-01T17:25:20Z,VDA6779,"51.4271,12.2347",0,20,266
1464801912,2016-06-01T17:25:12Z,VDA6779,"51.4274,12.2347",0,22,266
1464801905,2016-06-01T17:25:05Z,VDA6779,"51.4277,12.2346",0,29,266
1464801896,2016-06-01T17:24:56Z,VDA6779,"51.4283,12.2346",0,15,266
1464801890,2016-06-01T17:24:50Z,VDA6779,"51.4286,12.2345",0,31,266
1464801884,2016-06-01T17:24:44Z,VDA6779,"51.4289,12.2345",0,27,266
1464801875,2016-06-01T17:24:35Z,VDA6779,"51.4294,12.2344",0,21,266
1464801746,2016-06-01T17:22:26Z,VDA6779,"51.4339,12.2725",650,129,266
1464801737,2016-06-01T17:22:17Z,VDA6779,"51.4343,12.2807",750,131,266
1464801728,2016-06-01T17:22:08Z,VDA6779,"51.4347,12.2909",900,133,265
1464801722,2016-06-01T17:22:02Z,VDA6779,"51.4351,12.2977",950,133,265
1464801716,2016-06-01T17:21:56Z,VDA6779,"51.4352,12.3007",1000,133,265
1464801710,2016-06-01T17:21:50Z,VDA6779,"51.4356,12.3066",1050,133,265
1464801704,2016-06-01T17:21:44Z,VDA6779,"51.4358,12.3125",1125,134,264
1464801698,2016-06-01T17:21:38Z,VDA6779,"51.4362,12.319",1200,136,266
