Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1465249023,2016-06-06T21:37:03Z,VDA2250,"42.5634,27.5124",0,20,224
1465249011,2016-06-06T21:36:51Z,VDA2250,"42.5637,27.5126",0,18,224
1465248999,2016-06-06T21:36:39Z,VDA2250,"42.564,27.5125",0,15,224
1465248986,2016-06-06T21:36:26Z,VDA2250,"42.5642,27.5122",0,10,224
1465248974,2016-06-06T21:36:14Z,VDA2250,"42.5643,27.512",0,13,224
1465248959,2016-06-06T21:35:59Z,VDA2250,"42.5642,27.5117",0,12,224
1465248944,2016-06-06T21:35:44Z,VDA2250,"42.5639,27.5114",0,16,224
1465248932,2016-06-06T21:35:32Z,VDA2250,"42.5637,27.5111",0,17,224
1465248917,2016-06-06T21:35:17Z,VDA2250,"42.5634,27.5106",0,18,224
1465248905,2016-06-06T21:35:05Z,VDA2250,"42.5631,27.5102",0,18,224
1465248890,2016-06-06T21:34:50Z,VDA2250,"42.5628,27.5098",0,18,224
1465248880,2016-06-06T21:34:40Z,VDA2250,"42.5626,27.5095",0,20,224
1465248874,2016-06-06T21:34:34Z,VDA2250,"42.5625,27.5092",0,22,224
1465248868,2016-06-06T21:34:28Z,VDA2250,"42.5623,27.509",0,23,224
1465248862,2016-06-06T21:34:22Z,VDA2250,"42.5621,27.5087",0,23,224
1465248856,2016-06-06T21:34:16Z,VDA2250,"42.562,27.5085",0,22,224
1465248844,2016-06-06T21:34:04Z,VDA2250,"42.5618,27.5079",0,19,224
1465248838,2016-06-06T21:33:58Z,VDA2250,"42.5619,27.5077",0,18,224
1465248826,2016-06-06T21:33:46Z,VDA2250,"42.562,27.5072",0,16,224
1465248814,2016-06-06T21:33:34Z,VDA2250,"42.5622,27.507",0,13,224
1465248802,2016-06-06T21:33:22Z,VDA2250,"42.5625,27.5069",0,21,224
1465248795,2016-06-06T21:33:15Z,VDA2250,"42.5628,27.507",0,30,224
1465248789,2016-06-06T21:33:09Z,VDA2250,"42.5632,27.5071",0,29,224
1465248783,2016-06-06T21:33:03Z,VDA2250,"42.5635,27.5072",0,16,224
1465248777,2016-06-06T21:32:57Z,VDA2250,"42.564,27.5074",0,18,224
1465248771,2016-06-06T21:32:51Z,VDA2250,"42.5645,27.5078",0,17,224
1465248765,2016-06-06T21:32:45Z,VDA2250,"42.5648,27.5082",0,19,224
1465248759,2016-06-06T21:32:39Z,VDA2250,"42.5653,27.5088",0,27,224
1465248753,2016-06-06T21:32:33Z,VDA2250,"42.5659,27.5096",0,31,224
1465248744,2016-06-06T21:32:24Z,VDA2250,"42.567,27.5111",0,52,224
1465248738,2016-06-06T21:32:18Z,VDA2250,"42.5683,27.5129",0,80,224
1465248732,2016-06-06T21:32:12Z,VDA2250,"42.5702,27.5154",0,110,224
1465248726,2016-06-06T21:32:06Z,VDA2250,"42.5727,27.5187",0,130,224
1465248720,2016-06-06T21:32:00Z,VDA2250,"42.5756,27.5224",0,150,224
1465248714,2016-06-06T21:31:54Z,VDA2250,"42.5787,27.5265",75,157,224
1465248708,2016-06-06T21:31:48Z,VDA2250,"42.5818,27.5307",175,160,224
1465248702,2016-06-06T21:31:42Z,VDA2250,"42.5852,27.5353",275,163,225
1465248696,2016-06-06T21:31:36Z,VDA2250,"42.5884,27.5395",350,166,225
1465248690,2016-06-06T21:31:30Z,VDA2250,"42.5915,27.5439",425,168,225
1465248684,2016-06-06T21:31:24Z,VDA2250,"42.5951,27.5487",550,169,224
1465248678,2016-06-06T21:31:18Z,VDA2250,"42.5984,27.5531",650,170,223
1465248671,2016-06-06T21:31:11Z,VDA2250,"42.602,27.5577",750,171,223
1465248665,2016-06-06T21:31:05Z,VDA2250,"42.6054,27.5621",825,171,224
1465248659,2016-06-06T21:30:59Z,VDA2250,"42.6093,27.5674",925,171,225
1465248653,2016-06-06T21:30:53Z,VDA2250,"42.6121,27.5713",1000,169,225
1465248647,2016-06-06T21:30:47Z,VDA2250,"42.6154,27.5757",1100,167,225
1465248641,2016-06-06T21:30:41Z,VDA2250,"42.6188,27.5804",1200,168,224
