Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1465260823,2016-06-07T00:53:43Z,VDA2250,"31.3169,31.1655",16700,379,172
1465260803,2016-06-07T00:53:23Z,VDA2250,"31.3543,31.1591",17200,384,171
1465260686,2016-06-07T00:51:26Z,VDA2250,"31.5333,31.1277",20050,386,175
1465260635,2016-06-07T00:50:35Z,VDA2250,"31.6271,31.1175",21450,393,174
1465260629,2016-06-07T00:50:29Z,VDA2250,"31.6334,31.1168",21550,393,174
1465260540,2016-06-07T00:49:00Z,VDA2250,"31.7997,31.0972",24225,403,174
1465260522,2016-06-07T00:48:42Z,VDA2250,"31.8316,31.0935",24600,409,174
1465260434,2016-06-07T00:47:14Z,VDA2250,"32.0037,31.0731",27200,420,174
1465260404,2016-06-07T00:46:44Z,VDA2250,"32.0584,31.0666",28025,427,174
1465260340,2016-06-07T00:45:40Z,VDA2250,"32.183,31.0518",28975,428,174
1465260277,2016-06-07T00:44:37Z,VDA2250,"32.3144,31.0376",28975,429,174
1465260213,2016-06-07T00:43:33Z,VDA2250,"32.4361,31.0239",28975,429,174
1465260152,2016-06-07T00:42:32Z,VDA2250,"32.5561,31.0102",28975,427,174
1465260089,2016-06-07T00:41:29Z,VDA2250,"32.6824,30.9967",28950,429,174
1465260028,2016-06-07T00:40:28Z,VDA2250,"32.8038,30.9834",28975,429,174
1465259965,2016-06-07T00:39:25Z,VDA2250,"32.9285,30.9696",29000,430,174
1465259904,2016-06-07T00:38:24Z,VDA2250,"33.0492,30.9569",28925,433,174
1465259843,2016-06-07T00:37:23Z,VDA2250,"33.1722,30.9507",28950,432,178
1465259782,2016-06-07T00:36:22Z,VDA2250,"33.2933,30.946",28950,434,178
1465259720,2016-06-07T00:35:20Z,VDA2250,"33.4225,30.9409",28975,435,178
1465259657,2016-06-07T00:34:17Z,VDA2250,"33.5469,30.9361",28950,438,178
1465259576,2016-06-07T00:32:56Z,VDA2250,"33.711,30.9383",28975,439,180
1465259512,2016-06-07T00:31:52Z,VDA2250,"33.8425,30.9408",29050,444,180
1465259451,2016-06-07T00:30:51Z,VDA2250,"33.9675,30.9427",29050,445,180
1465259390,2016-06-07T00:29:50Z,VDA2250,"34.0926,30.9414",29075,447,178
1465259327,2016-06-07T00:28:47Z,VDA2250,"34.225,30.9373",29050,447,178
1465259266,2016-06-07T00:27:46Z,VDA2250,"34.3508,30.9337",29075,447,177
1465259205,2016-06-07T00:26:45Z,VDA2250,"34.4772,30.927",29050,447,177
1465259144,2016-06-07T00:25:44Z,VDA2250,"34.6075,30.9202",29000,445,177
1465259083,2016-06-07T00:24:43Z,VDA2250,"34.7297,30.9136",29000,444,177
1465259017,2016-06-07T00:23:37Z,VDA2250,"34.8665,30.9062",29025,442,177
1465258927,2016-06-07T00:22:07Z,VDA2250,"35.0549,30.8961",29000,442,177
1465258909,2016-06-07T00:21:49Z,VDA2250,"35.0875,30.8943",29000,443,177
1465258842,2016-06-07T00:20:42Z,VDA2250,"35.224,30.8855",28975,442,177
1465258781,2016-06-07T00:19:41Z,VDA2250,"35.3477,30.8772",29000,443,177
1465258720,2016-06-07T00:18:40Z,VDA2250,"35.4723,30.869",29000,444,177
1465258657,2016-06-07T00:17:37Z,VDA2250,"35.6028,30.8607",29050,444,177
1465258596,2016-06-07T00:16:36Z,VDA2250,"35.7277,30.8527",29000,447,176
1465258533,2016-06-07T00:15:33Z,VDA2250,"35.8597,30.8439",29050,448,177
1465258472,2016-06-07T00:14:32Z,VDA2250,"35.9855,30.8354",29000,450,176
1465258466,2016-06-07T00:14:26Z,VDA2250,"35.9984,30.8343",29075,448,176
1465258460,2016-06-07T00:14:20Z,VDA2250,"36.0107,30.8333",29100,447,176
1465258454,2016-06-07T00:14:14Z,VDA2250,"36.024,30.8323",29075,448,176
1465258448,2016-06-07T00:14:08Z,VDA2250,"36.0359,30.831",29025,454,172
1465258433,2016-06-07T00:13:53Z,VDA2250,"36.0685,30.8217",29050,466,162
1465258372,2016-06-07T00:12:52Z,VDA2250,"36.192,30.7731",29050,467,162
1465258309,2016-06-07T00:11:49Z,VDA2250,"36.3237,30.7213",29000,467,162
1465258248,2016-06-07T00:10:48Z,VDA2250,"36.4482,30.6725",29025,466,162
1465258185,2016-06-07T00:09:45Z,VDA2250,"36.5783,30.6205",29050,464,162
1465258124,2016-06-07T00:08:44Z,VDA2250,"36.7038,30.5716",28925,466,162
1465258063,2016-06-07T00:07:43Z,VDA2250,"36.8303,30.5228",29000,471,162
1465258002,2016-06-07T00:06:42Z,VDA2250,"36.956,30.4744",29075,470,162
1465257939,2016-06-07T00:05:39Z,VDA2250,"37.0893,30.4229",29100,466,162
1465257878,2016-06-07T00:04:38Z,VDA2250,"37.2144,30.3743",29075,461,162
1465257817,2016-06-07T00:03:37Z,VDA2250,"37.3361,30.3271",29050,455,162
1465257756,2016-06-07T00:02:36Z,VDA2250,"37.4574,30.2799",28950,446,162
1465257695,2016-06-07T00:01:35Z,VDA2250,"37.5775,30.2329",28625,442,162
1465257632,2016-06-07T00:00:32Z,VDA2250,"37.7016,30.1831",28100,440,162
1465257569,2016-06-06T23:59:29Z,VDA2250,"37.8256,30.1333",27375,447,162
1465257506,2016-06-06T23:58:26Z,VDA2250,"37.9497,30.0838",27025,446,162
1465257444,2016-06-06T23:57:24Z,VDA2250,"38.0699,30.0356",27025,444,162
1465257381,2016-06-06T23:56:21Z,VDA2250,"38.1954,29.985",27025,444,162
1465257320,2016-06-06T23:55:20Z,VDA2250,"38.3153,29.9367",27050,443,162
