Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1465917470,2016-06-14T15:17:50Z,VDA6795,"40.0772,116.598",0,34,352
1465917443,2016-06-14T15:17:23Z,VDA6795,"40.0745,116.597",0,24,352
1465917311,2016-06-14T15:15:11Z,VDA6795,"40.0253,116.605",1025,121,353
1465917305,2016-06-14T15:15:05Z,VDA6795,"40.0227,116.605",1100,121,353
1465917295,2016-06-14T15:14:55Z,VDA6795,"40.0159,116.606",1225,120,354
1465917285,2016-06-14T15:14:45Z,VDA6795,"40.0108,116.607",1325,121,354
1465917275,2016-06-14T15:14:35Z,VDA6795,"40.0025,116.608",1500,120,350
1465917269,2016-06-14T15:14:29Z,VDA6795,"40.0001,116.609",1525,115,351
1465917259,2016-06-14T15:14:19Z,VDA6795,"39.9967,116.609",1575,112,353
1465917238,2016-06-14T15:13:58Z,VDA6795,"39.9856,116.611",1775,109,353
1465917228,2016-06-14T15:13:48Z,VDA6795,"39.9809,116.612",1825,111,353
1465917201,2016-06-14T15:13:21Z,VDA6795,"39.9662,116.614",2125,116,353
1465917195,2016-06-14T15:13:15Z,VDA6795,"39.9631,116.615",2175,120,353
1465917189,2016-06-14T15:13:09Z,VDA6795,"39.9591,116.615",2275,123,353
1465917180,2016-06-14T15:13:00Z,VDA6795,"39.9548,116.616",2350,127,353
1465917174,2016-06-14T15:12:54Z,VDA6795,"39.9505,116.617",2450,129,353
1465917165,2016-06-14T15:12:45Z,VDA6795,"39.9448,116.618",2550,134,352
1465917159,2016-06-14T15:12:39Z,VDA6795,"39.941,116.618",2625,135,353
1465917153,2016-06-14T15:12:33Z,VDA6795,"39.938,116.619",2700,137,353
1465917147,2016-06-14T15:12:27Z,VDA6795,"39.9333,116.619",2800,139,353
1465917140,2016-06-14T15:12:20Z,VDA6795,"39.9303,116.62",2850,142,353
1465917131,2016-06-14T15:12:11Z,VDA6795,"39.9245,116.621",2975,148,352
1465917123,2016-06-14T15:12:03Z,VDA6795,"39.9167,116.622",3100,150,352
1465917116,2016-06-14T15:11:56Z,VDA6795,"39.914,116.622",3150,152,352
1465917107,2016-06-14T15:11:47Z,VDA6795,"39.9066,116.624",3325,155,353
1465917101,2016-06-14T15:11:41Z,VDA6795,"39.9035,116.624",3400,156,353
1465917080,2016-06-14T15:11:20Z,VDA6795,"39.8879,116.627",3750,164,353
1465917071,2016-06-14T15:11:11Z,VDA6795,"39.8812,116.628",3900,162,353
1465917065,2016-06-14T15:11:05Z,VDA6795,"39.8768,116.628",4000,161,353
1465917056,2016-06-14T15:10:56Z,VDA6795,"39.8698,116.629",4150,160,352
1465917050,2016-06-14T15:10:50Z,VDA6795,"39.8654,116.63",4250,161,352
1465917044,2016-06-14T15:10:44Z,VDA6795,"39.8609,116.631",4325,162,352
1465917032,2016-06-14T15:10:32Z,VDA6795,"39.852,116.632",4500,163,353
1465917020,2016-06-14T15:10:20Z,VDA6795,"39.8427,116.634",4650,162,354
1465917014,2016-06-14T15:10:14Z,VDA6795,"39.8381,116.634",4725,159,354
1465917008,2016-06-14T15:10:08Z,VDA6795,"39.8338,116.635",4825,158,353
1465917002,2016-06-14T15:10:02Z,VDA6795,"39.8293,116.636",4900,156,353
1465916996,2016-06-14T15:09:56Z,VDA6795,"39.8251,116.636",4975,151,353
1465916984,2016-06-14T15:09:44Z,VDA6795,"39.8169,116.638",5150,143,352
1465916972,2016-06-14T15:09:32Z,VDA6795,"39.809,116.639",5350,146,352
1465916957,2016-06-14T15:09:17Z,VDA6795,"39.7989,116.64",5600,147,352
1465916942,2016-06-14T15:09:02Z,VDA6795,"39.7886,116.642",5900,148,351
1465916930,2016-06-14T15:08:50Z,VDA6795,"39.7806,116.644",6100,151,351
1465916918,2016-06-14T15:08:38Z,VDA6795,"39.772,116.645",6250,158,352
1465916906,2016-06-14T15:08:26Z,VDA6795,"39.7626,116.647",6325,175,354
1465916891,2016-06-14T15:08:11Z,VDA6795,"39.7498,116.648",6275,192,355
1465916876,2016-06-14T15:07:56Z,VDA6795,"39.736,116.65",6300,198,355
1465916860,2016-06-14T15:07:40Z,VDA6795,"39.7216,116.651",6300,209,353
