Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1466474449,2016-06-21T02:00:49Z,VDA2230,"40.0419,116.602",700,144,352
1466474434,2016-06-21T02:00:34Z,VDA2230,"40.0334,116.604",850,144,352
1466474428,2016-06-21T02:00:28Z,VDA2230,"40.0294,116.604",925,145,353
1466474422,2016-06-21T02:00:22Z,VDA2230,"40.025,116.605",1000,146,354
1466474416,2016-06-21T02:00:16Z,VDA2230,"40.0204,116.606",1125,148,353
1466474406,2016-06-21T02:00:06Z,VDA2230,"40.014,116.607",1225,149,352
1466474400,2016-06-21T02:00:00Z,VDA2230,"40.0109,116.607",1300,148,351
1466474379,2016-06-21T01:59:39Z,VDA2230,"39.9964,116.609",1575,146,354
1466474373,2016-06-21T01:59:33Z,VDA2230,"39.9922,116.61",1625,144,353
1466474364,2016-06-21T01:59:24Z,VDA2230,"39.9853,116.611",1750,141,353
1466474358,2016-06-21T01:59:18Z,VDA2230,"39.9823,116.612",1775,141,353
1466474337,2016-06-21T01:58:57Z,VDA2230,"39.9682,116.614",2025,140,354
1466474331,2016-06-21T01:58:51Z,VDA2230,"39.9633,116.614",2100,140,353
1466474322,2016-06-21T01:58:42Z,VDA2230,"39.9586,116.615",2175,140,353
1466474316,2016-06-21T01:58:36Z,VDA2230,"39.9549,116.616",2250,140,352
1466474310,2016-06-21T01:58:30Z,VDA2230,"39.9497,116.617",2350,141,352
1466474301,2016-06-21T01:58:21Z,VDA2230,"39.9435,116.618",2475,143,353
1466474295,2016-06-21T01:58:15Z,VDA2230,"39.9406,116.618",2525,145,353
1466474286,2016-06-21T01:58:06Z,VDA2230,"39.9343,116.619",2650,148,353
1466474277,2016-06-21T01:57:57Z,VDA2230,"39.928,116.62",2800,156,353
1466474265,2016-06-21T01:57:45Z,VDA2230,"39.9204,116.621",2925,157,353
1466474259,2016-06-21T01:57:39Z,VDA2230,"39.9155,116.622",3025,159,353
1466474253,2016-06-21T01:57:33Z,VDA2230,"39.9102,116.623",3150,161,353
1466474247,2016-06-21T01:57:27Z,VDA2230,"39.9063,116.623",3225,163,353
1466474241,2016-06-21T01:57:21Z,VDA2230,"39.9027,116.624",3325,164,353
1466474235,2016-06-21T01:57:15Z,VDA2230,"39.898,116.625",3425,166,353
1466474229,2016-06-21T01:57:09Z,VDA2230,"39.8935,116.625",3525,168,353
1466474223,2016-06-21T01:57:03Z,VDA2230,"39.8887,116.626",3625,170,353
1466474217,2016-06-21T01:56:57Z,VDA2230,"39.8841,116.627",3725,174,353
1466474211,2016-06-21T01:56:51Z,VDA2230,"39.8789,116.628",3800,175,353
1466474205,2016-06-21T01:56:45Z,VDA2230,"39.8739,116.628",3900,174,353
1466474199,2016-06-21T01:56:39Z,VDA2230,"39.8692,116.629",3975,173,353
1466474193,2016-06-21T01:56:33Z,VDA2230,"39.8648,116.63",4025,171,352
1466474187,2016-06-21T01:56:27Z,VDA2230,"39.8595,116.631",4125,168,352
1466474180,2016-06-21T01:56:20Z,VDA2230,"39.8552,116.631",4200,167,352
1466474174,2016-06-21T01:56:14Z,VDA2230,"39.8508,116.632",4275,166,351
1466474168,2016-06-21T01:56:08Z,VDA2230,"39.846,116.633",4375,167,351
1466474162,2016-06-21T01:56:02Z,VDA2230,"39.8414,116.634",4475,169,351
1466474156,2016-06-21T01:55:56Z,VDA2230,"39.8364,116.635",4575,171,352
1466474150,2016-06-21T01:55:50Z,VDA2230,"39.8319,116.636",4650,174,353
1466474144,2016-06-21T01:55:44Z,VDA2230,"39.8271,116.636",4725,174,353
1466474138,2016-06-21T01:55:38Z,VDA2230,"39.8222,116.637",4800,169,354
1466474132,2016-06-21T01:55:32Z,VDA2230,"39.8176,116.638",4875,167,355
1466474126,2016-06-21T01:55:26Z,VDA2230,"39.813,116.638",4950,165,355
1466474114,2016-06-21T01:55:14Z,VDA2230,"39.8036,116.639",5125,158,355
1466474102,2016-06-21T01:55:02Z,VDA2230,"39.7949,116.64",5325,155,354
1466474090,2016-06-21T01:54:50Z,VDA2230,"39.7863,116.641",5525,159,351
1466474078,2016-06-21T01:54:38Z,VDA2230,"39.7771,116.644",5750,164,348
1466474066,2016-06-21T01:54:26Z,VDA2230,"39.7681,116.646",5975,168,348
1466474054,2016-06-21T01:54:14Z,VDA2230,"39.7583,116.648",6200,173,350
1466474042,2016-06-21T01:54:02Z,VDA2230,"39.7488,116.65",6375,181,352
1466474030,2016-06-21T01:53:50Z,VDA2230,"39.7385,116.652",6475,196,355
