Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1471320742,2016-08-16T04:12:22Z,VDA2436,"38.9428,-77.4529",0,9,151
1471320720,2016-08-16T04:12:00Z,VDA2436,"38.9428,-77.4526",0,9,151
1471320699,2016-08-16T04:11:39Z,VDA2436,"38.9427,-77.4523",0,11,151
1471320681,2016-08-16T04:11:21Z,VDA2436,"38.9424,-77.4521",0,13,151
1471320670,2016-08-16T04:11:10Z,VDA2436,"38.9422,-77.4521",0,14,151
1471320651,2016-08-16T04:10:51Z,VDA2436,"38.9418,-77.4521",0,12,151
1471320636,2016-08-16T04:10:36Z,VDA2436,"38.9416,-77.4521",0,10,151
1471320603,2016-08-16T04:10:03Z,VDA2436,"38.9412,-77.4522",0,17,151
1471320597,2016-08-16T04:09:57Z,VDA2436,"38.9412,-77.4525",0,21,151
1471320591,2016-08-16T04:09:51Z,VDA2436,"38.9412,-77.4528",0,21,151
1471320585,2016-08-16T04:09:45Z,VDA2436,"38.9412,-77.4531",0,20,151
1471320579,2016-08-16T04:09:39Z,VDA2436,"38.9412,-77.4533",0,21,151
1471320567,2016-08-16T04:09:27Z,VDA2436,"38.9412,-77.454",0,19,151
1471320558,2016-08-16T04:09:18Z,VDA2436,"38.9412,-77.4543",0,16,151
1471320546,2016-08-16T04:09:06Z,VDA2436,"38.9412,-77.4546",0,14,151
1471320534,2016-08-16T04:08:54Z,VDA2436,"38.9412,-77.4549",0,11,151
1471320522,2016-08-16T04:08:42Z,VDA2436,"38.9412,-77.4551",0,11,151
1471320507,2016-08-16T04:08:27Z,VDA2436,"38.9412,-77.4556",0,17,151
1471320498,2016-08-16T04:08:18Z,VDA2436,"38.9412,-77.4559",0,16,151
1471320492,2016-08-16T04:08:12Z,VDA2436,"38.9412,-77.4561",0,15,151
1471320480,2016-08-16T04:08:00Z,VDA2436,"38.9412,-77.4564",0,13,151
1471320474,2016-08-16T04:07:54Z,VDA2436,"38.9412,-77.4567",0,18,151
1471320465,2016-08-16T04:07:45Z,VDA2436,"38.9412,-77.457",0,20,151
1471320459,2016-08-16T04:07:39Z,VDA2436,"38.9415,-77.4571",0,23,151
1471320444,2016-08-16T04:07:24Z,VDA2436,"38.942,-77.4571",0,20,151
1471320438,2016-08-16T04:07:18Z,VDA2436,"38.9423,-77.4571",0,29,151
1471320432,2016-08-16T04:07:12Z,VDA2436,"38.9427,-77.4571",0,32,151
1471320426,2016-08-16T04:07:06Z,VDA2436,"38.9432,-77.4571",0,30,151
1471320420,2016-08-16T04:07:00Z,VDA2436,"38.9434,-77.4571",0,29,151
1471320414,2016-08-16T04:06:54Z,VDA2436,"38.9438,-77.4571",0,27,151
1471320408,2016-08-16T04:06:48Z,VDA2436,"38.9441,-77.4571",0,26,151
1471320402,2016-08-16T04:06:42Z,VDA2436,"38.9443,-77.4571",0,25,151
1471320396,2016-08-16T04:06:36Z,VDA2436,"38.9446,-77.4571",0,23,151
1471320390,2016-08-16T04:06:30Z,VDA2436,"38.9449,-77.4571",0,22,151
1471320384,2016-08-16T04:06:24Z,VDA2436,"38.9451,-77.4571",0,20,151
1471320378,2016-08-16T04:06:18Z,VDA2436,"38.9453,-77.4571",0,24,151
1471320371,2016-08-16T04:06:11Z,VDA2436,"38.9456,-77.457",0,25,151
1471320172,2016-08-16T04:02:52Z,VDA2436,"38.9774,-77.459",200,134,180
1471320162,2016-08-16T04:02:42Z,VDA2436,"38.9837,-77.4589",325,132,180
1471320152,2016-08-16T04:02:32Z,VDA2436,"38.9911,-77.4587",450,130,180
1471320142,2016-08-16T04:02:22Z,VDA2436,"38.9962,-77.4586",575,132,180
1471320132,2016-08-16T04:02:12Z,VDA2436,"39.003,-77.4586",700,130,180
