Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1475890402,2016-10-08T01:33:22Z,VDA9406,"51.805122,107.439041",0,9,78
1475890383,2016-10-08T01:33:03Z,VDA9406,"51.805401,107.438866",0,12,78
1475890370,2016-10-08T01:32:50Z,VDA9406,"51.805645,107.439102",0,18,78
1475890364,2016-10-08T01:32:44Z,VDA9406,"51.805832,107.439308",0,22,78
1475890358,2016-10-08T01:32:38Z,VDA9406,"51.806122,107.439331",0,23,78
1475890351,2016-10-08T01:32:31Z,VDA9406,"51.806355,107.439232",0,25,78
1475890345,2016-10-08T01:32:25Z,VDA9406,"51.806671,107.439117",0,27,78
1475890339,2016-10-08T01:32:19Z,VDA9406,"51.807014,107.439011",0,28,78
1475890329,2016-10-08T01:32:09Z,VDA9406,"51.807484,107.438812",0,27,78
1475890323,2016-10-08T01:32:03Z,VDA9406,"51.807747,107.438492",0,26,78
1475890316,2016-10-08T01:31:56Z,VDA9406,"51.807789,107.438011",0,26,78
1475890310,2016-10-08T01:31:50Z,VDA9406,"51.807724,107.437416",0,34,78
1475890304,2016-10-08T01:31:44Z,VDA9406,"51.80761,107.4366",0,20,78
1475890298,2016-10-08T01:31:38Z,VDA9406,"51.807472,107.435608",0,22,75
1475890291,2016-10-08T01:31:31Z,VDA9406,"51.807312,107.434601",0,23,75
1475890285,2016-10-08T01:31:25Z,VDA9406,"51.807137,107.433395",0,25,78
1475890279,2016-10-08T01:31:19Z,VDA9406,"51.806973,107.432114",0,30,78
1475890273,2016-10-08T01:31:13Z,VDA9406,"51.806797,107.430794",0,31,78
1475890266,2016-10-08T01:31:06Z,VDA9406,"51.806599,107.429276",0,32,78
1475890259,2016-10-08T01:30:59Z,VDA9406,"51.806381,107.427635",0,33,78
1475890253,2016-10-08T01:30:53Z,VDA9406,"51.806156,107.425987",0,34,78
1475890246,2016-10-08T01:30:46Z,VDA9406,"51.805962,107.424469",0,33,78
1475890240,2016-10-08T01:30:40Z,VDA9406,"51.805756,107.422852",0,32,78
1475890228,2016-10-08T01:30:28Z,VDA9406,"51.805401,107.420197",0,24,78
