Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1477638424,2016-10-28T07:07:04Z,VDA2646,"4.763031,-52.644993",3250,195,106
1477638414,2016-10-28T07:06:54Z,VDA2646,"4.764854,-52.65155",3300,202,106
1477638265,2016-10-28T07:04:25Z,VDA2646,"4.81897,-52.827759",5125,271,106
1477638244,2016-10-28T07:04:04Z,VDA2646,"4.822067,-52.837608",5300,269,108
1477638231,2016-10-28T07:03:51Z,VDA2646,"4.827164,-52.853409",5650,268,108
1477638220,2016-10-28T07:03:40Z,VDA2646,"4.830963,-52.865326",5950,268,107
1477638208,2016-10-28T07:03:28Z,VDA2646,"4.835334,-52.87999",6300,268,107
1477637897,2016-10-28T06:58:17Z,VDA2646,"4.969917,-53.30756",15150,359,108
1477637872,2016-10-28T06:57:52Z,VDA2646,"4.98216,-53.346767",16050,362,106
1477637810,2016-10-28T06:56:50Z,VDA2646,"5.013536,-53.446922",18300,370,107
1477637745,2016-10-28T06:55:45Z,VDA2646,"5.04724,-53.555744",20250,391,106
1477637684,2016-10-28T06:54:44Z,VDA2646,"5.079687,-53.663334",22150,401,106
1477637622,2016-10-28T06:53:42Z,VDA2646,"5.113856,-53.77618",23875,419,107
1477637560,2016-10-28T06:52:40Z,VDA2646,"5.149429,-53.893387",25725,436,106
1477637499,2016-10-28T06:51:39Z,VDA2646,"5.185873,-54.014141",27550,455,106
1477637438,2016-10-28T06:50:38Z,VDA2646,"5.222463,-54.140484",29550,463,104
1477637373,2016-10-28T06:49:33Z,VDA2646,"5.25761,-54.272602",31000,450,104
1477637367,2016-10-28T06:49:27Z,VDA2646,"5.260941,-54.28503",31000,452,104
1477637361,2016-10-28T06:49:21Z,VDA2646,"5.26436,-54.297607",30975,454,106
1477637354,2016-10-28T06:49:14Z,VDA2646,"5.267899,-54.309052",30975,454,110
1477637317,2016-10-28T06:48:37Z,VDA2646,"5.306168,-54.377716",30975,454,121
1477637256,2016-10-28T06:47:36Z,VDA2646,"5.373944,-54.488304",30975,456,121
1477637194,2016-10-28T06:46:34Z,VDA2646,"5.442627,-54.599491",30975,455,121
1477637133,2016-10-28T06:45:33Z,VDA2646,"5.510468,-54.709587",30950,455,121
1477637071,2016-10-28T06:44:31Z,VDA2646,"5.579518,-54.821732",30950,455,121
1477637010,2016-10-28T06:43:30Z,VDA2646,"5.647252,-54.931168",30975,455,121
1477636948,2016-10-28T06:42:28Z,VDA2646,"5.716429,-55.043919",30950,457,121
1477636885,2016-10-28T06:41:25Z,VDA2646,"5.78595,-55.157558",30975,458,121
1477636824,2016-10-28T06:40:24Z,VDA2646,"5.854065,-55.268913",30975,460,121
1477636762,2016-10-28T06:39:22Z,VDA2646,"5.923865,-55.383453",31000,460,120
1477636700,2016-10-28T06:38:20Z,VDA2646,"5.991692,-55.494595",31000,460,120
1477636638,2016-10-28T06:37:18Z,VDA2646,"6.060928,-55.607159",31000,460,121
1477636576,2016-10-28T06:36:16Z,VDA2646,"6.130604,-55.720669",31025,459,121
1477636514,2016-10-28T06:35:14Z,VDA2646,"6.200867,-55.834194",31000,459,121
1477636451,2016-10-28T06:34:11Z,VDA2646,"6.270676,-55.948433",31000,458,121
1477636388,2016-10-28T06:33:08Z,VDA2646,"6.341299,-56.062096",30975,458,121
1477636326,2016-10-28T06:32:06Z,VDA2646,"6.410797,-56.174725",31000,456,121
1477636263,2016-10-28T06:31:03Z,VDA2646,"6.480927,-56.288078",31000,456,121
1477636201,2016-10-28T06:30:01Z,VDA2646,"6.550365,-56.400303",31000,456,121
1477636139,2016-10-28T06:28:59Z,VDA2646,"6.619822,-56.512581",31000,457,121
1477636073,2016-10-28T06:27:53Z,VDA2646,"6.693695,-56.632381",31000,462,122
1477636011,2016-10-28T06:26:51Z,VDA2646,"6.764191,-56.747272",31025,462,121
1477635949,2016-10-28T06:25:49Z,VDA2646,"6.833449,-56.861965",31050,461,118
1477635942,2016-10-28T06:25:42Z,VDA2646,"6.839584,-56.873707",31050,461,117
1477635936,2016-10-28T06:25:36Z,VDA2646,"6.845856,-56.8853",31025,461,118
1477635885,2016-10-28T06:24:45Z,VDA2646,"6.911819,-56.971977",31025,461,128
1477635824,2016-10-28T06:23:44Z,VDA2646,"6.999023,-57.072483",31025,460,131
1477635761,2016-10-28T06:22:41Z,VDA2646,"7.086368,-57.172001",31025,460,131
1477635698,2016-10-28T06:21:38Z,VDA2646,"7.176178,-57.274708",31025,460,131
1477635634,2016-10-28T06:20:34Z,VDA2646,"7.2659,-57.377262",31025,460,131
1477635572,2016-10-28T06:19:32Z,VDA2646,"7.354614,-57.478699",31025,459,131
1477635446,2016-10-28T06:17:26Z,VDA2646,"7.532318,-57.681808",31000,458,131
1477635362,2016-10-28T06:16:02Z,VDA2646,"7.652481,-57.816669",31000,456,131
1477635334,2016-10-28T06:15:34Z,VDA2646,"7.688056,-57.858456",31025,456,130
1477635246,2016-10-28T06:14:06Z,VDA2646,"7.779007,-58.018658",31000,451,108
1477635195,2016-10-28T06:13:15Z,VDA2646,"7.827805,-58.12112",31025,453,124
1477634374,2016-10-28T05:59:34Z,VDA2646,"8.916595,-59.457588",31050,451,129
1477634340,2016-10-28T05:59:00Z,VDA2646,"8.960235,-59.511139",31050,453,128
1477634279,2016-10-28T05:57:59Z,VDA2646,"9.042389,-59.613167",31025,451,129
1477634216,2016-10-28T05:56:56Z,VDA2646,"9.127258,-59.718468",31050,452,128
1477634154,2016-10-28T05:55:54Z,VDA2646,"9.20659,-59.816673",31050,452,129
1477634092,2016-10-28T05:54:52Z,VDA2646,"9.288987,-59.918392",31025,451,129
1477634004,2016-10-28T05:53:24Z,VDA2646,"9.405601,-60.063202",31050,449,129
1477633943,2016-10-28T05:52:23Z,VDA2646,"9.488068,-60.165836",31025,449,128
1477633894,2016-10-28T05:51:34Z,VDA2646,"9.551147,-60.24432",31050,448,129
1477633833,2016-10-28T05:50:33Z,VDA2646,"9.632721,-60.345806",31025,448,129
1477633772,2016-10-28T05:49:32Z,VDA2646,"9.710815,-60.4431",31025,448,128
1477633711,2016-10-28T05:48:31Z,VDA2646,"9.790681,-60.542671",31025,447,129
1477633650,2016-10-28T05:47:30Z,VDA2646,"9.871867,-60.644009",31025,447,129
1477633589,2016-10-28T05:46:29Z,VDA2646,"9.951472,-60.743645",31025,447,128
1477633528,2016-10-28T05:45:28Z,VDA2646,"10.03038,-60.842659",31025,447,128
1477633464,2016-10-28T05:44:24Z,VDA2646,"10.113613,-60.946938",31025,447,128
1477633403,2016-10-28T05:43:23Z,VDA2646,"10.192337,-61.047348",31000,446,127
1477633342,2016-10-28T05:42:22Z,VDA2646,"10.269836,-61.147762",31025,445,128
1477633280,2016-10-28T05:41:20Z,VDA2646,"10.348389,-61.24971",31025,445,127
1477633217,2016-10-28T05:40:17Z,VDA2646,"10.429367,-61.353756",31000,445,128
1477633211,2016-10-28T05:40:11Z,VDA2646,"10.437244,-61.363945",31000,445,127
1477633205,2016-10-28T05:40:05Z,VDA2646,"10.445068,-61.3741",31000,446,129
1477633198,2016-10-28T05:39:58Z,VDA2646,"10.453308,-61.383919",31000,447,132
1477633192,2016-10-28T05:39:52Z,VDA2646,"10.461868,-61.392811",31000,448,136
1477633177,2016-10-28T05:39:37Z,VDA2646,"10.488007,-61.413811",31025,450,147
1477633116,2016-10-28T05:38:36Z,VDA2646,"10.596268,-61.47987",31025,451,149
1477633055,2016-10-28T05:37:35Z,VDA2646,"10.706177,-61.546356",31025,451,148
1477632994,2016-10-28T05:36:34Z,VDA2646,"10.816366,-61.612724",31000,451,149
1477632933,2016-10-28T05:35:33Z,VDA2646,"10.92553,-61.678356",31025,450,149
1477632872,2016-10-28T05:34:32Z,VDA2646,"11.036682,-61.74501",31025,451,149
1477632809,2016-10-28T05:33:29Z,VDA2646,"11.15126,-61.814007",31025,451,149
1477632748,2016-10-28T05:32:28Z,VDA2646,"11.260895,-61.879734",31025,451,149
1477632687,2016-10-28T05:31:27Z,VDA2646,"11.372589,-61.946648",31000,450,149
1477632626,2016-10-28T05:30:26Z,VDA2646,"11.482017,-62.012619",31025,451,149
1477632565,2016-10-28T05:29:25Z,VDA2646,"11.591309,-62.078247",31000,451,149
1477632504,2016-10-28T05:28:24Z,VDA2646,"11.701278,-62.144455",31025,451,149
1477632443,2016-10-28T05:27:23Z,VDA2646,"11.811141,-62.210613",31025,452,149
1477632382,2016-10-28T05:26:22Z,VDA2646,"11.920624,-62.276711",31025,452,149
1477632321,2016-10-28T05:25:21Z,VDA2646,"12.030716,-62.343624",31025,453,149
1477632251,2016-10-28T05:24:11Z,VDA2646,"12.158792,-62.420849",31000,454,149
1477632190,2016-10-28T05:23:10Z,VDA2646,"12.270053,-62.486668",31050,455,149
1477632102,2016-10-28T05:21:42Z,VDA2646,"12.431914,-62.582943",31025,457,149
1477632090,2016-10-28T05:21:30Z,VDA2646,"12.453794,-62.596146",31025,456,149
1477632028,2016-10-28T05:20:28Z,VDA2646,"12.565892,-62.662788",31050,456,150
1477631967,2016-10-28T05:19:27Z,VDA2646,"12.678502,-62.729572",31025,457,149
1477631906,2016-10-28T05:18:26Z,VDA2646,"12.791577,-62.796841",31025,457,149
1477631548,2016-10-28T05:12:28Z,VDA2646,"13.449188,-63.189949",31050,458,149
1477631542,2016-10-28T05:12:22Z,VDA2646,"13.460486,-63.196686",31050,458,149
1477631480,2016-10-28T05:11:20Z,VDA2646,"13.573425,-63.264534",31050,458,149
1477630967,2016-10-28T05:02:47Z,VDA2646,"14.505863,-63.838566",31000,452,148
1477630903,2016-10-28T05:01:43Z,VDA2646,"14.620605,-63.910122",31000,451,148
1477630841,2016-10-28T05:00:41Z,VDA2646,"14.731247,-63.979118",31000,452,149
1477630780,2016-10-28T04:59:40Z,VDA2646,"14.842156,-64.048088",30975,452,148
1477630716,2016-10-28T04:58:36Z,VDA2646,"14.955046,-64.118515",31050,451,151
1477630710,2016-10-28T04:58:30Z,VDA2646,"14.966777,-64.125038",31000,451,151
1477630685,2016-10-28T04:58:05Z,VDA2646,"15.010444,-64.155891",31000,451,141
1477630598,2016-10-28T04:56:38Z,VDA2646,"15.156647,-64.277489",31000,449,140
1477630519,2016-10-28T04:55:19Z,VDA2646,"15.283951,-64.383591",31000,449,140
1477630461,2016-10-28T04:54:21Z,VDA2646,"15.373993,-64.458954",31000,447,140
1477630400,2016-10-28T04:53:20Z,VDA2646,"15.473405,-64.541832",31000,447,141
1477630339,2016-10-28T04:52:19Z,VDA2646,"15.570839,-64.623444",31025,446,140
1477630276,2016-10-28T04:51:16Z,VDA2646,"15.673645,-64.709229",30975,446,140
1477630213,2016-10-28T04:50:13Z,VDA2646,"15.775772,-64.795143",31000,444,141
1477630132,2016-10-28T04:48:52Z,VDA2646,"15.903671,-64.90255",30975,442,140
1477630070,2016-10-28T04:47:50Z,VDA2646,"16.003448,-64.98658",31000,442,140
1477630008,2016-10-28T04:46:48Z,VDA2646,"16.101379,-65.069466",30975,440,140
1477629946,2016-10-28T04:45:46Z,VDA2646,"16.199432,-65.152153",30975,440,140
1477629884,2016-10-28T04:44:44Z,VDA2646,"16.297943,-65.236191",30975,440,140
1477629822,2016-10-28T04:43:42Z,VDA2646,"16.395584,-65.318779",30975,441,140
1477629759,2016-10-28T04:42:39Z,VDA2646,"16.497437,-65.405708",31000,440,140
1477629697,2016-10-28T04:41:37Z,VDA2646,"16.59429,-65.487587",30975,440,140
1477629636,2016-10-28T04:40:36Z,VDA2646,"16.692902,-65.571709",31000,440,140
1477629574,2016-10-28T04:39:34Z,VDA2646,"16.788553,-65.652824",30975,442,141
1477629513,2016-10-28T04:38:33Z,VDA2646,"16.886307,-65.735588",30975,443,140
1477629451,2016-10-28T04:37:31Z,VDA2646,"16.985046,-65.818222",30975,443,141
1477629390,2016-10-28T04:36:30Z,VDA2646,"17.083878,-65.901199",31000,442,140
1477629328,2016-10-28T04:35:28Z,VDA2646,"17.183687,-65.984818",31000,444,141
1477629242,2016-10-28T04:34:02Z,VDA2646,"17.323746,-66.103004",31025,444,140
1477629177,2016-10-28T04:32:57Z,VDA2646,"17.426411,-66.190025",31050,445,141
1477629138,2016-10-28T04:32:18Z,VDA2646,"17.488129,-66.241776",31025,445,140
1477629076,2016-10-28T04:31:16Z,VDA2646,"17.588041,-66.325935",31050,445,140
1477629014,2016-10-28T04:30:14Z,VDA2646,"17.687103,-66.409653",31000,445,141
1477628953,2016-10-28T04:29:13Z,VDA2646,"17.786087,-66.49321",30950,446,140
1477628891,2016-10-28T04:28:11Z,VDA2646,"17.885323,-66.57695",31000,445,141
1477628830,2016-10-28T04:27:10Z,VDA2646,"17.983828,-66.661362",31050,444,140
1477628768,2016-10-28T04:26:08Z,VDA2646,"18.081528,-66.745651",31025,444,140
1477628707,2016-10-28T04:25:07Z,VDA2646,"18.179626,-66.829979",31050,444,140
1477628645,2016-10-28T04:24:05Z,VDA2646,"18.27869,-66.915627",31025,443,140
1477628584,2016-10-28T04:23:04Z,VDA2646,"18.375099,-66.999924",31000,442,139
1477628522,2016-10-28T04:22:02Z,VDA2646,"18.468855,-67.087265",31075,438,138
1477628516,2016-10-28T04:21:56Z,VDA2646,"18.478119,-67.095703",31075,438,140
1477628510,2016-10-28T04:21:50Z,VDA2646,"18.487656,-67.104103",31000,439,138
1477628485,2016-10-28T04:21:25Z,VDA2646,"18.520981,-67.143387",31025,437,128
1477628424,2016-10-28T04:20:24Z,VDA2646,"18.59827,-67.245514",31050,436,128
1477628363,2016-10-28T04:19:23Z,VDA2646,"18.675547,-67.347992",31025,434,128
1477628301,2016-10-28T04:18:21Z,VDA2646,"18.753103,-67.45076",31000,432,128
1477628240,2016-10-28T04:17:20Z,VDA2646,"18.828705,-67.551735",31025,431,128
