Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1478876279,2016-11-11T14:57:59Z,VDA6894,"15.378963,73.822975",0,24,78
1478876270,2016-11-11T14:57:50Z,VDA6894,"15.378742,73.821877",0,22,78
1478876243,2016-11-11T14:57:23Z,VDA6894,"15.378273,73.819366",0,15,258
1478876206,2016-11-11T14:56:46Z,VDA6894,"15.37788,73.817619",0,19,258
1478876191,2016-11-11T14:56:31Z,VDA6894,"15.377345,73.817749",0,31,258
1478876142,2016-11-11T14:55:42Z,VDA6894,"15.378685,73.821587",0,25,258
1478876136,2016-11-11T14:55:36Z,VDA6894,"15.378858,73.822433",0,24,258
1478876097,2016-11-11T14:54:57Z,VDA6894,"15.381081,73.833878",0,115,258
1478876091,2016-11-11T14:54:51Z,VDA6894,"15.381775,73.837448",0,135,258
1478876085,2016-11-11T14:54:45Z,VDA6894,"15.382628,73.841515",200,147,258
1478876078,2016-11-11T14:54:38Z,VDA6894,"15.38342,73.845779",200,151,259
1478876072,2016-11-11T14:54:32Z,VDA6894,"15.384201,73.850197",325,152,259
1478876066,2016-11-11T14:54:26Z,VDA6894,"15.385328,73.856079",450,150,259
1478876060,2016-11-11T14:54:20Z,VDA6894,"15.385794,73.858681",500,150,260
1478876054,2016-11-11T14:54:14Z,VDA6894,"15.386632,73.86319",575,149,258
1478876048,2016-11-11T14:54:08Z,VDA6894,"15.387424,73.867218",650,147,258
1478876042,2016-11-11T14:54:02Z,VDA6894,"15.388275,73.871399",750,145,259
1478876036,2016-11-11T14:53:56Z,VDA6894,"15.389008,73.875488",800,144,259
1478876030,2016-11-11T14:53:50Z,VDA6894,"15.38975,73.879524",850,144,259
1478876024,2016-11-11T14:53:44Z,VDA6894,"15.390564,73.883682",925,144,258
1478876018,2016-11-11T14:53:38Z,VDA6894,"15.391434,73.888069",975,144,259
1478876012,2016-11-11T14:53:32Z,VDA6894,"15.392212,73.892166",1050,144,258
1478876006,2016-11-11T14:53:26Z,VDA6894,"15.393082,73.896263",1100,145,257
1478876000,2016-11-11T14:53:20Z,VDA6894,"15.393941,73.900467",1200,148,257
1478875994,2016-11-11T14:53:14Z,VDA6894,"15.394825,73.904785",1275,151,258
1478875988,2016-11-11T14:53:08Z,VDA6894,"15.395645,73.908882",1375,154,258
1478875982,2016-11-11T14:53:02Z,VDA6894,"15.396547,73.913414",1475,156,259
1478875976,2016-11-11T14:52:56Z,VDA6894,"15.39743,73.918037",1600,159,258
1478875970,2016-11-11T14:52:50Z,VDA6894,"15.398316,73.922539",1700,161,258
1478875964,2016-11-11T14:52:44Z,VDA6894,"15.399216,73.927193",1800,162,258
1478875958,2016-11-11T14:52:38Z,VDA6894,"15.400132,73.931709",1900,163,258
1478875951,2016-11-11T14:52:31Z,VDA6894,"15.401276,73.936401",2025,164,258
1478875943,2016-11-11T14:52:23Z,VDA6894,"15.402367,73.943527",2175,166,260
1478875937,2016-11-11T14:52:17Z,VDA6894,"15.403198,73.948349",2275,165,260
1478875930,2016-11-11T14:52:10Z,VDA6894,"15.403903,73.952896",2350,164,261
1478875924,2016-11-11T14:52:04Z,VDA6894,"15.404526,73.957695",2425,164,263
1478875918,2016-11-11T14:51:58Z,VDA6894,"15.405206,73.962364",2500,163,262
1478875912,2016-11-11T14:51:52Z,VDA6894,"15.405625,73.966972",2550,164,263
1478875906,2016-11-11T14:51:46Z,VDA6894,"15.406184,73.971733",2600,166,264
1478875900,2016-11-11T14:51:40Z,VDA6894,"15.406631,73.976921",2625,169,266
1478875891,2016-11-11T14:51:31Z,VDA6894,"15.406929,73.984337",2675,173,269
1478875885,2016-11-11T14:51:25Z,VDA6894,"15.406998,73.989159",2725,173,269
1478875879,2016-11-11T14:51:19Z,VDA6894,"15.407135,73.994507",2750,174,267
1478875873,2016-11-11T14:51:13Z,VDA6894,"15.407441,73.999443",2650,182,264
1478875867,2016-11-11T14:51:07Z,VDA6894,"15.408188,74.004921",2550,194,259
1478875861,2016-11-11T14:51:01Z,VDA6894,"15.409443,74.01033",2550,197,252
1478875855,2016-11-11T14:50:55Z,VDA6894,"15.411392,74.015762",2500,200,245
1478875849,2016-11-11T14:50:49Z,VDA6894,"15.414139,74.020866",2425,206,235
1478875843,2016-11-11T14:50:43Z,VDA6894,"15.417892,74.025688",2375,210,226
1478875837,2016-11-11T14:50:37Z,VDA6894,"15.42215,74.029785",2400,212,218
1478875831,2016-11-11T14:50:31Z,VDA6894,"15.427002,74.033394",2450,210,212
1478875806,2016-11-11T14:50:06Z,VDA6894,"15.44957,74.039757",2525,208,171
1478875800,2016-11-11T14:50:00Z,VDA6894,"15.455064,74.038536",2500,207,161
1478875794,2016-11-11T14:49:54Z,VDA6894,"15.460602,74.03624",2500,207,151
1478875788,2016-11-11T14:49:48Z,VDA6894,"15.465775,74.032913",2525,205,142
1478875782,2016-11-11T14:49:42Z,VDA6894,"15.4701,74.029213",2550,204,137
1478875776,2016-11-11T14:49:36Z,VDA6894,"15.474243,74.025093",2500,205,135
