Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1480005508,2016-11-24T16:38:28Z,VDA2852,"41.537716,32.701473",28999,410,109
1480005404,2016-11-24T16:36:44Z,VDA2852,"41.587875,32.5238",29025,410,109
1480005330,2016-11-24T16:35:30Z,VDA2852,"41.601212,32.47588",29025,408,109
1480005240,2016-11-24T16:34:00Z,VDA2852,"41.648746,32.305401",28999,407,109
1480005180,2016-11-24T16:33:00Z,VDA2852,"41.688671,32.163105",29024,407,109
1480005117,2016-11-24T16:31:57Z,VDA2852,"41.730312,32.013958",28999,406,109
1480005025,2016-11-24T16:30:25Z,VDA2852,"41.792793,31.784012",29000,404,111
1480004944,2016-11-24T16:29:04Z,VDA2852,"41.850796,31.571129",28950,404,108
1480004904,2016-11-24T16:28:24Z,VDA2852,"41.878456,31.463852",29000,404,108
1480004843,2016-11-24T16:27:23Z,VDA2852,"41.902931,31.370949",29075,400,108
1480004781,2016-11-24T16:26:21Z,VDA2852,"41.942509,31.219221",29075,400,108
1480004715,2016-11-24T16:25:15Z,VDA2852,"41.988251,31.052975",29050,399,108
1480004651,2016-11-24T16:24:11Z,VDA2852,"42.034687,30.877476",29050,398,108
1480004555,2016-11-24T16:22:35Z,VDA2852,"42.08213,30.699492",29050,396,107
1480004524,2016-11-24T16:22:04Z,VDA2852,"42.107815,30.597431",29063,397,109
1480004459,2016-11-24T16:20:59Z,VDA2852,"42.143108,30.456137",29050,397,108
1480004393,2016-11-24T16:19:53Z,VDA2852,"42.189281,30.290758",29050,400,107
1480004315,2016-11-24T16:18:35Z,VDA2852,"42.229259,30.129126",29050,400,106
1480004254,2016-11-24T16:17:34Z,VDA2852,"42.266842,29.962084",28974,405,113
1480004155,2016-11-24T16:15:55Z,VDA2852,"42.32201,29.730827",28950,407,113
1480004142,2016-11-24T16:15:42Z,VDA2852,"42.333607,29.693213",28949,407,113
1480004127,2016-11-24T16:15:27Z,VDA2852,"42.335548,29.685467",28950,408,113
1480004120,2016-11-24T16:15:20Z,VDA2852,"42.34174,29.665829",29000,408,116
1480004079,2016-11-24T16:14:39Z,VDA2852,"42.392788,29.564356",28956,409,127
1480004012,2016-11-24T16:13:32Z,VDA2852,"42.462849,29.443079",28974,411,127
1480003946,2016-11-24T16:12:26Z,VDA2852,"42.543697,29.301683",29000,414,127
1480003883,2016-11-24T16:11:23Z,VDA2852,"42.617687,29.17046",29000,415,126
1480003816,2016-11-24T16:10:16Z,VDA2852,"42.697578,29.027199",29024,416,126
1480003747,2016-11-24T16:09:07Z,VDA2852,"42.771305,28.896391",29050,418,127
1480003686,2016-11-24T16:08:06Z,VDA2852,"42.847298,28.760101",29000,419,126
1480003625,2016-11-24T16:07:05Z,VDA2852,"42.916866,28.633785",29025,419,126
1480003564,2016-11-24T16:06:04Z,VDA2852,"42.98687,28.507883",28999,419,126
1480003503,2016-11-24T16:05:03Z,VDA2852,"43.055954,28.382559",29000,418,125
1480003442,2016-11-24T16:04:02Z,VDA2852,"43.125549,28.252769",28975,420,125
1480003380,2016-11-24T16:03:00Z,VDA2852,"43.199303,28.116734",29000,418,125
1480003319,2016-11-24T16:01:59Z,VDA2852,"43.2682,27.989149",28985,420,125
1480003257,2016-11-24T16:00:57Z,VDA2852,"43.34293,27.85088",29000,422,125
1480003196,2016-11-24T15:59:56Z,VDA2852,"43.412651,27.720352",29000,425,125
1480003134,2016-11-24T15:58:54Z,VDA2852,"43.486877,27.580801",29000,427,125
1480003069,2016-11-24T15:57:49Z,VDA2852,"43.561531,27.439787",29000,430,125
1480003005,2016-11-24T15:56:45Z,VDA2852,"43.63623,27.298117",29024,430,125
1480002942,2016-11-24T15:55:42Z,VDA2852,"43.711147,27.156311",29000,431,125
1480002878,2016-11-24T15:54:38Z,VDA2852,"43.781124,27.022434",28999,432,125
1480002816,2016-11-24T15:53:36Z,VDA2852,"43.861099,26.868141",29000,433,124
1480002752,2016-11-24T15:52:32Z,VDA2852,"43.927975,26.730026",29000,435,122
1480002691,2016-11-24T15:51:31Z,VDA2852,"43.996319,26.584494",29000,435,126
1480002685,2016-11-24T15:51:25Z,VDA2852,"44.006943,26.564865",28999,436,126
1480002676,2016-11-24T15:51:16Z,VDA2852,"44.014702,26.549828",28997,436,131
1480002667,2016-11-24T15:51:07Z,VDA2852,"44.024685,26.533552",29050,436,134
1480002628,2016-11-24T15:50:28Z,VDA2852,"44.08688,26.462999",29025,443,144
1480002566,2016-11-24T15:49:26Z,VDA2852,"44.195198,26.359213",29028,444,144
1480002501,2016-11-24T15:48:21Z,VDA2852,"44.304665,26.254749",29000,446,144
1480002437,2016-11-24T15:47:17Z,VDA2852,"44.412567,26.149786",29024,445,144
1480002376,2016-11-24T15:46:16Z,VDA2852,"44.513351,26.051516",29025,445,144
1480002310,2016-11-24T15:45:10Z,VDA2852,"44.628422,25.938717",29024,445,145
1480002244,2016-11-24T15:44:04Z,VDA2852,"44.736275,25.833389",29000,445,145
1480002180,2016-11-24T15:43:00Z,VDA2852,"44.844074,25.727085",29007,444,144
1480002119,2016-11-24T15:41:59Z,VDA2852,"44.944775,25.626472",29000,444,144
1480002056,2016-11-24T15:40:56Z,VDA2852,"45.058865,25.512997",29000,443,144
1480001992,2016-11-24T15:39:52Z,VDA2852,"45.174343,25.397987",29000,444,144
1480001921,2016-11-24T15:38:41Z,VDA2852,"45.281479,25.291206",29025,443,143
1480001860,2016-11-24T15:37:40Z,VDA2852,"45.382431,25.186682",28999,444,142
1480001854,2016-11-24T15:37:34Z,VDA2852,"45.395569,25.172716",29000,443,142
1480001828,2016-11-24T15:37:08Z,VDA2852,"45.436718,25.128042",29025,443,153
1480001801,2016-11-24T15:36:41Z,VDA2852,"45.481663,25.086342",29025,443,143
1480001737,2016-11-24T15:35:37Z,VDA2852,"45.58926,24.978741",29000,443,144
1480001676,2016-11-24T15:34:36Z,VDA2852,"45.689213,24.878876",29025,443,140
1480001615,2016-11-24T15:33:35Z,VDA2852,"45.789505,24.772821",28999,443,145
1480001553,2016-11-24T15:32:33Z,VDA2852,"45.895813,24.663836",29024,442,143
1480001489,2016-11-24T15:31:29Z,VDA2852,"46.001286,24.55463",29025,442,143
1480001423,2016-11-24T15:30:23Z,VDA2852,"46.107304,24.443996",29000,440,143
1480001362,2016-11-24T15:29:22Z,VDA2852,"46.207478,24.339298",29000,439,143
1480001299,2016-11-24T15:28:19Z,VDA2852,"46.31065,24.22842",28975,438,143
1480001236,2016-11-24T15:27:16Z,VDA2852,"46.415768,24.11932",28975,436,143
1480001173,2016-11-24T15:26:13Z,VDA2852,"46.51963,24.00919",28999,434,143
1480001109,2016-11-24T15:25:09Z,VDA2852,"46.623291,23.898842",29000,432,143
1480001048,2016-11-24T15:24:08Z,VDA2852,"46.720261,23.795296",28975,432,144
1480000985,2016-11-24T15:23:05Z,VDA2852,"46.823048,23.689594",28975,430,136
1480000924,2016-11-24T15:22:04Z,VDA2852,"46.916988,23.581999",28975,428,143
1480000863,2016-11-24T15:21:03Z,VDA2852,"47.012886,23.478861",28974,428,142
1480000802,2016-11-24T15:20:02Z,VDA2852,"47.108418,23.374144",28974,427,142
1480000739,2016-11-24T15:18:59Z,VDA2852,"47.210648,23.261835",28975,428,142
1480000676,2016-11-24T15:17:56Z,VDA2852,"47.310955,23.151379",28975,428,142
1480000614,2016-11-24T15:16:54Z,VDA2852,"47.413078,23.039026",28974,427,142
1480000547,2016-11-24T15:15:47Z,VDA2852,"47.513638,22.926445",28975,428,142
1480000485,2016-11-24T15:14:45Z,VDA2852,"47.614948,22.812981",28974,428,142
1480000423,2016-11-24T15:13:43Z,VDA2852,"47.709755,22.706516",29000,428,141
1480000361,2016-11-24T15:12:41Z,VDA2852,"47.810265,22.592268",28975,428,141
1480000300,2016-11-24T15:11:40Z,VDA2852,"47.904549,22.484907",28972,428,141
1480000237,2016-11-24T15:10:37Z,VDA2852,"47.999153,22.37649",28950,429,141
1480000176,2016-11-24T15:09:36Z,VDA2852,"48.099892,22.260098",28950,430,141
1480000113,2016-11-24T15:08:33Z,VDA2852,"48.201046,22.143112",28975,430,141
1480000052,2016-11-24T15:07:32Z,VDA2852,"48.294964,22.033039",28975,430,140
1479999988,2016-11-24T15:06:28Z,VDA2852,"48.393093,21.912167",28924,433,140
1479999925,2016-11-24T15:05:25Z,VDA2852,"48.496349,21.797911",28975,432,147
1479999861,2016-11-24T15:04:21Z,VDA2852,"48.605747,21.695536",28999,433,147
1479999799,2016-11-24T15:03:19Z,VDA2852,"48.707588,21.600065",29000,435,147
1479999735,2016-11-24T15:02:15Z,VDA2852,"48.817131,21.496227",28999,436,147
1479999672,2016-11-24T15:01:12Z,VDA2852,"48.925694,21.392069",29000,438,147
1479999607,2016-11-24T15:00:07Z,VDA2852,"49.036373,21.287771",29000,438,147
1479999545,2016-11-24T14:59:05Z,VDA2852,"49.146149,21.18232",29005,438,147
1479999482,2016-11-24T14:58:02Z,VDA2852,"49.256462,21.076342",28975,438,147
1479999416,2016-11-24T14:56:56Z,VDA2852,"49.366367,20.971027",29000,438,147
1479999355,2016-11-24T14:55:55Z,VDA2852,"49.468067,20.871326",29000,438,145
1479999292,2016-11-24T14:54:52Z,VDA2852,"49.576618,20.758665",28975,438,145
1479999231,2016-11-24T14:53:51Z,VDA2852,"49.676895,20.653811",28999,439,145
1479999170,2016-11-24T14:52:50Z,VDA2852,"49.777439,20.547873",29000,439,145
1479999109,2016-11-24T14:51:49Z,VDA2852,"49.885712,20.433058",28975,439,145
1479999045,2016-11-24T14:50:45Z,VDA2852,"49.991905,20.32106",29000,437,145
1479998981,2016-11-24T14:49:41Z,VDA2852,"50.099125,20.206976",28977,436,145
1479998917,2016-11-24T14:48:37Z,VDA2852,"50.205418,20.093824",28975,437,144
1479998854,2016-11-24T14:47:34Z,VDA2852,"50.30571,19.985811",28975,440,144
1479998793,2016-11-24T14:46:33Z,VDA2852,"50.412342,19.870787",28975,438,144
1479998732,2016-11-24T14:45:32Z,VDA2852,"50.51268,19.762043",28975,438,144
1479998669,2016-11-24T14:44:29Z,VDA2852,"50.61871,19.646652",28974,437,144
1479998605,2016-11-24T14:43:25Z,VDA2852,"50.725056,19.530642",28975,436,144
1479998544,2016-11-24T14:42:24Z,VDA2852,"50.824085,19.421459",28975,435,144
1479998481,2016-11-24T14:41:21Z,VDA2852,"50.929867,19.303741",29000,436,143
1479998420,2016-11-24T14:40:20Z,VDA2852,"51.029079,19.192032",28994,436,143
1479998353,2016-11-24T14:39:13Z,VDA2852,"51.141098,19.065525",28999,438,143
1479998292,2016-11-24T14:38:12Z,VDA2852,"51.239029,18.95339",28975,437,143
1479998228,2016-11-24T14:37:08Z,VDA2852,"51.344505,18.83342",28975,437,144
1479998162,2016-11-24T14:36:02Z,VDA2852,"51.456532,18.705402",28974,438,143
1479998100,2016-11-24T14:35:00Z,VDA2852,"51.553493,18.592335",28999,438,143
1479998038,2016-11-24T14:33:58Z,VDA2852,"51.660091,18.468119",28997,436,143
1479997976,2016-11-24T14:32:56Z,VDA2852,"51.75811,18.352446",29000,438,142
1479997913,2016-11-24T14:31:53Z,VDA2852,"51.860546,18.2299",28988,439,142
1479997851,2016-11-24T14:30:51Z,VDA2852,"51.960442,18.112402",29000,438,142
1479997789,2016-11-24T14:29:49Z,VDA2852,"52.065037,17.987383",28999,440,142
1479997725,2016-11-24T14:28:45Z,VDA2852,"52.170216,17.860306",28974,441,142
1479997664,2016-11-24T14:27:44Z,VDA2852,"52.268833,17.740557",29000,441,142
1479997603,2016-11-24T14:26:43Z,VDA2852,"52.367207,17.620464",28978,444,143
1479997541,2016-11-24T14:25:41Z,VDA2852,"52.472473,17.492449",28975,443,142
1479997476,2016-11-24T14:24:36Z,VDA2852,"52.577168,17.3627",28994,444,142
1479997413,2016-11-24T14:23:33Z,VDA2852,"52.681877,17.232594",28999,446,142
1479997350,2016-11-24T14:22:30Z,VDA2852,"52.781345,17.108463",29000,446,142
1479997288,2016-11-24T14:21:28Z,VDA2852,"52.886761,16.975771",28999,448,141
1479997224,2016-11-24T14:20:24Z,VDA2852,"52.991325,16.843668",29025,449,141
1479997160,2016-11-24T14:19:20Z,VDA2852,"53.098148,16.707722",29024,449,141
1479997097,2016-11-24T14:18:17Z,VDA2852,"53.202679,16.573298",28999,450,141
1479997032,2016-11-24T14:17:12Z,VDA2852,"53.309032,16.436424",29025,449,141
1479996971,2016-11-24T14:16:11Z,VDA2852,"53.406475,16.309793",29001,449,141
1479996910,2016-11-24T14:15:10Z,VDA2852,"53.503754,16.182335",29000,449,141
1479996848,2016-11-24T14:14:08Z,VDA2852,"53.609863,16.043577",29025,450,141
1479996782,2016-11-24T14:13:02Z,VDA2852,"53.715694,15.906654",29025,448,141
1479996721,2016-11-24T14:12:01Z,VDA2852,"53.820595,15.76979",29007,448,141
1479996657,2016-11-24T14:10:57Z,VDA2852,"53.925587,15.631882",29000,449,141
1479996592,2016-11-24T14:09:52Z,VDA2852,"54.029984,15.493788",29000,448,141
1479996529,2016-11-24T14:08:49Z,VDA2852,"54.135136,15.354095",28975,448,141
1479996463,2016-11-24T14:07:43Z,VDA2852,"54.23912,15.214896",28974,447,141
1479996402,2016-11-24T14:06:42Z,VDA2852,"54.336395,15.084224",28999,447,140
1479996340,2016-11-24T14:05:40Z,VDA2852,"54.440376,14.943761",29006,445,140
1479996277,2016-11-24T14:04:37Z,VDA2852,"54.543915,14.802231",28999,447,140
1479996211,2016-11-24T14:03:31Z,VDA2852,"54.646313,14.661128",28975,446,140
1479996149,2016-11-24T14:02:29Z,VDA2852,"54.750263,14.516533",28974,446,140
1479996085,2016-11-24T14:01:25Z,VDA2852,"54.853008,14.373042",28976,445,140
1479996024,2016-11-24T14:00:24Z,VDA2852,"54.948086,14.238405",28949,446,139
1479995963,2016-11-24T13:59:23Z,VDA2852,"55.049702,14.093311",28950,447,140
1479995902,2016-11-24T13:58:22Z,VDA2852,"55.139256,13.965958",28975,448,139
