Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1480537105,2016-11-30T20:18:25Z,VDA6920,"41.26524,40.102188",32975,397,148
1480537049,2016-11-30T20:17:29Z,VDA6920,"41.347191,40.035313",32975,395,148
1480536985,2016-11-30T20:16:25Z,VDA6920,"41.44595,39.955845",32991,394,148
1480536923,2016-11-30T20:15:23Z,VDA6920,"41.540585,39.881565",32975,396,148
1480536862,2016-11-30T20:14:22Z,VDA6920,"41.661751,39.781857",32950,397,140
1480536801,2016-11-30T20:13:21Z,VDA6920,"41.754635,39.701363",33025,398,140
1480536733,2016-11-30T20:12:13Z,VDA6920,"41.85083,39.617588",33025,402,134
1480536724,2016-11-30T20:12:04Z,VDA6920,"41.867149,39.601692",33025,402,134
1480536663,2016-11-30T20:11:03Z,VDA6920,"41.993206,39.489567",32975,402,165
1480536631,2016-11-30T20:10:31Z,VDA6920,"42.018959,39.47131",33000,404,165
1480536609,2016-11-30T20:10:09Z,VDA6920,"42.068146,39.447262",32950,404,168
1480536536,2016-11-30T20:08:56Z,VDA6920,"42.178757,39.412251",33000,386,168
1480536445,2016-11-30T20:07:25Z,VDA6920,"42.326256,39.37574",33000,382,169
1480536380,2016-11-30T20:06:20Z,VDA6920,"42.451958,39.342308",32975,385,169
1480536300,2016-11-30T20:05:00Z,VDA6920,"42.591724,39.305199",33025,386,171
1480536284,2016-11-30T20:04:44Z,VDA6920,"42.608929,39.302586",33025,387,168
1480536223,2016-11-30T20:03:43Z,VDA6920,"42.713734,39.275185",33025,387,169
1480536159,2016-11-30T20:02:39Z,VDA6920,"42.825939,39.247322",33025,384,169
1480536097,2016-11-30T20:01:37Z,VDA6920,"42.929916,39.220131",33050,381,167
1480536035,2016-11-30T20:00:35Z,VDA6920,"43.041996,39.188522",33025,380,166
1480535973,2016-11-30T19:59:33Z,VDA6920,"43.157902,39.150318",33025,378,162
1480535901,2016-11-30T19:58:21Z,VDA6920,"43.276707,39.105915",32999,372,169
1480535875,2016-11-30T19:57:55Z,VDA6920,"43.321873,39.098267",33025,369,187
