Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498928345,2017-07-01T16:59:05Z,VDA7946,"33.268867,44.222839",0,24,241
1498928275,2017-07-01T16:57:55Z,VDA7946,"33.271568,44.228443",0,17,239
1498928263,2017-07-01T16:57:43Z,VDA7946,"33.272026,44.229401",0,17,239
1498928238,2017-07-01T16:57:18Z,VDA7946,"33.272934,44.231266",0,15,331
1498928232,2017-07-01T16:57:12Z,VDA7946,"33.273167,44.231754",0,30,331
1498928217,2017-07-01T16:56:57Z,VDA7946,"33.273525,44.232498",0,27,331
1498928185,2017-07-01T16:56:25Z,VDA7946,"33.27441,44.234291",0,26,331
1498928166,2017-07-01T16:56:06Z,VDA7946,"33.274223,44.235146",0,22,331
1498928160,2017-07-01T16:56:00Z,VDA7946,"33.27396,44.235325",0,26,331
1498928154,2017-07-01T16:55:54Z,VDA7946,"33.273666,44.235538",0,30,331
1498928118,2017-07-01T16:55:18Z,VDA7946,"33.271431,44.23708",0,18,331
1498928106,2017-07-01T16:55:06Z,VDA7946,"33.270527,44.237701",0,17,329
1498928099,2017-07-01T16:54:59Z,VDA7946,"33.270161,44.237961",0,17,329
1498928090,2017-07-01T16:54:50Z,VDA7946,"33.269638,44.238316",0,17,329
1498928050,2017-07-01T16:54:10Z,VDA7946,"33.267033,44.240108",0,15,174
1498928023,2017-07-01T16:53:43Z,VDA7946,"33.265251,44.241325",0,34,174
1498928011,2017-07-01T16:53:31Z,VDA7946,"33.264587,44.241776",0,33,174
1498927996,2017-07-01T16:53:16Z,VDA7946,"33.263763,44.242352",0,32,174
1498927990,2017-07-01T16:53:10Z,VDA7946,"33.263351,44.24263",0,30,174
1498927981,2017-07-01T16:53:01Z,VDA7946,"33.262947,44.242897",0,21,174
1498927965,2017-07-01T16:52:45Z,VDA7946,"33.262623,44.243134",0,13,174
1498927893,2017-07-01T16:51:33Z,VDA7946,"33.263481,44.244019",0,27,174
1498927883,2017-07-01T16:51:23Z,VDA7946,"33.264061,44.243988",0,15,174
1498927871,2017-07-01T16:51:11Z,VDA7946,"33.265057,44.243782",0,18,163
1498927862,2017-07-01T16:51:02Z,VDA7946,"33.266018,44.243359",0,24,154
1498927820,2017-07-01T16:50:20Z,VDA7946,"33.279125,44.234375",575,148,150
1498927808,2017-07-01T16:50:08Z,VDA7946,"33.287598,44.228714",725,148,150
1498927796,2017-07-01T16:49:56Z,VDA7946,"33.294254,44.224117",875,147,150
1498927789,2017-07-01T16:49:49Z,VDA7946,"33.297699,44.221931",925,146,150
1498927783,2017-07-01T16:49:43Z,VDA7946,"33.301071,44.219532",1000,147,150
1498927777,2017-07-01T16:49:37Z,VDA7946,"33.30468,44.217056",1075,147,150
1498927771,2017-07-01T16:49:31Z,VDA7946,"33.308395,44.214642",1150,147,150
1498927765,2017-07-01T16:49:25Z,VDA7946,"33.311802,44.212181",1225,147,149
1498927759,2017-07-01T16:49:19Z,VDA7946,"33.315262,44.209808",1300,147,149
1498927753,2017-07-01T16:49:13Z,VDA7946,"33.318878,44.207283",1375,147,149
1498927744,2017-07-01T16:49:04Z,VDA7946,"33.3246,44.203381",1475,149,150
1498927738,2017-07-01T16:48:58Z,VDA7946,"33.328281,44.20097",1550,149,151
1498927732,2017-07-01T16:48:52Z,VDA7946,"33.331924,44.198601",1650,149,151
1498927725,2017-07-01T16:48:45Z,VDA7946,"33.335732,44.196037",1725,150,151
1498927719,2017-07-01T16:48:39Z,VDA7946,"33.339596,44.193569",1825,149,150
1498927713,2017-07-01T16:48:33Z,VDA7946,"33.343227,44.191158",1900,149,150
1498927707,2017-07-01T16:48:27Z,VDA7946,"33.346718,44.188805",1975,148,153
1498927700,2017-07-01T16:48:20Z,VDA7946,"33.350491,44.186619",2050,149,155
1498927692,2017-07-01T16:48:12Z,VDA7946,"33.356354,44.183033",2125,150,147
1498927686,2017-07-01T16:48:06Z,VDA7946,"33.359844,44.180454",2175,150,147
1498927680,2017-07-01T16:48:00Z,VDA7946,"33.363338,44.178101",2250,148,159
1498927674,2017-07-01T16:47:54Z,VDA7946,"33.367668,44.176811",2300,145,174
1498927668,2017-07-01T16:47:48Z,VDA7946,"33.372253,44.176411",2350,145,179
1498927661,2017-07-01T16:47:41Z,VDA7946,"33.376141,44.176643",2375,147,190
1498927655,2017-07-01T16:47:35Z,VDA7946,"33.379761,44.178223",2450,155,210
1498927649,2017-07-01T16:47:29Z,VDA7946,"33.383377,44.181519",2500,163,227
1498927640,2017-07-01T16:47:20Z,VDA7946,"33.386986,44.188412",2550,166,248
1498927634,2017-07-01T16:47:14Z,VDA7946,"33.388687,44.193825",2550,166,250
1498927628,2017-07-01T16:47:08Z,VDA7946,"33.390244,44.198986",2550,166,250
1498927622,2017-07-01T16:47:02Z,VDA7946,"33.391827,44.204445",2550,166,251
1498927616,2017-07-01T16:46:56Z,VDA7946,"33.393597,44.210049",2525,166,251
1498927610,2017-07-01T16:46:50Z,VDA7946,"33.394821,44.215027",2525,165,251
1498927604,2017-07-01T16:46:44Z,VDA7946,"33.396297,44.220364",2525,165,251
1498927598,2017-07-01T16:46:38Z,VDA7946,"33.397751,44.225574",2500,165,251
1498927592,2017-07-01T16:46:32Z,VDA7946,"33.399216,44.230736",2500,165,251
1498927585,2017-07-01T16:46:25Z,VDA7946,"33.400681,44.236012",2500,165,251
1498927577,2017-07-01T16:46:17Z,VDA7946,"33.402954,44.244186",2475,166,251
1498927570,2017-07-01T16:46:10Z,VDA7946,"33.404343,44.249138",2475,165,251
1498927564,2017-07-01T16:46:04Z,VDA7946,"33.406128,44.254799",2475,166,251
1498927558,2017-07-01T16:45:58Z,VDA7946,"33.407318,44.259796",2475,167,251
1498927552,2017-07-01T16:45:52Z,VDA7946,"33.408829,44.265068",2450,168,251
1498927546,2017-07-01T16:45:46Z,VDA7946,"33.410431,44.270729",2450,169,251
1498927540,2017-07-01T16:45:40Z,VDA7946,"33.412029,44.276192",2450,170,250
1498927534,2017-07-01T16:45:34Z,VDA7946,"33.413521,44.281292",2425,170,250
1498927528,2017-07-01T16:45:28Z,VDA7946,"33.415382,44.286953",2425,172,251
1498927522,2017-07-01T16:45:22Z,VDA7946,"33.41684,44.292591",2425,173,250
1498927516,2017-07-01T16:45:16Z,VDA7946,"33.41864,44.297771",2450,172,249
1498927510,2017-07-01T16:45:10Z,VDA7946,"33.420223,44.303265",2500,170,248
1498927504,2017-07-01T16:45:04Z,VDA7946,"33.422012,44.308575",2600,167,247
1498927498,2017-07-01T16:44:58Z,VDA7946,"33.42366,44.313354",2700,164,248
1498927492,2017-07-01T16:44:52Z,VDA7946,"33.425446,44.318794",2800,166,249
1498927485,2017-07-01T16:44:45Z,VDA7946,"33.426926,44.32423",2925,169,254
1498927477,2017-07-01T16:44:37Z,VDA7946,"33.428741,44.332355",3125,168,254
