Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499648295,2017-07-10T00:58:15Z,VDA7988,"31.824326,36.982838",5075,169,287
1499648289,2017-07-10T00:58:09Z,VDA7988,"31.822357,36.989647",5125,176,288
1499648283,2017-07-10T00:58:03Z,VDA7988,"31.821062,36.994164",5150,182,288
1499648277,2017-07-10T00:57:57Z,VDA7988,"31.819292,37.000046",5125,193,289
1499648271,2017-07-10T00:57:51Z,VDA7988,"31.817459,37.005798",5125,201,291
1499648265,2017-07-10T00:57:45Z,VDA7988,"31.815079,37.012337",5150,204,297
1499648259,2017-07-10T00:57:39Z,VDA7988,"31.810776,37.020081",5150,205,314
1499648253,2017-07-10T00:57:33Z,VDA7988,"31.808533,37.022663",5150,205,320
1499648247,2017-07-10T00:57:27Z,VDA7988,"31.803743,37.026615",5125,204,330
1499648235,2017-07-10T00:57:15Z,VDA7988,"31.793701,37.033211",5100,202,330
1499648211,2017-07-10T00:56:51Z,VDA7988,"31.773624,37.046291",5050,199,331
1499648186,2017-07-10T00:56:26Z,VDA7988,"31.752211,37.053589",5150,203,9
1499648180,2017-07-10T00:56:20Z,VDA7988,"31.744949,37.051117",5250,202,32
1499648174,2017-07-10T00:56:14Z,VDA7988,"31.741829,37.048809",5325,203,37
1499648168,2017-07-10T00:56:08Z,VDA7988,"31.73735,37.044174",5450,206,50
1499648159,2017-07-10T00:55:59Z,VDA7988,"31.733124,37.035408",5675,211,71
1499648152,2017-07-10T00:55:52Z,VDA7988,"31.731449,37.027771",5800,215,82
1499648140,2017-07-10T00:55:40Z,VDA7988,"31.730164,37.013908",6075,218,83
1499648128,2017-07-10T00:55:28Z,VDA7988,"31.728703,36.998657",6375,219,83
1499648116,2017-07-10T00:55:16Z,VDA7988,"31.727259,36.984375",6650,219,83
1499648104,2017-07-10T00:55:04Z,VDA7988,"31.725863,36.970203",6950,219,83
1499648092,2017-07-10T00:54:52Z,VDA7988,"31.724533,36.956608",7225,219,83
1499648080,2017-07-10T00:54:40Z,VDA7988,"31.723022,36.94239",7550,218,82
1499648067,2017-07-10T00:54:27Z,VDA7988,"31.721346,36.92807",7825,218,82
1499648055,2017-07-10T00:54:15Z,VDA7988,"31.71953,36.913513",8075,221,82
1499648044,2017-07-10T00:54:04Z,VDA7988,"31.717896,36.89909",8125,228,82
1499648031,2017-07-10T00:53:51Z,VDA7988,"31.716227,36.884014",8125,233,82
1499648025,2017-07-10T00:53:45Z,VDA7988,"31.715378,36.876095",8125,234,82
1499648001,2017-07-10T00:53:21Z,VDA7988,"31.713318,36.845829",8125,232,96
1499647995,2017-07-10T00:53:15Z,VDA7988,"31.714645,36.83802",8125,233,107
1499647985,2017-07-10T00:53:05Z,VDA7988,"31.718719,36.827789",8125,234,121
1499647973,2017-07-10T00:52:53Z,VDA7988,"31.726181,36.81443",8125,236,122
1499647961,2017-07-10T00:52:41Z,VDA7988,"31.733171,36.801178",8125,237,122
1499647949,2017-07-10T00:52:29Z,VDA7988,"31.74062,36.788158",8125,238,123
1499647937,2017-07-10T00:52:17Z,VDA7988,"31.747879,36.774849",8025,248,123
1499647924,2017-07-10T00:52:04Z,VDA7988,"31.756027,36.760414",7975,262,122
1499647912,2017-07-10T00:51:52Z,VDA7988,"31.763943,36.745369",8050,264,121
1499647900,2017-07-10T00:51:40Z,VDA7988,"31.772049,36.729988",8100,269,121
1499647888,2017-07-10T00:51:28Z,VDA7988,"31.780426,36.714439",8150,277,121
1499647875,2017-07-10T00:51:15Z,VDA7988,"31.788382,36.698875",8225,286,119
1499647863,2017-07-10T00:51:03Z,VDA7988,"31.796434,36.681667",8375,292,118
1499647851,2017-07-10T00:50:51Z,VDA7988,"31.804276,36.665169",8600,294,118
1499647839,2017-07-10T00:50:39Z,VDA7988,"31.812149,36.648304",9075,291,118
1499647827,2017-07-10T00:50:27Z,VDA7988,"31.819931,36.631054",9525,291,117
1499647816,2017-07-10T00:50:16Z,VDA7988,"31.827347,36.614407",10000,291,117
