Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500660492,2017-07-21T18:08:12Z,VDA4960,"43.625004,1.375159",0,10,143
1500660473,2017-07-21T18:07:53Z,VDA4960,"43.62521,1.374952",0,15,143
1500660461,2017-07-21T18:07:41Z,VDA4960,"43.625404,1.374728",0,14,143
1500660444,2017-07-21T18:07:24Z,VDA4960,"43.625195,1.374256",0,17,143
1500660434,2017-07-21T18:07:14Z,VDA4960,"43.624985,1.374043",0,16,143
1500660408,2017-07-21T18:06:48Z,VDA4960,"43.624928,1.373781",0,0,109
1500660393,2017-07-21T18:06:33Z,VDA4960,"43.625046,1.373569",0,19,143
1500660384,2017-07-21T18:06:24Z,VDA4960,"43.625267,1.373356",0,18,143
1500660377,2017-07-21T18:06:17Z,VDA4960,"43.625465,1.373144",0,30,143
1500660369,2017-07-21T18:06:09Z,VDA4960,"43.626125,1.372461",0,17,143
1500660362,2017-07-21T18:06:02Z,VDA4960,"43.626335,1.372245",0,17,143
1500660356,2017-07-21T18:05:56Z,VDA4960,"43.627045,1.371673",0,17,143
1500660350,2017-07-21T18:05:50Z,VDA4960,"43.627151,1.371395",0,16,143
1500660344,2017-07-21T18:05:44Z,VDA4960,"43.627544,1.370976",0,15,354
1500660212,2017-07-21T18:03:32Z,VDA4960,"43.629375,1.366261",0,16,354
1500660180,2017-07-21T18:03:00Z,VDA4960,"43.625965,1.369465",0,59,320
1500660170,2017-07-21T18:02:50Z,VDA4960,"43.623543,1.372016",0,92,323
1500660164,2017-07-21T18:02:44Z,VDA4960,"43.620796,1.37473",0,115,323
1500660158,2017-07-21T18:02:38Z,VDA4960,"43.618515,1.37728",525,125,323
1500660149,2017-07-21T18:02:29Z,VDA4960,"43.614304,1.381722",600,128,322
1500660121,2017-07-21T18:02:01Z,VDA4960,"43.599838,1.396413",950,126,322
1500660114,2017-07-21T18:01:54Z,VDA4960,"43.597752,1.39886",1000,126,322
1500660102,2017-07-21T18:01:42Z,VDA4960,"43.59169,1.405164",1125,126,323
1500660094,2017-07-21T18:01:34Z,VDA4960,"43.588444,1.408539",1200,125,323
1500660085,2017-07-21T18:01:25Z,VDA4960,"43.584301,1.412789",1275,125,323
1500660076,2017-07-21T18:01:16Z,VDA4960,"43.57988,1.417236",1375,125,323
1500660070,2017-07-21T18:01:10Z,VDA4960,"43.576675,1.420238",1450,126,323
1500660064,2017-07-21T18:01:04Z,VDA4960,"43.573685,1.423383",1550,127,323
1500660057,2017-07-21T18:00:57Z,VDA4960,"43.57132,1.425795",1600,127,323
1500660049,2017-07-21T18:00:49Z,VDA4960,"43.566051,1.430969",1675,132,322
1500660040,2017-07-21T18:00:40Z,VDA4960,"43.561935,1.435504",1750,129,320
1500660033,2017-07-21T18:00:33Z,VDA4960,"43.559372,1.438442",1800,127,319
1500660025,2017-07-21T18:00:25Z,VDA4960,"43.555763,1.44274",1875,123,320
1500660016,2017-07-21T18:00:16Z,VDA4960,"43.551453,1.44764",2000,123,320
1500660010,2017-07-21T18:00:10Z,VDA4960,"43.549164,1.450195",2050,124,322
1500660001,2017-07-21T18:00:01Z,VDA4960,"43.54501,1.454511",2150,127,323
1500659994,2017-07-21T17:59:54Z,VDA4960,"43.542023,1.457413",2200,131,323
1500659988,2017-07-21T17:59:48Z,VDA4960,"43.538773,1.460724",2300,133,323
1500659980,2017-07-21T17:59:40Z,VDA4960,"43.534607,1.465078",2450,133,324
1500659973,2017-07-21T17:59:33Z,VDA4960,"43.531418,1.468114",2550,133,325
1500659965,2017-07-21T17:59:25Z,VDA4960,"43.52681,1.472299",2700,134,328
1500659956,2017-07-21T17:59:16Z,VDA4960,"43.522064,1.476448",2825,137,326
1500659950,2017-07-21T17:59:10Z,VDA4960,"43.51894,1.479296",2925,136,325
1500659944,2017-07-21T17:59:04Z,VDA4960,"43.515793,1.482388",2975,136,323
1500659937,2017-07-21T17:58:57Z,VDA4960,"43.512329,1.485901",3025,137,320
1500659929,2017-07-21T17:58:49Z,VDA4960,"43.508282,1.49074",3100,145,318
1500659922,2017-07-21T17:58:42Z,VDA4960,"43.505081,1.494524",3125,150,316
1500659913,2017-07-21T17:58:33Z,VDA4960,"43.500412,1.500876",3175,160,316
1500659905,2017-07-21T17:58:25Z,VDA4960,"43.495285,1.507299",3150,175,318
1500659898,2017-07-21T17:58:18Z,VDA4960,"43.491474,1.511666",3100,187,321
1500659892,2017-07-21T17:58:12Z,VDA4960,"43.486954,1.516049",3075,194,325
1500659884,2017-07-21T17:58:04Z,VDA4960,"43.480042,1.522245",3075,197,329
1500659877,2017-07-21T17:57:57Z,VDA4960,"43.475414,1.525988",3050,197,327
1500659871,2017-07-21T17:57:51Z,VDA4960,"43.470886,1.53074",3025,198,314
1500659865,2017-07-21T17:57:45Z,VDA4960,"43.467453,1.536974",3025,197,294
1500659859,2017-07-21T17:57:39Z,VDA4960,"43.465546,1.543579",3025,198,279
1500659853,2017-07-21T17:57:33Z,VDA4960,"43.465302,1.551436",3000,200,265
1500659845,2017-07-21T17:57:25Z,VDA4960,"43.467545,1.562103",3025,206,240
1500659838,2017-07-21T17:57:18Z,VDA4960,"43.471317,1.568691",3075,210,218
1500659832,2017-07-21T17:57:12Z,VDA4960,"43.475922,1.572897",3175,208,204
1500659826,2017-07-21T17:57:06Z,VDA4960,"43.481838,1.575557",3325,210,190
1500659820,2017-07-21T17:57:00Z,VDA4960,"43.488098,1.576794",3475,211,186
1500659814,2017-07-21T17:56:54Z,VDA4960,"43.493618,1.57765",3600,210,186
1500659808,2017-07-21T17:56:48Z,VDA4960,"43.499344,1.578435",3725,210,185
1500659800,2017-07-21T17:56:40Z,VDA4960,"43.507828,1.579732",3900,213,185
1500659793,2017-07-21T17:56:33Z,VDA4960,"43.513916,1.580498",3975,215,185
1500659785,2017-07-21T17:56:25Z,VDA4960,"43.523178,1.581835",4075,219,186
1500659778,2017-07-21T17:56:18Z,VDA4960,"43.529114,1.582798",4150,219,186
1500659772,2017-07-21T17:56:12Z,VDA4960,"43.535065,1.58382",4175,222,186
1500659764,2017-07-21T17:56:04Z,VDA4960,"43.544823,1.585301",4250,222,186
1500659757,2017-07-21T17:55:57Z,VDA4960,"43.550179,1.586151",4300,220,187
1500659751,2017-07-21T17:55:51Z,VDA4960,"43.556835,1.587328",4400,217,187
1500659745,2017-07-21T17:55:45Z,VDA4960,"43.562187,1.588309",4500,213,187
1500659739,2017-07-21T17:55:39Z,VDA4960,"43.568707,1.589552",4650,214,188
1500659733,2017-07-21T17:55:33Z,VDA4960,"43.57415,1.590598",4750,214,187
1500659725,2017-07-21T17:55:25Z,VDA4960,"43.583042,1.592233",4950,215,187
1500659712,2017-07-21T17:55:12Z,VDA4960,"43.595123,1.594295",5150,219,187
1500659700,2017-07-21T17:55:00Z,VDA4960,"43.60767,1.596549",5250,225,187
1500659688,2017-07-21T17:54:48Z,VDA4960,"43.619751,1.598702",5375,223,187
1500659676,2017-07-21T17:54:36Z,VDA4960,"43.632576,1.600996",5550,222,187
1500659664,2017-07-21T17:54:24Z,VDA4960,"43.64463,1.603154",5700,229,187
1500659652,2017-07-21T17:54:12Z,VDA4960,"43.6572,1.605443",6050,225,186
1500659640,2017-07-21T17:54:00Z,VDA4960,"43.670189,1.607535",6250,232,186
1500659628,2017-07-21T17:53:48Z,VDA4960,"43.68383,1.609693",6475,238,186
1500659616,2017-07-21T17:53:36Z,VDA4960,"43.696629,1.611655",6625,244,185
1500659604,2017-07-21T17:53:24Z,VDA4960,"43.710598,1.613551",6775,249,185
1500659592,2017-07-21T17:53:12Z,VDA4960,"43.724762,1.615373",6850,256,185
1500659580,2017-07-21T17:53:00Z,VDA4960,"43.737968,1.617279",6950,259,185
1500659568,2017-07-21T17:52:48Z,VDA4960,"43.752865,1.619372",7075,264,185
1500659556,2017-07-21T17:52:36Z,VDA4960,"43.767715,1.621072",7200,268,184
1500659544,2017-07-21T17:52:24Z,VDA4960,"43.782799,1.622641",7325,273,184
1500659532,2017-07-21T17:52:12Z,VDA4960,"43.798416,1.624316",7475,276,184
1500659520,2017-07-21T17:52:00Z,VDA4960,"43.813751,1.625849",7700,277,183
1500659508,2017-07-21T17:51:48Z,VDA4960,"43.828995,1.627254",7925,278,183
1500659495,2017-07-21T17:51:35Z,VDA4960,"43.844246,1.628331",8175,278,182
1500659483,2017-07-21T17:51:23Z,VDA4960,"43.859619,1.62949",8400,278,183
1500659471,2017-07-21T17:51:11Z,VDA4960,"43.875595,1.630703",8650,279,182
1500659460,2017-07-21T17:51:00Z,VDA4960,"43.891068,1.631342",8900,278,181
1500659454,2017-07-21T17:50:54Z,VDA4960,"43.898434,1.631731",9025,277,182
1500659447,2017-07-21T17:50:47Z,VDA4960,"43.906403,1.632172",9150,277,181
1500659439,2017-07-21T17:50:39Z,VDA4960,"43.918533,1.632108",9275,281,176
1500659426,2017-07-21T17:50:26Z,VDA4960,"43.934052,1.629554",9475,286,171
1500659415,2017-07-21T17:50:15Z,VDA4960,"43.949707,1.62636",9750,285,171
1500659402,2017-07-21T17:50:02Z,VDA4960,"43.965134,1.623358",9975,286,171
1500659391,2017-07-21T17:49:51Z,VDA4960,"43.980785,1.620156",10225,286,171
1500659379,2017-07-21T17:49:39Z,VDA4960,"43.996658,1.616821",10500,286,171
1500659366,2017-07-21T17:49:26Z,VDA4960,"44.012535,1.613617",10800,283,171
1500659355,2017-07-21T17:49:15Z,VDA4960,"44.027851,1.610282",11150,279,170
1500659342,2017-07-21T17:49:02Z,VDA4960,"44.043259,1.606554",11425,278,170
1500659336,2017-07-21T17:48:56Z,VDA4960,"44.051331,1.604834",11550,277,172
1500659330,2017-07-21T17:48:50Z,VDA4960,"44.058289,1.603493",11675,277,172
1500659324,2017-07-21T17:48:44Z,VDA4960,"44.066574,1.602152",11825,276,173
1500659318,2017-07-21T17:48:38Z,VDA4960,"44.073845,1.601192",11925,276,176
1500659310,2017-07-21T17:48:30Z,VDA4960,"44.086178,1.60165",12025,273,189
1500659285,2017-07-21T17:48:05Z,VDA4960,"44.114204,1.617868",12075,277,206
1500659252,2017-07-21T17:47:32Z,VDA4960,"44.152084,1.644692",12050,281,207
1500659219,2017-07-21T17:46:59Z,VDA4960,"44.190502,1.67208",12100,275,207
1500659186,2017-07-21T17:46:26Z,VDA4960,"44.227982,1.69863",12550,281,208
1500659150,2017-07-21T17:45:50Z,VDA4960,"44.270782,1.728646",13150,286,206
1500659144,2017-07-21T17:45:44Z,VDA4960,"44.279205,1.734597",13350,286,205
1500659115,2017-07-21T17:45:15Z,VDA4960,"44.316891,1.743343",14000,301,171
1500659082,2017-07-21T17:44:42Z,VDA4960,"44.361603,1.733289",14600,307,170
1500659051,2017-07-21T17:44:11Z,VDA4960,"44.405136,1.72348",15250,310,169
1500659019,2017-07-21T17:43:39Z,VDA4960,"44.451103,1.713532",15925,314,170
1500658986,2017-07-21T17:43:06Z,VDA4960,"44.49905,1.70268",16625,317,170
1500658922,2017-07-21T17:42:02Z,VDA4960,"44.592388,1.681444",18100,325,170
1500658859,2017-07-21T17:40:59Z,VDA4960,"44.68568,1.660677",19775,327,170
1500658797,2017-07-21T17:39:57Z,VDA4960,"44.781326,1.638402",21250,337,170
1500658736,2017-07-21T17:38:56Z,VDA4960,"44.87645,1.617083",22550,353,170
1500658673,2017-07-21T17:37:53Z,VDA4960,"44.978119,1.593672",24350,357,171
1500658610,2017-07-21T17:36:50Z,VDA4960,"45.082119,1.569638",26100,365,170
1500658547,2017-07-21T17:35:47Z,VDA4960,"45.190109,1.544822",27775,379,170
1500658484,2017-07-21T17:34:44Z,VDA4960,"45.301285,1.51886",29100,403,170
1500658421,2017-07-21T17:33:41Z,VDA4960,"45.41954,1.491525",30250,395,170
1500658349,2017-07-21T17:32:29Z,VDA4960,"45.547668,1.461383",31025,398,170
1500658288,2017-07-21T17:31:28Z,VDA4960,"45.656807,1.435707",31000,398,170
1500658210,2017-07-21T17:30:10Z,VDA4960,"45.795578,1.402817",31000,389,170
1500658147,2017-07-21T17:29:07Z,VDA4960,"45.907627,1.376106",30950,382,170
1500658085,2017-07-21T17:28:05Z,VDA4960,"46.017334,1.350247",30950,380,170
1500658021,2017-07-21T17:27:01Z,VDA4960,"46.126423,1.324196",30975,378,170
1500657959,2017-07-21T17:25:59Z,VDA4960,"46.235596,1.297927",30975,375,170
1500657895,2017-07-21T17:24:55Z,VDA4960,"46.343403,1.272079",30975,374,170
1500657834,2017-07-21T17:23:54Z,VDA4960,"46.447449,1.24688",30975,374,170
1500657771,2017-07-21T17:22:51Z,VDA4960,"46.554657,1.220787",30975,374,170
1500657709,2017-07-21T17:21:49Z,VDA4960,"46.662415,1.194361",31000,374,170
1500657645,2017-07-21T17:20:45Z,VDA4960,"46.769775,1.168259",30975,374,170
1500657582,2017-07-21T17:19:42Z,VDA4960,"46.877289,1.141548",30975,375,169
1500657520,2017-07-21T17:18:40Z,VDA4960,"46.985046,1.114838",31000,373,171
1500657456,2017-07-21T17:17:36Z,VDA4960,"47.092754,1.089196",31000,373,170
1500657394,2017-07-21T17:16:34Z,VDA4960,"47.204041,1.06217",31000,375,170
1500657329,2017-07-21T17:15:29Z,VDA4960,"47.3116,1.03617",30975,375,171
1500657259,2017-07-21T17:14:19Z,VDA4960,"47.430542,1.007309",31025,383,170
1500657197,2017-07-21T17:13:17Z,VDA4960,"47.540131,0.980255",31000,374,170
1500657133,2017-07-21T17:12:13Z,VDA4960,"47.648071,0.953751",31000,374,170
1500657070,2017-07-21T17:11:10Z,VDA4960,"47.75864,0.926302",31000,374,170
1500657007,2017-07-21T17:10:07Z,VDA4960,"47.861801,0.897308",31025,377,165
1500656945,2017-07-21T17:09:05Z,VDA4960,"47.968781,0.85659",31025,377,165
1500656884,2017-07-21T17:08:04Z,VDA4960,"48.071869,0.816971",31025,376,165
1500656820,2017-07-21T17:07:00Z,VDA4960,"48.17812,0.775837",31000,376,165
1500656757,2017-07-21T17:05:57Z,VDA4960,"48.286167,0.733916",31025,375,165
1500656694,2017-07-21T17:04:54Z,VDA4960,"48.388824,0.69404",31000,374,165
1500656632,2017-07-21T17:03:52Z,VDA4960,"48.494907,0.652169",31000,375,165
1500656569,2017-07-21T17:02:49Z,VDA4960,"48.601318,0.610164",31025,374,165
1500656507,2017-07-21T17:01:47Z,VDA4960,"48.703278,0.569988",31025,373,165
1500656445,2017-07-21T17:00:45Z,VDA4960,"48.808437,0.528211",31025,374,165
1500656384,2017-07-21T16:59:44Z,VDA4960,"48.908112,0.488328",31025,375,165
1500656321,2017-07-21T16:58:41Z,VDA4960,"49.01606,0.444946",31000,376,165
1500656259,2017-07-21T16:57:39Z,VDA4960,"49.12006,0.402952",31000,375,165
