Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501538133,2017-07-31T21:55:33Z,VDA7986,"51.432007,12.23217",0,30,264
1501538127,2017-07-31T21:55:27Z,VDA7986,"51.432072,12.233443",0,30,267
1501538118,2017-07-31T21:55:18Z,VDA7986,"51.432194,12.236023",0,34,267
1501538112,2017-07-31T21:55:12Z,VDA7986,"51.43224,12.237091",0,38,267
1501538103,2017-07-31T21:55:03Z,VDA7986,"51.432392,12.240524",0,55,264
1501538097,2017-07-31T21:54:57Z,VDA7986,"51.432529,12.243195",0,69,264
1501538088,2017-07-31T21:54:48Z,VDA7986,"51.432747,12.248308",0,96,267
1501538082,2017-07-31T21:54:42Z,VDA7986,"51.432915,12.252483",0,110,267
1501538076,2017-07-31T21:54:36Z,VDA7986,"51.433193,12.258423",0,130,264
1501538065,2017-07-31T21:54:25Z,VDA7986,"51.4338,12.270279",500,138,266
1501538058,2017-07-31T21:54:18Z,VDA7986,"51.434078,12.276459",575,139,265
1501538052,2017-07-31T21:54:12Z,VDA7986,"51.434452,12.282639",650,140,263
1501538046,2017-07-31T21:54:06Z,VDA7986,"51.434822,12.288895",750,140,267
1501538040,2017-07-31T21:54:00Z,VDA7986,"51.435055,12.294693",800,137,266
1501538034,2017-07-31T21:53:54Z,VDA7986,"51.435333,12.300901",875,135,265
1501537997,2017-07-31T21:53:17Z,VDA7986,"51.437073,12.339206",1325,144,264
1501537987,2017-07-31T21:53:07Z,VDA7986,"51.437801,12.352905",1500,148,266
1501537977,2017-07-31T21:52:57Z,VDA7986,"51.438171,12.36192",1600,147,266
1501537971,2017-07-31T21:52:51Z,VDA7986,"51.438362,12.366409",1650,145,266
1501537961,2017-07-31T21:52:41Z,VDA7986,"51.43895,12.379365",1750,135,265
1501537951,2017-07-31T21:52:31Z,VDA7986,"51.439407,12.387605",1825,138,265
1501537941,2017-07-31T21:52:21Z,VDA7986,"51.439945,12.398911",1950,140,266
1501537931,2017-07-31T21:52:11Z,VDA7986,"51.440411,12.409363",2100,144,266
1501537921,2017-07-31T21:52:01Z,VDA7986,"51.440781,12.419153",2250,148,266
1501537911,2017-07-31T21:51:51Z,VDA7986,"51.441292,12.43103",2450,154,265
1501537901,2017-07-31T21:51:41Z,VDA7986,"51.441853,12.442322",2675,155,265
1501537891,2017-07-31T21:51:31Z,VDA7986,"51.442551,12.453995",2875,157,263
1501537881,2017-07-31T21:51:21Z,VDA7986,"51.443573,12.467107",3025,165,263
1501537856,2017-07-31T21:50:56Z,VDA7986,"51.445953,12.496503",3675,166,259
1501537847,2017-07-31T21:50:47Z,VDA7986,"51.447144,12.50786",3875,167,255
1501537841,2017-07-31T21:50:41Z,VDA7986,"51.448231,12.514191",3975,168,246
1501537835,2017-07-31T21:50:35Z,VDA7986,"51.450256,12.521222",4150,167,241
1501537828,2017-07-31T21:50:28Z,VDA7986,"51.452606,12.527924",4300,169,240
1501537822,2017-07-31T21:50:22Z,VDA7986,"51.454933,12.534561",4500,168,240
1501537813,2017-07-31T21:50:13Z,VDA7986,"51.458267,12.544309",4825,164,242
1501537807,2017-07-31T21:50:07Z,VDA7986,"51.460148,12.550278",4925,167,244
1501537786,2017-07-31T21:49:46Z,VDA7986,"51.465042,12.57749",5125,199,271
1501537780,2017-07-31T21:49:40Z,VDA7986,"51.464447,12.586695",5300,202,281
1501537774,2017-07-31T21:49:34Z,VDA7986,"51.462849,12.595215",5475,206,292
1501537759,2017-07-31T21:49:19Z,VDA7986,"51.456375,12.616425",5800,212,296
1501537753,2017-07-31T21:49:13Z,VDA7986,"51.45377,12.624893",5950,212,296
1501537747,2017-07-31T21:49:07Z,VDA7986,"51.451069,12.633438",6100,211,297
1501537741,2017-07-31T21:49:01Z,VDA7986,"51.448322,12.641525",6275,209,300
1501537735,2017-07-31T21:48:55Z,VDA7986,"51.445156,12.649612",6425,209,304
1501537729,2017-07-31T21:48:49Z,VDA7986,"51.441788,12.656695",6550,213,312
1501537721,2017-07-31T21:48:41Z,VDA7986,"51.434868,12.665939",6750,221,328
1501537714,2017-07-31T21:48:34Z,VDA7986,"51.429016,12.670651",6850,227,339
1501537708,2017-07-31T21:48:28Z,VDA7986,"51.423138,12.673721",6850,237,346
1501537699,2017-07-31T21:48:19Z,VDA7986,"51.412582,12.675847",6825,255,358
1501537687,2017-07-31T21:48:07Z,VDA7986,"51.398232,12.676468",6825,268,358
1501537675,2017-07-31T21:47:55Z,VDA7986,"51.383148,12.677078",6975,273,358
1501537663,2017-07-31T21:47:43Z,VDA7986,"51.366764,12.677536",7025,281,358
1501537651,2017-07-31T21:47:31Z,VDA7986,"51.3517,12.678223",7025,293,358
1501537627,2017-07-31T21:47:07Z,VDA7986,"51.315556,12.680359",7550,302,358
1501537612,2017-07-31T21:46:52Z,VDA7986,"51.297455,12.681266",7900,302,357
1501537598,2017-07-31T21:46:38Z,VDA7986,"51.268299,12.683",8625,300,359
1501537578,2017-07-31T21:46:18Z,VDA7986,"51.249569,12.68364",9025,298,1
1501537553,2017-07-31T21:45:53Z,VDA7986,"51.210491,12.68394",9275,314,1
1501537543,2017-07-31T21:45:43Z,VDA7986,"51.196941,12.68326",9500,313,2
1501537533,2017-07-31T21:45:33Z,VDA7986,"51.185211,12.68216",9700,314,4
1501537523,2017-07-31T21:45:23Z,VDA7986,"51.171162,12.67926",9875,318,12
1501537517,2017-07-31T21:45:17Z,VDA7986,"51.163979,12.67662",9975,321,16
1501537507,2017-07-31T21:45:07Z,VDA7986,"51.147079,12.6656",10000,332,28
1501537494,2017-07-31T21:44:54Z,VDA7986,"51.12907,12.64847",10000,334,30
1501537482,2017-07-31T21:44:42Z,VDA7986,"51.11636,12.63733",10000,330,27
1501537468,2017-07-31T21:44:28Z,VDA7986,"51.092377,12.617649",10000,318,26
