Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501905039,2017-08-05T03:50:39Z,VDA7008,"33.430756,41.840057",13900,346,54
1501905009,2017-08-05T03:50:09Z,VDA7008,"33.403564,41.794628",15100,336,52
1501904976,2017-08-05T03:49:36Z,VDA7008,"33.374725,41.742992",15975,343,58
1501903851,2017-08-05T03:30:51Z,VDA7008,"33.098736,39.478474",22975,410,90
1501903313,2017-08-05T03:21:53Z,VDA7008,"32.913036,38.266052",22975,401,71
1501903252,2017-08-05T03:20:52Z,VDA7008,"32.876354,38.13876",22800,392,71
1501903166,2017-08-05T03:19:26Z,VDA7008,"32.825592,37.963367",22200,384,71
1501903134,2017-08-05T03:18:54Z,VDA7008,"32.805965,37.896107",21900,383,70
1501902892,2017-08-05T03:14:52Z,VDA7008,"32.617218,37.464367",19850,365,55
1501902874,2017-08-05T03:14:34Z,VDA7008,"32.598858,37.432888",19625,364,55
1501902813,2017-08-05T03:13:33Z,VDA7008,"32.541641,37.334839",18950,363,55
1501902752,2017-08-05T03:12:32Z,VDA7008,"32.481125,37.231544",18175,364,55
1501902720,2017-08-05T03:12:00Z,VDA7008,"32.45203,37.18166",17850,362,55
1501902689,2017-08-05T03:11:29Z,VDA7008,"32.422703,37.132164",17400,363,54
1501902656,2017-08-05T03:10:56Z,VDA7008,"32.389278,37.075832",17000,360,52
1501902632,2017-08-05T03:10:32Z,VDA7008,"32.368145,37.035751",16675,360,62
1501902601,2017-08-05T03:10:01Z,VDA7008,"32.345078,36.982727",16250,360,63
1501902570,2017-08-05T03:09:30Z,VDA7008,"32.321503,36.928783",15875,357,62
1501902537,2017-08-05T03:08:57Z,VDA7008,"32.296417,36.871105",15400,357,62
1501902504,2017-08-05T03:08:24Z,VDA7008,"32.27113,36.812664",14975,353,63
1501902472,2017-08-05T03:07:52Z,VDA7008,"32.247993,36.759075",14500,351,63
1501902441,2017-08-05T03:07:21Z,VDA7008,"32.225555,36.706837",14300,342,63
1501902405,2017-08-05T03:06:45Z,VDA7008,"32.199005,36.645393",13725,340,63
1501902374,2017-08-05T03:06:14Z,VDA7008,"32.177792,36.596188",13350,336,62
1501902341,2017-08-05T03:05:41Z,VDA7008,"32.153629,36.54047",12825,335,62
1501902304,2017-08-05T03:05:04Z,VDA7008,"32.128212,36.480942",12225,334,61
1501902298,2017-08-05T03:04:58Z,VDA7008,"32.123932,36.471478",12150,332,61
1501902292,2017-08-05T03:04:52Z,VDA7008,"32.119553,36.461773",12050,331,63
1501902286,2017-08-05T03:04:46Z,VDA7008,"32.115784,36.452198",11950,329,67
1501902274,2017-08-05T03:04:34Z,VDA7008,"32.110107,36.431984",11775,326,75
1501902262,2017-08-05T03:04:22Z,VDA7008,"32.105576,36.41111",11575,325,75
1501902250,2017-08-05T03:04:10Z,VDA7008,"32.100746,36.389408",11375,323,75
1501902237,2017-08-05T03:03:57Z,VDA7008,"32.096283,36.369579",11175,322,75
1501902225,2017-08-05T03:03:45Z,VDA7008,"32.09111,36.345913",10975,319,75
1501902210,2017-08-05T03:03:30Z,VDA7008,"32.086128,36.323154",10825,316,75
1501902198,2017-08-05T03:03:18Z,VDA7008,"32.081589,36.302948",10700,312,75
1501902186,2017-08-05T03:03:06Z,VDA7008,"32.077053,36.282684",10500,309,75
1501902174,2017-08-05T03:02:54Z,VDA7008,"32.072628,36.262505",10325,307,75
1501902162,2017-08-05T03:02:42Z,VDA7008,"32.068348,36.243168",10150,304,75
1501902149,2017-08-05T03:02:29Z,VDA7008,"32.063923,36.22327",9900,303,75
1501902138,2017-08-05T03:02:18Z,VDA7008,"32.059662,36.204399",9725,302,75
1501902126,2017-08-05T03:02:06Z,VDA7008,"32.055218,36.184479",9550,299,75
1501902113,2017-08-05T03:01:53Z,VDA7008,"32.050964,36.16518",9375,298,75
1501902100,2017-08-05T03:01:40Z,VDA7008,"32.046753,36.146172",9175,296,75
1501902088,2017-08-05T03:01:28Z,VDA7008,"32.042633,36.127552",9000,293,75
1501902076,2017-08-05T03:01:16Z,VDA7008,"32.038273,36.107967",8825,291,75
1501902064,2017-08-05T03:01:04Z,VDA7008,"32.034119,36.089485",8650,289,75
1501902051,2017-08-05T03:00:51Z,VDA7008,"32.029724,36.070423",8475,286,74
1501902039,2017-08-05T03:00:39Z,VDA7008,"32.025558,36.052349",8225,287,75
1501902027,2017-08-05T03:00:27Z,VDA7008,"32.02153,36.034168",8025,286,75
1501902015,2017-08-05T03:00:15Z,VDA7008,"32.017365,36.01582",7950,280,75
