Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503866420,2017-08-27T20:40:20Z,VDA2239,"37.001465,35.430878",0,13,233
1503866408,2017-08-27T20:40:08Z,VDA2239,"37.001656,35.431187",0,15,233
1503866396,2017-08-27T20:39:56Z,VDA2239,"37.001816,35.431477",0,16,233
1503866381,2017-08-27T20:39:41Z,VDA2239,"37.002079,35.431843",0,17,233
1503866372,2017-08-27T20:39:32Z,VDA2239,"37.002319,35.431931",0,17,233
1503866365,2017-08-27T20:39:25Z,VDA2239,"37.002522,35.431892",0,19,233
1503866357,2017-08-27T20:39:17Z,VDA2239,"37.002663,35.431637",0,14,233
1503866344,2017-08-27T20:39:04Z,VDA2239,"37.002628,35.431347",0,14,233
1503866332,2017-08-27T20:38:52Z,VDA2239,"37.002457,35.431053",0,18,233
1503866324,2017-08-27T20:38:44Z,VDA2239,"37.002254,35.430714",0,21,233
1503866317,2017-08-27T20:38:37Z,VDA2239,"37.002113,35.430485",0,24,233
1503866311,2017-08-27T20:38:31Z,VDA2239,"37.001919,35.430161",0,28,233
1503866305,2017-08-27T20:38:25Z,VDA2239,"37.001701,35.429813",0,28,233
1503866299,2017-08-27T20:38:19Z,VDA2239,"37.001511,35.429504",0,27,233
1503866293,2017-08-27T20:38:13Z,VDA2239,"37.001301,35.429161",0,28,233
1503866284,2017-08-27T20:38:04Z,VDA2239,"37.001026,35.428719",0,25,233
1503866277,2017-08-27T20:37:57Z,VDA2239,"37.000858,35.428429",0,26,233
1503866269,2017-08-27T20:37:49Z,VDA2239,"37.00058,35.427956",0,28,233
1503866260,2017-08-27T20:37:40Z,VDA2239,"37.000313,35.427521",0,25,233
1503866253,2017-08-27T20:37:33Z,VDA2239,"37.000134,35.427227",0,26,233
1503866245,2017-08-27T20:37:25Z,VDA2239,"36.999836,35.426712",0,31,233
1503866238,2017-08-27T20:37:18Z,VDA2239,"36.999607,35.42635",0,30,233
1503866232,2017-08-27T20:37:12Z,VDA2239,"36.999393,35.425983",0,30,233
1503866226,2017-08-27T20:37:06Z,VDA2239,"36.999184,35.425671",0,30,233
1503866220,2017-08-27T20:37:00Z,VDA2239,"36.998966,35.425312",0,29,233
1503866214,2017-08-27T20:36:54Z,VDA2239,"36.99876,35.424976",0,29,233
1503866208,2017-08-27T20:36:48Z,VDA2239,"36.998554,35.424625",0,29,233
1503866200,2017-08-27T20:36:40Z,VDA2239,"36.998241,35.424118",0,29,233
1503866193,2017-08-27T20:36:33Z,VDA2239,"36.998043,35.423786",0,29,233
1503866187,2017-08-27T20:36:27Z,VDA2239,"36.997833,35.423458",0,27,233
1503866178,2017-08-27T20:36:18Z,VDA2239,"36.997559,35.423004",0,23,233
1503866172,2017-08-27T20:36:12Z,VDA2239,"36.997421,35.422771",0,18,233
1503866154,2017-08-27T20:35:54Z,VDA2239,"36.997192,35.422443",0,13,233
1503866141,2017-08-27T20:35:41Z,VDA2239,"36.997169,35.4221",0,15,233
1503866126,2017-08-27T20:35:26Z,VDA2239,"36.997402,35.421772",0,18,233
1503866114,2017-08-27T20:35:14Z,VDA2239,"36.997704,35.42149",0,17,233
1503866102,2017-08-27T20:35:02Z,VDA2239,"36.998032,35.421177",0,20,233
1503866090,2017-08-27T20:34:50Z,VDA2239,"36.998314,35.420914",0,16,233
1503866078,2017-08-27T20:34:38Z,VDA2239,"36.9986,35.420654",0,15,233
1503866066,2017-08-27T20:34:26Z,VDA2239,"36.998875,35.420738",0,13,233
1503866054,2017-08-27T20:34:14Z,VDA2239,"36.999031,35.420982",0,18,233
1503866045,2017-08-27T20:34:05Z,VDA2239,"36.999264,35.421352",0,28,233
1503866039,2017-08-27T20:33:59Z,VDA2239,"36.999451,35.421684",0,30,233
1503866033,2017-08-27T20:33:53Z,VDA2239,"36.999733,35.422127",0,18,233
1503866027,2017-08-27T20:33:47Z,VDA2239,"37.000076,35.422699",0,23,233
1503866021,2017-08-27T20:33:41Z,VDA2239,"37.000523,35.423443",0,36,233
1503866012,2017-08-27T20:33:32Z,VDA2239,"37.002441,35.426594",0,88,233
1503866005,2017-08-27T20:33:25Z,VDA2239,"37.003616,35.428566",0,105,233
1503865999,2017-08-27T20:33:19Z,VDA2239,"37.005676,35.431984",425,126,232
1503865993,2017-08-27T20:33:13Z,VDA2239,"37.00782,35.435505",425,131,232
1503865987,2017-08-27T20:33:07Z,VDA2239,"37.010101,35.439266",475,135,233
1503865981,2017-08-27T20:33:01Z,VDA2239,"37.012383,35.44297",575,133,232
1503865975,2017-08-27T20:32:55Z,VDA2239,"37.014614,35.446671",650,132,232
1503865969,2017-08-27T20:32:49Z,VDA2239,"37.01685,35.450253",725,129,232
1503865963,2017-08-27T20:32:43Z,VDA2239,"37.019085,35.453777",800,129,231
1503865956,2017-08-27T20:32:36Z,VDA2239,"37.02132,35.45742",850,130,231
1503865950,2017-08-27T20:32:30Z,VDA2239,"37.023602,35.46106",925,131,232
1503865944,2017-08-27T20:32:24Z,VDA2239,"37.025894,35.464802",1000,131,233
1503865938,2017-08-27T20:32:18Z,VDA2239,"37.028164,35.468586",1075,130,232
1503865932,2017-08-27T20:32:12Z,VDA2239,"37.030289,35.471989",1125,129,232
1503865926,2017-08-27T20:32:06Z,VDA2239,"37.032532,35.47567",1200,129,232
1503865920,2017-08-27T20:32:00Z,VDA2239,"37.034729,35.479237",1250,130,232
1503865914,2017-08-27T20:31:54Z,VDA2239,"37.036961,35.482914",1300,132,232
1503865908,2017-08-27T20:31:48Z,VDA2239,"37.039169,35.486542",1350,134,232
1503865902,2017-08-27T20:31:42Z,VDA2239,"37.041523,35.490318",1450,135,232
1503865896,2017-08-27T20:31:36Z,VDA2239,"37.04393,35.494198",1550,134,232
1503865890,2017-08-27T20:31:30Z,VDA2239,"37.046131,35.49778",1650,129,232
1503865884,2017-08-27T20:31:24Z,VDA2239,"37.048412,35.501484",1700,130,232
1503865878,2017-08-27T20:31:18Z,VDA2239,"37.050613,35.505009",1750,132,232
1503865872,2017-08-27T20:31:12Z,VDA2239,"37.052929,35.508827",1825,135,233
1503865866,2017-08-27T20:31:06Z,VDA2239,"37.055283,35.512836",1900,139,233
1503865860,2017-08-27T20:31:00Z,VDA2239,"37.057663,35.516754",1975,142,232
1503865854,2017-08-27T20:30:54Z,VDA2239,"37.060051,35.52071",2100,144,232
1503865848,2017-08-27T20:30:48Z,VDA2239,"37.062469,35.5247",2225,144,232
1503865842,2017-08-27T20:30:42Z,VDA2239,"37.064896,35.528675",2350,144,232
1503865833,2017-08-27T20:30:33Z,VDA2239,"37.068569,35.534679",2525,144,232
1503865827,2017-08-27T20:30:27Z,VDA2239,"37.071167,35.538902",2650,146,233
1503865821,2017-08-27T20:30:21Z,VDA2239,"37.073551,35.542862",2750,147,233
1503865815,2017-08-27T20:30:15Z,VDA2239,"37.076065,35.547142",2875,149,233
1503865809,2017-08-27T20:30:09Z,VDA2239,"37.07872,35.55164",2975,151,233
1503865800,2017-08-27T20:30:00Z,VDA2239,"37.082394,35.557789",3100,158,233
1503865793,2017-08-27T20:29:53Z,VDA2239,"37.08514,35.562386",3175,163,233
1503865785,2017-08-27T20:29:45Z,VDA2239,"37.089378,35.569313",3350,166,232
1503865778,2017-08-27T20:29:38Z,VDA2239,"37.092133,35.573849",3475,168,232
1503865772,2017-08-27T20:29:32Z,VDA2239,"37.095062,35.578522",3625,170,231
1503865764,2017-08-27T20:29:24Z,VDA2239,"37.09964,35.585884",3775,177,233
1503865757,2017-08-27T20:29:17Z,VDA2239,"37.102413,35.59063",3875,181,234
1503865751,2017-08-27T20:29:11Z,VDA2239,"37.105499,35.596111",4000,185,235
1503865745,2017-08-27T20:29:05Z,VDA2239,"37.108513,35.601734",4100,190,236
1503865736,2017-08-27T20:28:56Z,VDA2239,"37.112888,35.609974",4250,198,236
1503865728,2017-08-27T20:28:48Z,VDA2239,"37.117538,35.619137",4450,199,238
1503865721,2017-08-27T20:28:41Z,VDA2239,"37.120193,35.624687",4600,199,239
1503865715,2017-08-27T20:28:35Z,VDA2239,"37.123123,35.630707",4700,202,238
1503865709,2017-08-27T20:28:29Z,VDA2239,"37.126556,35.637371",4850,204,235
1503865703,2017-08-27T20:28:23Z,VDA2239,"37.130112,35.643349",4950,205,230
1503865691,2017-08-27T20:28:11Z,VDA2239,"37.137909,35.653439",5150,209,221
1503865685,2017-08-27T20:28:05Z,VDA2239,"37.142868,35.658337",5225,213,214
1503865664,2017-08-27T20:27:44Z,VDA2239,"37.162045,35.665859",5400,213,179
1503865657,2017-08-27T20:27:37Z,VDA2239,"37.168053,35.665264",5475,213,169
1503865651,2017-08-27T20:27:31Z,VDA2239,"37.173683,35.663353",5600,212,158
1503865643,2017-08-27T20:27:23Z,VDA2239,"37.181351,35.657822",5800,210,140
1503865636,2017-08-27T20:27:16Z,VDA2239,"37.18565,35.652664",5950,210,129
1503865627,2017-08-27T20:27:07Z,VDA2239,"37.190678,35.643169",6175,211,119
1503865615,2017-08-27T20:26:55Z,VDA2239,"37.196587,35.630276",6425,213,119
1503865603,2017-08-27T20:26:43Z,VDA2239,"37.202454,35.617031",6750,213,118
1503865591,2017-08-27T20:26:31Z,VDA2239,"37.208221,35.604061",7025,214,119
1503865579,2017-08-27T20:26:19Z,VDA2239,"37.214092,35.591225",7300,215,119
1503865567,2017-08-27T20:26:07Z,VDA2239,"37.220032,35.577881",7600,213,119
1503865555,2017-08-27T20:25:55Z,VDA2239,"37.225964,35.564716",7825,219,119
1503865543,2017-08-27T20:25:43Z,VDA2239,"37.232155,35.55122",7950,225,119
1503865531,2017-08-27T20:25:31Z,VDA2239,"37.238483,35.537189",8000,236,119
1503865519,2017-08-27T20:25:19Z,VDA2239,"37.245049,35.522442",8100,248,119
1503865506,2017-08-27T20:25:06Z,VDA2239,"37.252171,35.506798",8300,252,119
1503865495,2017-08-27T20:24:55Z,VDA2239,"37.259109,35.491451",8575,253,118
1503865483,2017-08-27T20:24:43Z,VDA2239,"37.265949,35.475929",8725,257,119
1503865470,2017-08-27T20:24:30Z,VDA2239,"37.273315,35.459717",8800,262,119
1503865459,2017-08-27T20:24:19Z,VDA2239,"37.280754,35.443508",8775,272,119
1503865446,2017-08-27T20:24:06Z,VDA2239,"37.288296,35.426727",8900,277,119
1503865434,2017-08-27T20:23:54Z,VDA2239,"37.296066,35.409519",9100,278,119
1503865422,2017-08-27T20:23:42Z,VDA2239,"37.303612,35.392933",9300,279,119
1503865410,2017-08-27T20:23:30Z,VDA2239,"37.312363,35.373405",9575,279,119
1503865399,2017-08-27T20:23:19Z,VDA2239,"37.318089,35.360512",9750,280,119
1503865387,2017-08-27T20:23:07Z,VDA2239,"37.32605,35.342957",9975,281,119
1503865375,2017-08-27T20:22:55Z,VDA2239,"37.333878,35.325371",10175,283,118
1503865363,2017-08-27T20:22:43Z,VDA2239,"37.341339,35.308655",10400,284,119
1503865351,2017-08-27T20:22:31Z,VDA2239,"37.349304,35.291065",10650,284,119
1503865339,2017-08-27T20:22:19Z,VDA2239,"37.357086,35.273537",10800,288,118
1503865327,2017-08-27T20:22:07Z,VDA2239,"37.364822,35.255829",11000,291,118
1503865315,2017-08-27T20:21:55Z,VDA2239,"37.372879,35.238064",11175,294,119
1503865303,2017-08-27T20:21:43Z,VDA2239,"37.381123,35.219601",11325,298,118
1503865272,2017-08-27T20:21:12Z,VDA2239,"37.401672,35.17384",12150,292,119
1503865239,2017-08-27T20:20:39Z,VDA2239,"37.42392,35.12376",12525,295,119
1503865206,2017-08-27T20:20:06Z,VDA2239,"37.446156,35.073555",12600,305,119
