Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503894407,2017-08-28T04:26:47Z,VDA7087,"31.722176,35.999893",0,2,81
1503894361,2017-08-28T04:26:01Z,VDA7087,"31.721743,35.999985",0,13,81
1503894353,2017-08-28T04:25:53Z,VDA7087,"31.721428,36.000042",0,16,81
1503894340,2017-08-28T04:25:40Z,VDA7087,"31.721207,36.000069",0,17,81
1503894328,2017-08-28T04:25:28Z,VDA7087,"31.720825,36.000095",0,18,81
1503894313,2017-08-28T04:25:13Z,VDA7087,"31.720392,36.000179",0,19,81
1503894301,2017-08-28T04:25:01Z,VDA7087,"31.72002,35.999931",0,21,81
1503894295,2017-08-28T04:24:55Z,VDA7087,"31.719938,35.99963",0,24,81
1503894286,2017-08-28T04:24:46Z,VDA7087,"31.719841,35.999046",0,26,81
1503894280,2017-08-28T04:24:40Z,VDA7087,"31.719799,35.998779",0,29,81
1503894274,2017-08-28T04:24:34Z,VDA7087,"31.719751,35.998405",0,15,81
1503894265,2017-08-28T04:24:25Z,VDA7087,"31.719646,35.997662",0,33,81
1503894241,2017-08-28T04:24:01Z,VDA7087,"31.719315,35.995399",0,15,289
1503894234,2017-08-28T04:23:54Z,VDA7087,"31.71928,35.995075",0,15,289
1503894225,2017-08-28T04:23:45Z,VDA7087,"31.719147,35.994247",0,32,289
1503894213,2017-08-28T04:23:33Z,VDA7087,"31.71903,35.993423",0,29,289
1503894204,2017-08-28T04:23:24Z,VDA7087,"31.718948,35.992912",0,28,289
1503894195,2017-08-28T04:23:15Z,VDA7087,"31.718868,35.992382",0,26,289
1503894189,2017-08-28T04:23:09Z,VDA7087,"31.718834,35.992058",0,24,289
1503894183,2017-08-28T04:23:03Z,VDA7087,"31.718786,35.991718",0,23,289
1503894174,2017-08-28T04:22:54Z,VDA7087,"31.718719,35.991291",0,21,289
1503894168,2017-08-28T04:22:48Z,VDA7087,"31.718693,35.99102",0,20,289
1503894162,2017-08-28T04:22:42Z,VDA7087,"31.718662,35.990753",0,21,289
1503894153,2017-08-28T04:22:33Z,VDA7087,"31.718414,35.990471",0,22,289
1503894147,2017-08-28T04:22:27Z,VDA7087,"31.718204,35.990429",0,22,289
1503894141,2017-08-28T04:22:21Z,VDA7087,"31.717953,35.990509",0,22,289
1503894135,2017-08-28T04:22:15Z,VDA7087,"31.717773,35.990715",0,24,289
1503894129,2017-08-28T04:22:09Z,VDA7087,"31.717669,35.991047",0,30,289
1503894123,2017-08-28T04:22:03Z,VDA7087,"31.717518,35.991547",0,32,289
1503894116,2017-08-28T04:21:56Z,VDA7087,"31.71739,35.99194",0,32,289
1503894110,2017-08-28T04:21:50Z,VDA7087,"31.717243,35.992371",0,17,289
1503894104,2017-08-28T04:21:44Z,VDA7087,"31.717094,35.992867",0,16,289
1503894080,2017-08-28T04:21:20Z,VDA7087,"31.71661,35.995289",0,23,270
1503894074,2017-08-28T04:21:14Z,VDA7087,"31.716667,35.996155",0,31,264
1503894068,2017-08-28T04:21:08Z,VDA7087,"31.716751,35.996918",0,31,258
1503894062,2017-08-28T04:21:02Z,VDA7087,"31.716888,35.997864",0,36,261
1503894056,2017-08-28T04:20:56Z,VDA7087,"31.71711,35.999409",0,45,261
1503894050,2017-08-28T04:20:50Z,VDA7087,"31.717312,36.000797",0,48,258
1503894044,2017-08-28T04:20:44Z,VDA7087,"31.717655,36.003166",0,64,261
1503894038,2017-08-28T04:20:38Z,VDA7087,"31.717861,36.004593",0,84,261
1503894032,2017-08-28T04:20:32Z,VDA7087,"31.718321,36.007774",0,105,261
1503894026,2017-08-28T04:20:26Z,VDA7087,"31.718809,36.011261",0,125,261
1503894020,2017-08-28T04:20:20Z,VDA7087,"31.719452,36.015553",2425,130,260
1503893992,2017-08-28T04:19:52Z,VDA7087,"31.722418,36.035759",2775,134,259
1503893986,2017-08-28T04:19:46Z,VDA7087,"31.722931,36.039303",2850,133,260
1503893941,2017-08-28T04:19:01Z,VDA7087,"31.727537,36.070862",3325,128,261
1503893935,2017-08-28T04:18:55Z,VDA7087,"31.72805,36.075035",3400,128,261
1503893929,2017-08-28T04:18:49Z,VDA7087,"31.728655,36.079102",3475,126,260
1503893923,2017-08-28T04:18:43Z,VDA7087,"31.729307,36.083221",3550,125,259
1503893917,2017-08-28T04:18:37Z,VDA7087,"31.72998,36.087612",3625,123,259
1503893911,2017-08-28T04:18:31Z,VDA7087,"31.73061,36.091736",3700,124,260
1503893904,2017-08-28T04:18:24Z,VDA7087,"31.731216,36.095905",3750,126,260
1503893896,2017-08-28T04:18:16Z,VDA7087,"31.732147,36.102173",3800,125,260
1503893889,2017-08-28T04:18:09Z,VDA7087,"31.732752,36.106403",3850,124,260
1503893882,2017-08-28T04:18:02Z,VDA7087,"31.733311,36.110577",3875,122,260
1503893876,2017-08-28T04:17:56Z,VDA7087,"31.733915,36.114586",3925,121,260
1503893870,2017-08-28T04:17:50Z,VDA7087,"31.734568,36.118816",3975,123,260
1503893863,2017-08-28T04:17:43Z,VDA7087,"31.735172,36.1231",4075,124,260
1503893857,2017-08-28T04:17:37Z,VDA7087,"31.735825,36.127441",4175,126,260
1503893851,2017-08-28T04:17:31Z,VDA7087,"31.736389,36.131664",4250,127,260
1503893845,2017-08-28T04:17:25Z,VDA7087,"31.736942,36.135681",4350,127,260
1503893839,2017-08-28T04:17:19Z,VDA7087,"31.737534,36.139957",4475,127,260
