Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503969743,2017-08-29T01:22:23Z,VDA7088,"31.823822,36.821724",2375,137,260
1503969737,2017-08-29T01:22:17Z,VDA7088,"31.824509,36.826393",2450,138,259
1503969728,2017-08-29T01:22:08Z,VDA7088,"31.825577,36.833794",2625,137,259
1503969719,2017-08-29T01:21:59Z,VDA7088,"31.826508,36.839401",2700,137,259
1503969674,2017-08-29T01:21:14Z,VDA7088,"31.829956,36.873634",2825,134,312
1503969665,2017-08-29T01:21:05Z,VDA7088,"31.827114,36.878693",2800,133,318
1503969641,2017-08-29T01:20:41Z,VDA7088,"31.811829,36.881817",2725,139,13
1503969634,2017-08-29T01:20:34Z,VDA7088,"31.809423,36.880993",2725,144,18
1503969628,2017-08-29T01:20:28Z,VDA7088,"31.805607,36.879143",2725,148,29
1503969622,2017-08-29T01:20:22Z,VDA7088,"31.801483,36.87561",2800,151,46
1503969616,2017-08-29T01:20:16Z,VDA7088,"31.799103,36.872314",2850,159,57
1503969610,2017-08-29T01:20:10Z,VDA7088,"31.797134,36.868267",2875,167,67
1503969602,2017-08-29T01:20:02Z,VDA7088,"31.795225,36.860195",2975,176,81
1503969498,2017-08-29T01:18:18Z,VDA7088,"31.797739,36.759918",4700,210,103
1503969492,2017-08-29T01:18:12Z,VDA7088,"31.799648,36.750389",4850,213,102
1503969486,2017-08-29T01:18:06Z,VDA7088,"31.80098,36.743336",4900,218,102
1503969471,2017-08-29T01:17:51Z,VDA7088,"31.804001,36.727734",5025,227,102
1503969459,2017-08-29T01:17:39Z,VDA7088,"31.806976,36.713673",5050,240,104
1503969447,2017-08-29T01:17:27Z,VDA7088,"31.810493,36.697586",5050,253,105
1503969435,2017-08-29T01:17:15Z,VDA7088,"31.814545,36.681107",5225,258,105
1503969423,2017-08-29T01:17:03Z,VDA7088,"31.818466,36.665001",5425,259,105
1503969411,2017-08-29T01:16:51Z,VDA7088,"31.822403,36.648964",5425,268,105
1503969399,2017-08-29T01:16:39Z,VDA7088,"31.826694,36.631165",5475,274,105
1503969387,2017-08-29T01:16:27Z,VDA7088,"31.830744,36.613731",5600,278,104
1503969374,2017-08-29T01:16:14Z,VDA7088,"31.834747,36.595627",5825,278,104
1503969258,2017-08-29T01:14:18Z,VDA7088,"31.862074,36.402412",7875,287,95
1503969245,2017-08-29T01:14:05Z,VDA7088,"31.862228,36.40089",7900,287,95
1503969232,2017-08-29T01:13:52Z,VDA7088,"31.863983,36.381283",8100,287,96
1503969216,2017-08-29T01:13:36Z,VDA7088,"31.866531,36.355957",8350,289,97
1503969202,2017-08-29T01:13:22Z,VDA7088,"31.869141,36.328987",8575,292,95
1503969189,2017-08-29T01:13:09Z,VDA7088,"31.870501,36.313347",8725,293,96
1503969176,2017-08-29T01:12:56Z,VDA7088,"31.872437,36.293171",8850,296,96
1503969162,2017-08-29T01:12:42Z,VDA7088,"31.874689,36.270634",8975,297,95
1503969150,2017-08-29T01:12:30Z,VDA7088,"31.876465,36.250927",9100,297,95
1503969137,2017-08-29T01:12:17Z,VDA7088,"31.878414,36.229996",9200,298,96
1503969124,2017-08-29T01:12:04Z,VDA7088,"31.880695,36.208469",9350,298,96
1503969064,2017-08-29T01:11:04Z,VDA7088,"31.889818,36.112171",9975,298,95
1503969052,2017-08-29T01:10:52Z,VDA7088,"31.891682,36.091713",10100,299,96
1503969038,2017-08-29T01:10:38Z,VDA7088,"31.894226,36.065865",10250,299,96
1503969024,2017-08-29T01:10:24Z,VDA7088,"31.896151,36.045692",10375,300,96
1503969012,2017-08-29T01:10:12Z,VDA7088,"31.897779,36.027813",10475,301,96
1503969000,2017-08-29T01:10:00Z,VDA7088,"31.899689,36.008194",10575,303,96
1503968987,2017-08-29T01:09:47Z,VDA7088,"31.901829,35.987232",10700,304,96
1503968975,2017-08-29T01:09:35Z,VDA7088,"31.903599,35.967445",10825,305,95
1503968963,2017-08-29T01:09:23Z,VDA7088,"31.905487,35.946167",10975,304,96
1503968951,2017-08-29T01:09:11Z,VDA7088,"31.907463,35.926582",11125,304,96
1503968938,2017-08-29T01:08:58Z,VDA7088,"31.909515,35.905956",11225,305,96
1503968926,2017-08-29T01:08:46Z,VDA7088,"31.911301,35.885246",11375,306,95
1503968910,2017-08-29T01:08:30Z,VDA7088,"31.913681,35.860035",11525,307,96
1503968898,2017-08-29T01:08:18Z,VDA7088,"31.915794,35.839252",11675,307,96
1503968887,2017-08-29T01:08:07Z,VDA7088,"31.91761,35.819241",11850,306,95
1503968855,2017-08-29T01:07:35Z,VDA7088,"31.922562,35.767914",12250,307,96
1503968822,2017-08-29T01:07:02Z,VDA7088,"31.927689,35.712105",12750,312,96
1503968791,2017-08-29T01:06:31Z,VDA7088,"31.932461,35.660389",13350,311,96
1503968758,2017-08-29T01:05:58Z,VDA7088,"31.937815,35.603157",13875,317,95
1503968727,2017-08-29T01:05:27Z,VDA7088,"31.943121,35.550411",14250,322,95
1503968721,2017-08-29T01:05:21Z,VDA7088,"31.94396,35.539371",14350,322,94
1503968715,2017-08-29T01:05:15Z,VDA7088,"31.944809,35.528576",14500,319,96
1503968708,2017-08-29T01:05:08Z,VDA7088,"31.946007,35.517792",14650,316,100
1503968702,2017-08-29T01:05:02Z,VDA7088,"31.947823,35.507923",14800,312,105
1503968696,2017-08-29T01:04:56Z,VDA7088,"31.950617,35.497555",14900,311,110
1503968690,2017-08-29T01:04:50Z,VDA7088,"31.954193,35.487984",14975,309,117
1503968684,2017-08-29T01:04:44Z,VDA7088,"31.958344,35.479225",15025,309,122
1503968653,2017-08-29T01:04:13Z,VDA7088,"31.984785,35.437408",15125,305,127
1503968619,2017-08-29T01:03:39Z,VDA7088,"32.014389,35.391579",15525,316,127
1503968586,2017-08-29T01:03:06Z,VDA7088,"32.044186,35.345654",16075,322,126
1503968552,2017-08-29T01:02:32Z,VDA7088,"32.075237,35.297894",16800,324,127
1503968519,2017-08-29T01:01:59Z,VDA7088,"32.105354,35.251259",17425,330,127
1503968456,2017-08-29T01:00:56Z,VDA7088,"32.165081,35.158939",18700,338,127
1503968392,2017-08-29T00:59:52Z,VDA7088,"32.227043,35.062756",19500,365,126
1503968329,2017-08-29T00:58:49Z,VDA7088,"32.292915,34.96085",21125,369,127
1503968266,2017-08-29T00:57:46Z,VDA7088,"32.358833,34.858555",22700,376,127
1503968205,2017-08-29T00:56:45Z,VDA7088,"32.423584,34.757996",24025,391,127
1503968130,2017-08-29T00:55:30Z,VDA7088,"32.511105,34.621788",25875,418,127
1503968069,2017-08-29T00:54:29Z,VDA7088,"32.582474,34.510639",27575,433,127
1503968006,2017-08-29T00:53:26Z,VDA7088,"32.660751,34.38847",28550,444,127
1503967942,2017-08-29T00:52:22Z,VDA7088,"32.739212,34.266693",29000,447,126
1503967936,2017-08-29T00:52:16Z,VDA7088,"32.746811,34.254383",29000,446,126
1503967930,2017-08-29T00:52:10Z,VDA7088,"32.754318,34.242737",29000,445,128
1503967924,2017-08-29T00:52:04Z,VDA7088,"32.762146,34.23164",29000,441,132
1503967918,2017-08-29T00:51:58Z,VDA7088,"32.770706,34.220985",29000,439,135
1503967912,2017-08-29T00:51:52Z,VDA7088,"32.780228,34.210491",29000,434,140
1503967906,2017-08-29T00:51:46Z,VDA7088,"32.78952,34.201538",29000,432,143
1503967900,2017-08-29T00:51:40Z,VDA7088,"32.799728,34.192986",29000,428,147
1503967894,2017-08-29T00:51:34Z,VDA7088,"32.809879,34.185642",29000,425,150
1503967888,2017-08-29T00:51:28Z,VDA7088,"32.819515,34.179588",29025,422,154
1503967882,2017-08-29T00:51:22Z,VDA7088,"32.830872,34.173534",29025,418,158
1503967876,2017-08-29T00:51:16Z,VDA7088,"32.841904,34.168713",29025,415,162
1503967870,2017-08-29T00:51:10Z,VDA7088,"32.853195,34.164845",29025,412,166
1503967862,2017-08-29T00:51:02Z,VDA7088,"32.86993,34.160866",29025,407,172
1503967798,2017-08-29T00:49:58Z,VDA7088,"32.985844,34.154419",29000,405,178
1503967734,2017-08-29T00:48:54Z,VDA7088,"33.10936,34.148693",29000,405,177
1503967673,2017-08-29T00:47:53Z,VDA7088,"33.22261,34.143097",29000,405,177
1503967612,2017-08-29T00:46:52Z,VDA7088,"33.336182,34.137764",29000,408,177
1503967547,2017-08-29T00:45:47Z,VDA7088,"33.459869,34.131828",29000,407,177
1503967482,2017-08-29T00:44:42Z,VDA7088,"33.583622,34.125938",29000,408,177
1503967416,2017-08-29T00:43:36Z,VDA7088,"33.707703,34.119781",29000,407,177
1503967355,2017-08-29T00:42:35Z,VDA7088,"33.821457,34.113922",29000,408,177
1503967290,2017-08-29T00:41:30Z,VDA7088,"33.944275,34.107784",29025,407,177
1503967225,2017-08-29T00:40:25Z,VDA7088,"34.06778,34.101562",29000,406,177
1503967160,2017-08-29T00:39:20Z,VDA7088,"34.191128,34.095268",28975,406,177
1503967099,2017-08-29T00:38:19Z,VDA7088,"34.304214,34.089512",28950,405,177
1503967034,2017-08-29T00:37:14Z,VDA7088,"34.426529,34.083401",28975,405,177
1503966969,2017-08-29T00:36:09Z,VDA7088,"34.550766,34.077236",28975,406,177
1503966904,2017-08-29T00:35:04Z,VDA7088,"34.67234,34.071178",28975,407,177
1503966843,2017-08-29T00:34:03Z,VDA7088,"34.785786,34.065914",29000,408,177
1503966778,2017-08-29T00:32:58Z,VDA7088,"34.909103,34.059746",29000,407,177
1503966713,2017-08-29T00:31:53Z,VDA7088,"35.032467,34.053898",29000,407,177
1503966652,2017-08-29T00:30:52Z,VDA7088,"35.147003,34.04837",28975,408,177
1503966587,2017-08-29T00:29:47Z,VDA7088,"35.269592,34.042797",29000,402,177
1503966522,2017-08-29T00:28:42Z,VDA7088,"35.389526,34.037361",28775,393,177
1503966456,2017-08-29T00:27:36Z,VDA7088,"35.507721,34.031982",28175,389,177
1503966391,2017-08-29T00:26:31Z,VDA7088,"35.625092,34.026661",27550,385,177
1503966326,2017-08-29T00:25:26Z,VDA7088,"35.739967,34.021561",27025,375,178
1503966261,2017-08-29T00:24:21Z,VDA7088,"35.856125,34.017334",25075,407,180
1503966255,2017-08-29T00:24:15Z,VDA7088,"35.86734,34.017506",25075,406,181
1503966249,2017-08-29T00:24:09Z,VDA7088,"35.87883,34.017792",25075,405,180
1503966243,2017-08-29T00:24:03Z,VDA7088,"35.892658,34.017647",25000,407,176
1503966227,2017-08-29T00:23:47Z,VDA7088,"35.918777,34.012794",25050,407,166
1503966166,2017-08-29T00:22:46Z,VDA7088,"36.029709,33.980541",25000,383,166
1503966105,2017-08-29T00:21:45Z,VDA7088,"36.131744,33.950844",24600,365,166
